en,az
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","Yüklənmiş spektr absorbans vahidlərində deyilsə,
           çevirmək üçün vahidləri müəyyən etmək üçün bu girişdən istifadə edin.Open Specy bilərsiniz
           istifadə edərək, əks etdirmə və ya keçiricilik spektrlərini Absorbans vahidlərinə uyğunlaşdırın
           fayl yükləmə nişanında bu açılır. Əvvəlki tabların hamısı
           məlumatların absorbans vahidlərində olduğunu fərz edin, ona görə də bunu etməlisiniz
           zəruri hallarda davam etməzdən əvvəl düzəliş. Ötürmənin tənzimlənməsi
           sistem üçün düzgün olmayan log10(1/T) hesablamasından istifadə edir
           və hissəcik xüsusiyyətləri. Yansıtma tənzimlənməsi istifadə edir
           Kubelka-Munk tənliyi (1-R)2/(2*R). Yansıma olduğunu güman edirik
           1-100 arasında faiz kimi formatlanır və əvvəlcə 100-ə bölmək yolu ilə intensivliyi düzəldir
           tənliyin gözlədiyi formaya uyğun olması üçün.
           Heç biri seçilməzsə, Open Specy yüklənmiş məlumatların olduğunu güman edir
           absorbsiya spektri."
Sample File,Nümunə fayl
Sample Data Help,Nümunə Məlumat Yardımı
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,"Bu, onu sınamaq və csv fayllarının necə formatlaşdırılmalı olduğunu anlamaq üçün alətə yüklənə bilən nümunə spektrdir."
Metadata Input,Metadata Girişi
Metadata Help,Metadata yardımı
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","Metaməlumatı burada doldurub paylaşmağı seçsəniz, yüklənmiş spektrləri və metaməlumatları spektroskopiya icması ilə paylaşırıq.
           Yüklənmiş spektrlər və metadata burada görünəcək: https://osf.io/rjg3c"
Share Metadata,Metadata paylaşın
Upload some data to get started...,Başlamaq üçün bəzi data yükləyin...
Preprocess Spectrum,Əvvəlcədən proses spektri
"Smooth, Baseline Correct, and Download Processed Spectra","Hamar, Əsas Düzgün və İşlənmiş Spektrləri Yükləyin"
Download (recommended),Yükləyin (tövsiyə olunur)
Download Help,Yardımı yükləyin
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,Bəzi istifadəçilər öz işlənmiş spektrinin surətini saxlamaq istəyə bilər. Bu düymə işlənmiş spektri csv faylı kimi yükləyir.
Smoothing,Hamarlaşdırıcı
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,Bu hamarlaşdırıcı məlumatların səs-küy nisbətini artıra bilər və 12 işləyən məlumat nöqtəsi və göstərilən polinomu olan Savitzky-Golay filtrindən istifadə edir.
Smoothing Polynomial,Hamarlayıcı Polinom
Baseline Correction,Əsas Düzəliş
Baseline Correction Help,Əsas Düzəldici Yardım
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","Bu baza korreksiyası proqramında baza korreksiyası üçün iki seçim var, 1) spektrin bütün bölgəsinə çoxhədli uyğunluqdan istifadə edərək spektrin baza xəttini təkrar-təkrar tapmaq üçün polinom imodpolifit proseduru. 2) süjetdəki xətt alətindən istifadə etməklə əl xətləri çəkilə bilər və düzgün düymə əsas xətti çıxarmaq üçün xətlərdən istifadə edəcəkdir."
Baseline Correction Polynomial,Əsas Düzəliş Polinomu
Technique,Texnika
Polynomial,Polinom
Manual,Manual
Correct With Trace,İz ilə Düzgün
Reset,Sıfırlayın
Range Selection,Aralığın seçimi
Spectral Range Help,Spektral diapazon yardımı
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,Spektral diapazonun məhdudlaşdırılması heç bir zirvənin olmadığı spektr bölgələrini silə və uyğunluğu yaxşılaşdıra bilər
Maximum Spectral Range,Maksimum spektral diapazon
Minimum Spectral Range,Minimum spektral diapazon
Identify Spectrum,Spektri müəyyənləşdirin
Identify Spectrum Using the Reference Library,İstinad Kitabxanasından istifadə edərək Spektri müəyyənləşdirin
Raman,Raman
FTIR,FTIR
Spectra,Spektrlər
Type,Növ
Spectrum Type Help,Spectrum Type Yardım
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,Bu seçim FTIR və ya Raman uyğunluq kitabxanasının istifadə edilib-edilmədiyini müəyyən edəcək. Yüklənmiş spektr növünü seçin.
Analysis,Təhlil
Processed,Emal edilib
Uploaded,Yükləndi
Spectrum to Analyze Help,Yardımı təhlil etmək üçün spektr
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,Bu seçim yüklənmiş (işlənməmiş) spektrin və ya emal tabından istifadə edərək işlənmiş spektrin spektr uyğunluğunda istifadə edilib-edilmədiyini müəyyən edəcək.
Region,Region
Full,Tam
Peaks,Zirvələr
Region to Match Help,Uyğunlaşan Region Yardım
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,"Bu seçim uyğunlaşdırdığınız kitabxananın tam spektrdən, yoxsa yalnız spektrin zirvələrindən ibarət olduğunu müəyyən edəcək."
Partner With Us,Bizimlə partnyor olun
Help us reach our goal of revolutionizing spectroscopy.,Spektroskopiyada inqilab etmək məqsədimizə çatmaqda bizə kömək edin.
Donate Cash,Nağd pul verin
Buy From Swag Store,Swag Mağazasından Alın
Contribute time,Vaxta töhfə verin
Revolutionizing,İnqilab
Thriving,İnkişaf edən
Maintaining,Baxım
Supporting,dəstəkləyən
Saving,Saxlanır
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,Open Specy-ni bir kliklə 100% dəqiq spektral identifikasiya və dərin spektral diaqnostika kimi son məqsədə yaxınlaşdıran ödənişli komanda
A single paid staff person working to update and build the community and the tool,Cəmiyyəti və aləti yeniləmək və qurmaq üçün işləyən tək maaşlı işçi
Maintenance costs and minor ad-hoc updates and bug fixes,Baxım xərcləri və kiçik ad-hoc yeniləmələr və səhv düzəlişləri
Keeping the app online and essential maintenance,Proqramı onlayn saxlamaq və əsas texniki xidmət
Long term storage only,Yalnız uzunmüddətli saxlama
Sharing Metadata,Metadata mübadiləsi
Thank you for sharing your data!,Məlumatlarınızı paylaşdığınız üçün təşəkkür edirik!
Your data will soon be available at https://osf.io/stmv4/,Məlumatlarınız tezliklə https://osf.io/stmv4/ ünvanında mövcud olacaq
Something went wrong :-(,Nəsə xəta baş verdi :-(
Data type not supported!,Məlumat növü dəstəklənmir!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","Yüklənmiş məlumat növü hazırda dəstəklənmir; zəhmət olmasa
                      təfərrüatlar üçün alət ipuçlarını və ""Haqqında"" sekmesini yoxlayın."
Sharing Spectrum to Community Library,Spektrin İcma Kitabxanası ilə Paylaşılması
Reading Spectrum,Oxuma spektri
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","Mətn/csv faylı yükləmisinizsə, əmin olun
           sütunlar ədədi və 'dalğa nömrəsi' adlı və
           ""intensivlik""."
absorbance intensity [-],absorbsiya intensivliyi [-]
wavenumber [cm<sup>-1</sup>],dalğa nömrəsi [sm<sup>-1</sup>]
Analyzing Spectrum,Spektrin təhlili
Finding Match,Uyğunluğun tapılması
Making Plot,Süjetin qurulması
Material,Material
Pearson's r,Pearson r
Organization,Təşkilat
Selectable Matches,Seçilə bilən uyğunluqlar
Donations,İanələr
Operation Costs,Əməliyyat xərcləri
Selection Metadata,Seçim metadata
