en,hi
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","स्पेक्ट्रा साझा करने के लिए अपलोड फ़ाइल टैब पर एक फ़ाइल अपलोड करें। यदि आपने साझा करना चुना है तो आपके स्पेक्ट्रा की एक प्रति समुदाय को भेजी जाएगी
           ओपन साइंस फ्रेमवर्क पर डेटा वेयरहाउस। अतिरिक्त मेटाडेटा जोड़ने के लिए,
           उपलब्ध मेटाडेटा फ़ील्ड भरें और - डेटा साझा करें- पर क्लिक करें।
           स्पेक्ट्रा फ़ाइल जिसे आपने अपनी प्रतिक्रियाओं के साथ अपलोड किया था, कॉपी की जाएगी
           नीचे दिए गए लिंक पर मेटाडेटा-सबफ़ोल्डर के साथ। सभी साझा डेटा होल्ड
           एक क्रिएटिव कॉमन्स एट्रिब्यूशन लाइसेंस 4.0।"
Community Data Warehouse,सामुदायिक डेटा वेयरहाउस
Tool Validation,उपकरण सत्यापन
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","इस उपकरण के सभी मापदंडों का परीक्षण यह प्रमाणित करने के लिए किया जाता है कि
           उपकरण यथासंभव सर्वोत्तम कार्य कर रहा है और सर्वोत्तम डिफ़ॉल्ट का निर्धारण करता है
           उपयोग करने के लिए पैरामीटर। हमारी वर्तमान सत्यापन प्रक्रिया में सुधार करना शामिल है
           संदर्भ पुस्तकालयों में डुप्लिकेट प्रविष्टियां, स्पेक्ट्रा की जांच
           मेटाडेटा जो वर्णक्रमीय पुस्तकालय में नहीं है, और डिफ़ॉल्ट सुनिश्चित करता है
           पैरामीटर पहले मैच में 80% से अधिक सटीकता प्रदान करते हैं।"
Detailed Validation Procedure,विस्तृत सत्यापन प्रक्रिया
"Updates, Feature Requests, and Bug Reports","अपडेट, फ़ीचर अनुरोध और बग रिपोर्ट"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,हम अपने कोड पर संस्करण नियंत्रण का उपयोग करके सभी अपडेट का ट्रैक रखते हैं। सुविधाओं का अनुरोध किया जा सकता है और गिटहब पर बग की सूचना दी जा सकती है।
Stay up to date!,अद्यतन रहना!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,ट्विटर @OpenSpecy पर हमें फॉलो करें। ई-मेल wincowger@gmail.com मेलिंग सूची में जोड़ा जाना है।
Citation,उद्धरण
Useful Links,उपयोगी कड़ियां
Free FTIR Software: siMPle microplastic IR spectral identification software,मुफ्त एफटीआईआर सॉफ्टवेयर: सरल माइक्रोप्लास्टिक आईआर वर्णक्रमीय पहचान सॉफ्टवेयर
Free Spectroscopy Learning Academy from ThermoFisher,थर्मोफिशर से फ्री स्पेक्ट्रोस्कोपी लर्निंग अकादमी
Free Optical Microscopy Learning Resource from Florida State University,फ़्लोरिडा स्टेट यूनिवर्सिटी से मुफ़्त ऑप्टिकल माइक्रोस्कोपी लर्निंग रिसोर्स
Free desktop application for spectral analysis and links to reference databases.,वर्णक्रमीय विश्लेषण और संदर्भ डेटाबेस के लिंक के लिए मुफ्त डेस्कटॉप एप्लिकेशन।
Terms And Conditions,नियम और शर्तें
Privacy Policy,गोपनीयता नीति
Upload File,फ़ाइल अपलोड करें
"Upload, View, and Share Spectra","स्पेक्ट्रा अपलोड करें, देखें और साझा करें"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File",".csv (पसंदीदा), .asp, .jdx, .spc, .spa, या .0 फ़ाइल चुनें"
Share Your Data?,अपना डेटा साझा करें?
Share Help,सहायता साझा करें
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","यदि आप चाहें, तो हम आपके अपलोड किए गए स्पेक्ट्रा और सेटिंग्स को स्पेक्ट्रोस्कोपी समुदाय के साथ साझा करते हैं।
           डिफ़ॉल्ट रूप से, सभी डेटा को Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0) के तहत लाइसेंस दिया जाएगा।
           अपलोड किया गया स्पेक्ट्रा यहां दिखाई देगा: https://osf.io/rjg3c"
Upload Help,सहायता अपलोड करें
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","रमन या FTIR स्पेक्ट्रम फ़ाइलें csv, jdx, spc, या स्पा के रूप में अपलोड करें। एक csv फ़ाइल को प्राथमिकता दी जाती है। यदि कोई csv है, तो फ़ाइल में (1/सेमी) की इकाइयों में 'वेवनंबर' लेबल वाला एक कॉलम और अवशोषण इकाइयों में 'तीव्रता' लेबल वाला दूसरा कॉलम होना चाहिए।
            यदि jdx, spc, स्पा, या 0 फ़ाइल को वेवनंबर (1/cm) के साथ एकल अवशोषक स्पेक्ट्रम होना चाहिए। ये फ़ाइलें हमेशा पूरी तरह से काम नहीं करेंगी क्योंकि इन्हें पढ़ना मुश्किल है इसलिए इन्हें किसी अन्य सॉफ़्टवेयर में दोबारा जांचें।
            रमन स्पेक्ट्रम का नमूना डाउनलोड करने के लिए 'टेस्ट डेटा' बटन दबाएं।"
Intensity Adjustment,तीव्रता समायोजन
None,कोई नहीं
Transmittance,संचरण
Reflectance,परावर्तन
Intensity Correction Help,तीव्रता सुधार सहायता
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","यदि अपलोड किया गया स्पेक्ट्रम अवशोषण इकाइयों में नहीं है,
           कन्वर्ट करने के लिए इकाइयों को निर्दिष्ट करने के लिए इस इनपुट का उपयोग करें। ओपन स्पीशी कैन
           का उपयोग कर अवशोषण इकाइयों को परावर्तन या संप्रेषण स्पेक्ट्रा समायोजित करें
           अपलोड फ़ाइल टैब में यह ड्रॉप डाउन। पिछले सभी टैब
           मान लें कि डेटा अवशोषण इकाइयों में है, इसलिए आपको बनाना चाहिए
           यदि आवश्यक हो तो जारी रखने से पहले सुधार। संप्रेषण समायोजन
           log10(1/T) गणना का उपयोग करता है जो सिस्टम के लिए सही नहीं है
           और कण विशेषताओं। परावर्तन समायोजन का उपयोग करता है
           कुबेल्का-मंक समीकरण (1-R)2/(2*R)। हम मानते हैं कि परावर्तन
           1-100 से प्रतिशत के रूप में स्वरूपित किया जाता है और पहले तीव्रता को 100 . से विभाजित करके ठीक किया जाता है
           ताकि यह समीकरण द्वारा अपेक्षित रूप में फिट हो जाए।
           यदि कोई नहीं चुना गया है, तो ओपन स्पीशी मानती है कि अपलोड किया गया डेटा है
           एक अवशोषण स्पेक्ट्रम।"
Sample File,नमूना फ़ाइल
Sample Data Help,नमूना डेटा सहायता
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,यह एक नमूना स्पेक्ट्रम है जिसे टूल पर अपलोड किया जा सकता है ताकि इसका परीक्षण किया जा सके और यह समझ सके कि सीएसवी फाइलों को कैसे प्रारूपित किया जाना चाहिए।
Metadata Input,मेटाडेटा इनपुट
Metadata Help,मेटाडेटा सहायता
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","यदि आप यहां मेटाडेटा भरते हैं और शेयर का चयन करते हैं तो हम किसी भी अपलोड किए गए स्पेक्ट्रा और मेटाडेटा को स्पेक्ट्रोस्कोपी समुदाय के साथ साझा करते हैं।
           अपलोड किया गया स्पेक्ट्रा और मेटाडेटा यहां दिखाई देगा: https://osf.io/rjg3c"
Share Metadata,मेटाडेटा साझा करें
Upload some data to get started...,आरंभ करने के लिए कुछ डेटा अपलोड करें...
Preprocess Spectrum,प्रीप्रोसेस स्पेक्ट्रम
"Smooth, Baseline Correct, and Download Processed Spectra","चिकना, आधारभूत सही, और संसाधित स्पेक्ट्रा डाउनलोड करें"
Download (recommended),डाउनलोड करें (अनुशंसित)
Download Help,सहायता डाउनलोड करें
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,कुछ उपयोगकर्ता अपने संसाधित स्पेक्ट्रम की एक प्रति सहेजना चाह सकते हैं। यह बटन संसाधित स्पेक्ट्रम को एक csv फ़ाइल के रूप में डाउनलोड करता है।
Smoothing,चौरसाई
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,यह स्मूथ डेटा के शोर अनुपात के संकेत को बढ़ा सकता है और 12 चल रहे डेटा बिंदुओं और निर्दिष्ट बहुपद के साथ एक Savitzky-Golay फ़िल्टर का उपयोग करता है।
Smoothing Polynomial,चौरसाई बहुपद
Baseline Correction,आधारभूत सुधार
Baseline Correction Help,आधारभूत सुधार सहायता
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","इस आधारभूत सुधार दिनचर्या में आधारभूत सुधार के लिए दो विकल्प हैं, 1) बहुपद imodpolyfit प्रक्रिया वर्णक्रम के पूरे क्षेत्र में बहुपद फिट का उपयोग करके स्पेक्ट्रम की आधार रेखा को पुनरावृत्त रूप से खोजने के लिए। 2) प्लॉट पर लाइन टूल का उपयोग करके मैनुअल लाइनें खींची जा सकती हैं और सही बटन बेसलाइन को घटाने के लिए लाइनों का उपयोग करेगा।"
Baseline Correction Polynomial,आधारभूत सुधार बहुपद
Technique,तकनीक
Polynomial,बहुपद
Manual,हाथ से किया हुआ
Correct With Trace,ट्रेस के साथ सही
Reset,रीसेट
Range Selection,रेंज चयन
Spectral Range Help,स्पेक्ट्रल रेंज सहायता
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,स्पेक्ट्रल रेंज को प्रतिबंधित करने से स्पेक्ट्रम के उन क्षेत्रों को हटाया जा सकता है जहां कोई शिखर मौजूद नहीं है और मिलान में सुधार होता है
Maximum Spectral Range,अधिकतम वर्णक्रमीय रेंज
Minimum Spectral Range,न्यूनतम स्पेक्ट्रल रेंज
Identify Spectrum,स्पेक्ट्रम की पहचान करें
Identify Spectrum Using the Reference Library,संदर्भ पुस्तकालय का उपयोग करके स्पेक्ट्रम की पहचान करें
Raman,रमन
FTIR,एफटीआईआर
Spectra,स्पेक्ट्रा
Type,प्रकार
Spectrum Type Help,स्पेक्ट्रम प्रकार सहायता
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,यह चयन निर्धारित करेगा कि एफटीआईआर या रमन मिलान पुस्तकालय का उपयोग किया जाता है या नहीं। अपलोड किया गया स्पेक्ट्रम प्रकार चुनें।
Analysis,विश्लेषण
Processed,प्रसंस्कृत
Uploaded,अपलोड किए गए
Spectrum to Analyze Help,मदद का विश्लेषण करने के लिए स्पेक्ट्रम
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,यह चयन निर्धारित करेगा कि अपलोड किया गया (प्रोसेस्ड नहीं) स्पेक्ट्रम या प्रोसेसिंग टैब का उपयोग करके संसाधित स्पेक्ट्रम स्पेक्ट्रम मैच में उपयोग किया जाता है या नहीं।
Region,क्षेत्र
Full,भरा हुआ
Peaks,चोटियों
Region to Match Help,मिलान करने के लिए क्षेत्र सहायता
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,"यह चयन निर्धारित करेगा कि आप जिस पुस्तकालय से मिलान कर रहे हैं, उसमें पूर्ण स्पेक्ट्रम है या केवल स्पेक्ट्रम शिखर हैं।"
Partner With Us,हमारे साथ भागीदार
Help us reach our goal of revolutionizing spectroscopy.,स्पेक्ट्रोस्कोपी में क्रांति लाने के हमारे लक्ष्य तक पहुँचने में हमारी मदद करें।
Donate Cash,नकद दान करें
Buy From Swag Store,स्वैग स्टोर से खरीदें
Contribute time,योगदान समय
Revolutionizing,क्रांति
Thriving,संपन्न
Maintaining,को बनाए रखने
Supporting,सहायक
Saving,सहेजा जा रहा है
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,एक भुगतान टीम जो एक क्लिक के साथ ओपन स्पीशी को 100% सटीक वर्णक्रमीय पहचान और गहन वर्णक्रमीय निदान के अंतिम लक्ष्य के करीब धकेल रही है
A single paid staff person working to update and build the community and the tool,समुदाय और उपकरण को अद्यतन करने और बनाने के लिए काम करने वाला एक एकल भुगतान वाला कर्मचारी
Maintenance costs and minor ad-hoc updates and bug fixes,रखरखाव लागत और मामूली तदर्थ अद्यतन और बग समाधान
Keeping the app online and essential maintenance,ऐप को ऑनलाइन रखना और आवश्यक रखरखाव
Long term storage only,केवल दीर्घकालिक भंडारण
Sharing Metadata,मेटाडेटा साझा करना
Thank you for sharing your data!,अपना डेटा साझा करने के लिए धन्यवाद!
Your data will soon be available at https://osf.io/stmv4/,आपका डेटा जल्द ही https://osf.io/stmv4/ पर उपलब्ध होगा
Something went wrong :-(,कुछ गलत हो गया :-(
Data type not supported!,डेटा प्रकार समर्थित नहीं है!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","अपलोड किया गया डेटा प्रकार वर्तमान में समर्थित नहीं है; कृपया
                      विवरण के लिए टूलटिप्स और 'अबाउट' टैब देखें।"
Sharing Spectrum to Community Library,सामुदायिक पुस्तकालय में स्पेक्ट्रम साझा करना
Reading Spectrum,पढ़ना स्पेक्ट्रम
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","यदि आपने कोई टेक्स्ट/सीएसवी फ़ाइल अपलोड की है, तो सुनिश्चित करें कि
           कॉलम संख्यात्मक होते हैं और उनका नाम 'वेवनंबर' होता है और
           'तीव्रता'।"
absorbance intensity [-],अवशोषण तीव्रता [-]
wavenumber [cm<sup>-1</sup>],वेवनंबर [सेमी<sup>-1</sup>]
Analyzing Spectrum,स्पेक्ट्रम का विश्लेषण
Finding Match,मैच ढूँढना
Making Plot,प्लॉट बनाना
Material,सामग्री
Pearson's r,पियर्सन की r
Organization,संगठन
Selectable Matches,चयन योग्य मैच
Donations,दान
Operation Costs,संचालन लागत
Selection Metadata,चयन मेटाडेटा
