en,ha
Transmittance,watsawa
Reflectance,Tunani
Intensity Correction Help,Taimakon Gyara Ƙarfi
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","Idan bakan da aka ɗora ba a cikin raka'o'in sha,
           Yi amfani da wannan shigarwar don tantance raka'a don canzawa daga.Open Specy iya
           daidaita tunani ko watsa bakan zuwa raka'a Absorbance ta amfani da
           wannan sauke saukar a cikin upload fayil tab. Duk shafukan da suka gabata
           ɗauka cewa bayanai ne a cikin absorbance raka'a don haka ya kamata ka yi da
           gyara kafin a ci gaba idan an buƙata. Daidaita watsawa
           yana amfani da lissafin log10 (1/T) wanda baya daidaita tsarin
           da halayen barbashi. Daidaitawar tunani yana amfani da
           Kubelka-Munk equation (1-R)2/(2*R). Muna ɗauka cewa tunani
           an tsara shi azaman kashi 1-100 kuma da farko gyara ƙarfin ta hanyar rarrabawa da 100
           ta yadda ya dace da fom da ake tsammani ta lissafin.
           Idan ba a zaɓi ɗaya ba, Open Specy yana ɗauka cewa bayanan da aka ɗora shine
           abin sha bakan."
Sample File,Misalin Fayil
Sample Data Help,Misalin Taimakon Bayanai
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,Wannan samfurin bakan ne wanda za'a iya loda shi zuwa kayan aiki don gwada shi da fahimtar yadda ya kamata a tsara fayilolin csv.
Metadata Input,Shigar da metadata
Metadata Help,Taimakon Metadata
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","Muna raba kowane sikeli da metadata da aka ɗora tare da al'ummar spectroscopy idan kun cika metadata anan kuma zaɓi raba.
           Abubuwan da aka ɗorawa da metadata za su bayyana a nan: https://osf.io/rjg3c"
Share Metadata,Raba metadata
Upload some data to get started...,Loda wasu bayanai don farawa...
Preprocess Spectrum,Preprocess Spectrum
"Smooth, Baseline Correct, and Download Processed Spectra","Smooth, Baseline Daidai, da Zazzage Spectra Sarrafa"
Download (recommended),Sauke (an bada shawarar)
Download Help,Zazzage Taimako
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,Wasu masu amfani na iya son ajiye kwafin bakan su da aka sarrafa. Wannan maɓallin yana zazzage nau'in bakan da aka sarrafa azaman fayil csv.
Smoothing,Lallashi
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,Wannan mai santsi zai iya haɓaka sigina zuwa rabon amo na bayanan kuma yana amfani da matatar Savitzky-Golay tare da maki 12 masu gudana da bayanai da aka ƙayyade.
Smoothing Polynomial,Polynomial mai laushi
Baseline Correction,Gyaran tushe
Baseline Correction Help,Taimakon Gyaran Baseline
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","Wannan gyare-gyare na yau da kullun yana da zaɓuɓɓuka guda biyu don gyaran tushe, 1) Hanyar imodpolyfit na yawan ɗabi'a don nemo tushen bakan ta hanyar amfani da nau'in nau'in nau'in nau'in nau'in nau'in nau'in nau'in nau'in nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i nau'i). 2) Za a iya zana layukan hannu ta amfani da kayan aikin layi akan makircin kuma maɓallin madaidaicin zai yi amfani da layin don cire tushen tushe."
Baseline Correction Polynomial,Ƙididdigar Ƙididdigar Ƙirar Ƙarfafawa
Technique,Dabaru
Polynomial,Polynomial
Manual,Manual
Correct With Trace,Daidai Tare Da Trace
Reset,Sake saitin
Range Selection,Zaɓin Rage
Spectral Range Help,Taimakon kewayon Spectral
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,Ƙuntata kewayon bakan na iya cire yankuna na bakan inda babu kololuwa da inganta daidaitawa
Maximum Spectral Range,Matsakaicin Ragewar Spectral
Minimum Spectral Range,Mafi qarancin kewayon Spectral
Identify Spectrum,Gane Spectrum
Identify Spectrum Using the Reference Library,Gano Spectrum Amfani da Laburaren Magana
Raman,Raman
FTIR,FTIR
Spectra,Spectra
Type,Nau'in
Spectrum Type Help,Taimakon Nau'in Spectrum
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,Wannan zaɓin zai ƙayyade ko an yi amfani da ɗakin karatu na FTIR ko Raman. Zaɓi nau'in bakan da aka ɗora.
Analysis,Nazari
Processed,An sarrafa
Uploaded,An ɗora
Spectrum to Analyze Help,Spectrum don Binciken Taimako
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,Wannan zaɓin zai ƙayyade ko an yi amfani da bakan da aka ɗora (ba a sarrafa shi) ko kuma sarrafa bakan da aka sarrafa ta amfani da shafin sarrafawa a cikin wasan bakan.
Region,Yanki
Full,Cikakkun
Peaks,Kololuwa
Region to Match Help,Yanki don Daidaita Taimako
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,Wannan zaɓin zai ƙayyade ko ɗakin karatu da kuke daidaitawa ya ƙunshi cikakken bakan ko kololuwar bakan kawai.
Partner With Us,Abokin Hulɗa Da Mu
Help us reach our goal of revolutionizing spectroscopy.,Taimaka mana cimma burin mu na juyin juya hali.
Donate Cash,Ba da Kuɗi
Buy From Swag Store,Sayi Daga Shagon Swag
Contribute time,Ba da gudummawa lokaci
Revolutionizing,Juyin juya hali
Thriving,Bugawa
Maintaining,Kulawa
Supporting,Taimakawa
Saving,Ajiye
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,Tawagar da aka biya wacce ke tura Open Specy kusa da manufa ta ƙarshe na 100% ingantacciyar ganewar sifofi da zurfin bincike mai zurfi tare da dannawa ɗaya.
A single paid staff person working to update and build the community and the tool,Ma'aikaci ɗaya mai biyan kuɗi yana aiki don sabuntawa da gina al'umma da kayan aiki
Maintenance costs and minor ad-hoc updates and bug fixes,Kudin kulawa da ƙananan sabuntawar ad-hoc da gyaran kwaro
Keeping the app online and essential maintenance,Tsayar da ƙa'idar akan layi da mahimmancin kulawa
Long term storage only,Adana dogon lokaci kawai
Sharing Metadata,Raba metadata
Thank you for sharing your data!,Na gode don raba bayanan ku!
Your data will soon be available at https://osf.io/stmv4/,Ba da daɗewa ba za a sami bayanan ku a https://osf.io/stmv4/
Something went wrong :-(,Wani abu ya faru:-(
Data type not supported!,Ba a tallafawa nau'in bayanai!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","Nau'in bayanan da aka ɗora ba a tallafawa a halin yanzu; Don Allah
                      duba Tooltips da 'Game da' tab don cikakkun bayanai."
Sharing Spectrum to Community Library,Raba Spectrum zuwa Laburaren Al'umma
Reading Spectrum,Karatun Spectrum
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","Idan kun ɗora fayil ɗin rubutu/csv, tabbatar da cewa
           ginshiƙai na lamba ne kuma masu suna 'wavenumber' da
           'tsanani'."
absorbance intensity [-],tsananin sha [-]
wavenumber [cm<sup>-1</sup>],lambar igiyar ruwa [cm<sup>-1</sup>]
Analyzing Spectrum,Nazarin Spectrum
Finding Match,Neman Daidaitawa
Making Plot,Yin makirci
Material,Kayan abu
Pearson's r,Pearson r
Organization,Ƙungiya
Selectable Matches,Matches Zaɓuɓɓuka
Donations,Kyauta
Operation Costs,Farashin Aiki
Selection Metadata,Zabi Metadata
