en,mt
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,Ir-restrizzjoni tal-firxa spettrali tista' tneħħi reġjuni tal-ispettru fejn ma jeżistu l-ebda quċċata u ttejjeb it-tqabbil
Maximum Spectral Range,Medda Spettrali Massima
Minimum Spectral Range,Medda Spettrali Minima
Identify Spectrum,Identifika l-Ispettru
Identify Spectrum Using the Reference Library,Identifika l-Ispettru billi tuża l-Librerija ta' Referenza
Raman,Raman
FTIR,FTIR
Spectra,Spettri
Type,Tip
Spectrum Type Help,Għajnuna tat-Tip tal-Ispettru
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,Din l-għażla tiddetermina jekk tintużax il-librerija ta' tqabbil FTIR jew Raman. Agħżel it-tip ta' spettru li ttella'.
Analysis,Analiżi
Processed,Ipproċessat
Uploaded,Uploaded
Spectrum to Analyze Help,Spettru biex janalizza Għajnuna
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,Din l-għażla tiddetermina jekk l-ispettru mtella’ (mhux ipproċessat) jew l-ispettru pproċessat bl-użu tat-tab tal-ipproċessar huwiex użat fit-taqbila tal-ispettru.
Region,Reġjun
Full,Sħiħ
Peaks,Qċaċet
Region to Match Help,Reġjun biex Tqabbel Għajnuna
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,Din l-għażla se tiddetermina jekk il-librerija li qed tqabbel ma tikkonsistix mill-ispettru sħiħ jew biss il-qċaċet tal-ispettru.
Partner With Us,Imsieħeb magħna
Help us reach our goal of revolutionizing spectroscopy.,Għinna nilħqu l-għan tagħna li nirrivoluzzjonaw l-ispettroskopija.
Donate Cash,Agħti Donazzjoni Flus
Buy From Swag Store,Ixtri Minn Swag Store
Contribute time,Ikkontribwixxi ħin
Revolutionizing,Jirrivoluzzjonaw
Thriving,B'saħħitha
Maintaining,Żamma
Supporting,Appoġġ
Saving,Iffrankar
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,Tim imħallas li qed jimbotta lil Open Specy eqreb lejn l-għan aħħari ta’ identifikazzjoni spettrali preċiża 100% u dijanjostika spettrali profonda bi klikk waħda
A single paid staff person working to update and build the community and the tool,Persuna waħda tal-persunal imħallas li taħdem biex taġġorna u tibni l-komunità u l-għodda
Maintenance costs and minor ad-hoc updates and bug fixes,Spejjeż tal-manutenzjoni u aġġornamenti ad-hoc minuri u bug fixes
Keeping the app online and essential maintenance,Żamma tal-app online u manutenzjoni essenzjali
Long term storage only,Ħażna fit-tul biss
Sharing Metadata,Qsim ta' Metadata
Thank you for sharing your data!,Grazzi talli qsamt id-data tiegħek!
Your data will soon be available at https://osf.io/stmv4/,Id-dejta tiegħek dalwaqt tkun disponibbli fuq https://osf.io/stmv4/
Something went wrong :-(,Xi ħaġa marret ħażin :-(
Data type not supported!,Tip ta' dejta mhux appoġġjat!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","It-tip ta' dejta mtella' bħalissa mhux appoġġjat; jekk jogħġbok
                      iċċekkja l-għodda u t-tab 'Dwar' għad-dettalji."
Sharing Spectrum to Community Library,Qsim tal-Ispettru mal-Librerija tal-Komunità
Reading Spectrum,Qari Spettru
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","Jekk tellajt fajl test/csv, kun żgur li l-
           kolonni huma numeriċi u jisimha 'wavenumber' u
           'intensità'."
absorbance intensity [-],intensità ta' assorbiment [-]
wavenumber [cm<sup>-1</sup>],numru tal-mewġ [ċm<sup>-1</sup>]
Analyzing Spectrum,Analiżi tal-Ispettru
Finding Match,Tfittxija Taqbila
Making Plot,Nagħmlu Plot
Material,Materjal
Pearson's r,Pearson's r
Organization,Organizzazzjoni
Selectable Matches,Logħbiet li jistgħu jintgħażlu
Donations,Donazzjonijiet
Operation Costs,Spejjeż ta' Operazzjoni
Selection Metadata,Metadata tal-Għażla
