en,gl
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,Facemos un seguimento de todas as actualizacións mediante o control de versións do noso código. Pódense solicitar funcións e informar de erros en GitHub.
Stay up to date!,Mantente ao día!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,Síguenos en Twitter @OpenSpecy. Envíe un correo electrónico a wincowger@gmail.com para engadirse á lista de correo.
Citation,Citación
Useful Links,Ligazóns útiles
Free FTIR Software: siMPle microplastic IR spectral identification software,Software FTIR gratuíto: software de identificación espectral IR de microplástico sinxelo
Free Spectroscopy Learning Academy from ThermoFisher,Academia gratuíta de aprendizaxe de espectroscopia de ThermoFisher
Free Optical Microscopy Learning Resource from Florida State University,Recursos gratuítos de aprendizaxe de microscopía óptica da Universidade Estatal de Florida
Free desktop application for spectral analysis and links to reference databases.,Aplicación de escritorio gratuíta para análise espectral e ligazóns a bases de datos de referencia.
Terms And Conditions,Termos e condicións
Privacy Policy,Política de Privacidade
Upload File,Cargar ficheiro
"Upload, View, and Share Spectra","Cargar, ver e compartir espectros"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File","Escolla ficheiro .csv (preferido), .asp, .jdx, .spc, .spa ou .0"
Share Your Data?,Compartir os teus datos?
Share Help,Compartir Axuda
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","Se queres, compartimos os teus espectros e configuracións cargados coa comunidade de espectroscopias.
           Por defecto, todos os datos estarán baixo licenza Creative Commons Recoñecemento-NonComercial 4.0 Internacional (CC BY-NC 4.0).
           Os espectros cargados aparecerán aquí: https://osf.io/rjg3c"
Upload Help,Cargar Axuda
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","Carga ficheiros de espectro Raman ou FTIR como csv, jdx, spc ou spa. É preferible un ficheiro csv. Se é un csv, o ficheiro debe conter unha columna etiquetada como ""número de onda"" en unidades de (1/cm) e outra columna etiquetada como ""intensidade"" en unidades de absorbancia.
            Se jdx, spc, spa ou 0, o ficheiro debería ser un único espectro de absorbancia cun número de onda en (1/cm). Estes ficheiros non sempre funcionarán perfectamente porque son complicados de ler, polo que comprobeos noutro software.
            Preme o botón ""Datos de proba"" para descargar unha mostra do espectro Raman."
Intensity Adjustment,Axuste de intensidade
None,Ningún
Transmittance,Transmisión
Reflectance,Reflectancia
Intensity Correction Help,Axuda de corrección de intensidade
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","Se o espectro cargado non está en unidades de absorbancia,
           use esta entrada para especificar as unidades para converter.Open Specy can
           axustar os espectros de reflectancia ou transmitancia ás unidades de absorbancia usando
           este menú despregable na pestana de carga do ficheiro. Todas as pestanas anteriores
           supoña que os datos están en unidades de absorbancia polo que debería facer o
           corrección antes de continuar se é necesario. Axuste de transmitancia
           usa o cálculo log10(1/T) que non corrixe para o sistema
           e as características das partículas. O axuste de reflectancia utiliza o
           Ecuación de Kubelka-Munk (1-R)2/(2*R). Supoñemos que a reflectancia
           está formateado como porcentaxe de 1 a 100 e primeiro corrixe a intensidade dividindo por 100
           para que se axuste á forma esperada pola ecuación.
           Se non se selecciona ningunha, Open Specy asume que os datos cargados son
           un espectro de absorbancia."
Sample File,Ficheiro de mostra
Sample Data Help,Axuda de datos de mostra
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,Este é un espectro de mostra que se pode cargar na ferramenta para probalo e comprender como se deben formatar os ficheiros csv.
Metadata Input,Entrada de metadatos
Metadata Help,Axuda de metadatos
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","Compartimos todos os espectros e metadatos cargados coa comunidade de espectroscopia se completas os metadatos aquí e seleccionas compartir.
           Os espectros e metadatos cargados aparecerán aquí: https://osf.io/rjg3c"
Share Metadata,Compartir metadatos
Upload some data to get started...,Carga algúns datos para comezar...
Preprocess Spectrum,Espectro de preprocesos
"Smooth, Baseline Correct, and Download Processed Spectra","Smooth, Baseline Correct e Descarga de espectros procesados"
Download (recommended),Descargar (recomendado)
Download Help,Descargar Axuda
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,Algúns usuarios poden querer gardar unha copia do seu espectro procesado. Este botón descarga o espectro procesado como ficheiro csv.
Smoothing,Suavizado
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,Este suavizador pode mellorar a relación sinal/ruído dos datos e utiliza un filtro Savitzky-Golay con 12 puntos de datos en execución e o polinomio especificado.
Smoothing Polynomial,Polinomio de suavización
Baseline Correction,Corrección de referencia
Baseline Correction Help,Axuda de corrección de referencia
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","Esta rutina de corrección da liña base ten dúas opcións para a corrección da liña base, 1) o procedemento imodpolyfit polinómico para atopar de forma iterativa a liña base do espectro usando un axuste polinómico a toda a rexión do espectro. 2) Pódense debuxar liñas manuais usando a ferramenta de liñas do gráfico e o botón correcto usará as liñas para restar a liña base."
Baseline Correction Polynomial,Polinomio de corrección de referencia
Technique,Técnica
Polynomial,Polinomio
Manual,Manual
Correct With Trace,Corrixir con Trace
Reset,Restablecer
Range Selection,Selección de rango
Spectral Range Help,Axuda do intervalo espectral
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,A restrición do rango espectral pode eliminar rexións do espectro onde non existen picos e mellorar a correspondencia
Maximum Spectral Range,Rango espectral máximo
Minimum Spectral Range,Rango espectral mínimo
Identify Spectrum,Identificación do espectro
Identify Spectrum Using the Reference Library,Identifica espectro usando a biblioteca de referencia
Raman,Raman
FTIR,FTIR
Spectra,Espectros
Type,Tipo
Spectrum Type Help,Axuda do tipo de espectro
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,Esta selección determinará se se utiliza a biblioteca de coincidencias FTIR ou Raman. Escolla o tipo de espectro que se cargou.
Analysis,Análise
Processed,Procesado
Uploaded,Cargado
Spectrum to Analyze Help,Axuda de espectro para analizar
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,Esta selección determinará se o espectro cargado (non procesado) ou o espectro procesado mediante a pestana de procesamento se utiliza na coincidencia do espectro.
Region,Rexión
Full,Cheo
Peaks,Picos
Region to Match Help,Axuda da rexión para coincidir
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,Esta selección determinará se a biblioteca coa que está a coincidir consta do espectro completo ou só dos picos do espectro.
Partner With Us,Asóciase con nós
Help us reach our goal of revolutionizing spectroscopy.,Axúdanos a alcanzar o noso obxectivo de revolucionar a espectroscopia.
Donate Cash,Doa en efectivo
Buy From Swag Store,Compre na tenda Swag
Contribute time,Aporta tempo
Revolutionizing,Revolucionando
Thriving,Prosperando
Maintaining,Mantendo
Supporting,Apoiando
Saving,Gardando
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,Un equipo de pago que está achegando a Open Specy ao obxectivo final dunha identificación espectral 100 % precisa e un diagnóstico espectral profundo cun só clic
A single paid staff person working to update and build the community and the tool,Un único persoal remunerado que traballa para actualizar e construír a comunidade e a ferramenta
Maintenance costs and minor ad-hoc updates and bug fixes,Custos de mantemento e actualizacións ad hoc menores e correccións de erros
Keeping the app online and essential maintenance,Manter a aplicación en liña e mantemento esencial
Long term storage only,Só almacenamento a longo prazo
Sharing Metadata,Compartir metadatos
Thank you for sharing your data!,Grazas por compartir os teus datos!
Your data will soon be available at https://osf.io/stmv4/,Os teus datos estarán dispoñibles en breve en https://osf.io/stmv4/
Something went wrong :-(,Algo fallou :-(
Data type not supported!,Non se admite o tipo de datos.
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","Actualmente non se admite o tipo de datos cargado; por favor
                      consulte as informacións sobre ferramentas e a pestana ""Acerca de"" para obter máis información."
Sharing Spectrum to Community Library,Compartir espectro coa biblioteca comunitaria
Reading Spectrum,Espectro de lectura
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","Se cargaches un ficheiro de texto/csv, asegúrate de que o
           as columnas son numéricas e chámanse ""número de onda"" e
           'intensidade'."
absorbance intensity [-],intensidade de absorbancia [-]
wavenumber [cm<sup>-1</sup>],número de onda [cm<sup>-1</sup>]
Analyzing Spectrum,Análise do espectro
Finding Match,Buscando coincidencia
Making Plot,Facendo Trama
Material,Material
Pearson's r,r de Pearson
Organization,Organización
Selectable Matches,Partidos seleccionables
Donations,Doazóns
Operation Costs,Custos de operación
Selection Metadata,Metadatos de selección
