en,mr
FTIR Reference Library,एफटीआयआर संदर्भ ग्रंथालय
Raman Reference Library Metadata,रमण संदर्भ ग्रंथालय मेटाडेटा
FTIR Reference Library Metadata,FTIR संदर्भ लायब्ररी मेटाडेटा
Contribute Spectra,स्पेक्ट्रा योगदान द्या
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","स्पेक्ट्रा शेअर करण्यासाठी अपलोड फाइल टॅबवर फाइल अपलोड करा. तुम्ही शेअर करा निवडल्यास तुमच्या स्पेक्ट्राची एक प्रत समुदायाला पाठवली जाईल
           ओपन सायन्स फ्रेमवर्कवर डेटा वेअरहाऊस. अतिरिक्त मेटाडेटा जोडण्यासाठी,
           उपलब्ध मेटाडेटा फील्ड भरा आणि -शेअर डेटा- वर क्लिक करा. द
           तुमच्या प्रतिसादांसह तुम्ही अपलोड केलेली स्पेक्ट्रा फाइल कॉपी केली जाईल
           खालील लिंकवर - मेटाडेटासह- सबफोल्डरवर. सर्व सामायिक डेटा धारण करतो
           क्रिएटिव्ह कॉमन्स विशेषता परवाना 4.0."
Community Data Warehouse,समुदाय डेटा कोठार
Tool Validation,साधन प्रमाणीकरण
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","हे प्रमाणित करण्यासाठी या टूलमधील सर्व पॅरामीटर्सची चाचणी केली जाते
           साधन शक्य तितके सर्वोत्तम कार्य करत आहे आणि सर्वोत्तम डीफॉल्ट निर्धारित करते
           वापरण्यासाठी पॅरामीटर्स. आमच्या सध्याच्या प्रमाणीकरण प्रक्रियेमध्ये सुधारणा समाविष्ट आहे
           संदर्भ ग्रंथालयांमध्ये डुप्लिकेट नोंदी, स्पेक्ट्रा इन तपासत आहे
           स्पेक्ट्रल लायब्ररीमध्ये नसलेला मेटाडेटा आणि डीफॉल्टची खात्री करून घेत आहे
           पॅरामीटर्स पहिल्या सामन्यात 80% पेक्षा जास्त अचूकता प्रदान करतात."
Detailed Validation Procedure,तपशीलवार प्रमाणीकरण प्रक्रिया
"Updates, Feature Requests, and Bug Reports","अद्यतने, वैशिष्ट्य विनंत्या आणि बग अहवाल"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,आम्ही आमच्या कोडवरील आवृत्ती नियंत्रण वापरून सर्व अद्यतनांचा मागोवा ठेवतो. GitHub वर वैशिष्ट्यांची विनंती केली जाऊ शकते आणि बगचा अहवाल दिला जाऊ शकतो.
Stay up to date!,अद्ययावत रहा!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,Twitter @OpenSpecy वर आमचे अनुसरण करा. मेलिंग लिस्टमध्ये जोडण्यासाठी wincowger@gmail.com वर ई-मेल करा.
Citation,उद्धरण
Useful Links,उपयुक्त दुवे
Free FTIR Software: siMPle microplastic IR spectral identification software,मोफत FTIR सॉफ्टवेअर: सिंपल मायक्रोप्लास्टिक आयआर स्पेक्ट्रल आयडेंटिफिकेशन सॉफ्टवेअर
Free Spectroscopy Learning Academy from ThermoFisher,थर्मोफिशरकडून मोफत स्पेक्ट्रोस्कोपी लर्निंग अकादमी
Free Optical Microscopy Learning Resource from Florida State University,फ्लोरिडा स्टेट युनिव्हर्सिटीकडून मोफत ऑप्टिकल मायक्रोस्कोपी शिक्षण संसाधन
Free desktop application for spectral analysis and links to reference databases.,स्पेक्ट्रल विश्लेषण आणि संदर्भ डेटाबेसच्या लिंक्ससाठी विनामूल्य डेस्कटॉप अनुप्रयोग.
Terms And Conditions,नियम आणि अटी
Privacy Policy,गोपनीयता धोरण
Upload File,अपलोड फाइल
"Upload, View, and Share Spectra","स्पेक्ट्रा अपलोड करा, पहा आणि सामायिक करा"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File",".csv (प्राधान्य), .asp, .jdx, .spc, .spa किंवा .0 फाइल निवडा"
Share Your Data?,तुमचा डेटा शेअर करायचा?
Share Help,मदत शेअर करा
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","तुम्हाला आवडत असल्यास, आम्ही तुमचा अपलोड केलेला स्पेक्ट्रा आणि सेटिंग्ज स्पेक्ट्रोस्कोपी समुदायासह शेअर करतो.
           डीफॉल्टनुसार, सर्व डेटा Creative Commons Attribution-Noncommercial 4.0 International (CC BY-NC 4.0) अंतर्गत परवानाकृत असेल.
           अपलोड केलेला स्पेक्ट्रा येथे दिसेल: https://osf.io/rjg3c"
Upload Help,मदत अपलोड करा
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","रमन किंवा FTIR स्पेक्ट्रम फाइल्स csv, jdx, spc किंवा spa म्हणून अपलोड करा. csv फाइलला प्राधान्य दिले जाते. csv असल्यास, फाइलमध्ये (1/सेमी) एककांमध्ये 'वेव्हनंबर' लेबल केलेला एक स्तंभ आणि शोषक युनिट्समध्ये 'तीव्रता' लेबल केलेला दुसरा स्तंभ असणे आवश्यक आहे.
            jdx, spc, spa किंवा 0 असल्यास फाईल (1/cm) मध्ये वेव्हनंबरसह एकल शोषक स्पेक्ट्रम असावी. या फायली नेहमी उत्तम प्रकारे कार्य करणार नाहीत कारण त्या वाचण्यास अवघड आहेत म्हणून त्यांना दुसर्‍या सॉफ्टवेअरमध्ये पुन्हा तपासा.
            नमुना रमन स्पेक्ट्रम डाउनलोड करण्यासाठी 'टेस्ट डेटा' बटण दाबा."
Intensity Adjustment,तीव्रता समायोजन
None,काहीही नाही
Transmittance,संप्रेषण
Reflectance,परावर्तन
Intensity Correction Help,तीव्रता सुधारणा मदत
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","अपलोड केलेले स्पेक्ट्रम शोषक युनिट्समध्ये नसल्यास,
           ओपन स्पेसी कॅन मधून रूपांतरित करण्यासाठी युनिट्स निर्दिष्ट करण्यासाठी या इनपुटचा वापर करा
           वापरून शोषक युनिट्समध्ये परावर्तक किंवा ट्रान्समिटन्स स्पेक्ट्रा समायोजित करा
           अपलोड फाइल टॅबमध्ये हे ड्रॉप डाउन. मागील सर्व टॅब
           असे गृहीत धरा की डेटा शोषक युनिट्समध्ये आहे म्हणून तुम्ही बनवावे
           आवश्यक असल्यास सुरू ठेवण्यापूर्वी सुधारणा. ट्रान्समिटन्स समायोजन
           log10(1/T) गणना वापरते जी सिस्टमसाठी योग्य नाही
           आणि कण वैशिष्ट्ये. परावर्तन समायोजन वापरते
           कुबेल्का-मुंक समीकरण (1-R)2/(2*R). आम्ही असे गृहीत धरतो की प्रतिबिंब
           1-100 पासून टक्केवारी म्हणून स्वरूपित केले आहे आणि प्रथम 100 ने भागून तीव्रता दुरुस्त करा
           जेणेकरून ते समीकरणाद्वारे अपेक्षित असलेल्या फॉर्ममध्ये बसेल.
           जर कोणीही निवडले नसेल, तर ओपन स्पेसी हा अपलोड केलेला डेटा आहे असे गृहीत धरते
           शोषक स्पेक्ट्रम."
Sample File,नमुना फाइल
Sample Data Help,नमुना डेटा मदत
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,हे एक नमुना स्पेक्ट्रम आहे ज्याची चाचणी करण्यासाठी आणि csv फाइल्स कशा स्वरूपित केल्या पाहिजेत हे समजून घेण्यासाठी टूलवर अपलोड केले जाऊ शकतात.
Metadata Input,मेटाडेटा इनपुट
Metadata Help,मेटाडेटा मदत
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","तुम्ही येथे मेटाडेटा भरल्यास आणि शेअर निवडल्यास आम्ही अपलोड केलेला कोणताही स्पेक्ट्रा आणि मेटाडेटा स्पेक्ट्रोस्कोपी समुदायासह शेअर करतो.
           अपलोड केलेला स्पेक्ट्रा आणि मेटाडेटा येथे दिसेल: https://osf.io/rjg3c"
Share Metadata,मेटाडेटा शेअर करा
Upload some data to get started...,प्रारंभ करण्यासाठी काही डेटा अपलोड करा...
Preprocess Spectrum,प्रीप्रोसेस स्पेक्ट्रम
"Smooth, Baseline Correct, and Download Processed Spectra","गुळगुळीत, बेसलाइन योग्य आणि प्रक्रिया केलेले स्पेक्ट्रा डाउनलोड करा"
Download (recommended),डाउनलोड (शिफारस केलेले)
Download Help,मदत डाउनलोड करा
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,काही वापरकर्ते त्यांच्या प्रक्रिया केलेल्या स्पेक्ट्रमची प्रत जतन करू शकतात. हे बटण प्रक्रिया केलेले स्पेक्ट्रम csv फाइल म्हणून डाउनलोड करते.
Smoothing,गुळगुळीत
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,हे स्मूदर डेटाचे सिग्नल ते नॉइज रेशो वाढवू शकते आणि 12 रनिंग डेटा पॉइंट्स आणि निर्दिष्ट केलेले बहुपदी असलेले Savitzky-Golay फिल्टर वापरते.
Smoothing Polynomial,गुळगुळीत बहुपदी
Baseline Correction,बेसलाइन सुधारणा
Baseline Correction Help,बेसलाइन सुधारणा मदत
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","या बेसलाइन सुधारणा दिनचर्यामध्ये बेसलाइन दुरुस्तीसाठी दोन पर्याय आहेत, 1) स्पेक्ट्राच्या संपूर्ण क्षेत्रामध्ये बहुपदी फिट वापरून स्पेक्ट्रमची बेसलाइन पुनरावृत्ती शोधण्यासाठी बहुपदी इमोडपॉलिफिट प्रक्रिया. २) प्लॉटवरील लाइन टूल वापरून मॅन्युअल रेषा काढता येतात आणि योग्य बटण बेसलाइन वजा करण्यासाठी रेषा वापरेल."
Baseline Correction Polynomial,बेसलाइन सुधारणा बहुपद
Technique,तंत्र
Polynomial,बहुपद
Manual,मॅन्युअल
Correct With Trace,ट्रेस सह बरोबर
Reset,रीसेट करा
Range Selection,श्रेणी निवड
Spectral Range Help,स्पेक्ट्रल रेंज मदत
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,वर्णक्रमीय श्रेणी मर्यादित केल्याने स्पेक्ट्रमचे क्षेत्र काढून टाकले जाऊ शकतात जेथे कोणतीही शिखरे अस्तित्वात नाहीत आणि जुळणी सुधारू शकतात
Maximum Spectral Range,कमाल स्पेक्ट्रल श्रेणी
Minimum Spectral Range,किमान स्पेक्ट्रल श्रेणी
Identify Spectrum,स्पेक्ट्रम ओळखा
Identify Spectrum Using the Reference Library,संदर्भ लायब्ररी वापरून स्पेक्ट्रम ओळखा
Raman,रमण
FTIR,FTIR
Spectra,स्पेक्ट्रा
Type,प्रकार
Spectrum Type Help,स्पेक्ट्रम प्रकार मदत
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,ही निवड FTIR किंवा रमन जुळणारी लायब्ररी वापरली जाते की नाही हे निर्धारित करेल. अपलोड केलेला स्पेक्ट्रम प्रकार निवडा.
Analysis,विश्लेषण
Processed,प्रक्रिया केली
Uploaded,अपलोड केले
Spectrum to Analyze Help,मदत विश्लेषण करण्यासाठी स्पेक्ट्रम
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,अपलोड केलेले (प्रक्रिया केलेले नाही) स्पेक्ट्रम किंवा प्रोसेसिंग टॅब वापरून प्रक्रिया केलेले स्पेक्ट्रम स्पेक्ट्रम जुळणीमध्ये वापरले जाते की नाही हे ही निवड निर्धारित करेल.
Region,प्रदेश
Full,पूर्ण
Peaks,शिखरे
Region to Match Help,मदत जुळण्यासाठी प्रदेश
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,ही निवड निर्धारित करेल की तुम्ही ज्या लायब्ररीशी जुळत आहात त्यात पूर्ण स्पेक्ट्रम आहे की फक्त स्पेक्ट्रम शिखरे आहेत.
Partner With Us,आमच्यासोबत भागीदार
Help us reach our goal of revolutionizing spectroscopy.,स्पेक्ट्रोस्कोपीमध्ये क्रांती करण्याचे आमचे ध्येय गाठण्यात आम्हाला मदत करा.
Donate Cash,रोख दान करा
Buy From Swag Store,स्वॅग स्टोअरमधून खरेदी करा
Contribute time,वेळ द्या
Revolutionizing,क्रांतीकारी
Thriving,भरभराट
Maintaining,राखणे
Supporting,सपोर्टिंग
Saving,बचत
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,100% अचूक स्पेक्ट्रल आयडेंटिफिकेशन आणि डीप स्पेक्ट्रल डायग्नोस्टिक्सच्या अंतिम ध्येयाच्या जवळ ओपन स्पेसीला आणणारी एक सशुल्क टीम एका क्लिकवर
A single paid staff person working to update and build the community and the tool,समुदाय आणि साधन अद्यतनित आणि तयार करण्यासाठी काम करणारी एकल पगारी कर्मचारी व्यक्ती
Maintenance costs and minor ad-hoc updates and bug fixes,देखभाल खर्च आणि किरकोळ तदर्थ अद्यतने आणि दोष निराकरणे
Keeping the app online and essential maintenance,अॅप ऑनलाइन ठेवणे आणि आवश्यक देखभाल करणे
Long term storage only,फक्त दीर्घकालीन स्टोरेज
Sharing Metadata,मेटाडेटा शेअर करत आहे
Thank you for sharing your data!,तुमचा डेटा शेअर केल्याबद्दल धन्यवाद!
Your data will soon be available at https://osf.io/stmv4/,तुमचा डेटा लवकरच https://osf.io/stmv4/ वर उपलब्ध होईल
Something went wrong :-(,काहीतरी चूक झाली :-(
Data type not supported!,डेटा प्रकार समर्थित नाही!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","अपलोड केलेला डेटा प्रकार सध्या समर्थित नाही; कृपया
                      तपशीलांसाठी टूलटिप आणि 'बद्दल' टॅब तपासा."
Sharing Spectrum to Community Library,समुदाय लायब्ररीमध्ये स्पेक्ट्रम शेअर करणे
Reading Spectrum,वाचन स्पेक्ट्रम
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","तुम्ही मजकूर/csv फाइल अपलोड केली असल्यास, याची खात्री करा
           स्तंभ संख्यात्मक आहेत आणि त्यांना 'wavenumber' आणि
           'तीव्रता'."
absorbance intensity [-],शोषक तीव्रता [-]
wavenumber [cm<sup>-1</sup>],तरंग संख्या [cm<sup>-1</sup>]
Analyzing Spectrum,स्पेक्ट्रमचे विश्लेषण
Finding Match,जुळणी शोधत आहे
Making Plot,प्लॉट बनवणे
Material,साहित्य
Pearson's r,पिअर्सनचे आर
Organization,संघटना
Selectable Matches,निवडण्यायोग्य सामने
Donations,देणग्या
Operation Costs,ऑपरेशन खर्च
Selection Metadata,निवड मेटाडेटा
