en,kk
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","Оны растау үшін осы құралдағы барлық параметрлер тексеріледі
           құрал мүмкіндігінше жақсы жұмыс істейді және ең жақсы әдепкі параметрді анықтайды
           қолданылатын параметрлер. Біздің ағымдағы валидация процедурасы түзетуді қамтиды
           анықтамалық кітапханалардағы қайталанатын жазбалар, спектрлерді тексеру
           спектрлік кітапханада жоқ метадеректер және әдепкі мәнді қамтамасыз ету
           параметрлер бірінші сәйкестікте 80%-дан астам дәлдікті қамтамасыз етеді."
Detailed Validation Procedure,Егжей-тегжейлі валидация процедурасы
"Updates, Feature Requests, and Bug Reports","Жаңартулар, мүмкіндік сұраулары және қателер туралы есептер"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,Біз кодтағы нұсқаларды басқару арқылы барлық жаңартуларды қадағалаймыз. Мүмкіндіктерді GitHub сайтында сұрауға және қате туралы хабарлауға болады.
Stay up to date!,Жаңалықтардан хабардар болыңыз!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,Бізді Twitter @OpenSpecy арқылы бақылаңыз. Тарату тізіміне қосу үшін wincowger@gmail.com электрондық поштасын жіберіңіз.
Citation,Дәйексөз
Useful Links,Пайдалы сілтемелер
Free FTIR Software: siMPle microplastic IR spectral identification software,Тегін FTIR бағдарламалық құралы: қарапайым микропластикалық IR спектрлік сәйкестендіру бағдарламалық құралы
Free Spectroscopy Learning Academy from ThermoFisher,ThermoFisher ұсынған тегін спектроскопиялық оқу академиясы
Free Optical Microscopy Learning Resource from Florida State University,Флорида штатының университетінің оптикалық микроскопия бойынша тегін оқу ресурсы
Free desktop application for spectral analysis and links to reference databases.,Спектрлік талдауға арналған тегін жұмыс үстелі қолданбасы және анықтамалық дерекқорларға сілтемелер.
Terms And Conditions,Ережелер мен шарттар
Privacy Policy,Құпиялылық саясаты
Upload File,Файлды жүктеп салу
"Upload, View, and Share Spectra","Спектрлерді жүктеп салу, көру және бөлісу"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File",".csv (қалаулы), .asp, .jdx, .spc, .spa немесе .0 файлын таңдаңыз."
Share Your Data?,Деректеріңізді бөлісу керек пе?
Share Help,Көмекпен бөлісу
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","Қаласаңыз, жүктеп салынған спектрлеріңіз бен параметрлеріңізді спектроскопия қауымдастығымен бөлісеміз.
           Әдепкі бойынша, барлық деректер Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0) бойынша лицензияланады.
           Жүктелген спектрлер мына жерде пайда болады: https://osf.io/rjg3c"
Upload Help,Жүктеп салу анықтамасы
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","Raman немесе FTIR спектр файлдарын csv, jdx, spc немесе spa ретінде жүктеп салыңыз. csv файлы қолайлы. Егер csv болса, файлда (1/см) бірліктерінде ""толқын саны"" деп белгіленген бір баған және сіңіру бірліктерімен ""қарқындылық"" деп белгіленген басқа баған болуы керек.
            jdx, spc, spa немесе 0 болса, файл толқын саны (1/см) болатын бір жұтылу спектрі болуы керек. Бұл файлдар әрқашан жақсы жұмыс істемейді, өйткені оларды оқу қиын, сондықтан оларды басқа бағдарламалық құралда екі рет тексеріңіз.
            Раман спектрінің үлгісін жүктеп алу үшін «Деректерді тексеру» түймесін басыңыз."
Intensity Adjustment,Қарқындылықты реттеу
None,Жоқ
Transmittance,Өткізгіштік
Reflectance,Рефлексия
Intensity Correction Help,Қарқындылықты түзету анықтамасы
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","Жүктелген спектр жұту бірлікте болмаса,
           түрлендіру бірліктерін көрсету үшін осы кірісті пайдаланыңыз.Open Specy can
           көмегімен абсорбция бірліктеріне шағылысу немесе өткізгіштік спектрлерін реттеңіз
           жүктеп салу файлы қойындысында бұл ашылмалы тізім. Барлық алдыңғы қойындылар
           деректер жұтылу бірліктерінде деп болжаңыз, сондықтан сіз жасауыңыз керек
           қажет болса жалғастырмас бұрын түзету. Өткізгіштікті реттеу
           жүйе үшін түзетілмейтін log10(1/T) есебін пайдаланады
           және бөлшектердің сипаттамалары. Шағылыстыруды реттеу пайдаланады
           Кубелка-Мунк теңдеуі (1-R)2/(2*R). шағылысу деп есептейміз
           1-100 аралығындағы пайыз ретінде пішімделеді және алдымен 100-ге бөлу арқылы қарқындылықты түзетеді
           ол теңдеу күткен пішінге сәйкес келуі үшін.
           Ешқайсысы таңдалмаса, Open Specy жүктеп салынған деректер деп болжайды
           сіңіру спектрі."
Sample File,Үлгі файл
Sample Data Help,Үлгі деректер анықтамасы
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,Бұл оны сынау және csv файлдарын пішімдеу жолын түсіну үшін құралға жүктеп салуға болатын үлгі спектрі.
Metadata Input,Метадеректер енгізу
Metadata Help,Метадеректер анықтамасы
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","Метадеректерді осында толтырып, бөлісуді таңдасаңыз, кез келген жүктеп салынған спектрлер мен метадеректерді спектроскопиялық қауымдастықпен бөлісеміз.
           Жүктеп салынған спектрлер мен метадеректер мына жерде пайда болады: https://osf.io/rjg3c"
Share Metadata,Метадеректермен бөлісу
Upload some data to get started...,Бастау үшін кейбір деректерді жүктеп салыңыз...
Preprocess Spectrum,Алдын ала өңдеу спектрі
"Smooth, Baseline Correct, and Download Processed Spectra","Тегіс, бастапқы түзету және өңделген спектрлерді жүктеп алу"
Download (recommended),Жүктеп алу (ұсынылады)
Download Help,Анықтаманы жүктеп алыңыз
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,Кейбір пайдаланушылар өңделген спектрінің көшірмесін сақтағысы келуі мүмкін. Бұл түйме өңделген спектрді csv файлы ретінде жүктейді.
Smoothing,Тегістеу
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,Бұл тегістегіш деректердің сигнал мен шу қатынасын жақсарта алады және 12 жұмыс істейтін деректер нүктесі мен көрсетілген полиномы бар Савицки-Голай сүзгісін пайдаланады.
Smoothing Polynomial,Тегістеу полиномы
Baseline Correction,Базалық түзету
Baseline Correction Help,Базалық түзету анықтамасы
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","Бұл негізгі түзету тәртібінде негізгі түзетудің екі нұсқасы бар, 1) спектрлердің бүкіл аймағына полиномды сәйкестендіру арқылы спектрдің негізгі сызығын қайталап табу үшін полиномды имодполифиттеу процедурасы. 2) сюжеттегі сызық құралы арқылы қолмен сызықтар салуға болады және дұрыс түйме негізгі сызықты алу үшін сызықтарды пайдаланады."
Baseline Correction Polynomial,Базалық түзету полиномы
Technique,Техника
Polynomial,Көпмүшелік
Manual,Нұсқаулық
Correct With Trace,Trace арқылы түзетіңіз
Reset,Қалпына келтіру
Range Selection,Ауқым таңдау
Spectral Range Help,Спектрлік диапазон анықтамасы
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,Спектрлік диапазонды шектеу спектрдің шыңдары жоқ аймақтарын жояды және сәйкестікті жақсартады
Maximum Spectral Range,Максималды спектрлік диапазон
Minimum Spectral Range,Минималды спектрлік диапазон
Identify Spectrum,Спектрді анықтау
Identify Spectrum Using the Reference Library,Анықтамалық кітапхана арқылы спектрді анықтаңыз
Raman,Раман
FTIR,FTIR
Spectra,Спектрлер
Type,Түр
Spectrum Type Help,Spectrum Type анықтамасы
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,Бұл таңдау FTIR немесе Raman сәйкес кітапханасының пайдаланылғанын анықтайды. Жүктеп салынған спектр түрін таңдаңыз.
Analysis,Талдау
Processed,Өңделген
Uploaded,Жүктеп салынды
Spectrum to Analyze Help,Анықтаманы талдауға арналған спектр
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,Бұл таңдау жүктеп салынған (өңделмеген) спектрдің немесе өңдеу қойындысы арқылы өңделген спектрдің спектр сәйкестігінде пайдаланылғанын анықтайды.
Region,Аймақ
Full,Толық
Peaks,Шыңдар
Region to Match Help,Сәйкес аймақ анықтамасы
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,Бұл таңдау сәйкес келетін кітапхананың толық спектрден немесе тек спектрдің шыңдарынан тұратынын анықтайды.
Partner With Us,Бізбен серіктес
Help us reach our goal of revolutionizing spectroscopy.,Спектроскопияны түбегейлі өзгерту мақсатына жетуге көмектесіңіз.
Donate Cash,Қолма-қол ақшаны беру
Buy From Swag Store,Swag дүкенінен сатып алыңыз
Contribute time,Уақытты қосыңыз
Revolutionizing,Революциялық
Thriving,Өркендеу
Maintaining,Күту
Supporting,Қолдау
Saving,Сақтау
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,Open Specy-ді бір рет басу арқылы 100% дәл спектрлік сәйкестендіру және терең спектрлік диагностика сияқты түпкілікті мақсатқа жақындатып жатқан ақылы топ.
A single paid staff person working to update and build the community and the tool,Қауымдастық пен құралды жаңарту және құру үшін жұмыс істейтін жалғыз ақылы қызметкер
Maintenance costs and minor ad-hoc updates and bug fixes,Техникалық қызмет көрсету шығындары және шағын арнайы жаңартулар мен қателерді түзету
Keeping the app online and essential maintenance,Қолданбаны желіде ұстау және маңызды техникалық қызмет көрсету
Long term storage only,Тек ұзақ мерзімді сақтау
Sharing Metadata,Метадеректерді ортақ пайдалану
Thank you for sharing your data!,Деректеріңізді бөліскеніңізге рахмет!
Your data will soon be available at https://osf.io/stmv4/,Деректеріңіз жақын арада https://osf.io/stmv4/ сайтында қолжетімді болады.
Something went wrong :-(,Бірдеңе дұрыс болмады :-(
Data type not supported!,Деректер түріне қолдау көрсетілмейді!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","Жүктеп салынған деректер түріне қазір қолдау көрсетілмейді; өтінемін
                      егжей-тегжейлі ақпарат алу үшін құралдар кеңестерін және «Туралы» қойындысын тексеріңіз."
Sharing Spectrum to Community Library,Спектрді қауымдастық кітапханасымен бөлісу
Reading Spectrum,Спектрді оқу
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","Мәтіндік/csv файлын жүктеп салған болсаңыз, мынаны тексеріңіз
           бағандар сандық және «толқын саны» деп аталады және
           «қарқындылық»."
absorbance intensity [-],сіңіру қарқындылығы [-]
wavenumber [cm<sup>-1</sup>],толқын саны [см<sup>-1</sup>]
Analyzing Spectrum,Спектрді талдау
Finding Match,Сәйкестік табу
Making Plot,Сюжетті құру
Material,Материал
Pearson's r,Пирсон Р
Organization,Ұйымдастыру
Selectable Matches,Таңдалатын сәйкестіктер
Donations,Қайырымдылық
Operation Costs,Операциялық шығындар
Selection Metadata,Таңдау метадеректері
