en,pt
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","Para compartilhar espectros, faça upload de um arquivo para a guia de upload de arquivos. Se você selecionou Compartilhar, uma cópia de seus espectros será enviada para a Comunidade
           Data Warehouse no Open Science Framework. Para adicionar metadados adicionais,
           preencha os campos de metadados disponíveis e clique em -Share Data-. O
           O arquivo spectra que você carregou junto com suas respostas será copiado
           para a subpasta -Com metadados- no link abaixo. Todos os dados compartilhados retêm
           uma Licença de Atribuição Creative Commons 4.0."
Community Data Warehouse,Armazém de dados da comunidade
Tool Validation,Validação de ferramenta
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","Todos os parâmetros desta ferramenta são testados para validar que
           a ferramenta está funcionando da melhor forma possível e determine o melhor padrão
           parâmetros a serem usados. Nosso procedimento de validação atual inclui correção
           entradas duplicadas nas bibliotecas de referência, verificando espectros em
           metadados que não estão na biblioteca espectral, e garantindo o padrão
           parâmetros fornecem mais de 80% de precisão na primeira correspondência."
Detailed Validation Procedure,Procedimento de Validação Detalhado
"Updates, Feature Requests, and Bug Reports","Atualizações, solicitações de recursos e relatórios de bugs"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,Nós acompanhamos todas as atualizações usando o controle de versão em nosso código. Os recursos podem ser solicitados e o bug relatado no GitHub.
Stay up to date!,Mantenha-se atualizado!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,Siga-nos no Twitter @OpenSpecy. Envie um e-mail para wincowger@gmail.com para ser adicionado à lista de distribuição.
Citation,Citação
Useful Links,Links Úteis
Free FTIR Software: siMPle microplastic IR spectral identification software,Software FTIR grátis: software de identificação espectral infravermelho microplástico simples
Free Spectroscopy Learning Academy from ThermoFisher,Academia de aprendizagem de espectroscopia gratuita do ThermoFisher
Free Optical Microscopy Learning Resource from Florida State University,Recurso de aprendizado de microscopia óptica gratuito da Florida State University
Free desktop application for spectral analysis and links to reference databases.,Aplicativo de desktop gratuito para análise espectral e links para bancos de dados de referência.
Terms And Conditions,Termos e Condições
Privacy Policy,Política de Privacidade
Upload File,Subir arquivo
"Upload, View, and Share Spectra","Carregar, visualizar e compartilhar espectros"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File","Escolha o arquivo .csv (preferencial), .asp, .jdx, .spc, .spa ou .0"
Share Your Data?,Compartilhe seus dados?
Share Help,Compartilhar ajuda
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","Se desejar, compartilhamos seus espectros e configurações carregados com a comunidade de espectroscopia.
           Por padrão, todos os dados serão licenciados sob Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Os espectros carregados aparecerão aqui: https://osf.io/rjg3c"
Upload Help,Ajuda para upload
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","Carregue arquivos de espectro Raman ou FTIR como csv, jdx, spc ou spa. É preferível um arquivo csv. Se for um csv, o arquivo deve conter uma coluna denominada 'número de onda' em unidades de (1 / cm) e outra coluna denominada 'intensidade' em unidades de absorbância.
            Se jdx, spc, spa ou 0, o arquivo deve ser um único espectro de absorbância com número de onda em (1 / cm). Esses arquivos nem sempre funcionarão perfeitamente porque são difíceis de ler, portanto, verifique-os em outro software.
            Clique no botão 'Testar dados' para fazer o download de uma amostra do espectro Raman."
Intensity Adjustment,Ajuste de intensidade
None,Nenhum
Transmittance,Transmitância
Reflectance,Refletância
Intensity Correction Help,Ajuda de correção de intensidade
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","Se o espectro carregado não estiver em unidades de absorbância,
           use esta entrada para especificar as unidades a serem convertidas. A espécie aberta pode
           ajustar espectros de refletância ou transmitância para unidades de absorção usando
           esta lista suspensa na guia de upload de arquivo. Todas as abas anteriores
           suponha que os dados estão em unidades de absorbância, então você deve fazer o
           correção antes de continuar, se necessário. O ajuste de transmitância
           usa o cálculo log10 (1 / T) que não corrige para o sistema
           e características das partículas. O ajuste de refletância usa o
           Equação de Kubelka-Munk (1-R) 2 / (2 * R). Assumimos que a refletância
           é formatado como um percentual de 1-100 e primeiro corrija a intensidade dividindo por 100
           para que se encaixe na forma esperada pela equação.
           Se nenhum for selecionado, o Open Specy assume que os dados carregados são
           um espectro de absorbância."
Sample File,Arquivo de amostra
Sample Data Help,Ajuda de dados de amostra
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,Este é um espectro de amostra que pode ser carregado na ferramenta para testá-lo e entender como os arquivos csv devem ser formatados.
Metadata Input,Entrada de Metadados
Metadata Help,Ajuda de metadados
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","Compartilhamos todos os espectros e metadados carregados com a comunidade de espectroscopia se você preencher os metadados aqui e selecionar compartilhar.
           Os espectros e metadados carregados aparecerão aqui: https://osf.io/rjg3c"
Share Metadata,Compartilhar metadados
Upload some data to get started...,Faça upload de alguns dados para começar ...
Preprocess Spectrum,Espectro de pré-processamento
"Smooth, Baseline Correct, and Download Processed Spectra","Suavizar, linha de base correta e espectros processados de download"
Download (recommended),Baixar (recomendado)
Download Help,Ajuda para download
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,Alguns usuários podem desejar salvar uma cópia de seu espectro processado. Este botão baixa o espectro processado como um arquivo csv.
Smoothing,Alisamento
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,Este mais suave pode melhorar a relação sinal-ruído dos dados e usa um filtro Savitzky-Golay com 12 pontos de dados em execução e o polinômio especificado.
Smoothing Polynomial,Polinômio de Suavização
Baseline Correction,Correção de linha de base
Baseline Correction Help,Ajuda de correção de linha de base
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","Esta rotina de correção de linha de base tem duas opções para correção de linha de base, 1) o procedimento imodpolyfit polinomial para encontrar itterativamente a linha de base do espectro usando um ajuste polinomial para toda a região do espectro. 2) linhas manuais podem ser desenhadas usando a ferramenta de linha no gráfico e o botão correto usará as linhas para subtrair a linha de base."
Baseline Correction Polynomial,Polinômio de correção de linha de base
Technique,Técnica
Polynomial,Polinomial
Manual,Manual
Correct With Trace,Corrigir com traço
Reset,Redefinir
Range Selection,Seleção de faixa
Spectral Range Help,Ajuda de alcance espectral
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,Restringir a faixa espectral pode remover regiões do espectro onde não existem picos e melhorar a correspondência
Maximum Spectral Range,Faixa Espectral Máxima
Minimum Spectral Range,Faixa Espectral Mínima
Identify Spectrum,Identificar Espectro
Identify Spectrum Using the Reference Library,Identifique o espectro usando a biblioteca de referência
Raman,Raman
FTIR,FTIR
Spectra,Spectra
Type,Modelo
Spectrum Type Help,Ajuda de tipo de espectro
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,Esta seleção determinará se a biblioteca de correspondência FTIR ou Raman é usada. Escolha o tipo de espectro que foi carregado.
Analysis,Análise
Processed,Processado
Uploaded,Carregado
Spectrum to Analyze Help,Espectro para analisar a ajuda
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,Esta seleção determinará se o espectro carregado (não processado) ou o espectro processado usando a guia de processamento é usado na correspondência de espectro.
Region,Região
Full,Completo
Peaks,Picos
Region to Match Help,Ajuda de Região para Combinar
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,Esta seleção determinará se a biblioteca que você está combinando consiste em todo o espectro ou apenas nos picos do espectro.
Partner With Us,Seja nosso parceiro
Help us reach our goal of revolutionizing spectroscopy.,Ajude-nos a alcançar nosso objetivo de revolucionar a espectroscopia.
Donate Cash,Doe dinheiro
Buy From Swag Store,Compre na loja Swag
Contribute time,Tempo de contribuição
Revolutionizing,Revolucionando
Thriving,Próspera
Maintaining,Mantendo
Supporting,De apoio
Saving,Salvando
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,Uma equipe paga que está levando a Open Specy para mais perto do objetivo final de identificação espectral 100% precisa e diagnósticos espectrais profundos com um único clique
A single paid staff person working to update and build the community and the tool,Um único funcionário remunerado trabalhando para atualizar e construir a comunidade e a ferramenta
Maintenance costs and minor ad-hoc updates and bug fixes,Custos de manutenção e pequenas atualizações ad-hoc e correções de bugs
Keeping the app online and essential maintenance,Manter o aplicativo online e manutenção essencial
Long term storage only,Armazenamento de longo prazo apenas
Sharing Metadata,Compartilhando metadados
Thank you for sharing your data!,Obrigado por compartilhar seus dados!
Your data will soon be available at https://osf.io/stmv4/,Em breve seus dados estarão disponíveis em https://osf.io/stmv4/
Something went wrong :-(,Algo deu errado :-(
Data type not supported!,Tipo de dados não compatível!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","O tipo de dados carregado não é compatível no momento; por favor
                      verifique as dicas de ferramentas e a guia 'Sobre' para obter detalhes."
Sharing Spectrum to Community Library,Compartilhando espectro com a biblioteca da comunidade
Reading Spectrum,Espectro de leitura
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","Se você carregou um arquivo de texto / csv, certifique-se de que o
           colunas são numéricas e denominadas 'número de onda' e
           'intensidade'."
absorbance intensity [-],intensidade de absorbância [-]
wavenumber [cm<sup>-1</sup>],número de onda [cm <sup> -1 </sup>]
Analyzing Spectrum,Analisando Espectro
Finding Match,Encontrando correspondência
Making Plot,Fazendo enredo
Material,Material
Pearson's r,R de Pearson
Organization,Organização
Selectable Matches,Partidas Selecionáveis
Donations,Doações
Operation Costs,Custos de operação
Selection Metadata,Metadados de seleção
