en,sm
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","Ina ia fa'asoa spectra lafo se faila i le fa'amau faila faila. Afai na e filifilia Fa'asoa se kopi o lau fa'aaliga o le a lafo i le Community
           Faleteuoloa Fa'amaumauga ile Ta'iala Fa'asaienisi Tatala. Ina ia faaopoopo metadata faaopoopo,
           fa'atumu fanua metadata avanoa ma kiliki -Fa'asoa Fa'amatalaga-. O le
           faila spectra na e tu'uina fa'atasi ma au tali o le a kopiina
           i le a -With Metadata- subfolder i le sootaga i lalo. O fa'amatalaga fa'asoa uma e umia
           a Creative Commons Attribution License 4.0."
Community Data Warehouse,Faleteuoloa Fa'amaumauga a Nuu
Tool Validation,Fa'amaoniaga Meafaigaluega
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","O fa'amaufa'ailoga uma i totonu o lenei meafaigaluega e fa'ata'ita'iina e fa'amaonia ai lena mea
           o lo'o galue le meafaigaluega i le mea sili e mafai ai ma fuafua le mea sili ona lelei
           tapula'a e fa'aoga. O le matou fa'amaoniga o lo'o iai nei e aofia ai le fa'asa'oga
           fa'alua fa'amaumauga i totonu o faletusi fa'asinomaga, siaki mo spectra i totonu
           metadata e le oi totonu o le faletusi faʻapitoa, ma faʻamautinoa le faaletonu
           fa'amaufa'ailoga e maua ai le 80% sa'o i le ta'aloga muamua."
Detailed Validation Procedure,Taualumaga Fa'amaonia Auiliili
"Updates, Feature Requests, and Bug Reports","Fa'afouga, Talosaga Fa'aaliga, ma Lipoti o Bug"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,Matou te siakiina uma faʻafouga e faʻaaoga ai le faʻatonutonuina o faʻamatalaga i luga o la matou code. E mafai ona talosagaina faʻamatalaga ma lipoti mai le bug ile GitHub.
Stay up to date!,Tumau i aso nei!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,Mulimuli mai ia matou Twitter @OpenSpecy. I-meli wincowger@gmail.com e fa'aopoopo i le lisi o meli.
Citation,Upusii
Useful Links,Sootaga aoga
Free FTIR Software: siMPle microplastic IR spectral identification software,Komipiuta FTIR e leai se totogi: fa'akomepiuta fa'amatalaga fa'apitoa fa'apitoa IR microplastic
Free Spectroscopy Learning Academy from ThermoFisher,E maua fua le Spectroscopy Learning Academy mai ThermoFisher
Free Optical Microscopy Learning Resource from Florida State University,E maua fua le Optical Microscopy Learning Resource mai le Florida State University
Free desktop application for spectral analysis and links to reference databases.,Talosaga komepiuta e leai se totogi mo su'esu'ega fa'apitoa ma feso'ota'iga i fa'amaumauga fa'amaumauga.
Terms And Conditions,Tulaga ma Tulaga
Privacy Policy,Faiga Fa'alilolilo
Upload File,La'u faila
"Upload, View, and Share Spectra","Tu'u mai, Va'ai, ma Fa'asoa Spectra"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File","Filifili le .csv (mana'omia), .asp, .jdx, .spc, .spa, po'o le .0 File"
Share Your Data?,Fa'asoa au Fa'amatalaga?
Share Help,Faasoa Fesoasoani
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","Afai e te mana'o ai, matou te fa'asoa atu lau va'aiga fa'apipi'i ma fa'atulagaga ma le fa'alapotopotoga o fa'aola.
           Ona o le faaletonu, o faamatalaga uma o le a laiseneina i lalo ole Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           O le a fa'aalia mai i'inei mea fa'apipi'i: https://osf.io/rjg3c"
Upload Help,La'uina Fesoasoani
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","Tu'u i luga faila alaleo Raman po'o le FTIR o se csv, jdx, spc, po'o le spa. E sili le faila csv. Afai o se csv, o le faila e tatau ona i ai le tasi koluma e fa'aigoaina 'wavennumber' i iunite o le (1/cm) ma le isi koluma e fa'aigoaina 'intensity' i iunite absorbance.
            Afai o le jdx, spc, spa, po'o le 0 o le faila e tatau ona tasi le fusi o alaleo ma numera galu ile (1/cm). O nei faila o le a le lelei i taimi uma ona e fai togafiti e faitau fa'alua siaki i latou i se isi polokalama.
            Ki'i le 'Test Data' button e la'u mai ai se fa'ata'ita'iga o alaleo Raman."
Intensity Adjustment,Fetuunaiga Malosi
None,Leai
Transmittance,Tuuina atu
Reflectance,Mafaufauga Loloto
Intensity Correction Help,Fesoasoani Fa'asa'o Malosi
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","Afai o le fusi o alaleo na lafoina e le o i totonu o iunite miti,
           fa'aoga le mea lea e fa'ailoa ai iunite e fa'aliliu mai. Tatala Specy mafai
           fetu'utu'una'i le fa'afoliga po'o le fa'aliliuina o alaala ile Absorbance iunite fa'aoga
           o le pa'ū lea i lalo i le fa'ailoga faila faila. O fa'amau uma na muamua atu
           manatu o faʻamatalaga o loʻo i totonu o iunite faʻafefe e tatau ona e faia le
           faasa'oga a'o le'i fa'aauau pe a mana'omia. Le fetuutuunaiga transmittance
           fa'aaoga le fa'atatau o le log10(1/T) e le sa'o mo le faiga
           ma uiga o ni vaega. O le fetuutuuna'iga o ata e fa'aaogaina ai le
           Fa'atusa Kubelka-Munk (1-R)2/(2*R). Matou te manatu o le reflectance
           o lo'o fa'atulagaina o se pasene mai le 1-100 ma fa'asa'o muamua le malosi e ala i le vaevaeina i le 100
           ina ia fetaui ma foliga o loʻo faʻamoemoeina e le faʻatusatusaga.
           Afai e leai se mea e filifilia, Open Specy e fa'apea o fa'amaumauga na tu'uina atu
           se fusi o alaleo."
Sample File,Faiga Fa'ata'ita'i
Sample Data Help,Fa'ata'ita'iga Fesoasoani Fesoasoani
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,Ole alaleo fa'ata'ita'i lea e mafai ona fa'ae'e ile meafaigaluega e su'e ai ma malamalama ile fa'apena ole faila o faila csv.
Metadata Input,Fa'amatalaga Metadata
Metadata Help,Fesoasoani Metadata
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","Matou te fefa'asoaa'i so'o se mea fa'apipi'i ma metadata ua tu'uina atu i le fa'alapotopotoga o spectroscopy pe afai e te fa'atumu le metadata iinei ma filifili fa'asoa.
           O mea fa'apipi'i ma metadata o le a fa'aalia iinei: https://osf.io/rjg3c"
Share Metadata,Fa'asoa Metadata
Upload some data to get started...,La'u mai ni fa'amatalaga e amata ai...
Preprocess Spectrum,Alaleo ole Preprocess
"Smooth, Baseline Correct, and Download Processed Spectra","Smooth, Baseline Sa'o, ma la'u mai ai le Spectra Processed"
Download (recommended),La'u mai (fautua)
Download Help,La'u mai le Fesoasoani
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,Atonu e mana'o nisi tagata fa'aoga e teu se kopi o latou alaleo ua fa'agaioia. O le faamau lea e la'u mai ai le fusi o alaleo o se faila csv.
Smoothing,Fa'amalulu
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,O lenei fa'alelei e mafai ona fa'aleleia atili ai le fa'ailoga i le pisa o fa'amaumauga o fa'amaumauga ma fa'aogaina se faamama Savitzky-Golay fa'atasi ai ma 12 fa'asologa o fa'amaumauga ma le polynomial ua fa'amaonia.
Smoothing Polynomial,Smoothing Polynomial
Baseline Correction,Fa'asa'oga Fa'avae
Baseline Correction Help,Fesoasoani Fa'asa'oga Fa'avae
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","O lenei faiga fa'asa'oga fa'avae e lua filifiliga mo le fa'asa'oga fa'avae, 1) o le faiga polynomial imodpolyfit e su'e fa'asolosolo le laina fa'avae o alaleo e fa'aaoga ai se polynomial fetaui i le itulagi atoa o le alaleo. 2) e mafai ona tusi laina tusi lesona e faʻaaoga ai le meafaigaluega laina i luga o le fanua ma o le ki saʻo o le a faʻaogaina ai laina e toesea ai le laina faʻavae."
Baseline Correction Polynomial,Fa'asa'oga Fa'avae Polynomial
Technique,Tekinolosi
Polynomial,Polynomial
Manual,Tusi Lesona
Correct With Trace,Fa'asa'o ma le Su'ega
Reset,Toe setiina
Range Selection,Filifiliga Va'aiga
Spectral Range Help,Fesoasoani Va'aiga Va'aiga
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,Fa'atapula'aina le va'aiga o alaleo e mafai ona aveese vaega ole alaleo e leai ni tumutumu o iai ma fa'aleleia le fa'atusa
Maximum Spectral Range,Tulaga maualuga ole Spectral
Minimum Spectral Range,Va'aiga Fa'aola Alaleo La'iti
Identify Spectrum,Faailoa Alaleo
Identify Spectrum Using the Reference Library,Su'esu'e Alaleo Fa'aaogā le Faletusi Fa'asino
Raman,Ramana
FTIR,FTIR
Spectra,Spectra
Type,Ituaiga
Spectrum Type Help,Fesoasoani Ituaiga Alaleo
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,Ole filifiliga lea ole a iloa pe fa'aoga le FTIR po'o le Raman fa'atusa faletusi. Filifili le ituaiga alaleo na lafoina.
Analysis,Iloiloga
Processed,Fa'atonu
Uploaded,Tu'u i luga
Spectrum to Analyze Help,Alaleo e Iloilo Fesoasoani
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,O lenei filifiliga o le a iloa ai pe o le fusi o alaleo na lafoina (e le o faʻagaina) poʻo le fusi o alaleo na faʻaogaina i le faʻaogaina o le faʻaogaina o le fusi o alaleo i le fusi o alaleo.
Region,Itulagi
Full,tumu
Peaks,tumutumu
Region to Match Help,Itulagi e Faafetaui Fesoasoani
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,O lenei filifiliga o le a iloa ai pe o le faletusi o lo'o e fa'atusaina e aofia ai le fusi o alaleo atoa pe na'o tumutumu o alaleo.
Partner With Us,Paaga ma i matou
Help us reach our goal of revolutionizing spectroscopy.,Fesoasoani ia matou ausia la matou sini o le fa'afouina o spectroscopy.
Donate Cash,Foai Tupe
Buy From Swag Store,Fa'atau Mai Swag Store
Contribute time,Faasoa taimi
Revolutionizing,Fa'afouina
Thriving,Manuia
Maintaining,Tausia
Supporting,Lagolago
Saving,Faasaoina
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,O se 'au totogi o lo'o tuleia le Open Specy e latalata atili i le sini autu o le 100% sa'o fa'amatalaga fa'aaliga ma loloto fa'ata'ita'iga fa'ata'ita'iga ile kiliki tasi.
A single paid staff person working to update and build the community and the tool,Ose tagata faigaluega totogi to'atasi o lo'o galue e fa'afouina ma fausia le nu'u ma le meafaigaluega
Maintenance costs and minor ad-hoc updates and bug fixes,Tau fa'aleleia ma nai fa'afouga fa'apitoa fa'apitoa ma fa'aleleia o bug
Keeping the app online and essential maintenance,Taofi le app i luga ole laiga ma tausiga taua
Long term storage only,Na'o le teuina mo taimi umi
Sharing Metadata,Fetufa'aiga Metadata
Thank you for sharing your data!,Faafetai mo le faasoaina atu o au faamatalaga!
Your data will soon be available at https://osf.io/stmv4/,O le a vave ona maua au faʻamatalaga i https://osf.io/stmv4/
Something went wrong :-(,Na iai se mea na tupu :-(
Data type not supported!,E le lagolagoina le ituaiga fa'amatalaga!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","E le o lagolagoina i le taimi nei le tu'aiga o fa'amaumauga ua lafoina; faʻamolemole
                      siaki mea faigaluega ma le 'About' tab mo fa'amatalaga."
Sharing Spectrum to Community Library,Fetufa'aiga Alaleo ile Faletusi a Nuu
Reading Spectrum,Faitauga Alaleo
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","Afai na e lafoina se faila text/csv, ia mautinoa o le
           koluma e numera ma fa'aigoaina 'numera galu' ma
           'malosi'."
absorbance intensity [-],malosi ole mitiia [-]
wavenumber [cm<sup>-1</sup>],numera galu [cm<sup>-1</sup>]
Analyzing Spectrum,Iloiloina Alaleo
Finding Match,Su'eina Faafetaui
Making Plot,Faia o Fuafuaga
Material,Mea
Pearson's r,Pearson's r
Organization,Faalapotopotoga
Selectable Matches,Filifiliga Faafetaui
Donations,foa'i
Operation Costs,Tau o galuega
Selection Metadata,Filifiliga Metadata
