en,mi
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","Ki te tiritiri spectra tukuake he konae ki te ripa konae tukuake. Mena i tohua e koe Tirihia he kape o to hiranga ka tukuna ki te Hapori
           Putaka Raraunga i runga i te Anga Putaiao Tuwhera. Hei taapiri metadata taapiri,
           whakakiia nga waahi metadata e waatea ana ka paato -Tiri Raraunga-. Ko te
           Ko te konae spectra i tuku ake me o whakautu ka kapea
           ki te kōpakiroto -With Metadata- kei te hono i raro nei. Katoa nga raraunga tiritahi ka mau
           he Raihana Whakaaetanga Creative Commons 4.0."
Community Data Warehouse,Whare Putunga Raraunga Hapori
Tool Validation,Whakamana taputapu
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","Ko nga tawhā katoa o tenei taputapu ka whakamatauria hei whakamana i tera
           kei te mahi pai te taputapu me te whakatau i te taunoa pai rawa atu
           tawhā hei whakamahi. Kei roto i a maatau mahi whakamana o naianei he whakatikatika
           tārite tāurunga i roto i te whare pukapuka tohutoro, tirohia mo te spectra i roto
           metadata karekau i te whare pukapuka spectral, me te whakarite i te taunoa
           Ko nga tawhā ka nui ake i te 80% te tika i te tukinga tuatahi."
Detailed Validation Procedure,Nga Tikanga Whakamanatanga Taipitopito
"Updates, Feature Requests, and Bug Reports","Nga Whakahoutanga, Nga Tono Whakaaturanga, me nga Purongo Bug"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,Ka aroturuki matou i nga whakahou katoa ma te whakamahi i te mana putanga i runga i to maatau waehere. Ka taea te tono mo nga ahuatanga me te whakaatu i te bug i runga i GitHub.
Stay up to date!,Kia mau ki nga korero hou!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,A pee ia matou i runga i Twitter @OpenSpecy. Ī-mēra wincowger@gmail.com ki te tāpiri ki te rārangi mēra.
Citation,Tirohanga
Useful Links,Hononga Whaihua
Free FTIR Software: siMPle microplastic IR spectral identification software,Pūmanawa FTIR Koreutu: SiMPle microplastic IR spectral software identification
Free Spectroscopy Learning Academy from ThermoFisher,Te Whare Wananga Ako Turangaranga Koreutu mai i ThermoFisher
Free Optical Microscopy Learning Resource from Florida State University,Rauemi Ako Mataiti Mataiti Koreutu mai i te Whare Wananga o Florida State
Free desktop application for spectral analysis and links to reference databases.,Ko te tono papamahi kore utu mo te tātari matakite me nga hononga ki nga papaunga korero.
Terms And Conditions,Nga Tikanga me nga Tikanga
Privacy Policy,Kaupapahere Tūmataiti
Upload File,Tukuake Kōnae
"Upload, View, and Share Spectra","Tukuake, Tirohia, Tirihia te Spectra"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File","Kōwhiria .csv (he pai ake), .asp, .jdx, .spc, .spa, .0 ranei Kōnae"
Share Your Data?,Tirihia to Raraunga?
Share Help,Tiri Awhina
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","Ki te pai koe, ka tohatohahia e matou to hiranga me to tautuhinga ki te hapori spectroscopy.
           Ma te taunoa, ka raihanahia nga raraunga katoa i raro i te Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Ka puta mai te tuwha kua tukuna ki konei: https://osf.io/rjg3c"
Upload Help,Tukuake Awhina
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","Tukua ake nga konae awhiowhio Raman, FTIR ranei hei csv, jdx, spc, kaukau ranei. He pai ake te konae csv. Mēnā he csv, me mau te kōnae kia kotahi te tīwae kua tapaina he 'tau ngaru' i roto i nga waeine o (1/cm) me tetahi atu pou kua tapaina he 'kaha' i roto i nga wae mimiti.
            Mena ko te jdx, spc, spa, 0 ranei te konae kia kotahi te hihinga toronga me te tau ngaru (1/cm). Ko enei konae kare e tino mahi i nga wa katoa na te mea he uaua ki te panui kia rua tirohia ki tetahi atu rorohiko.
            Patua te paatene 'Raraunga Whakamatau' hei tango i tetahi tauira awhiowhio Raman."
Intensity Adjustment,Whakaritenga Kaha
None,Karekau
Transmittance,Whakawhitinga
Reflectance,Whakaata
Intensity Correction Help,Awhina Whakatikatika Kaha
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","Mēnā kāre te tūāwhiorangi tukuake i roto i ngā waeine mimiti,
           whakamahia tenei urunga ki te tautuhi i nga wae hei huri mai. Ka taea e Open Specy
           te whakatika i te whakaata, te whakawhiti ranei i te tirohanga ki nga waeine Absorbance ma te whakamahi
           tenei taka iho i roto i te ripa kōnae tukuake. Katoa o nga ripa o mua
           Me whakaaro kei roto nga raraunga i nga wae whakaurunga na me hanga e koe te
           whakatikatika i mua i te haere tonu mena ka hiahiatia. Te whakatikatika whakawhiti
           ka whakamahi i te tatauranga roko10(1/T) kaore i te tika mo te punaha
           me nga ahuatanga matūriki. Ko te whakatikatika whakaata e whakamahi ana i te
           Whārite Kubelka-Munk (1-R)2/(2*R). Ka whakaarohia e matou ko te whakaata
           ka whakahōputuhia hei ōrau mai i te 1-100 ka whakatika tuatahi i te kaha mā te wehe ki te 100
           kia rite ki te ahua e tumanakohia ana e te wharite.
           Mena karekau he mea i kowhiria, ka whakaaro a Open Specy ko nga raraunga kua tuku ake
           he tuāwhiorangi mimiti."
Sample File,Tauira Kōnae
Sample Data Help,Tauira Raraunga Awhina
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,He tauira awhiowhio tenei ka taea te tukuake ki te taputapu hei whakamatautau me te maarama me pehea te whakahōputu i nga konae csv.
Metadata Input,Whakauru Raraungameta
Metadata Help,Awhina Metadata
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","Ka tiritirihia e matou nga momo momotuhinga me nga metadata kua tukuna ki te hapori spectroscopy mena ka whakakiia e koe nga metadata ki konei ka kowhiria te tiri.
           Ka puta mai te hiranga me te metadata i konei: https://osf.io/rjg3c"
Share Metadata,Tiria Raraunga Meta
Upload some data to get started...,Tukuna etahi raraunga hei timata...
Preprocess Spectrum,Tuhinga o mua Tuhinga
"Smooth, Baseline Correct, and Download Processed Spectra","Maeneene, Raina-a-mua e tika ana, me te Tikiake Spectra Tukatuka"
Download (recommended),Tikiake (e taunakitia ana)
Download Help,Tikiake Āwhina
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,Ko etahi o nga kaiwhakamahi kei te pirangi ki te tiaki i tetahi kape o ta raatau awhiowhio kua tukatukahia. Ka tangohia e tenei paatene te awhiowhio kua tukatukahia hei konae csv.
Smoothing,Whakaene
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,Ka taea e tenei maeneene te whakarei ake i te tohu ki te haruru ōwehenga o nga raraunga me te whakamahi i te tātari Savitzky-Golay me nga tohu raraunga rere 12 me te polynomial kua tohua.
Smoothing Polynomial,Whakamaene Polynomial
Baseline Correction,Whakatikatika Raina
Baseline Correction Help,Awhina Whakatikatika Raina
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","E rua nga waahanga o tenei mahinga whakatikatika turanga, 1) te tikanga polynomial imodpolyfit ki te kimi i te rarangi turanga o te hihinga ma te whakamahi i te waahanga polynomial ki te rohe katoa o te hihinga. 2) ka taea te tuhi i nga raina a-ringa ma te whakamahi i te taputapu raina i runga i te papa, ka whakamahia e te paatene tika nga rarangi hei tango i te rarangi turanga."
Baseline Correction Polynomial,Te Whakatikanga Rarangi-a-Tara
Technique,Hangarau
Polynomial,Tauira
Manual,ā-ringa
Correct With Trace,Tika Ma te Trace
Reset,Tautuhi Anō
Range Selection,Kōwhiringa Awhe
Spectral Range Help,Āwhina awhe Spectral
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,Ma te whakawhäiti i te awhe hihinga ka taea te tango i nga rohe o te hihinga karekau he tihi me te whakapai ake i te tauritenga
Maximum Spectral Range,Awhe Spectral Morahi
Minimum Spectral Range,Awhe Spectral iti
Identify Spectrum,Tautuhia te Spectrum
Identify Spectrum Using the Reference Library,Tautuhia te Awhiowhio Ma te whakamahi i te Puna Tohutoro
Raman,Ramana
FTIR,FTIR
Spectra,Spectra
Type,Momo
Spectrum Type Help,Awhina Momo Spectrum
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,"Ma tenei kowhiringa ka whakatau mena kei te whakamahia te whare pukapuka riterite FTIR, Raman ranei. Kōwhiria te momo tūāwhiorangi i tukuake."
Analysis,Tātaritanga
Processed,Tukatuka
Uploaded,Kua tukuna
Spectrum to Analyze Help,Awhina ki te Tātarihia te tūāwhiorangi
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,"Ma tenei kowhiringa ka whakatau mena ka whakamahia te awhiowhio tukuake (kaore i te tukatukahia), ko te awhiowhio ranei i tukatukahia ma te ripa tukatuka ka whakamahia i roto i te whakataetae awhiorangi."
Region,Rohe
Full,Ki tonu
Peaks,Ngā tihi
Region to Match Help,Rohe ki te Whakaōrite Āwhina
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,"Ma tenei kowhiringa ka whakatau mena kei te whare pukapuka e tauritehia ana e koe te tuāwhiorangi katoa, ko nga tihi awhiowhio anake ranei."
Partner With Us,Whakahoahoa ki a matou
Help us reach our goal of revolutionizing spectroscopy.,Awhina mai ki te whakatutuki i ta maatau whainga ki te huri i te hiranga.
Donate Cash,Toha Moni Moni
Buy From Swag Store,Hokona Mai i te Toa Swag
Contribute time,Toha wa
Revolutionizing,Hurihurihuri
Thriving,E ora ana
Maintaining,Te pupuri
Supporting,Te tautoko
Saving,Tiaki
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,He roopu utu e turaki ana i a Open Specy kia tata atu ki te whainga o te 100% tika te tautuhi matakite me nga tātaritanga matakite hohonu me te paato kotahi
A single paid staff person working to update and build the community and the tool,He kaimahi kotahi te utu e mahi ana ki te whakahou me te hanga i te hapori me te taputapu
Maintenance costs and minor ad-hoc updates and bug fixes,Ko nga utu tiaki me nga whakahoutanga iti me nga whakatikatika iro
Keeping the app online and essential maintenance,Te pupuri i te taupānga i runga ipurangi me te tino tiaki
Long term storage only,Te rokiroki mo te wa roa anake
Sharing Metadata,Tiri Raraunga Meta
Thank you for sharing your data!,Mauruuru koe mo te tohatoha i o raraunga!
Your data will soon be available at https://osf.io/stmv4/,Ka waatea o raraunga i https://osf.io/stmv4/
Something went wrong :-(,Kua he tetahi mea :-(
Data type not supported!,Ko te momo raraunga kaore i te tautokona!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","Ko te momo raraunga kua tuku ake kaore i te tautokohia i tenei wa; tēnā koa
                      tirohia nga aki taputapu me te ripa 'Mo' mo nga taipitopito."
Sharing Spectrum to Community Library,Tiri Awhiowhio ki te Whare Pukapuka Hapori
Reading Spectrum,Panui Panui
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","Mena kua tukuna e koe he konae tuhinga/csv, kia mohio kei te
           he tau nga pou ka whakaingoatia ko 'tau ngaru' me
           'kaha'."
absorbance intensity [-],kaha o te mimiti [-]
wavenumber [cm<sup>-1</sup>],tau ngaru [cm<sup>-1</sup>]
Analyzing Spectrum,Te tātari i te Spectrum
Finding Match,Te kimi Whakataurite
Making Plot,Te Hanga Mahinga
Material,Rauemi
Pearson's r,Pearson's r
Organization,Whakahaere
Selectable Matches,Whakataetae Ka taea te whiriwhiri
Donations,Nga takoha
Operation Costs,Nga Utu Mahi
Selection Metadata,Raraunga Meta Kōwhiringa
