en,ku
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","Hemî parametreyên vê amûrê têne ceribandin ku wê rast bikin
           amûr bi qasî ku pêkan çêtirîn kar dike û pêşnumaya çêtirîn diyar dike
           Parametreyên ku bikar bînin. Pêvajoya pejirandina me ya heyî rastkirinê vedihewîne
           Di pirtûkxaneyên referansê de têketinên dubarekirî, li spektrayan dinihêrin
           metadata ku ne di pirtûkxaneya spektral de ye, û pêşnumayê misoger dike
           parametre di maça yekem de zêdetirî 80% rastbûnê peyda dikin."
Detailed Validation Procedure,Pêvajoya Verastkirinê ya Berfireh
"Updates, Feature Requests, and Bug Reports","Nûvekirin, Daxwazên Taybetmendiyê, û Raporên Bug"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,Em hemî nûvekirinan bi karanîna kontrola guhertoya li ser koda xwe dişopînin. Taybetmendî dikarin li ser GitHub werin xwestin û xeletî bêne ragihandin.
Stay up to date!,Rojane bimînin!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,Me li ser Twitter @OpenSpecy bişopînin. E-name wincowger@gmail.com ji bo navnîşa posteyê were zêdekirin.
Citation,Gazîname
Useful Links,Girêdanên Kêrhatî
Free FTIR Software: siMPle microplastic IR spectral identification software,Nermalava FTIR-a Belaş: Nermalava nasnameya IR-ya spektral a mîkroplastîk a hêsan
Free Spectroscopy Learning Academy from ThermoFisher,Akademiya Fêrbûna Spektroskopiya Belaş ji ThermoFisher
Free Optical Microscopy Learning Resource from Florida State University,Çavkaniya Fêrbûna Mîkroskopa Optîk a Belaş ji Zanîngeha Dewleta Florida
Free desktop application for spectral analysis and links to reference databases.,Serlêdana sermaseyê ya belaş ji bo analîza spektral û girêdanên databasên referansê.
Terms And Conditions,Şert Û Şert
Privacy Policy,Privacy Policy
Upload File,Pelê barkirin
"Upload, View, and Share Spectra","Barkirin, Dîtin, û Spectra parve bikin"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File","Pelê .csv (tercîh), .asp, .jdx, .spc, .spa, an .0 hilbijêrin"
Share Your Data?,Daneyên xwe parve bikin?
Share Help,Alîkarî parve bikin
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","Ger hûn bixwazin, em spekter û mîhengên weyên barkirî bi civata spektroskopiyê re parve dikin.
           Ji hêla xwerû, hemî dane dê di binê Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0) de lîsansa xwe bistînin.
           Spektrên barkirî dê li vir xuya bibin: https://osf.io/rjg3c"
Upload Help,Alîkarî barkirin
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","Pelên spektrumê Raman an FTIR wekî csv, jdx, spc, an spa barkirin. Pelek csv tê tercîh kirin. Ger csv be, divê di dosyayê de stûnek bi yekeyên (1/cm) 'hejmara pêlê' û di yekîneyên vegirtinê de stûnek bi navê 'tundî' hebe.
            Ger pelê jdx, spc, spa, an 0 be divê spektûrek vegirtinê ya yekane bi jimareya pêlê di (1/cm) be. Van pelan dê her gav bi rengek bêkêmasî nexebitin ji ber ku xwendina wan dijwar e, ji ber vê yekê wan di nermalava din de ducar kontrol bikin.
            Bişkojka 'Daneyên Testê' bikirtînin da ku nimûneyek Raman dakêşin."
Intensity Adjustment,Birêvebirina Intensity
None,Netû
Transmittance,Transmittance
Reflectance,Reflectance
Intensity Correction Help,Alîkariya Serastkirina Zehmetiyê
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","Ger spektruma barkirî ne di yekîneyên vegirtinê de be,
           vê têketinê ji bo diyarkirina yekîneyên ji bo veguhertina bi kar tînin.Open Specy can
           spektrên refleks an veguheztinê li yekîneyên Absorbance bi kar tînin eyar bikin
           ev di tabloya pelê barkirinê de dakeve. Hemî tabloyên berê
           Bihesibînin ku dane di yekîneyên vegirtinê de ne ji ber vê yekê divê hûn bikin
           serrastkirin berî ku ger hewce bike berdewam bike. Veguheztina veguhestinê
           hesabê log10 (1/T) bikar tîne ku ji bo pergalê rast nake
           û taybetmendiyên perçeyê. Veguheztina reflekskirinê bi kar tîne
           Wekheviya Kubelka-Munk (1-R)2/(2*R). Em texmîn dikin ku refleks
           ji sedî 1-100 tê teşekirin û pêşî bi dabeşkirina 100'î tundiyê rast bike.
           da ku ew bi forma ku ji hêla hevkêşeyê ve tê hêvî kirin bigihîje.
           Ger yek neyê hilbijartin, Open Specy texmîn dike ku daneyên barkirî ne
           spektromek vegirtinê."
Sample File,Pelê Nimûne
Sample Data Help,Alîkariya Daneyên Nimûne
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,Ev spektrumek nimûne ye ku ji bo ceribandina wê û têgihîştina pelên csv-ê çawa divê werin format kirin dikare li amûrê were barkirin.
Metadata Input,Ketina Metadata
Metadata Help,Alîkariya Metadata
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","Ger hûn metadata li vir tijî bikin û parvekirinê hilbijêrin, em hemî spekter û metadaneyên barkirî bi civata spektroskopiyê re parve dikin.
           Spectra û metadata barkirî dê li vir xuya bibin: https://osf.io/rjg3c"
Share Metadata,Metadata parve bikin
Upload some data to get started...,Ji bo destpêkirinê hin daneyan barkirin...
Preprocess Spectrum,Preprocess Spectrum
"Smooth, Baseline Correct, and Download Processed Spectra","Smooth, Bingehîn Rast, û Daxistina Spectra Processed"
Download (recommended),Daxistin (pêşniyar kirin)
Download Help,Alîkarî Daxistin
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,Dibe ku hin bikarhêner bixwazin kopiyek ji spektra xwe ya pêvajokirî hilînin. Ev bişkoj spektruma pêvajoyî wekî pelek csv dakêşîne.
Smoothing,Smoothing
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,Ev nermik dikare rêjeya sînyala berbi dengî ya daneyan zêde bike û parzûnek Savitzky-Golayê bi 12 xalên daneya xebitandinê û polînomiya diyarkirî bikar tîne.
Smoothing Polynomial,Smoothing Polynomial
Baseline Correction,Rastkirina Bingehîn
Baseline Correction Help,Alîkariya Serastkirina Bingehîn
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","Vê rûtîn rastkirina bingehîn du vebijark ji bo rastkirina rêzika bingehîn heye, 1) prosedûra polînomî ya imodpolyfit da ku bi dûbare xeta bingehîn a spektrêmê bi karanîna guncanek polînomî ya tevahiya herêma spektrayê bibîne. 2) xêzên destan dikarin bi karanîna amûra rêzê ya li ser nexşeyê werin xêz kirin û bişkoja rast dê xêzan bikar bîne da ku xêza bingehîn jê bike."
Baseline Correction Polynomial,Polynomial Rastkirina Bingehîn
Technique,Teknîk
Polynomial,Polynomial
Manual,Destî
Correct With Trace,Bi Şopê Rast bike
Reset,Reset
Range Selection,Hilbijartina Rêzeyê
Spectral Range Help,Alîkariya Range Spectral
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,Bisînorkirina rêza spektralê dikare herêmên spektrumê yên ku lûtk lê tune ne hilîne û hevberdanê baştir bike
Maximum Spectral Range,Rêzeya Spectral ya herî zêde
Minimum Spectral Range,Rêzeya Spectral ya Kêmtirîn
Identify Spectrum,Spectrum nas bikin
Identify Spectrum Using the Reference Library,Bi Bikaranîna Pirtûkxaneya Referansê Spectrumê nas bikin
Raman,Raman
FTIR,FTIR
Spectra,Spectra
Type,Awa
Spectrum Type Help,Alîkariya Tîpa Spectrum
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,Ev hilbijartin dê diyar bike ka pirtûkxaneya hevaheng a FTIR an Raman tê bikar anîn. Cureya spektrumê ya ku hatî barkirin hilbijêrin.
Analysis,Lêkolîne
Processed,Pêvajo kirin
Uploaded,Barkirin
Spectrum to Analyze Help,Spectrum ji bo Analîzkirina Alîkariyê
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,Ev hilbijartî dê diyar bike ka spektruma hatî barkirin (ne pêvajokirin) an spektora ku bi karanîna tabloya pêvajoyê hatî pêvajo kirin di berhevoka spektrumê de tê bikar anîn.
Region,Herêm
Full,Tije
Peaks,Peaks
Region to Match Help,Herêm ji bo Match Alîkarî
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,Ev hilbijartî dê diyar bike ka pirtûkxaneya ku hûn pê re li hev dikin ji tevahî spektrumê pêk tê an tenê ji lûtkeyên spektrumê pêk tê.
Partner With Us,Bi me re hevkar bin
Help us reach our goal of revolutionizing spectroscopy.,Ji me re bibin alîkar ku em bigihîjin armanca xwe ya şoreşgerî ya spektroskopiyê.
Donate Cash,Drav bidin
Buy From Swag Store,Ji Swag Store bikirin
Contribute time,Demjimêrê beşdar bikin
Revolutionizing,Şoreşger kirin
Thriving,Pêşketî
Maintaining,Maintaining
Supporting,Piştgirî kirin
Saving,Saving
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,Tîmek drav a ku Open Specy bi yek klîk ve nêzîkê armanca dawîn a 100% nasîna spektral a rast û tespîtkirina spektralê ya kûr dike.
A single paid staff person working to update and build the community and the tool,Karmendek yekane ku ji bo nûvekirin û avakirina civak û amûrê dixebite
Maintenance costs and minor ad-hoc updates and bug fixes,Mesrefên lênêrînê û nûvekirinên ad-hoc yên piçûk û rastkirinên xeletiyan
Keeping the app online and essential maintenance,Serhêl girtina sepanê û lênihêrîna bingehîn
Long term storage only,Tenê hilanîna demdirêj
Sharing Metadata,Parvekirina Metadata
Thank you for sharing your data!,Spas ji bo parvekirina daneyên xwe!
Your data will soon be available at https://osf.io/stmv4/,Daneyên we dê di demek nêzîk de li https://osf.io/stmv4/ peyda bibin
Something went wrong :-(,Tiştek xelet bû :-(
Data type not supported!,Cureyê daneyê nayê piştgirî kirin!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","Cureya daneya barkirî niha nayê piştgirî kirin; ji kerema xwe ve
                      ji bo hûragahiyan serişteyên amûran û tabloya 'About' kontrol bikin."
Sharing Spectrum to Community Library,Parvekirina Spectrum ji Pirtûkxaneya Civakî re
Reading Spectrum,Xwendin Spectrum
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","Ger we pelek nivîs / csv bar kir, pê ewle bin ku ew
           stûnên jimareyî ne û bi navê 'hejmara pêlê' û
           'zexmî'."
absorbance intensity [-],xurtbûna vegirtinê [-]
wavenumber [cm<sup>-1</sup>],jimareya pêlê [cm<sup>-1</sup>]
Analyzing Spectrum,Analîzkirina Spectrum
Finding Match,Dîtina Match
Making Plot,Çêkirina Plot
Material,Mal
Pearson's r,Pearson's r
Organization,Sazûman
Selectable Matches,Maçên Hilbijartî
Donations,Donations
Operation Costs,Mesrefên Operasyonê
Selection Metadata,Metadata Hilbijartinê
