en,mg
Free desktop application for spectral analysis and links to reference databases.,Fampiharana desktop maimaim-poana ho an'ny famakafakana spectral sy rohy mankany amin'ny angon-drakitra fanondro.
Terms And Conditions,Fepetra
Privacy Policy,politika Fiarovana fiainan'olona
Upload File,Mampiakatra rakitra
"Upload, View, and Share Spectra","Mampiakatra, mijery, ary mizara Spectra"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File","Safidio ny .csv (tia), .asp, .jdx, .spc, .spa, na .0 File"
Share Your Data?,Zarao ny angonao?
Share Help,Zarao Fanampiana
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","Raha tianao dia zarainay amin'ny vondrom-piarahamonina spectroscopy ianao.
           Amin'ny alàlan'ny default, ny angon-drakitra rehetra dia hahazo alalana amin'ny Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Hiseho eto ny spectra nampidirina: https://osf.io/rjg3c"
Upload Help,Alefaso ny fanampiana
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","Alefaso ny rakitra spectrum Raman na FTIR ho toy ny csv, jdx, spc, na spa. Ny rakitra csv no tiana. Raha csv, ny rakitra dia tsy maintsy misy tsanganana iray misy soratra hoe 'wavennumber' amin'ny singan'ny (1/cm) ary tsanganana iray hafa misy soratra hoe 'intensity' ao amin'ny singa absorbance.
            Raha jdx, spc, spa, na 0 ny rakitra dia tokony ho spektrum fanerena tokana miaraka amin'ny laharan'ny onjam-peo (1/cm). Tsy hiasa tsara foana ireo rakitra ireo satria sarotra ny mamaky azy ka jereo indroa amin'ny rindrambaiko hafa.
            Tsindrio ny bokotra 'Test Data' raha hisintona santionany Raman spectrum."
Intensity Adjustment,Fanitsiana intensity
None,tsy misy
Transmittance,Transmittance
Reflectance,Reflectance
Intensity Correction Help,Fanampiana fanitsiana ny hamafin'ny
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","Raha tsy ao anatin'ny singa absorbance ny spectrum nampidirina,
           ampiasao ity fampidirana ity mba hamaritana ireo singa hiova finoana. Afaka ny Open Specy
           amboary ny taratra taratra na ny fampitana spectra amin'ny singa Absorbance mampiasa
           ity fampidinana ity ao amin'ny tabilao fampiakarana rakitra. Ny tabilao teo aloha rehetra
           eritrereto fa ny angona dia ao amin'ny singa absorbance ka tokony hanao ny
           fanitsiana alohan'ny hanohizana raha ilaina. Ny fanitsiana fampitana
           mampiasa ny kajy log10(1/T) izay tsy mety amin'ny rafitra
           ary ny toetoetran'ny singa. Ny fanitsiana reflectance dia mampiasa ny
           Equation Kubelka-Munk (1-R)2/(2*R). Heverintsika fa ny reflectance
           dia endrika isan-jato avy amin'ny 1-100 ary ahitsy aloha ny hamafin'ny fizarana amin'ny 100
           mba hifanaraka amin'ny endrika andrasan'ny equation.
           Raha tsy misy voafantina, Open Specy dia mihevitra fa ny angona nampidirina dia
           spektrum absorbance."
Sample File,Sample File
Sample Data Help,Sample Data Help
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,Ity dia santionany santionany izay azo ampidirina amin'ny fitaovana hitsapana azy sy hahatakarana ny fomba tokony handrafetana ny rakitra csv.
Metadata Input,Fampidirana metadata
Metadata Help,Fanampiana Metadata
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","Zarainay amin'ny vondrom-piarahamonin'ny spectroscopy izay spectra sy metadata nampiakarina raha mameno ny metadata eto ianao ary misafidy fizarana.
           Ny spectra sy metadata nampidirina dia hiseho eto: https://osf.io/rjg3c"
Share Metadata,Mizara Metadata
Upload some data to get started...,Mampiakara angona vitsivitsy hanombohana...
Preprocess Spectrum,Preprocess Spectrum
"Smooth, Baseline Correct, and Download Processed Spectra","Smooth, Baseline Correct, ary misintona Spectra voavoatra"
Download (recommended),Download (aroso)
Download Help,Download Help
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,Ny mpampiasa sasany dia mety maniry ny hitahiry ny dika mitovy amin'ny spectrum voahodina. Ity bokotra ity dia misintona ny spectrum voavoatra ho rakitra csv.
Smoothing,Manalefaka
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,Ity malefaka ity dia afaka manatsara ny tahan'ny signal amin'ny tabataba amin'ny angon-drakitra ary mampiasa sivana Savitzky-Golay miaraka amin'ny teboka data 12 mihazakazaka ary ny polynomial voafaritra.
Smoothing Polynomial,Polynomial manalefaka
Baseline Correction,Fanitsiana fototra
Baseline Correction Help,Fanampiana fanitsiana fototra
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","Ity fomba fanao fanitsiana fototra ity dia manana safidy roa ho an'ny fanitsiana fototra, 1) ny fomba fiasa polynomial imodpolyfit mba hahitana amin'ny fomba itterative ny tsipika fototra amin'ny spektrum amin'ny fampiasana ny polynomial mifanaraka amin'ny faritra manontolo amin'ny spectra. 2) Ny tsipika amin'ny tanana dia azo atao amin'ny alàlan'ny fitaovana tsipika eo amin'ny tsipika ary ny bokotra marina dia hampiasa ny tsipika hanesorana ny tsipika fototra."
Baseline Correction Polynomial,Polynomial fanitsiana fototra
Technique,Technique
Polynomial,Polynomial
Manual,boky fampianarana
Correct With Trace,Ahitsio Amin'ny Trace
Reset,Mamerina
Range Selection,Safidy isan-karazany
Spectral Range Help,Fanampiana Spectral Range
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,Ny famerana ny elanelana misy spektrum dia afaka manaisotra ny faritra misy spektrum izay tsy misy tampon'isa ary manatsara ny fampifanarahana
Maximum Spectral Range,Maherin'ny Spectral
Minimum Spectral Range,Ny elanelana ambany indrindra amin'ny Spectral
Identify Spectrum,Fantaro ny Spectrum
Identify Spectrum Using the Reference Library,Fantaro ny Spectrum amin'ny fampiasana ny Reference Library
Raman,Ramana
FTIR,FTIR
Spectra,Spectra
Type,Type
Spectrum Type Help,Fanampiana karazana Spectrum
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,Ity safidy ity dia hamaritra raha ampiasaina ny tranomboky mifanandrify amin'ny FTIR na Raman. Safidio ny karazana spectrum nampidirina.
Analysis,fanadihadiana
Processed,ampiasaina
Uploaded,Uploaded
Spectrum to Analyze Help,Spectrum hamakafaka ny fanampiana
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,Ity fifantenana ity dia hamaritra raha ampiasaina amin'ny lalao spectrum ny spectrum nampidirina (tsy voahodina) na ny spectrum nokarakaraina tamin'ny tabilao fanodinana.
Region,Region
Full,Feno
Peaks,tampon'isa
Region to Match Help,Faritra hifanaraka amin'ny fanampiana
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,Ity fifantenana ity dia hamaritra raha ny tranomboky ampifanarahinao dia ahitana ny spektrum feno na ny tampon'ny spectrum fotsiny.
Partner With Us,Miara-miasa Aminay
Help us reach our goal of revolutionizing spectroscopy.,Ampio izahay hanatratra ny tanjonay amin'ny fanavaozana ny spectroscopy.
Donate Cash,Manomeza vola
Buy From Swag Store,Vidio amin'ny Swag Store
Contribute time,Manomeza fotoana
Revolutionizing,revolutionizing
Thriving,miroborobo
Maintaining,fihazonana
Supporting,fanohanana
Saving,famonjena
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,Ekipa karama izay manosika ny Open Specy hanakaiky ny tanjona faratampony dia ny famantarana spektral marina 100% sy ny diagnostika lalina amin'ny tsindry tokana
A single paid staff person working to update and build the community and the tool,Olona iray karamaina miasa amin'ny fanavaozana sy fananganana ny vondrom-piarahamonina sy ny fitaovana
Maintenance costs and minor ad-hoc updates and bug fixes,Ny vidin'ny fikojakojana sy ny fanavaozana ad-hoc kely ary ny fanamboarana bug
Keeping the app online and essential maintenance,Mitazona ny fampiharana an-tserasera sy ny fikojakojana ilaina
Long term storage only,Fitehirizana maharitra ihany
Sharing Metadata,Mizara Metadata
Thank you for sharing your data!,Misaotra anao mizara ny angonao!
Your data will soon be available at https://osf.io/stmv4/,Tsy ho ela dia ho hita ao amin'ny https://osf.io/stmv4/
Something went wrong :-(,Nisy zavatra tsy nety :-(
Data type not supported!,Karazana data tsy tohana!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","Ny karazana angona nampiakarina dia tsy tohanana amin'izao fotoana izao; Mba miangavy re
                      jereo ny toro-hevitra momba ny fitaovana sy ny tabilao 'Momba azy' ho an'ny antsipiriany."
Sharing Spectrum to Community Library,Mizara Spectrum amin'ny Tranombokim-piarahamonina
Reading Spectrum,Famakiana Spectrum
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","Raha nandefa rakitra lahatsoratra/csv ianao, dia ataovy izay hahazoana antoka fa ny
           Ny tsanganana dia isa ary nomena anarana hoe 'wavennumber' ary
           'intensité'."
absorbance intensity [-],hamafin'ny absorbance [-]
wavenumber [cm<sup>-1</sup>],laharana onja [cm<sup>-1</sup>]
Analyzing Spectrum,Famakafakana Spectrum
Finding Match,Finding Match
Making Plot,Manao Tetika
Material,ara-nofo
Pearson's r,Pearson's r
Organization,fikambanana
Selectable Matches,Matches azo safidiana
Donations,FANOMEZANA
Operation Costs,Vidin'ny asa
Selection Metadata,Selection Metadata
