en,zh-TW
Download (recommended),下載（推薦）
Download Help,下載幫助
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,一些用戶可能希望保存他們處理過的頻譜的副本。此按鈕將處理後的光譜下載為 csv 文件。
Smoothing,平滑
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,這種平滑器可以增強數據的信噪比，並使用具有 12 個運行數據點和指定多項式的 Savitzky-Golay 濾波器。
Smoothing Polynomial,平滑多項式
Baseline Correction,基線校正
Baseline Correction Help,基線校正幫助
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.",這個基線校正程序有兩個基線校正選項，1) 多項式 imodpolyfit 程序使用多項式擬合光譜的整個區域迭代地找到光譜的基線。 2) 可以使用繪圖上的線條工具手動繪製線條，正確的按鈕將使用線條減去基線。
Baseline Correction Polynomial,基線修正多項式
Technique,技術
Polynomial,多項式
Manual,手動的
Correct With Trace,使用跟踪更正
Reset,重啟
Range Selection,範圍選擇
Spectral Range Help,光譜範圍幫助
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,限制光譜範圍可以去除不存在峰的光譜區域並改善匹配
Maximum Spectral Range,最大光譜範圍
Minimum Spectral Range,最小光譜範圍
Identify Spectrum,識別頻譜
Identify Spectrum Using the Reference Library,使用參考庫識別頻譜
Raman,拉曼
FTIR,紅外光譜
Spectra,光譜
Type,類型
Spectrum Type Help,頻譜類型幫助
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,該選擇將決定是使用 FTIR 還是拉曼匹配庫。選擇上傳的頻譜類型。
Analysis,分析
Processed,處理
Uploaded,已上傳
Spectrum to Analyze Help,頻譜分析幫助
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,此選擇將決定是否在光譜匹配中使用上傳（未處理）的光譜或使用處理選項卡處理的光譜。
Region,地區
Full,滿的
Peaks,峰值
Region to Match Help,區域匹配幫助
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,此選擇將決定您匹配的庫是包含全譜還是僅包含譜峰。
Partner With Us,與我們合作
Help us reach our goal of revolutionizing spectroscopy.,幫助我們實現光譜學革命的目標。
Donate Cash,捐贈現金
Buy From Swag Store,從贓物商店購買
Contribute time,貢獻時間
Revolutionizing,革新
Thriving,熙
Maintaining,維護
Supporting,配套
Saving,保存
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,一個付費團隊正在推動 Open Specy 更接近於 100% 準確的光譜識別和深度光譜診斷的最終目標，只需單擊一下
A single paid staff person working to update and build the community and the tool,致力於更新和構建社區和工具的單一付費員工
Maintenance costs and minor ad-hoc updates and bug fixes,維護成本和小的臨時更新和錯誤修復
Keeping the app online and essential maintenance,保持應用程序在線和必要的維護
Long term storage only,只能長期儲存
Sharing Metadata,共享元數據
Thank you for sharing your data!,感謝您分享您的數據！
Your data will soon be available at https://osf.io/stmv4/,您的數據將很快在 https://osf.io/stmv4/ 上提供
Something went wrong :-(,出問題了 ：-（
Data type not supported!,不支持數據類型！
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","當前不支持上傳的數據類型；請
                      檢查工具提示和“關於”選項卡以了解詳細信息。"
Sharing Spectrum to Community Library,共享頻譜到社區圖書館
Reading Spectrum,讀譜
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","如果您上傳了文本/csv 文件，請確保
           列是數字並命名為“wavenumber”和
           '強度'。"
absorbance intensity [-],吸光度強度 [-]
wavenumber [cm<sup>-1</sup>],波數 [cm<sup>-1</sup>]
Analyzing Spectrum,分析頻譜
Finding Match,尋找匹配
Making Plot,製作情節
Material,材料
Pearson's r,皮爾遜氏
Organization,組織
Selectable Matches,可選擇的比賽
Donations,捐款
Operation Costs,運營成本
Selection Metadata,選擇元數據
