en,lt
Type,Tipas
Spectrum Type Help,Spektro tipo žinynas
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,"Šis pasirinkimas nustatys, ar naudojama FTIR ar Ramano atitikimo biblioteka. Pasirinkite įkelto spektro tipą."
Analysis,Analizė
Processed,Apdorotas
Uploaded,Įkelta
Spectrum to Analyze Help,Spektras analizuoti Pagalba
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,"Šis pasirinkimas nustatys, ar įkeltas (neapdorotas) spektras arba spektras, apdorotas naudojant apdorojimo skirtuką, bus naudojamas spektro atitikčiai."
Region,Regionas
Full,Pilnas
Peaks,Viršūnės
Region to Match Help,Pagalba pagal regioną
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,"Šis pasirinkimas nustatys, ar biblioteką, kurią suderinate, sudaro visas spektras, ar tik spektro smailės."
Partner With Us,Bendradarbiaukite su mumis
Help us reach our goal of revolutionizing spectroscopy.,Padėkite mums pasiekti tikslą – pakeisti spektroskopiją.
Donate Cash,Aukokite grynųjų pinigų
Buy From Swag Store,Pirkite iš Swag parduotuvės
Contribute time,Prisidėkite laiko
Revolutionizing,Revoliucinis
Thriving,Klestintis
Maintaining,Priežiūra
Supporting,Palaikymas
Saving,Išsaugomas
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,"Mokama komanda, kuri stumia „Open Specy“ prie galutinio tikslo – 100 % tikslaus spektrinio identifikavimo ir gilios spektrinės diagnostikos vienu paspaudimu."
A single paid staff person working to update and build the community and the tool,"Vienas apmokamas darbuotojas, atnaujinantis ir plėtojantis bendruomenę ir įrankį"
Maintenance costs and minor ad-hoc updates and bug fixes,Priežiūros išlaidos ir smulkūs ad hoc atnaujinimai bei klaidų pataisymai
Keeping the app online and essential maintenance,Programos laikymas internete ir būtina priežiūra
Long term storage only,Tik ilgalaikis saugojimas
Sharing Metadata,Metaduomenų bendrinimas
Thank you for sharing your data!,"Dėkojame, kad dalinatės savo duomenimis!"
Your data will soon be available at https://osf.io/stmv4/,Jūsų duomenys netrukus bus pasiekiami adresu https://osf.io/stmv4/
Something went wrong :-(,Kažkas ne taip :-(
Data type not supported!,Duomenų tipas nepalaikomas!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","Įkeltų duomenų tipas šiuo metu nepalaikomas; Prašau
                      Daugiau informacijos ieškokite įrankių patarimuose ir skirtuke „Apie“."
Sharing Spectrum to Community Library,Spektro bendrinimas bendruomenės bibliotekoje
Reading Spectrum,Skaitymo spektras
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","Jei įkėlėte teksto / csv failą, įsitikinkite, kad
           stulpeliai yra skaitiniai ir pavadinti „bangos skaičiumi“ ir
           'intensyvumas'."
absorbance intensity [-],sugerties intensyvumas [-]
wavenumber [cm<sup>-1</sup>],bangos skaičius [cm<sup>-1</sup>]
Analyzing Spectrum,Spektro analizė
Finding Match,Rasti atitikmenį
Making Plot,Sklypo sudarymas
Material,Medžiaga
Pearson's r,Pearsono r
Organization,Organizacija
Selectable Matches,Pasirenkamos rungtynės
Donations,Dovanos
Operation Costs,Eksploatacijos išlaidos
Selection Metadata,Pasirinkimo metaduomenys
