en,el
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","Για κοινή χρήση φασμάτων, μεταφορτώστε ένα αρχείο στην καρτέλα αρχείου μεταφόρτωσης. Εάν επιλέξατε Κοινή χρήση, ένα αντίγραφο των φασμάτων σας θα σταλεί στην Κοινότητα
           Αποθήκη Δεδομένων στο Ανοιχτό Επιστημονικό Πλαίσιο. Για να προσθέσετε επιπλέον μεταδεδομένα,
           Συμπληρώστε τα διαθέσιμα πεδία μεταδεδομένων και κάντε κλικ στο -Κοινή χρήση δεδομένων-. ο
           Το αρχείο φάσματος που ανεβάσατε μαζί με τις απαντήσεις σας θα αντιγραφεί
           στον υποφάκελο -With Metadata- στον παρακάτω σύνδεσμο. Διατηρούνται όλα τα κοινόχρηστα δεδομένα
           μια άδεια Creative Commons Attribution 4.0."
Community Data Warehouse,Κοινοτική αποθήκη δεδομένων
Tool Validation,Επικύρωση εργαλείου
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","Όλες οι παράμετροι σε αυτό το εργαλείο ελέγχονται για την επικύρωση αυτού
           το εργαλείο λειτουργεί όσο το δυνατόν καλύτερα και καθορίζει την καλύτερη προεπιλογή
           παραμέτρους προς χρήση. Η τρέχουσα διαδικασία επικύρωσης περιλαμβάνει διόρθωση
           διπλότυπες εγγραφές στις βιβλιοθήκες αναφοράς, έλεγχος για φάσματα
           μεταδεδομένα που δεν βρίσκονται στη φασματική βιβλιοθήκη και διασφαλίζοντας την προεπιλογή
           Οι παράμετροι παρέχουν πάνω από 80% ακρίβεια στον πρώτο αγώνα."
Detailed Validation Procedure,Λεπτομερής Διαδικασία Επικύρωσης
"Updates, Feature Requests, and Bug Reports","Ενημερώσεις, αιτήματα για λειτουργίες και αναφορές σφαλμάτων"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,Παρακολουθούμε όλες τις ενημερώσεις χρησιμοποιώντας τον έλεγχο έκδοσης στον κώδικά μας. Οι δυνατότητες μπορούν να ζητηθούν και να αναφερθούν σφάλματα στο GitHub.
Stay up to date!,Μείνετε ενημερωμένοι!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,Ακολουθήστε μας στο Twitter @OpenSpecy. Στείλτε email wincowger@gmail.com για προσθήκη στη λίστα αλληλογραφίας.
Citation,Παραπομπή
Useful Links,Χρήσιμοι Σύνδεσμοι
Free FTIR Software: siMPle microplastic IR spectral identification software,Δωρεάν λογισμικό FTIR: απλό λογισμικό μικροπλαστικής φασματικής αναγνώρισης υπερύθρων
Free Spectroscopy Learning Academy from ThermoFisher,Δωρεάν Ακαδημία Εκμάθησης Φασματοσκοπίας από τη ThermoFisher
Free Optical Microscopy Learning Resource from Florida State University,Δωρεάν εκπαιδευτικός πόρος οπτικής μικροσκοπίας από το Florida State University
Free desktop application for spectral analysis and links to reference databases.,Δωρεάν εφαρμογή επιφάνειας εργασίας για φασματική ανάλυση και συνδέσεις σε βάσεις δεδομένων αναφοράς.
Terms And Conditions,Οροι και Προϋποθέσεις
Privacy Policy,Πολιτική Απορρήτου
Upload File,Ανέβασμα αρχείου
"Upload, View, and Share Spectra","Μεταφόρτωση, προβολή και κοινή χρήση Spectra"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File","Επιλέξτε .csv (προτιμάται), .asp, .jdx, .spc, .spa ή .0 Αρχείο"
Share Your Data?,Κοινή χρήση των δεδομένων σας;
Share Help,Κοινή χρήση Βοήθειας
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","Αν θέλετε, κοινοποιούμε τα φάσματα και τις ρυθμίσεις που έχετε ανεβάσει με την κοινότητα φασματοσκοπίας.
           Από προεπιλογή, όλα τα δεδομένα θα έχουν άδεια χρήσης Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Τα μεταφορτωμένα φάσματα θα εμφανιστούν εδώ: https://osf.io/rjg3c"
Upload Help,Μεταφόρτωση Βοήθειας
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","Ανεβάστε αρχεία φάσματος Raman ή FTIR ως csv, jdx, spc ή σπα. Προτιμάται ένα αρχείο csv. Εάν είναι csv, το αρχείο πρέπει να περιέχει μια στήλη με την ένδειξη ""wavennumber"" σε μονάδες (1/cm) και μια άλλη στήλη με την ένδειξη ""intensity"" σε μονάδες απορρόφησης.
            Εάν jdx, spc, spa ή 0, το αρχείο θα πρέπει να είναι ένα φάσμα απορρόφησης με κυματοαριθμό σε (1/cm). Αυτά τα αρχεία δεν θα λειτουργούν πάντα τέλεια επειδή είναι δύσκολο να τα διαβάσετε, επομένως ελέγξτε τα σε άλλο λογισμικό.
            Πατήστε το κουμπί ""Δεδομένα δοκιμής"" για λήψη ενός δείγματος φάσματος Raman."
Intensity Adjustment,Ρύθμιση Έντασης
None,Κανένας
Transmittance,Διαπερατότητα
Reflectance,Αντανάκλαση
Intensity Correction Help,Βοήθεια διόρθωσης έντασης
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","Εάν το μεταφορτωμένο φάσμα δεν είναι σε μονάδες απορρόφησης,
           χρησιμοποιήστε αυτήν την είσοδο για να καθορίσετε τις μονάδες από τις οποίες θα μετατραπούν. Ανοίξτε το Speccy
           προσαρμόστε τα φάσματα ανάκλασης ή μετάδοσης σε μονάδες απορρόφησης χρησιμοποιώντας
           αυτό το αναπτυσσόμενο μενού στην καρτέλα αρχείου μεταφόρτωσης. Όλες οι προηγούμενες καρτέλες
           υποθέστε ότι τα δεδομένα είναι σε μονάδες απορρόφησης, οπότε θα πρέπει να κάνετε το
           διόρθωση πριν συνεχίσετε εάν χρειάζεται. Η ρύθμιση της μετάδοσης
           χρησιμοποιεί τον υπολογισμό log10(1/T) που δεν διορθώνεται για το σύστημα
           και χαρακτηριστικά σωματιδίων. Η ρύθμιση ανακλαστικότητας χρησιμοποιεί το
           Εξίσωση Kubelka-Munk (1-R)2/(2*R). Υποθέτουμε ότι η ανάκλαση
           μορφοποιείται ως ποσοστό από 1-100 και πρώτα διορθώνει την ένταση διαιρώντας με το 100
           ώστε να ταιριάζει στη μορφή που αναμένεται από την εξίσωση.
           Εάν δεν έχει επιλεγεί κανένα, το Open Specy υποθέτει ότι τα μεταφορτωμένα δεδομένα είναι
           ένα φάσμα απορρόφησης."
Sample File,Δείγμα αρχείου
Sample Data Help,Δείγμα Βοήθειας Δεδομένων
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,Αυτό είναι ένα δείγμα φάσματος που μπορεί να μεταφορτωθεί στο εργαλείο για να το δοκιμάσει και να κατανοήσει πώς πρέπει να μορφοποιηθούν τα αρχεία csv.
Metadata Input,Εισαγωγή μεταδεδομένων
Metadata Help,Βοήθεια μεταδεδομένων
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","Μοιραζόμαστε τυχόν μεταφορτωμένα φάσματα και μεταδεδομένα με την κοινότητα φασματοσκοπίας, εάν συμπληρώσετε τα μεταδεδομένα εδώ και επιλέξετε κοινή χρήση.
           Τα μεταφορτωμένα φάσματα και τα μεταδεδομένα θα εμφανιστούν εδώ: https://osf.io/rjg3c"
Share Metadata,Κοινή χρήση μεταδεδομένων
Upload some data to get started...,Μεταφορτώστε ορισμένα δεδομένα για να ξεκινήσετε...
Preprocess Spectrum,Φάσμα προεπεξεργασίας
"Smooth, Baseline Correct, and Download Processed Spectra","Smooth, Baseline Correct και Download Processed Spectra"
Download (recommended),Λήψη (συνιστάται)
Download Help,Λήψη Βοήθειας
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,Ορισμένοι χρήστες μπορεί να επιθυμούν να αποθηκεύσουν ένα αντίγραφο του επεξεργασμένου φάσματος. Αυτό το κουμπί κατεβάζει το επεξεργασμένο φάσμα ως αρχείο csv.
Smoothing,Εξομάλυνση
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,Αυτός ο εξομαλυντής μπορεί να βελτιώσει την αναλογία σήματος προς θόρυβο των δεδομένων και χρησιμοποιεί ένα φίλτρο Savitzky-Golay με 12 τρέχοντα σημεία δεδομένων και το καθορισμένο πολυώνυμο.
Smoothing Polynomial,Εξομάλυνση Πολυώνυμο
Baseline Correction,Διόρθωση γραμμής βάσης
Baseline Correction Help,Βοήθεια για τη διόρθωση γραμμής βάσης
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","Αυτή η ρουτίνα διόρθωσης γραμμής βάσης έχει δύο επιλογές για διόρθωση γραμμής βάσης, 1) τη διαδικασία πολυωνύμου imodpolyfit για την επαναληπτική εύρεση της γραμμής βάσης του φάσματος χρησιμοποιώντας μια πολυωνυμική προσαρμογή σε ολόκληρη την περιοχή των φασμάτων. 2) Οι μη αυτόματες γραμμές μπορούν να σχεδιαστούν χρησιμοποιώντας το εργαλείο γραμμής στην γραφική παράσταση και το σωστό κουμπί θα χρησιμοποιήσει τις γραμμές για να αφαιρέσει τη γραμμή βάσης."
Baseline Correction Polynomial,Πολυώνυμο διόρθωσης γραμμής βάσης
Technique,Τεχνική
Polynomial,Πολυώνυμος
Manual,Εγχειρίδιο
Correct With Trace,Διορθώστε με ίχνος
Reset,Επαναφορά
Range Selection,Επιλογή εύρους
Spectral Range Help,Βοήθεια φασματικού εύρους
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,Ο περιορισμός του φασματικού εύρους μπορεί να αφαιρέσει περιοχές του φάσματος όπου δεν υπάρχουν κορυφές και να βελτιώσει την αντιστοίχιση
Maximum Spectral Range,Μέγιστο φασματικό εύρος
Minimum Spectral Range,Ελάχιστο φασματικό εύρος
Identify Spectrum,Προσδιορίστε το φάσμα
Identify Spectrum Using the Reference Library,Προσδιορίστε το φάσμα χρησιμοποιώντας τη βιβλιοθήκη αναφοράς
Raman,Raman
FTIR,FTIR
Spectra,Φάσματα
Type,Τύπος
Spectrum Type Help,Βοήθεια τύπου φάσματος
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,Αυτή η επιλογή θα καθορίσει εάν χρησιμοποιείται η βιβλιοθήκη αντιστοίχισης FTIR ή Raman. Επιλέξτε τον τύπο φάσματος που μεταφορτώθηκε.
Analysis,Ανάλυση
Processed,Επεξεργασμένο
Uploaded,Μεταφορτώθηκε
Spectrum to Analyze Help,Βοήθεια φάσματος για ανάλυση
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,Αυτή η επιλογή θα καθορίσει εάν το μεταφορτωμένο (μη επεξεργασμένο) φάσμα ή το φάσμα που υποβάλλεται σε επεξεργασία με χρήση της καρτέλας επεξεργασίας χρησιμοποιείται στην αντιστοίχιση φάσματος.
Region,Περιοχή
Full,Γεμάτος
Peaks,Κορυφές
Region to Match Help,Περιοχή για αντιστοίχιση Βοήθεια
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,Αυτή η επιλογή θα καθορίσει εάν η βιβλιοθήκη στην οποία αντιστοιχίζετε αποτελείται από το πλήρες φάσμα ή μόνο από κορυφές φάσματος.
Partner With Us,Συνεργαστείτε μαζί μας
Help us reach our goal of revolutionizing spectroscopy.,Βοηθήστε μας να πετύχουμε τον στόχο μας να φέρουμε επανάσταση στη φασματοσκοπία.
Donate Cash,Δωρίστε μετρητά
Buy From Swag Store,Αγορά από το Swag Store
Contribute time,Συνεισφέρετε χρόνο
Revolutionizing,Επαναστατική
Thriving,Ευημερούσα
Maintaining,Διατήρηση
Supporting,Στήριξη
Saving,Οικονομία
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,Μια πληρωμένη ομάδα που ωθεί το Open Specy πιο κοντά στον απώτερο στόχο της 100% ακριβούς φασματικής αναγνώρισης και της βαθιάς φασματικής διάγνωσης με ένα μόνο κλικ
A single paid staff person working to update and build the community and the tool,Ένα μόνο αμειβόμενο άτομο που εργάζεται για να ενημερώσει και να δημιουργήσει την κοινότητα και το εργαλείο
Maintenance costs and minor ad-hoc updates and bug fixes,Κόστος συντήρησης και μικρές ad-hoc ενημερώσεις και διορθώσεις σφαλμάτων
Keeping the app online and essential maintenance,Διατήρηση της εφαρμογής online και απαραίτητη συντήρηση
Long term storage only,Μόνο μακροχρόνια αποθήκευση
Sharing Metadata,Κοινή χρήση μεταδεδομένων
Thank you for sharing your data!,Σας ευχαριστούμε που μοιραστήκατε τα δεδομένα σας!
Your data will soon be available at https://osf.io/stmv4/,Τα δεδομένα σας θα είναι σύντομα διαθέσιμα στη διεύθυνση https://osf.io/stmv4/
Something went wrong :-(,Κάτι πήγε στραβά :-(
Data type not supported!,Ο τύπος δεδομένων δεν υποστηρίζεται!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","Ο μεταφορτωμένος τύπος δεδομένων δεν υποστηρίζεται αυτήν τη στιγμή. σας παρακαλούμε
                      ελέγξτε τις συμβουλές εργαλείων και την καρτέλα 'Σχετικά' για λεπτομέρειες."
Sharing Spectrum to Community Library,Κοινή χρήση φάσματος στη βιβλιοθήκη κοινότητας
Reading Spectrum,Φάσμα ανάγνωσης
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","Εάν ανεβάσατε ένα αρχείο κειμένου/csv, βεβαιωθείτε ότι
           Οι στήλες είναι αριθμητικές και ονομάζονται ""wavennumber"" και
           'ένταση'."
absorbance intensity [-],ένταση απορρόφησης [-]
wavenumber [cm<sup>-1</sup>],κύμα αριθμός [cm<sup>-1</sup>]
Analyzing Spectrum,Ανάλυση Φάσματος
Finding Match,Εύρεση αντιστοιχίας
Making Plot,Κάνοντας Οικόπεδο
Material,Υλικό
Pearson's r,Pearson's r
Organization,Οργάνωση
Selectable Matches,Επιλέξιμοι αγώνες
Donations,Δωρεές
Operation Costs,Κόστος λειτουργίας
Selection Metadata,Μεταδεδομένα Επιλογής
