en,id
Keeping the app online and essential maintenance,Menjaga aplikasi tetap online dan pemeliharaan penting
Long term storage only,Penyimpanan jangka panjang saja
Sharing Metadata,Berbagi Metadata
Thank you for sharing your data!,Terima kasih telah membagikan data Anda!
Your data will soon be available at https://osf.io/stmv4/,Data Anda akan segera tersedia di https://osf.io/stmv4/
Something went wrong :-(,Ada yang salah :-(
Data type not supported!,Tipe data tidak didukung!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","Jenis data yang diunggah saat ini tidak didukung; silakan
                      periksa tooltips dan tab 'Tentang' untuk detailnya."
Sharing Spectrum to Community Library,Berbagi Spektrum ke Perpustakaan Komunitas
Reading Spectrum,Membaca Spektrum
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","Jika Anda mengunggah file teks/csv, pastikan bahwa
           kolom adalah numerik dan diberi nama 'bilangan gelombang' dan
           'intensitas'."
absorbance intensity [-],intensitas absorbansi [-]
wavenumber [cm<sup>-1</sup>],bilangan gelombang [cm<sup>-1</sup>]
Analyzing Spectrum,Menganalisis Spektrum
Finding Match,Menemukan Kecocokan
Making Plot,Membuat Plot
Material,Bahan
Pearson's r,r Pearson
Organization,Organisasi
Selectable Matches,Pertandingan yang Dapat Dipilih
Donations,Donasi
Operation Costs,Biaya Operasi
Selection Metadata,Metadata Pilihan
