en,ug
FTIR Reference Library,FTIR پايدىلىنىش ئامبىرى
Raman Reference Library Metadata,رامان پايدىلىنىش كۈتۈپخانىسى Metadata
FTIR Reference Library Metadata,FTIR پايدىلىنىش ئامبىرى Metadata
Contribute Spectra,Spectra تۆھپە قوشۇڭ
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","سپېكترىنى ئورتاقلىشىش ئۈچۈن ھۆججەت يۈكلەش بەتكۈچىگە ھۆججەت يۈكلەڭ. ئەگەر تاللىغان بولسىڭىز ، سپېكترىڭىزنىڭ بىر نۇسخىسىنى ئورتاقلىشىڭ
           ئوچۇق ئىلىم-پەن رامكىسىدىكى سانلىق مەلۇمات ئامبىرى. قوشۇمچە مېتا سانلىق مەلۇمات قوشۇش ئۈچۈن ،
           ئىشلەتكىلى بولىدىغان مېتا سانلىق مەلۇماتلىرىنى تولدۇرۇپ ، «سانلىق مەلۇماتنى ئورتاقلىشىش» نى چېكىڭ. The
           ئىنكاسىڭىز بىلەن بىللە يۈكلىگەن سپېكترا ھۆججىتى كۆچۈرۈلىدۇ
           تۆۋەندىكى ئۇلىنىشتىكى Metadata- تارماق قىسقۇچ بىلەن. بارلىق ئورتاق سانلىق مەلۇماتلار ساقلىنىدۇ
           ئىجادىي ئورتاقلىق ئىجازەتنامىسى 4.0."
Community Data Warehouse,مەھەللە سانلىق مەلۇمات ئامبىرى
Tool Validation,قورال دەلىللەش
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","بۇ قورالدىكى بارلىق پارامېتىرلار بۇنى دەلىللەش ئۈچۈن سىناق قىلىنىدۇ
           بۇ قورال ئىمكانقەدەر ياخشى ئىشلەيدۇ ۋە ئەڭ ياخشى سۈكۈتنى بەلگىلەيدۇ
           ئىشلىتىدىغان پارامېتىرلار. بىزنىڭ ھازىرقى دەلىللەش جەريانىمىز تۈزىتىشنى ئۆز ئىچىگە ئالىدۇ
           پايدىلانما كۈتۈپخانىلاردىكى كۆپەيتىلگەن مەزمۇنلار ، سپېكترىنى تەكشۈرۈڭ
           سپېكتېل كۈتۈپخانىسىدا بولمىغان مېتا سانلىق مەلۇمات ۋە سۈكۈتتىكىگە كاپالەتلىك قىلىدۇ
           پارامېتىرلار تۇنجى مەيدان مۇسابىقىدە% 80 تىن ئارتۇق توغرىلىق بىلەن تەمىنلەيدۇ."
Detailed Validation Procedure,تەپسىلىي دەلىللەش تەرتىپى
"Updates, Feature Requests, and Bug Reports",يېڭىلاش ، ئىقتىدار تەلەپلىرى ۋە خاتالىق دوكلاتى
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,كودىمىزدا نەشرىنى كونترول قىلىش ئارقىلىق بارلىق يېڭىلانمىلارنى خاتىرىلەيمىز. GitHub دا ئىقتىدار تەلەپ قىلىنسا بولىدۇ.
Stay up to date!,يېڭىلاپ تۇرۇڭ!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,Twitter @OpenSpecy دا بىزگە ئەگىشىڭ. ئېلېكترونلۇق خەت ساندۇقى wincowger@gmail.com غا ئەۋەتىلىدۇ.
Citation,نەقىل
Useful Links,پايدىلىق ئۇلىنىشلار
Free FTIR Software: siMPle microplastic IR spectral identification software,ھەقسىز FTIR يۇمشاق دېتالى: siMPle مىكرو تىپتىكى IR سپېكتېل پەرقلەندۈرۈش يۇمشاق دېتالى
Free Spectroscopy Learning Academy from ThermoFisher,ThermoFisher دىن ھەقسىز Spectroscopy ئۆگىنىش ئاكادېمىيىسى
Free Optical Microscopy Learning Resource from Florida State University,فلورىدا شىتاتلىق ئۇنىۋېرسىتېتنىڭ ھەقسىز ئوپتىكىلىق مىكروسكوپ ئۆگىنىش مەنبەسى
Free desktop application for spectral analysis and links to reference databases.,سپېكتېل ئانالىزى ۋە پايدىلانما ساندانغا ئۇلىنىش ئۈچۈن ھەقسىز ئۈستەل يۈزى پروگراممىسى.
Terms And Conditions,شەرت ۋە شەرت
Privacy Policy,مەخپىيەتلىك تۈزۈمى
Upload File,ھۆججەت يوللاش
"Upload, View, and Share Spectra",Spectra نى يۈكلەش ، كۆرۈش ۋە ئورتاقلىشىش
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File",.Csv (ياقتۇرىدىغان) ، .asp ، .jdx ، .spc ، .spa ياكى .0 ھۆججەتنى تاللاڭ.
Share Your Data?,سانلىق مەلۇماتلىرىڭىزنى ئورتاقلىشىڭ؟
Share Help,ياردەمنى ئورتاقلىشىش
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","ياقتۇرسىڭىز ، يۈكلەنگەن سپېكترىڭىز ۋە تەڭشەكلىرىڭىزنى سپېكتروسكوپ جەمئىيىتى بىلەن ئورتاقلىشىمىز.
           سۈكۈت بويىچە ، بارلىق سانلىق مەلۇماتلار Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0) ئاستىدا ئىجازەت بېرىلىدۇ.
           يۈكلەنگەن سپېكترا بۇ يەردە كۆرۈنىدۇ: https://osf.io/rjg3c"
Upload Help,ياردەم يۈكلەش
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","Raman ياكى FTIR سپېكترى ھۆججىتىنى csv ، jdx ، spc ياكى spa قىلىپ يۈكلەڭ. Csv ھۆججىتى تاللىنىدۇ. ئەگەر csv بولسا ، ھۆججەتتە چوقۇم (1 / cm) بىرلىكتىكى «wavenumber» دەپ يېزىلغان بىر ئىستون ، سۈمۈرگۈچ ئورۇندىكى «كۈچلۈكلۈك» دەپ يېزىلغان باشقا بىر ئىستون بولۇشى كېرەك.
            ئەگەر jdx ، spc ، spa ياكى 0 بولسا ھۆججەت (1 / cm) دىكى دولقۇنسىمان يەككە سۈمۈرگۈچ بولۇشى كېرەك. بۇ ھۆججەتلەر ھەمىشە مۇكەممەل ئىشلىمەيدۇ ، چۈنكى ئۇلارنى ئوقۇش بىر قەدەر قىيىن ، شۇڭا ئۇلارنى باشقا يۇمشاق دېتالدا ئىككى قېتىم تەكشۈرۈپ بېقىڭ.
            «سىناق سانلىق مەلۇمات» كۇنۇپكىسىنى بېسىپ ، رامان سپېكترى ئەۋرىشكىسىنى چۈشۈرۈڭ."
Intensity Adjustment,ئىنچىكە تەڭشەش
None,ياق
Transmittance,Transmittance
Reflectance,ئويلىنىش
Intensity Correction Help,ئىنچىكە تۈزىتىش ياردىمى
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","ئەگەر يۈكلەنگەن سپېكترى سۈمۈرگۈچ ئورۇنلاردا بولمىسا ،
           بۇ كىرگۈزۈشنى ئىشلىتىپ ئۆزگەرتىدىغان ئورۇنلارنى بەلگىلەڭ. Specy نى ئېچىڭ
           ئىشلىتىۋاتقان Absorbance ئورۇنلىرىغا نۇر قايتۇرۇش ياكى يەتكۈزۈش سپېكترىنى تەڭشەش
           بۇ ھۆججەت يۈكلەش بەتكۈچىگە چۈشۈپ قالىدۇ. ئالدىنقى بەتكۈچلەرنىڭ ھەممىسى
           سانلىق مەلۇماتلارنى سۈمۈرگۈچ بىرلىك دەپ پەرەز قىلىڭ ، شۇڭا چوقۇم قىلىشىڭىز كېرەك
           ئەگەر ئېھتىياجلىق بولسا داۋاملاشتۇرۇشتىن بۇرۇن تۈزىتىش. يەتكۈزۈشنى تەڭشەش
           سىستېمىغا ماس كەلمەيدىغان log10 (1 / T) ھېسابلاشنى ئىشلىتىدۇ
           ۋە زەررىچە ئالاھىدىلىكى. ئەكىس ئەتتۈرۈشنى تەڭشەش
           كۇبېلكا-مۇنك تەڭلىمىسى (1-R) 2 / (2 * R). بىز ئويلىنىشنى پەرەز قىلىمىز
           1-100 دىن پىرسەنت شەكلىدە فورماتلىنىدۇ ۋە ئالدى بىلەن 100 گە بۆلۈش ئارقىلىق كۈچلۈكلۈكنى توغرىلايدۇ
           شۇنداق قىلىپ ئۇ تەڭلىمە مۆلچەرلىگەن شەكىلگە ماس كېلىدۇ.
           ئەگەر ھېچقايسىسى تاللانمىغان بولسا ، Open Specy يۈكلەنگەن سانلىق مەلۇماتنى پەرەز قىلىدۇ
           سۈمۈرگۈچ سپېكترى."
Sample File,ئۈلگە ھۆججەت
Sample Data Help,ئۈلگە سانلىق مەلۇمات ياردىمى
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,بۇ ئەۋرىشكە سپېكترى بولۇپ ، ئۇنى سىناش ۋە csv ھۆججىتىنىڭ قانداق فورماتلىنىشىنى چۈشىنىش ئۈچۈن قورالغا يۈكلىگىلى بولىدۇ.
Metadata Input,Metadata Input
Metadata Help,Metadata Help
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","يۈكلەنگەن سپېكترا ۋە مېتا سانلىق مەلۇماتلارنى سپېكتروسكوپ جەمئىيىتى بىلەن ئورتاقلىشىمىز ، ئەگەر بۇ يەردىكى مېتا سانلىق مەلۇماتلارنى تولدۇرۇپ ھەمبەھىرنى تاللىسىڭىز.
           يۈكلەنگەن سپېكترا ۋە مېتا سانلىق مەلۇماتلار بۇ يەردە كۆرۈنىدۇ: https://osf.io/rjg3c"
Share Metadata,Metadata نى ئورتاقلىشىش
Upload some data to get started...,باشلاش ئۈچۈن بەزى سانلىق مەلۇماتلارنى يۈكلەڭ ...
Preprocess Spectrum,Preprocess Spectrum
"Smooth, Baseline Correct, and Download Processed Spectra",سىلىق ، ئاساسىي سىزىق توغرا ۋە بىر تەرەپ قىلىنغان سپېكترا چۈشۈرۈش
Download (recommended),چۈشۈرۈش (تەۋسىيە)
Download Help,ياردەمنى چۈشۈرۈڭ
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,بەزى ئىشلەتكۈچىلەر بىر تەرەپ قىلىنغان سپېكترىنىڭ كۆپەيتىلگەن نۇسخىسىنى ساقلىۋېلىشى مۇمكىن. بۇ كۇنۇپكا csv ھۆججىتى سۈپىتىدە بىر تەرەپ قىلىنغان سپېكترىنى چۈشۈرىدۇ.
Smoothing,سىلىقلاش
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,بۇ سىلىقراق سانلىق مەلۇماتنىڭ شاۋقۇن نىسبىتىگە بولغان سىگنالنى يۇقىرى كۆتۈرەلەيدۇ ھەمدە 12 يۈرۈش سانلىق مەلۇمات نۇقتىسى ۋە كۆپ قۇتۇپلۇق كۆرسىتىلگەن Savitzky-Golay سۈزگۈچنى ئىشلىتىدۇ.
Smoothing Polynomial,كۆپ قۇتۇپلۇق
Baseline Correction,Baseline Correction
Baseline Correction Help,ئاساسىي تۈزەش ياردىمى
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.",بۇ ئاساسىي تۈزەش تۈزۈمىنىڭ ئاساسىي تۈزەشنىڭ ئىككى خىل تاللىشى بار ، 1) كۆپ قۇتۇپلۇق ئىممۇنىتېتلاش تەرتىپى سپېكترانىڭ پۈتكۈل رايونىغا كۆپ قۇتۇپلۇق ماس كېلىدىغان سپېكترىنىڭ ئاساسىي يولىنى تەكشىلىك بىلەن تېپىش. 2) سىيۇژىتتىكى قۇر قورال ئارقىلىق قولدا سىزىق سىزغىلى بولىدۇ ، توغرا كۇنۇپكا سىزىقنى ئىشلىتىپ ئاساسىي سىزىقنى ئالىدۇ.
Baseline Correction Polynomial,ئاساسىي تۈزەش كۆپ قۇتۇپلۇق
Technique,تېخنىكا
Polynomial,كۆپ خوتۇنلۇق
Manual,Manual
Correct With Trace,ئىز بىلەن توغرىلاش
Reset,ئەسلىگە قايتۇرۇش
Range Selection,Range Selection
Spectral Range Help,Spectral Range Help
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,سپېكترى دائىرىسىنى چەكلەش چوققىسى يوق رايونلارنى چىقىرىپ تاشلاپ ، ماسلىشىشنى ياخشىلايدۇ
Maximum Spectral Range,ئەڭ چوڭ سپېكترا دائىرىسى
Minimum Spectral Range,ئەڭ تۆۋەن چاستوتا دائىرىسى
Identify Spectrum,Spectrum نى ئېنىقلاڭ
Identify Spectrum Using the Reference Library,پايدىلىنىش ئامبىرىنى ئىشلىتىپ سپېكترىنى ئېنىقلاڭ
Raman,رامان
FTIR,FTIR
Spectra,Spectra
Type,تىپ
Spectrum Type Help,Spectrum Type ياردەم
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,بۇ تاللاش FTIR ياكى Raman ماس كېلىدىغان كۈتۈپخانىنىڭ ئىشلىتىلگەن ياكى ئىشلىتىلمىگەنلىكىنى بەلگىلەيدۇ. يۈكلەنگەن چاستوتا تۈرىنى تاللاڭ.
Analysis,تەھلىل
Processed,بىر تەرەپ قىلىندى
Uploaded,يۈكلەندى
Spectrum to Analyze Help,ياردەمنى تەھلىل قىلىدىغان سپېكترى
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,بۇ تاللاش يۈكلەنگەن (بىر تەرەپ قىلىنمىغان) سپېكترى ياكى بىر تەرەپ قىلىش بەتكۈچىنى ئىشلىتىپ بىر تەرەپ قىلىنغان سپېكترىنىڭ سپېكترى مۇسابىقىسىدە ئىشلىتىلىدىغان ياكى ئىشلىتىلمەيدىغانلىقىنى بەلگىلەيدۇ.
Region,رايون
Full,تولۇق
Peaks,چوققا
Region to Match Help,ياردەمگە ماس كېلىدىغان رايون
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,بۇ تاللاش سىز ماسلاشتۇرۇلغان كۇتۇپخانىنىڭ تولۇق سپېكترى ياكى پەقەت سپېكترى چوققىسىدىن تەركىب تاپقان ياكى ئەمەسلىكىنى بەلگىلەيدۇ.
Partner With Us,بىز بىلەن ھەمكارلاشقۇچى
Help us reach our goal of revolutionizing spectroscopy.,سپېكتروسكوپنى ئىنقىلاب قىلىش نىشانىمىزغا يېتىشىمىزگە ياردەم قىلىڭ.
Donate Cash,نەق پۇل ئىئانە قىلىڭ
Buy From Swag Store,Swag دۇكىنىدىن سېتىۋېلىڭ
Contribute time,تۆھپە قوشۇش
Revolutionizing,ئىنقىلاب
Thriving,جۇشقۇن
Maintaining,ئاسراش
Supporting,قوللاش
Saving,تېجەش
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,ئوچۇق Specy نى بىر چېكىش ئارقىلىق% 100 توغرا بولغان سپېكترا پەرقلەندۈرۈش ۋە چوڭقۇر سپېكترا دىئاگنوز قويۇشنىڭ ئاخىرقى نىشانىغا يېقىنلاشتۇرۇۋاتقان ھەقلىق گۇرۇپپا.
A single paid staff person working to update and build the community and the tool,مەھەللە ۋە قورالنى يېڭىلاش ۋە قۇرۇش ئۈچۈن ئىشلەيدىغان يەككە مائاشلىق خىزمەتچى
Maintenance costs and minor ad-hoc updates and bug fixes,ئاسراش خىراجىتى ۋە ۋاقىتلىق ئېلان يېڭىلاش ۋە خاتالىقلارنى ئوڭشاش
Keeping the app online and essential maintenance,ئەپنى توردا ساقلاش ۋە زۆرۈر ئاسراش
Long term storage only,پەقەت ئۇزۇن مۇددەتلىك ساقلاش
Sharing Metadata,Sharing Metadata
Thank you for sharing your data!,سانلىق مەلۇماتلىرىڭىزنى ھەمبەھىرلىگەنلىكىڭىزگە رەھمەت!
Your data will soon be available at https://osf.io/stmv4/,سانلىق مەلۇماتلىرىڭىزنى پات يېقىندا https://osf.io/stmv4/ دىن تاپالايسىز.
Something went wrong :-(,چاتاق چىقتى :-(
Data type not supported!,سانلىق مەلۇمات تىپى قوللىمايدۇ!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","يۈكلەنگەن سانلىق مەلۇمات تىپى ھازىرچە قوللىمايدۇ. كەچۈرۈڭ
                      تەپسىلاتلارنى قورال قوراللىرى ۋە «ھەققىدە» بەتكۈچىنى تەكشۈرۈڭ."
Sharing Spectrum to Community Library,مەھەللە كۈتۈپخانىسىغا تاماشا قىلىش
Reading Spectrum,Spectrum ئوقۇش
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","ئەگەر تېكىست / csv ھۆججىتىنى يۈكلىگەن بولسىڭىز ، جەزملەشتۈرۈڭ
           ستونلار رەقەملىك بولۇپ ، «wavenumber» ۋە
           «كۈچلۈكلۈك»."
absorbance intensity [-],سۈمۈرۈلۈشچانلىقى [-]
wavenumber [cm<sup>-1</sup>],wavenumber [cm <sup> -1 </sup>]
Analyzing Spectrum,Spectrum نى تەھلىل قىلىش
Finding Match,ماس تېپىش
Making Plot,پىلان تۈزۈش
Material,ماتېرىيال
Pearson's r,Pearson's r
Organization,تەشكىلات
Selectable Matches,تاللىغىلى بولىدىغان مۇسابىقە
Donations,ئىئانە
Operation Costs,مەشغۇلات خىراجىتى
Selection Metadata,تاللاش Metadata
