en,tr
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","Bu araçtaki tüm parametreler, bunu doğrulamak için test edilmiştir.
           araç mümkün olan en iyi şekilde çalışıyor ve en iyi varsayılanı belirliyor
           kullanılacak parametreler. Mevcut doğrulama işlemimiz, düzeltmeyi içerir
           referans kitaplıklarındaki yinelenen girişler, spektra kontrolü
           spektral kitaplıkta olmayan meta veriler ve varsayılanın sağlanması
           parametreler ilk maçta %80'in üzerinde doğruluk sağlar."
Detailed Validation Procedure,Ayrıntılı Doğrulama Prosedürü
"Updates, Feature Requests, and Bug Reports","Güncellemeler, Özellik İstekleri ve Hata Raporları"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,Kodumuzdaki sürüm kontrolünü kullanarak tüm güncellemeleri takip ediyoruz. GitHub'da özellikler istenebilir ve hata bildirilebilir.
Stay up to date!,Güncel kal!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,Bizi Twitter'da takip edin @OpenSpecy. Mail listesine eklenmek için wincowger@gmail.com adresine e-posta gönderin.
Citation,Alıntı
Useful Links,kullanışlı bağlantılar
Free FTIR Software: siMPle microplastic IR spectral identification software,Ücretsiz FTIR Yazılımı: basit mikroplastik IR spektral tanımlama yazılımı
Free Spectroscopy Learning Academy from ThermoFisher,ThermoFisher'dan Ücretsiz Spektroskopi Öğrenme Akademisi
Free Optical Microscopy Learning Resource from Florida State University,Florida Eyalet Üniversitesi'nden Ücretsiz Optik Mikroskopi Öğrenme Kaynağı
Free desktop application for spectral analysis and links to reference databases.,Spektral analiz için ücretsiz masaüstü uygulaması ve referans veritabanlarına bağlantılar.
Terms And Conditions,Şartlar ve koşullar
Privacy Policy,Gizlilik Politikası
Upload File,Dosya yükleme
"Upload, View, and Share Spectra","Spektrumları Yükleyin, Görüntüleyin ve Paylaşın"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File",".csv (tercih edilen), .asp, .jdx, .spc, .spa veya .0 Dosyasını seçin"
Share Your Data?,Verilerinizi Paylaşın?
Share Help,Yardımı Paylaş
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","Dilerseniz yüklediğiniz spektrumları ve ayarlarınızı spektroskopi topluluğu ile paylaşırız.
           Varsayılan olarak, tüm veriler Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0) kapsamında lisanslanacaktır.
           Yüklenen spektrumlar burada görünecektir: https://osf.io/rjg3c"
Upload Help,Yükleme Yardımı
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","Raman veya FTIR spektrum dosyalarını csv, jdx, spc veya spa olarak yükleyin. Bir csv dosyası tercih edilir. Bir csv ise, dosya (1/cm) birimlerinde 'dalga sayısı' etiketli bir sütun ve absorbans birimlerinde 'yoğunluk' etiketli başka bir sütun içermelidir.
            jdx, spc, spa veya 0 ise dosya, dalga numarası (1/cm) olan tek bir absorbans spektrumu olmalıdır. Bu dosyalar her zaman mükemmel çalışmayacaktır çünkü okunması zor olduğundan, onları başka bir yazılımda iki kez kontrol edin.
            Örnek bir Raman spektrumu indirmek için 'Test Verileri' düğmesine basın."
Intensity Adjustment,Yoğunluk Ayarı
None,Hiçbiri
Transmittance,geçirgenlik
Reflectance,yansıtma
Intensity Correction Help,Yoğunluk Düzeltme Yardımı
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","Yüklenen spektrum absorbans birimlerinde değilse,
           dönüştürülecek birimleri belirtmek için bu girişi kullanın.
           kullanarak Absorbans birimlerine yansıma veya geçirgenlik spektrumlarını ayarlayın
           dosya yükleme sekmesinde bu açılır menü. Önceki sekmelerin tümü
           verilerin absorbans birimlerinde olduğunu varsayalım, bu nedenle
           gerekirse devam etmeden önce düzeltme. geçirgenlik ayarı
           sistem için doğru olmayan log10(1/T) hesaplamasını kullanır
           ve parçacık özellikleri. Yansıma ayarı,
           Kubelka-Munk denklemi (1-R)2/(2*R). yansıması olduğunu varsayıyoruz.
           1-100 arasında yüzde olarak biçimlendirilir ve önce yoğunluğu 100'e bölerek düzeltin
           denklemin beklediği forma uyması için.
           Hiçbiri seçili değilse, Open Specy yüklenen verilerin
           bir absorbans spektrumu"
Sample File,Örnek Dosya
Sample Data Help,Örnek Veri Yardımı
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,"Bu, test etmek ve csv dosyalarının nasıl biçimlendirilmesi gerektiğini anlamak için araca yüklenebilecek örnek bir spektrumdur."
Metadata Input,Meta Veri Girişi
Metadata Help,Meta Veri Yardımı
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","Burada meta verileri doldurup paylaş'ı seçerseniz, yüklenen tüm spektrumları ve meta verileri spektroskopi topluluğuyla paylaşırız.
           Yüklenen spektrumlar ve meta veriler burada görünür: https://osf.io/rjg3c"
Share Metadata,Meta Verileri Paylaşın
Upload some data to get started...,Başlamak için biraz veri yükleyin...
Preprocess Spectrum,Önişlem Spektrumu
"Smooth, Baseline Correct, and Download Processed Spectra","Pürüzsüz, Temel Doğru ve İşlenmiş Spektrumları İndirin"
Download (recommended),İndir (önerilir)
Download Help,Yardımı İndir
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,"Bazı kullanıcılar, işlenmiş spektrumlarının bir kopyasını kaydetmek isteyebilir. Bu düğme, işlenmiş spektrumu bir csv dosyası olarak indirir."
Smoothing,yumuşatma
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,"Bu yumuşatıcı, verilerin sinyal-gürültü oranını iyileştirebilir ve 12 çalışan veri noktası ve belirtilen polinom ile bir Savitzky-Golay filtresi kullanır."
Smoothing Polynomial,Düzgünleştirme Polinomu
Baseline Correction,Temel Düzeltme
Baseline Correction Help,Temel Düzeltme Yardımı
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","Bu taban çizgisi düzeltme rutini, taban çizgisi düzeltmesi için iki seçeneğe sahiptir: 1) spektrumun tüm bölgesine bir polinom uydurma kullanarak spektrumun taban çizgisini yinelemeli olarak bulmak için polinom imodpolyfit prosedürü. 2) çizim üzerinde çizgi aracı kullanılarak manuel çizgiler çizilebilir ve doğru düğme, temel çizgiyi çıkarmak için çizgileri kullanır."
Baseline Correction Polynomial,Temel Düzeltme Polinomu
Technique,teknik
Polynomial,Polinom
Manual,Manuel
Correct With Trace,İz ile Doğru
Reset,Sıfırla
Range Selection,Aralık Seçimi
Spectral Range Help,Spektral Aralık Yardımı
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,"Spektral aralığın kısıtlanması, piklerin olmadığı spektrum bölgelerini kaldırabilir ve eşleşmeyi iyileştirebilir."
Maximum Spectral Range,Maksimum Spektral Aralık
Minimum Spectral Range,Minimum Spektral Aralık
Identify Spectrum,Spektrum tanımlayın
Identify Spectrum Using the Reference Library,Referans Kitaplığını Kullanarak Spektrumu Tanımlayın
Raman,Raman
FTIR,FTIR
Spectra,spektrum
Type,Tip
Spectrum Type Help,Spektrum Türü Yardımı
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,"Bu seçim, FTIR veya Raman eşleştirme kitaplığının kullanılıp kullanılmayacağını belirleyecektir. Yüklenen spektrum türünü seçin."
Analysis,analiz
Processed,İşlenmiş
Uploaded,yüklendi
Spectrum to Analyze Help,Yardımı Analiz Etmek için Spektrum
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,"Bu seçim, spektrum eşleşmesinde yüklenen (işlenmemiş) spektrumun mu yoksa işleme sekmesi kullanılarak işlenen spektrumun mu kullanılacağını belirleyecektir."
Region,Bölge
Full,Tam dolu
Peaks,zirveler
Region to Match Help,Eşleşecek Bölge Yardımı
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,"Bu seçim, eşleştirdiğiniz kitaplığın tam spektrumdan mı yoksa yalnızca spektrum tepe noktalarından mı oluşacağını belirleyecektir."
Partner With Us,Bizimle Ortak Olun
Help us reach our goal of revolutionizing spectroscopy.,Spektroskopide devrim yaratma hedefimize ulaşmamıza yardımcı olun.
Donate Cash,Nakit Bağış Yap
Buy From Swag Store,Swag Mağazasından Satın Alın
Contribute time,Katkı zamanı
Revolutionizing,devrim yaratan
Thriving,gelişen
Maintaining,bakım
Supporting,Destekleyici
Saving,kaydetme
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,Open Specy'yi tek bir tıklamayla %100 doğru spektral tanımlama ve derin spektral tanılama nihai hedefine yaklaştıran ücretli bir ekip
A single paid staff person working to update and build the community and the tool,Topluluğu ve aracı güncellemek ve oluşturmak için çalışan tek bir ücretli personel
Maintenance costs and minor ad-hoc updates and bug fixes,Bakım maliyetleri ve küçük geçici güncellemeler ve hata düzeltmeleri
Keeping the app online and essential maintenance,Uygulamayı çevrimiçi tutma ve temel bakım
Long term storage only,Yalnızca uzun süreli depolama
Sharing Metadata,Meta Verileri Paylaşma
Thank you for sharing your data!,Verilerinizi paylaştığınız için teşekkür ederiz!
Your data will soon be available at https://osf.io/stmv4/,Verileriniz yakında https://osf.io/stmv4/ adresinde mevcut olacak.
Something went wrong :-(,Bir şeyler yanlış gitti :-(
Data type not supported!,Veri türü desteklenmiyor!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","Yüklenen veri türü şu anda desteklenmiyor; lütfen
                      ayrıntılar için araç ipuçlarını ve 'Hakkında' sekmesini kontrol edin."
Sharing Spectrum to Community Library,Spektrumu Topluluk Kitaplığıyla Paylaşma
Reading Spectrum,Spektrum Okuma
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","Bir metin/csv dosyası yüklediyseniz,
           sütunlar sayısaldır ve 'wavenumber' olarak adlandırılır ve
           'yoğunluk'."
absorbance intensity [-],absorbans yoğunluğu [-]
wavenumber [cm<sup>-1</sup>],dalga sayısı [cm<sup>-1</sup>]
Analyzing Spectrum,Spektrum Analizi
Finding Match,Eşleşme Bulma
Making Plot,arsa yapma
Material,Malzeme
Pearson's r,Pearson'ın r'si
Organization,organizasyon
Selectable Matches,Seçilebilir Eşleşmeler
Donations,Bağışlar
Operation Costs,Operasyon Maliyetleri
Selection Metadata,Seçim Meta Verileri
