en,sw
Community Data Warehouse,Ghala la Data ya Jamii
Tool Validation,Uthibitishaji wa Zana
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","Vigezo vyote kwenye chombo hiki vinajaribiwa ili kuthibitisha hilo
           chombo kinafanya kazi vizuri iwezekanavyo na kuamua chaguo-msingi bora
           vigezo vya kutumia. Utaratibu wetu wa sasa wa uthibitishaji ni pamoja na kusahihisha
           maingizo yaliyorudiwa katika maktaba za marejeleo, kuangalia kwa spectra ndani
           metadata ambayo haiko kwenye maktaba ya maonyesho, na kuhakikisha chaguo-msingi
           vigezo kutoa zaidi ya 80% usahihi katika mechi ya kwanza."
Detailed Validation Procedure,Utaratibu wa Kina wa Uthibitishaji
"Updates, Feature Requests, and Bug Reports","Masasisho, Maombi ya Kipengele, na Ripoti za Hitilafu"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,Tunafuatilia masasisho yote kwa kutumia udhibiti wa matoleo kwenye msimbo wetu. Vipengele vinaweza kuombwa na mdudu kuripotiwa kwenye GitHub.
Stay up to date!,Endelea kusasishwa!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,Tufuate kwenye Twitter @OpenSpecy. Barua pepe wincowger@gmail.com ili kuongezwa kwenye orodha ya wanaopokea barua pepe.
Citation,Nukuu
Useful Links,Viungo Muhimu
Free FTIR Software: siMPle microplastic IR spectral identification software,Programu ya Bure ya FTIR: programu rahisi ya utambulisho wa spectral ya microplastic ya IR
Free Spectroscopy Learning Academy from ThermoFisher,Chuo cha Kujifunza cha Bure cha Spectroscopy kutoka ThermoFisher
Free Optical Microscopy Learning Resource from Florida State University,Nyenzo ya Kujifunza ya Hadubini ya Macho bila Malipo kutoka Chuo Kikuu cha Jimbo la Florida
Free desktop application for spectral analysis and links to reference databases.,Programu ya bure ya eneo-kazi kwa uchanganuzi wa taswira na viungo vya hifadhidata za kumbukumbu.
Terms And Conditions,Sheria na Masharti
Privacy Policy,Sera ya Faragha
Upload File,Pakia Faili
"Upload, View, and Share Spectra","Pakia, Tazama, na Shiriki Spectra"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File","Chagua .csv (inayopendekezwa), .asp, .jdx, .spc, .spa, au .0 Faili"
Share Your Data?,Shiriki Data Yako?
Share Help,Shiriki Msaada
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","Ukipenda, tunashiriki mwonekano na mipangilio yako iliyopakiwa na jumuiya ya taswira.
           Kwa chaguomsingi, data yote itapewa leseni chini ya Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Muonekano uliopakiwa utaonekana hapa: https://osf.io/rjg3c"
Upload Help,Msaada wa Kupakia
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","Pakia faili za wigo za Raman au FTIR kama csv, jdx, spc, au spa. Faili ya csv inapendekezwa. Ikiwa csv, faili lazima iwe na safu wima moja iliyoandikwa 'nambari ya wimbi' katika vitengo vya (1/cm) na safu wima nyingine iliyoandikwa 'kiwango' katika vitengo vya kunyonya.
            Ikiwa jdx, spc, spa, au 0 faili inapaswa kuwa wigo mmoja wa kunyonya na nambari ya wimbi katika (1/cm). Faili hizi hazitafanya kazi kikamilifu kila wakati kwa sababu ni gumu kusoma kwa hivyo ziangalie mara mbili kwenye programu nyingine.
            Gonga kitufe cha 'Data ya Kujaribu' ili kupakua sampuli ya wigo wa Raman."
Intensity Adjustment,Marekebisho ya Nguvu
None,Hakuna
Transmittance,Upitishaji
Reflectance,Kuakisi
Intensity Correction Help,Usaidizi wa Kurekebisha Nguvu
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","Ikiwa wigo uliopakiwa hauko katika vitengo vya kunyonya,
           tumia ingizo hili kubainisha vitengo vya kubadilisha kutoka.Open Specy can
           rekebisha uakisi au mwonekano wa upitishaji kwa vitengo vya Absorbance kwa kutumia
           kunjuzi hii katika kichupo cha faili ya upakiaji. Vichupo vyote vilivyotangulia
           fikiria kuwa data iko katika vitengo vya kunyonya kwa hivyo unapaswa kutengeneza
           marekebisho kabla ya kuendelea kama inahitajika. Marekebisho ya upitishaji
           hutumia hesabu ya log10(1/T) ambayo si sahihi kwa mfumo
           na sifa za chembe. Marekebisho ya uakisi hutumia
           Mlinganyo wa Kubelka-Munk (1-R)2/(2*R). Tunadhania kuwa tafakari
           imeumbizwa kama asilimia kutoka 1-100 na kwanza kurekebisha ukubwa kwa kugawanya na 100.
           ili ilingane na fomu inayotarajiwa na mlinganyo.
           Ikiwa hakuna iliyochaguliwa, Open Specy inadhania kuwa data iliyopakiwa ni
           wigo wa kunyonya."
Sample File,Sampuli ya Faili
Sample Data Help,Sampuli ya Usaidizi wa Data
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,Huu ni sampuli ya wigo inayoweza kupakiwa kwa zana ya kuijaribu na kuelewa jinsi faili za csv zinapaswa kuumbizwa.
Metadata Input,Ingizo la Metadata
Metadata Help,Msaada wa Metadata
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","Tunashiriki mwonekano na metadata yoyote iliyopakiwa na jumuiya ya spectroscopy ikiwa utajaza metadata hapa na kuchagua kushiriki.
           Muonekano na metadata iliyopakiwa itaonekana hapa: https://osf.io/rjg3c"
Share Metadata,Shiriki Metadata
Upload some data to get started...,Pakia baadhi ya data ili kuanza...
Preprocess Spectrum,Preprocess Spectrum
"Smooth, Baseline Correct, and Download Processed Spectra","Laini, Sahihi ya Msingi, na Pakua Spectra Iliyochakatwa"
Download (recommended),Pakua (inapendekezwa)
Download Help,Pakua Msaada
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,Watumiaji wengine wanaweza kutaka kuhifadhi nakala ya wigo wao uliochakatwa. Kitufe hiki hupakua wigo uliochakatwa kama faili ya csv.
Smoothing,Kulainisha
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,Ulaini huu unaweza kuongeza uwiano wa mawimbi na kelele wa data na hutumia kichujio cha Savitzky-Golay chenye pointi 12 za data zinazoendeshwa na polynomial iliyobainishwa.
Smoothing Polynomial,Smoothing Polynomial
Baseline Correction,Marekebisho ya Msingi
Baseline Correction Help,Usaidizi wa Marekebisho ya Msingi
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","Ratiba hii ya kusahihisha ya msingi ina chaguo mbili za urekebishaji wa msingi, 1) utaratibu wa polynomial imodpolyfit ili kupata kwa usawa msingi wa wigo kwa kutumia upataji wa polinomia kwa eneo zima la spectra. 2) mistari ya mwongozo inaweza kuchorwa kwa kutumia zana ya mstari kwenye njama na kitufe sahihi kitatumia mistari kutoa msingi."
Baseline Correction Polynomial,Polynomial ya Marekebisho ya Msingi
Technique,Mbinu
Polynomial,Polynomial
Manual,Mwongozo
Correct With Trace,Sahihi na Trace
Reset,Weka upya
Range Selection,Uteuzi wa Masafa
Spectral Range Help,Msaada wa Masafa ya Spectral
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,Kuzuia mfululizo wa spectral kunaweza kuondoa maeneo ya wigo ambapo hakuna vilele vilivyopo na kuboresha ulinganishaji
Maximum Spectral Range,Upeo wa Masafa ya Tahadhari
Minimum Spectral Range,Kiwango cha Chini cha Masafa ya Tahadhari
Identify Spectrum,Tambua Spectrum
Identify Spectrum Using the Reference Library,Tambua Spectrum Kwa Kutumia Maktaba ya Marejeleo
Raman,Raman
FTIR,FTIR
Spectra,Spectra
Type,Aina
Spectrum Type Help,Msaada wa Aina ya Spectrum
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,Uteuzi huu utaamua ikiwa maktaba ya FTIR au Raman inayolingana inatumika. Chagua aina ya wigo iliyopakiwa.
Analysis,Uchambuzi
Processed,Imechakatwa
Uploaded,Imepakiwa
Spectrum to Analyze Help,Spectrum ya Kuchambua Msaada
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,Uteuzi huu utabainisha ikiwa wigo uliopakiwa (haujachakatwa) au wigo uliochakatwa kwa kutumia kichupo cha kuchakata unatumika katika ulinganifu wa masafa.
Region,Mkoa
Full,Imejaa
Peaks,Vilele
Region to Match Help,Usaidizi wa Eneo Ili Kulingana
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,Uteuzi huu utabainisha ikiwa maktaba unayolinganisha nayo inajumuisha wigo kamili au vilele vya wigo pekee.
Partner With Us,Shirikiana Nasi
Help us reach our goal of revolutionizing spectroscopy.,Tusaidie kufikia lengo letu la kuleta mapinduzi ya tasnia.
Donate Cash,Changia Pesa
Buy From Swag Store,Nunua Kutoka kwa Duka la Swag
Contribute time,Changia wakati
Revolutionizing,Kufanya mapinduzi
Thriving,Kustawi
Maintaining,Kudumisha
Supporting,Kuunga mkono
Saving,Kuhifadhi
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,Timu inayolipwa ambayo inasukuma Open Specy karibu na lengo kuu la utambuzi sahihi wa 100% wa picha na uchunguzi wa kina kwa mbofyo mmoja.
A single paid staff person working to update and build the community and the tool,Mfanyikazi mmoja anayelipwa anayefanya kazi kusasisha na kujenga jumuiya na zana
Maintenance costs and minor ad-hoc updates and bug fixes,Gharama za matengenezo na masasisho madogo ya ad-hoc na marekebisho ya hitilafu
Keeping the app online and essential maintenance,Kuweka programu mtandaoni na matengenezo muhimu
Long term storage only,Hifadhi ya muda mrefu tu
Sharing Metadata,Kushiriki Metadata
Thank you for sharing your data!,Asante kwa kushiriki data yako!
Your data will soon be available at https://osf.io/stmv4/,Data yako itapatikana hivi karibuni kwenye https://osf.io/stmv4/
Something went wrong :-(,Hitilafu fulani imetokea :-(
Data type not supported!,Aina ya data haitumiki!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","Aina ya data iliyopakiwa haitumiki kwa sasa; tafadhali
                      angalia vidokezo vya zana na kichupo cha 'Kuhusu' kwa maelezo."
Sharing Spectrum to Community Library,Kushiriki Spectrum kwa Maktaba ya Jumuiya
Reading Spectrum,Spectrum ya Kusoma
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","Ikiwa ulipakia faili ya maandishi/csv, hakikisha kwamba faili ya
           safu wima ni nambari na zinaitwa 'wavenumber' na
           'kiwango'."
absorbance intensity [-],nguvu ya kunyonya [-]
wavenumber [cm<sup>-1</sup>],nambari ya wimbi [cm<sup>-1</sup>]
Analyzing Spectrum,Uchambuzi wa Spectrum
Finding Match,Kupata Mechi
Making Plot,Kutengeneza Njama
Material,Nyenzo
Pearson's r,Nambari ya Pearson
Organization,Shirika
Selectable Matches,Mechi Zinazoweza Kuchaguliwa
Donations,Michango
Operation Costs,Gharama za Uendeshaji
Selection Metadata,Metadata ya Uteuzi
