en,hu
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","A spektrumok megosztásához töltsön fel egy fájlt a feltöltési fájl fülre. Ha a Megosztás lehetőséget választotta, a spektruma egy példányát elküldi a közösségnek
           Adattárház a nyílt tudományos keretrendszeren. További metaadatok hozzáadásához
           töltse ki a rendelkezésre álló metaadatmezőket, és kattintson az -Adatok megosztása- gombra. A
           A válaszaival együtt feltöltött spektrumfájl másolásra kerül
           az alábbi linken található a -Metaadatokkal- almappába. Minden megosztott adat megőrzésre kerül
           a Creative Commons Nevezd meg! Licenc 4.0."
Community Data Warehouse,Közösségi adattárház
Tool Validation,Eszköz érvényesítése
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","Ennek az eszköznek az összes paramétere tesztelve van ennek ellenőrzésére
           az eszköz a lehető legjobban működik, és határozza meg a legjobb alapértelmezett értéket
           használható paraméterek. Jelenlegi érvényesítési eljárásunk magában foglalja a javítást
           duplikált bejegyzések a referenciakönyvtárban, spektrumok ellenőrzése
           metaadatokat, amelyek nem szerepelnek a spektrális könyvtárban, és biztosítják az alapértelmezett értéket
           paraméterek 80% feletti pontosságot biztosítanak az első meccsen."
Detailed Validation Procedure,Részletes érvényesítési eljárás
"Updates, Feature Requests, and Bug Reports","Frissítések, funkciókérések és hibajelentések"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,"Az összes frissítést a kódunkban található verzióvezérlő segítségével követjük nyomon. A funkciók a GitHubon igényelhetők, és a hibákat jelenthetik."
Stay up to date!,Maradj naprakész!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,"Kövessen minket a Twitteren @OpenSpecy. E-mail a wincowger@gmail.com címre, hogy felkerüljön a levelezőlistára."
Citation,Idézet
Useful Links,Hasznos Linkek
Free FTIR Software: siMPle microplastic IR spectral identification software,Ingyenes FTIR szoftver: egyszerű mikroműanyag IR spektrális azonosító szoftver
Free Spectroscopy Learning Academy from ThermoFisher,Ingyenes spektroszkópiai tanulási akadémia a ThermoFishertől
Free Optical Microscopy Learning Resource from Florida State University,Ingyenes optikai mikroszkópos oktatóanyag a Florida State University-től
Free desktop application for spectral analysis and links to reference databases.,Ingyenes asztali alkalmazás spektrális elemzéshez és hivatkozási adatbázisokhoz.
Terms And Conditions,Felhasználási feltételek
Privacy Policy,Adatvédelmi irányelvek
Upload File,Fájl feltöltés
"Upload, View, and Share Spectra","Spectra feltöltése, megtekintése és megosztása"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File","Válassza a .csv (preferált), .asp, .jdx, .spc, .spa vagy .0 fájlt"
Share Your Data?,Megosztja adatait?
Share Help,Súgó megosztása
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","Ha tetszik, megosztjuk feltöltött spektrumait és beállításait a spektroszkópiai közösséggel.
           Alapértelmezés szerint az összes adatot a Creative Commons Nevezd meg – Nevezd meg – Nem kereskedelmi 4.0 International (CC BY-NC 4.0) licenccel.
           A feltöltött spektrumok itt jelennek meg: https://osf.io/rjg3c"
Upload Help,Súgó feltöltése
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","Raman vagy FTIR spektrumfájlok feltöltése csv, jdx, spc vagy spa formátumban. Csv fájl előnyben részesítendő. CSV esetén a fájlnak tartalmaznia kell egy „hullámszám” feliratú oszlopot (1/cm) és egy másik „intenzitás” feliratú oszlopot abszorbancia mértékegységben.
            Ha jdx, spc, spa vagy 0, a fájlnak egyetlen abszorbanciaspektrumnak kell lennie, hullámszámmal (1/cm). Ezek a fájlok nem mindig működnek tökéletesen, mert nehezen olvashatók, ezért ellenőrizze őket egy másik szoftverben.
            Nyomja meg a „Tesztadatok” gombot a minta Raman spektrum letöltéséhez."
Intensity Adjustment,Intenzitás beállítása
None,Egyik sem
Transmittance,Transmittancia
Reflectance,Reflexió
Intensity Correction Help,Súgó az intenzitás korrekciójához
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","Ha a feltöltött spektrum nem abszorbancia egységekben van megadva,
           ezzel a bemenettel adja meg a konvertálni kívánt mértékegységeket.Open Specy can
           segítségével állítsa be a reflexiós vagy transzmissziós spektrumot az abszorbancia mértékegységeihez
           ezt a legördülő listát a feltöltési fájl lapon. Az összes előző lap
           tételezzük fel, hogy az adatok abszorbancia egységekben vannak megadva, ezért meg kell tennie a
           korrekciót, mielőtt folytatná, ha szükséges. Az áteresztőképesség beállítása
           a log10(1/T) számítást használja, ami nem helyes a rendszer számára
           és a részecskék jellemzői. A reflektancia-beállítás a
           Kubelka-Munk egyenlet (1-R)2/(2*R). Feltételezzük, hogy a reflexió
           százalékban van formázva 1 és 100 között, és először korrigálja az intenzitást 100-zal való osztással
           hogy illeszkedjen az egyenlet által elvárt formához.
           Ha egyik sem van kiválasztva, az Open Specy azt feltételezi, hogy a feltöltött adatok igen
           egy abszorbancia spektrum."
Sample File,Mintafájl
Sample Data Help,Mintaadat-súgó
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,"Ez egy mintaspektrum, amely feltölthető az eszközbe, hogy tesztelje, és megértse, hogyan kell formázni a csv fájlokat."
Metadata Input,Metaadat bevitel
Metadata Help,Metaadat súgó
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","Minden feltöltött spektrumot és metaadatot megosztunk a spektroszkópiai közösséggel, ha itt kitölti a metaadatokat, és kiválasztja a megosztás lehetőséget.
           A feltöltött spektrumok és metaadatok itt jelennek meg: https://osf.io/rjg3c"
Share Metadata,Metaadatok megosztása
Upload some data to get started...,A kezdéshez töltsön fel néhány adatot...
Preprocess Spectrum,Előfeldolgozási spektrum
"Smooth, Baseline Correct, and Download Processed Spectra","Sima, alapvonal-korrekció és feldolgozott spektrumok letöltése"
Download (recommended),Letöltés (ajánlott)
Download Help,Letöltés Súgó
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,"Előfordulhat, hogy egyes felhasználók másolatot szeretnének menteni a feldolgozott spektrumukról. Ez a gomb letölti a feldolgozott spektrumot csv fájlként."
Smoothing,Simítás
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,"Ez a simító javíthatja az adatok jel-zaj arányát, és Savitzky-Golay szűrőt használ 12 futó adatponttal és a megadott polinomokkal."
Smoothing Polynomial,Simító polinom
Baseline Correction,Alapvonal korrekció
Baseline Correction Help,Alaphelyzeti korrekciós súgó
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","Ennek az alapvonal-korrekciós rutinnak két lehetősége van az alapvonal-korrekcióra: 1) a polinomiális imodpolyfit eljárás a spektrum alapvonalának iteratív megkeresésére polinomiális illesztés segítségével a spektrum teljes tartományára. 2) manuális vonalak rajzolhatók a vonal eszközzel a diagramon, és a megfelelő gomb a vonalak segítségével kivonja az alapvonalat."
Baseline Correction Polynomial,Alapvonali korrekciós polinom
Technique,Technika
Polynomial,Polinom
Manual,Kézikönyv
Correct With Trace,Helyes Trace-vel
Reset,Visszaállítás
Range Selection,Tartomány kiválasztása
Spectral Range Help,Spektrális tartomány Súgó
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,"A spektrális tartomány korlátozása eltávolíthatja a spektrum azon régióit, ahol nincsenek csúcsok, és javíthatja az illeszkedést"
Maximum Spectral Range,Maximális spektrális tartomány
Minimum Spectral Range,Minimális spektrális tartomány
Identify Spectrum,Azonosítsa a spektrumot
Identify Spectrum Using the Reference Library,A spektrum azonosítása a referenciakönyvtár segítségével
Raman,Raman
FTIR,FTIR
Spectra,Spectra
Type,típus
Spectrum Type Help,Spectrum Type Help
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,"Ez a kiválasztás határozza meg, hogy az FTIR vagy a Raman megfelelő könyvtárat használja-e. Válassza ki a feltöltött spektrum típusát."
Analysis,Elemzés
Processed,Feldolgozott
Uploaded,Feltöltve
Spectrum to Analyze Help,Spektrum az elemzéshez Súgó
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,"Ez a kiválasztás határozza meg, hogy a feltöltött (nem feldolgozott) vagy a feldolgozási lapon feldolgozott spektrum kerül-e felhasználásra a spektrumegyeztetésben."
Region,Vidék
Full,Teljes
Peaks,Csúcsok
Region to Match Help,Régió megfelelő segítség
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,"Ez a kiválasztás határozza meg, hogy az illesztéshez használt könyvtár a teljes spektrumból vagy csak a spektrumcsúcsokból áll-e."
Partner With Us,Partner velünk
Help us reach our goal of revolutionizing spectroscopy.,"Segítsen elérni célunkat, a spektroszkópia forradalmasítását."
Donate Cash,Adományozzon készpénzt
Buy From Swag Store,Vásároljon a Swag Store-ból
Contribute time,Adjon hozzá időt
Revolutionizing,Forradalmasító
Thriving,Virágzó
Maintaining,Karbantartás
Supporting,Támogató
Saving,Megtakarítás
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,"Fizetett csapat, amely egyetlen kattintással közelebb viszi az Open Specy-t a végső célhoz, a 100%-ban pontos spektrális azonosításhoz és a mély spektrális diagnosztikához"
A single paid staff person working to update and build the community and the tool,"Egyetlen fizetett alkalmazott, aki a közösség és az eszköz frissítésén és felépítésén dolgozik"
Maintenance costs and minor ad-hoc updates and bug fixes,Karbantartási költségek és kisebb ad hoc frissítések és hibajavítások
Keeping the app online and essential maintenance,Az alkalmazás online tartása és alapvető karbantartása
Long term storage only,Csak hosszú távú tárolás
Sharing Metadata,Metaadatok megosztása
Thank you for sharing your data!,"Köszönjük, hogy megosztotta adatait!"
Your data will soon be available at https://osf.io/stmv4/,Adatai hamarosan elérhetők lesznek a https://osf.io/stmv4/ oldalon
Something went wrong :-(,Valami elromlott :-(
Data type not supported!,Az adattípus nem támogatott!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","A feltöltött adattípus jelenleg nem támogatott; kérem
                      részletekért tekintse meg az eszköztippeket és a ""Névjegy"" lapot."
Sharing Spectrum to Community Library,Spektrum megosztása a közösségi könyvtárral
Reading Spectrum,Olvasási spektrum
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","Ha szöveges/csv fájlt töltött fel, győződjön meg arról, hogy a
           az oszlopok numerikusak, és „hullámszám” névvel rendelkeznek, és
           'intenzitás'."
absorbance intensity [-],elnyelési intenzitás [-]
wavenumber [cm<sup>-1</sup>],hullámszám [cm<sup>-1</sup>]
Analyzing Spectrum,Spektrum elemzése
Finding Match,Egyezés keresése
Making Plot,Cselekmény készítése
Material,Anyag
Pearson's r,Pearson r
Organization,Szervezet
Selectable Matches,Választható egyezések
Donations,Adományok
Operation Costs,Működési költségek
Selection Metadata,Metaadatok kiválasztása
