en,ru
Sharing Metadata,Обмен метаданными
Thank you for sharing your data!,"Спасибо, что поделились своими данными!"
Your data will soon be available at https://osf.io/stmv4/,Ваши данные скоро будут доступны по адресу https://osf.io/stmv4/.
Something went wrong :-(,Что-то пошло не так :-(
Data type not supported!,Тип данных не поддерживается!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","Загруженный тип данных в настоящее время не поддерживается; пожалуйста
                      проверьте всплывающие подсказки и вкладку «О программе» для получения подробной информации."
Sharing Spectrum to Community Library,Передача спектра в библиотеку сообщества
Reading Spectrum,Спектр чтения
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","Если вы загрузили текстовый / CSV-файл, убедитесь, что
           столбцы числовые и называются ""волновое число"" и
           «интенсивность»."
absorbance intensity [-],интенсивность поглощения [-]
wavenumber [cm<sup>-1</sup>],волновое число [см <sup> -1 </sup>]
Analyzing Spectrum,Анализируя спектр
Finding Match,Поиск совпадения
Making Plot,Создание сюжета
Material,Материал
Pearson's r,Пирсона r
Organization,Организация
Selectable Matches,Выбираемые совпадения
Donations,Пожертвования
Operation Costs,Затраты на эксплуатацию
Selection Metadata,Метаданные выбора
