en,bn
Free Optical Microscopy Learning Resource from Florida State University,ফ্লোরিডা স্টেট ইউনিভার্সিটি থেকে বিনামূল্যে অপটিক্যাল মাইক্রোস্কোপি লার্নিং রিসোর্স
Free desktop application for spectral analysis and links to reference databases.,বর্ণালী বিশ্লেষণ এবং রেফারেন্স ডেটাবেসের লিঙ্কগুলির জন্য বিনামূল্যে ডেস্কটপ অ্যাপ্লিকেশন।
Terms And Conditions,শর্তাবলী
Privacy Policy,গোপনীয়তা নীতি
Upload File,ফাইল আপলোড করুন
"Upload, View, and Share Spectra","স্পেকট্রা আপলোড করুন, দেখুন এবং শেয়ার করুন"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File",".csv (পছন্দের), .asp, .jdx, .spc, .spa, বা .0 ফাইল বেছে নিন"
Share Your Data?,আপনার ডেটা শেয়ার করবেন?
Share Help,সাহায্য শেয়ার করুন
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","আপনি যদি চান, আমরা স্পেকট্রোস্কোপি সম্প্রদায়ের সাথে আপনার আপলোড করা স্পেকট্রা এবং সেটিংস শেয়ার করি।
           ডিফল্টরূপে, সমস্ত ডেটা ক্রিয়েটিভ কমন্স অ্যাট্রিবিউশন-অবাণিজ্যিক 4.0 ইন্টারন্যাশনাল (CC BY-NC 4.0) এর অধীনে লাইসেন্স করা হবে।
           আপলোড করা স্পেকট্রা এখানে প্রদর্শিত হবে: https://osf.io/rjg3c"
Upload Help,আপলোড সাহায্য
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","Raman বা FTIR স্পেকট্রাম ফাইলগুলিকে csv, jdx, spc, বা spa হিসাবে আপলোড করুন৷ একটি csv ফাইল পছন্দ করা হয়। একটি csv হলে, ফাইলটিতে অবশ্যই (1/সেমি) এককগুলিতে 'ওয়েভেনম্বার' লেবেলযুক্ত একটি কলাম এবং শোষণ ইউনিটগুলিতে 'তীব্রতা' লেবেলযুক্ত আরেকটি কলাম থাকতে হবে।
            jdx, spc, spa, বা 0 হলে ফাইলটি (1/সেমি) তরঙ্গ সংখ্যা সহ একটি একক শোষণকারী বর্ণালী হওয়া উচিত। এই ফাইলগুলি সর্বদা নিখুঁতভাবে কাজ করবে না কারণ সেগুলি পড়তে কৌশলী তাই অন্য সফ্টওয়্যারে তাদের দুবার চেক করুন৷
            একটি নমুনা রমন স্পেকট্রাম ডাউনলোড করতে 'টেস্ট ডেটা' বোতাম টিপুন।"
Intensity Adjustment,তীব্রতা সামঞ্জস্য
None,কোনোটিই নয়
Transmittance,ট্রান্সমিট্যান্স
Reflectance,প্রতিফলন
Intensity Correction Help,তীব্রতা সংশোধন সাহায্য
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","যদি আপলোড করা স্পেকট্রাম শোষণ ইউনিটে না থাকে,
           থেকে রূপান্তর করতে ইউনিট নির্দিষ্ট করতে এই ইনপুট ব্যবহার করুন. Open Specy can
           ব্যবহার করে শোষণ ইউনিটে প্রতিফলন বা ট্রান্সমিট্যান্স স্পেকট্রা সামঞ্জস্য করুন
           আপলোড ফাইল ট্যাবে এই ড্রপ ডাউন. পূর্ববর্তী ট্যাব সব
           অনুমান করুন যে ডেটা শোষণ ইউনিটে রয়েছে তাই আপনার করা উচিত
           প্রয়োজন হলে চালিয়ে যাওয়ার আগে সংশোধন করুন। ট্রান্সমিট্যান্স সমন্বয়
           log10(1/T) গণনা ব্যবহার করে যা সিস্টেমের জন্য সঠিক নয়
           এবং কণা বৈশিষ্ট্য। প্রতিফলন সমন্বয় ব্যবহার করে
           কুবেলকা-মুঙ্ক সমীকরণ (1-R)2/(2*R)। আমরা যে প্রতিফলন অনুমান
           1-100 থেকে শতাংশ হিসাবে ফর্ম্যাট করা হয় এবং প্রথমে 100 দ্বারা ভাগ করে তীব্রতা সংশোধন করুন
           যাতে এটি সমীকরণ দ্বারা প্রত্যাশিত ফর্মের সাথে খাপ খায়।
           যদি কোনোটিই নির্বাচিত না হয়, ওপেন স্পেসি ধরে নেয় যে আপলোড করা ডেটা
           একটি শোষণ বর্ণালী।"
Sample File,নমুনা ফাইল
Sample Data Help,নমুনা ডেটা সহায়তা
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,এটি একটি নমুনা বর্ণালী যা এটি পরীক্ষা করার জন্য এবং CSV ফাইলগুলি কীভাবে ফর্ম্যাট করা উচিত তা বোঝার জন্য টুলটিতে আপলোড করা যেতে পারে।
Metadata Input,মেটাডেটা ইনপুট
Metadata Help,মেটাডেটা সাহায্য
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","আপনি যদি এখানে মেটাডেটা পূরণ করেন এবং শেয়ার নির্বাচন করেন তবে আমরা স্পেকট্রোস্কোপি সম্প্রদায়ের সাথে যেকোন আপলোড করা স্পেকট্রা এবং মেটাডেটা শেয়ার করি।
           আপলোড করা স্পেকট্রা এবং মেটাডেটা এখানে প্রদর্শিত হবে: https://osf.io/rjg3c"
Share Metadata,মেটাডেটা শেয়ার করুন
Upload some data to get started...,শুরু করতে কিছু ডেটা আপলোড করুন...
Preprocess Spectrum,প্রিপ্রসেস স্পেকট্রাম
"Smooth, Baseline Correct, and Download Processed Spectra","মসৃণ, বেসলাইন সঠিক, এবং প্রক্রিয়াকৃত স্পেকট্রা ডাউনলোড করুন"
Download (recommended),ডাউনলোড করুন (প্রস্তাবিত)
Download Help,সাহায্য ডাউনলোড করুন
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,কিছু ব্যবহারকারী তাদের প্রক্রিয়াকৃত স্পেকট্রামের একটি অনুলিপি সংরক্ষণ করতে চাইতে পারেন। এই বোতামটি একটি csv ফাইল হিসাবে প্রক্রিয়াকৃত স্পেকট্রাম ডাউনলোড করে।
Smoothing,স্মুথিং
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,এই মসৃণটি ডেটার শব্দের অনুপাতের সংকেতকে উন্নত করতে পারে এবং 12টি চলমান ডেটা পয়েন্ট এবং নির্দিষ্ট বহুপদী সহ একটি Savitzky-Golay ফিল্টার ব্যবহার করে।
Smoothing Polynomial,মসৃণ বহুপদ
Baseline Correction,বেসলাইন সংশোধন
Baseline Correction Help,বেসলাইন সংশোধন সাহায্য
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","এই বেসলাইন সংশোধন রুটিনে বেসলাইন সংশোধনের জন্য দুটি বিকল্প রয়েছে, 1) বহুপদী ইমডপলিফিট পদ্ধতি বর্ণালীর সমগ্র অঞ্চলে বহুপদী ফিট ব্যবহার করে বর্ণালীর বেসলাইনটি পুনরাবৃত্তিমূলকভাবে খুঁজে বের করতে। 2) ম্যানুয়াল লাইনগুলি প্লটে লাইন টুল ব্যবহার করে আঁকা যেতে পারে এবং সঠিক বোতামটি বেসলাইন বিয়োগ করতে লাইনগুলি ব্যবহার করবে।"
Baseline Correction Polynomial,বেসলাইন সংশোধন বহুপদী
Technique,প্রযুক্তি
Polynomial,বহুপদ
Manual,ম্যানুয়াল
Correct With Trace,ট্রেস দিয়ে সঠিক করুন
Reset,রিসেট
Range Selection,পরিসর নির্বাচন
Spectral Range Help,বর্ণালী পরিসীমা সাহায্য
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,বর্ণালী পরিসর সীমাবদ্ধ করলে বর্ণালীর এমন অঞ্চলগুলিকে সরিয়ে দেওয়া যায় যেখানে কোন শিখর নেই এবং মিলের উন্নতি করতে পারে
Maximum Spectral Range,সর্বাধিক বর্ণালী পরিসীমা
Minimum Spectral Range,ন্যূনতম বর্ণালী পরিসীমা
Identify Spectrum,বর্ণালী সনাক্ত করুন
Identify Spectrum Using the Reference Library,রেফারেন্স লাইব্রেরি ব্যবহার করে স্পেকট্রাম সনাক্ত করুন
Raman,রমন
FTIR,এফটিআইআর
Spectra,স্পেকট্রা
Type,টাইপ
Spectrum Type Help,স্পেকট্রাম টাইপ সাহায্য
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,এই নির্বাচন এফটিআইআর বা রমন ম্যাচিং লাইব্রেরি ব্যবহার করা হয়েছে কিনা তা নির্ধারণ করবে। আপলোড করা হয়েছে যে স্পেকট্রাম প্রকার নির্বাচন করুন.
Analysis,বিশ্লেষণ
Processed,প্রক্রিয়াকৃত
Uploaded,আপলোড করা হয়েছে
Spectrum to Analyze Help,সাহায্য বিশ্লেষণ করার জন্য স্পেকট্রাম
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,এই নির্বাচনটি নির্ধারণ করবে যে আপলোড করা (প্রসেস করা হয়নি) স্পেকট্রাম বা প্রসেসিং ট্যাব ব্যবহার করে প্রসেস করা স্পেকট্রাম স্পেকট্রাম ম্যাচে ব্যবহার করা হয়েছে কিনা।
Region,অঞ্চল
Full,সম্পূর্ণ
Peaks,চূড়া
Region to Match Help,সাহায্য মেলে অঞ্চল
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,আপনি যে লাইব্রেরির সাথে মিলছেন সেটি সম্পূর্ণ স্পেকট্রাম বা শুধুমাত্র স্পেকট্রাম পিক নিয়ে গঠিত কিনা এই নির্বাচনটি নির্ধারণ করবে।
Partner With Us,আমাদের সাথে অংশীদার
Help us reach our goal of revolutionizing spectroscopy.,আমাদের স্পেকট্রোস্কোপি বিপ্লবের লক্ষ্যে পৌঁছাতে সাহায্য করুন।
Donate Cash,নগদ দান করুন
Buy From Swag Store,সোয়াগ স্টোর থেকে কিনুন
Contribute time,সময় অবদান
Revolutionizing,বিপ্লবী
Thriving,সমৃদ্ধ
Maintaining,রক্ষণাবেক্ষণ
Supporting,সমর্থন
Saving,সংরক্ষণ
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,একটি অর্থপ্রদানকারী দল যা ওপেন স্পেসিসকে 100% নির্ভুল বর্ণালী সনাক্তকরণ এবং গভীর বর্ণালী ডায়াগনস্টিকসের চূড়ান্ত লক্ষ্যের কাছাকাছি নিয়ে যাচ্ছে একটি একক ক্লিকে
A single paid staff person working to update and build the community and the tool,একটি একক অর্থপ্রদানকারী কর্মী ব্যক্তি সম্প্রদায় এবং সরঞ্জাম আপডেট এবং তৈরি করতে কাজ করে৷
Maintenance costs and minor ad-hoc updates and bug fixes,রক্ষণাবেক্ষণের খরচ এবং ছোটখাটো অ্যাড-হক আপডেট এবং বাগ ফিক্স
Keeping the app online and essential maintenance,অ্যাপটি অনলাইনে রাখা এবং প্রয়োজনীয় রক্ষণাবেক্ষণ
Long term storage only,শুধুমাত্র দীর্ঘমেয়াদী স্টোরেজ
Sharing Metadata,মেটাডেটা শেয়ার করা
Thank you for sharing your data!,আপনার তথ্য ভাগ করার জন্য আপনাকে ধন্যবাদ!
Your data will soon be available at https://osf.io/stmv4/,আপনার ডেটা শীঘ্রই https://osf.io/stmv4/ এ উপলব্ধ হবে
Something went wrong :-(,কিছু ভুল হয়েছে :-(
Data type not supported!,ডেটা টাইপ সমর্থিত নয়!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","আপলোড করা ডেটা টাইপ বর্তমানে সমর্থিত নয়; অনুগ্রহ
                      বিস্তারিত জানার জন্য টুলটিপস এবং 'সম্পর্কে' ট্যাব চেক করুন।"
Sharing Spectrum to Community Library,কমিউনিটি লাইব্রেরিতে স্পেকট্রাম শেয়ার করা
Reading Spectrum,রিডিং স্পেকট্রাম
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","আপনি যদি একটি টেক্সট/csv ফাইল আপলোড করেন, নিশ্চিত করুন যে
           কলামগুলি সাংখ্যিক এবং নাম 'ওয়েভেনম্বার' এবং
           'তীব্রতা'।"
absorbance intensity [-],শোষণের তীব্রতা [-]
wavenumber [cm<sup>-1</sup>],তরঙ্গসংখ্যা [cm<sup>-1</sup>]
Analyzing Spectrum,স্পেকট্রাম বিশ্লেষণ
Finding Match,মিল খোঁজা
Making Plot,প্লট তৈরি করা
Material,উপাদান
Pearson's r,পিয়ারসনের আর
Organization,সংগঠন
Selectable Matches,নির্বাচনযোগ্য মিল
Donations,দান
Operation Costs,অপারেশন খরচ
Selection Metadata,নির্বাচন মেটাডেটা
