en,lo
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,smoother ນີ້ສາມາດປັບປຸງອັດຕາສ່ວນສັນຍານກັບສິ່ງລົບກວນຂອງຂໍ້ມູນແລະນໍາໃຊ້ການກັ່ນຕອງ Savitzky-Golay ທີ່ມີ 12 ຈຸດຂໍ້ມູນແລ່ນແລະ polynomial ລະບຸໄວ້.
Smoothing Polynomial,Smoothing Polynomial
Baseline Correction,ການແກ້ໄຂພື້ນຖານ
Baseline Correction Help,ການຊ່ວຍເຫຼືອການແກ້ໄຂພື້ນຖານ
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","ຂັ້ນຕອນການແກ້ໄຂພື້ນຖານນີ້ມີສອງທາງເລືອກສໍາລັບການແກ້ໄຂພື້ນຖານ, 1) ຂັ້ນຕອນການ imodpolyfit polynomial ເພື່ອຄົ້ນຫາເສັ້ນພື້ນຖານຂອງ spectrum ໂດຍຫຍໍ້ໂດຍໃຊ້ polynomial ເຫມາະກັບພາກພື້ນທັງຫມົດຂອງ spectra. 2) ເສັ້ນຄູ່ມືສາມາດແຕ້ມໄດ້ໂດຍໃຊ້ເຄື່ອງມືເສັ້ນໃນດິນຕອນແລະປຸ່ມທີ່ຖືກຕ້ອງຈະໃຊ້ເສັ້ນເພື່ອລົບເສັ້ນພື້ນຖານ."
Baseline Correction Polynomial,Polynomial ການແກ້ໄຂພື້ນຖານ
Technique,ເຕັກນິກ
Polynomial,Polynomial
Manual,ຄູ່ມື
Correct With Trace,ແກ້ໄຂດ້ວຍການຕິດຕາມ
Reset,ຣີເຊັດ
Range Selection,ການເລືອກຊ່ວງ
Spectral Range Help,ຊ່ວຍເຫຼືອຂອບເຂດ Spectral
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,ການຈໍາກັດຂອບເຂດຂອງສະເປກຕຣາສາມາດເອົາພາກພື້ນຂອງສະເປກຕຣໍາທີ່ບໍ່ມີຈຸດສູງສຸດແລະປັບປຸງການຈັບຄູ່
Maximum Spectral Range,ຊ່ວງສະເປກສູງສຸດ
Minimum Spectral Range,ຊ່ວງສະເປກຕ່ຳສຸດ
Identify Spectrum,ກໍານົດ Spectrum
Identify Spectrum Using the Reference Library,ກໍານົດ Spectrum ໂດຍໃຊ້ຫໍສະຫມຸດອ້າງອີງ
Raman,ຣາມານ
FTIR,FTIR
Spectra,ສະເປັກ
Type,ປະເພດ
Spectrum Type Help,ການຊ່ວຍເຫຼືອປະເພດ Spectrum
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,ການເລືອກນີ້ຈະກຳນົດວ່າຫ້ອງສະໝຸດທີ່ກົງກັນ FTIR ຫຼື Raman ຖືກໃຊ້ຫຼືບໍ່. ເລືອກປະເພດ spectrum ທີ່ຖືກອັບໂຫລດ.
Analysis,ການວິເຄາະ
Processed,ປະມວນຜົນແລ້ວ
Uploaded,ອັບໂຫຼດ
Spectrum to Analyze Help,Spectrum ເພື່ອວິເຄາະການຊ່ວຍເຫຼືອ
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,ການເລືອກນີ້ຈະກຳນົດວ່າ spectrum ທີ່ຖືກອັບໂຫລດ (ບໍ່ໄດ້ປະມວນຜົນ) ຫຼື spectrum ທີ່ປະມວນຜົນໂດຍໃຊ້ແຖບປະມວນຜົນແມ່ນໃຊ້ໃນການຈັບຄູ່ spectrum.
Region,ພາກພື້ນ
Full,ເຕັມ
Peaks,ສູງສຸດ
Region to Match Help,ພາກພື້ນທີ່ຈະຈັບຄູ່ການຊ່ວຍເຫຼືອ
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,ການເລືອກນີ້ຈະກໍານົດວ່າຫ້ອງສະຫມຸດທີ່ທ່ານກໍາລັງຈັບຄູ່ກັບປະກອບດ້ວຍ spectrum ເຕັມຫຼືພຽງແຕ່ສູງສຸດ spectrum.
Partner With Us,ຄູ່ຮ່ວມງານກັບພວກເຮົາ
Help us reach our goal of revolutionizing spectroscopy.,ຊ່ວຍພວກເຮົາບັນລຸເປົ້າຫມາຍຂອງພວກເຮົາໃນການປະຕິວັດ spectroscopy.
Donate Cash,ບໍລິຈາກເງິນສົດ
Buy From Swag Store,ຊື້ຈາກຮ້ານ Swag
Contribute time,ປະກອບສ່ວນເວລາ
Revolutionizing,ການປະຕິວັດ
Thriving,ຈະເລີນຮຸ່ງເຮືອງ
Maintaining,ການຮັກສາ
Supporting,ສະຫນັບສະຫນູນ
Saving,ປະຢັດ
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,ທີມງານທີ່ໄດ້ຮັບຄ່າຈ້າງທີ່ກໍາລັງຊຸກຍູ້ໃຫ້ Open Specy ໃກ້ຊິດກັບເປົ້າຫມາຍສຸດທ້າຍຂອງການກໍານົດ spectral ທີ່ຖືກຕ້ອງ 100% ແລະການວິນິດໄສ spectral ເລິກດ້ວຍການຄລິກດຽວ.
A single paid staff person working to update and build the community and the tool,ພະນັກງານທີ່ໄດ້ຮັບຄ່າຈ້າງດຽວເຮັດວຽກເພື່ອປັບປຸງແລະສ້າງຊຸມຊົນແລະເຄື່ອງມື
Maintenance costs and minor ad-hoc updates and bug fixes,ຄ່າ​ບໍາ​ລຸງ​ຮັກ​ສາ​ແລະ​ການ​ປັບ​ປຸງ​ສະ​ເພາະ​ກິດ​ເລັກ​ນ້ອຍ​ແລະ​ການ​ແກ້​ໄຂ​ຂໍ້​ຜິດ​ພາດ​
Keeping the app online and essential maintenance,ຮັກສາແອັບຯອອນໄລນ໌ ແລະການຮັກສາທີ່ຈຳເປັນ
Long term storage only,ການເກັບຮັກສາໃນໄລຍະຍາວເທົ່ານັ້ນ
Sharing Metadata,ການແບ່ງປັນເມຕາເດຕາ
Thank you for sharing your data!,ຂໍ​ຂອບ​ໃຈ​ທ່ານ​ສໍາ​ລັບ​ການ​ແບ່ງ​ປັນ​ຂໍ້​ມູນ​ຂອງ​ທ່ານ​!
Your data will soon be available at https://osf.io/stmv4/,ຂໍ້ມູນຂອງທ່ານຈະມີໃຫ້ໃນໄວໆນີ້ທີ່ https://osf.io/stmv4/
Something went wrong :-(,ມີບາງຢ່າງຜິດພາດ :-(
Data type not supported!,ບໍ່ຮອງຮັບປະເພດຂໍ້ມູນ!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","ປະເພດຂໍ້ມູນທີ່ອັບໂຫຼດບໍ່ຮອງຮັບໃນປັດຈຸບັນ; ກະລຸນາ
                      ກວດເບິ່ງຄໍາແນະນໍາເຄື່ອງມືແລະແຖບ 'ກ່ຽວກັບ' ສໍາລັບລາຍລະອຽດ."
Sharing Spectrum to Community Library,ການ​ແບ່ງ​ປັນ Spectrum ກັບ​ຫ້ອງ​ສະ​ຫມຸດ​ຊຸມ​ຊົນ​
Reading Spectrum,ການອ່ານ Spectrum
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","ຖ້າທ່ານອັບໂຫລດໄຟລ໌ text/csv, ໃຫ້ແນ່ໃຈວ່າ
           ຖັນແມ່ນຕົວເລກ ແລະຊື່ 'wenumber' ແລະ
           'ຄວາມເຂັ້ມຂຸ້ນ'."
absorbance intensity [-],ຄວາມເຂັ້ມຂອງການດູດຊຶມ [-]
wavenumber [cm<sup>-1</sup>],ໝາຍເລກຄື້ນ [cm<sup>-1</sup>]
Analyzing Spectrum,ການວິເຄາະ Spectrum
Finding Match,ຊອກຫາການຈັບຄູ່
Making Plot,ການສ້າງແຜນທີ່
Material,ວັດສະດຸ
Pearson's r,Pearson ຂອງ r
Organization,ອົງການຈັດຕັ້ງ
Selectable Matches,ການແຂ່ງຂັນທີ່ເລືອກໄດ້
Donations,ການບໍລິຈາກ
Operation Costs,ຄ່າໃຊ້ຈ່າຍໃນການດໍາເນີນງານ
Selection Metadata,ການເລືອກເມຕາເດຕາ
