en,yo
Partner With Us,Alabaṣepọ Pẹlu Wa
Help us reach our goal of revolutionizing spectroscopy.,Ran wa lọwọ lati de ibi-afẹde wa ti iyipada sipekitirosikopi.
Donate Cash,Ṣetọrẹ Owo Owo
Buy From Swag Store,Ra Lati Swag itaja
Contribute time,Pese akoko
Revolutionizing,Iyipo
Thriving,Ti ndagba
Maintaining,Mimu
Supporting,Atilẹyin
Saving,Nfipamọ
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,Ẹgbẹ ti o sanwo ti o n tẹ Open Specy isunmọ si ibi-afẹde ipari ti 100% idanimọ iwoye deede ati awọn iwadii iwoye ti o jinlẹ pẹlu titẹ ẹyọkan.
A single paid staff person working to update and build the community and the tool,Oṣiṣẹ kan ti o sanwo kan ti n ṣiṣẹ lati ṣe imudojuiwọn ati kọ agbegbe ati ohun elo naa
Maintenance costs and minor ad-hoc updates and bug fixes,Awọn idiyele itọju ati awọn imudojuiwọn ad-hoc kekere ati awọn atunṣe kokoro
Keeping the app online and essential maintenance,Ntọju ohun elo lori ayelujara ati itọju to ṣe pataki
Long term storage only,Ibi ipamọ igba pipẹ nikan
Sharing Metadata,Pipin Metadata
Thank you for sharing your data!,O ṣeun fun pinpin data rẹ!
Your data will soon be available at https://osf.io/stmv4/,Data rẹ yoo wa laipẹ ni https://osf.io/stmv4/
Something went wrong :-(,Nnkan o lo daadaa :-(
Data type not supported!,Iru data ko ni atilẹyin!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","Iru data ti a kojọpọ ko ṣe atilẹyin lọwọlọwọ; Jowo
                      ṣayẹwo awọn itọnisọna irinṣẹ ati taabu 'Nipa' fun awọn alaye."
Sharing Spectrum to Community Library,Pipin Spectrum to Community Library
Reading Spectrum,Kika julọ.Oniranran
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","Ti o ba gbejade ọrọ/csv faili, rii daju wipe awọn
           ọwọn ni o wa nomba ati oniwa 'wevenumber' ati
           'kikankikan'."
absorbance intensity [-],gbigba agbara [-]
wavenumber [cm<sup>-1</sup>],nọmba igbi [cm<sup>-1</sup>]
Analyzing Spectrum,Ayẹwo julọ.Oniranran
Finding Match,Wiwa Baramu
Making Plot,Ṣiṣe Idite
Material,Ohun elo
Pearson's r,Pearson ká r
Organization,Ajo
Selectable Matches,Awọn ibaamu yiyan
Donations,Awọn ẹbun
Operation Costs,Awọn idiyele iṣẹ
Selection Metadata,Metadata yiyan
