en,so
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","Dhammaan xuduudaha qalabkan waa la tijaabiyay si loo xaqiijiyo taas
           Qalabku wuxuu u shaqeynayaa sida ugu wanaagsan ee suurtogalka ah oo go'aaminta default ugu fiican
           xuduudaha la isticmaalo. Nidaamkeena ansixinta hadda waxaa ku jira sixid
           galitaanka nuqul ka mid ah ee maktabadaha tixraaca, hubinta in spectra gudaha
           Xogta badan ee aan ku jirin maktabadda spectral, iyo hubinta khaladka
           cabbiraadaha ayaa bixiya in ka badan 80% saxnaanta kulanka ugu horreeya."
Detailed Validation Procedure,Habka Xaqiijinta oo faahfaahsan
"Updates, Feature Requests, and Bug Reports","Cusboonaysiinta, Codsiyada Tilmaamaha, iyo Warbixinada Kutaanta"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,Waxaan la soconaa dhammaan wixii ku soo kordha anagoo adeegsanayna kantaroolka nooca koodkayaga. Sifooyinka waa la codsan karaa waxaana lagu soo wargelin karaa GitHub.
Stay up to date!,La soco wixii ku soo kordha!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,Nagu raac Twitter @OpenSpecy. E-mail wincowger@gmail.com si loogu daro liiska waraaqaha.
Citation,Xigasho
Useful Links,Xiriirinta waxtarka leh
Free FTIR Software: siMPle microplastic IR spectral identification software,Software-ka FTIR ee bilaashka ah: softiweer aqoonsi spectral microplastic IR fudud
Free Spectroscopy Learning Academy from ThermoFisher,Akadeemiyada Barashada Spectroscopy Free ee ThermoFisher
Free Optical Microscopy Learning Resource from Florida State University,Ilaha Barashada Mikroskoobiyaha ee Bilaashka ah ee laga helo Jaamacadda Gobolka Florida
Free desktop application for spectral analysis and links to reference databases.,Codsiga miiska bilaashka ah ee falanqaynta spectral iyo isku xidhka xogta macluumaadka.
Terms And Conditions,Shuruudaha iyo Shuruudaha
Privacy Policy,Qaanuunka Arrimaha Khaaska ah
Upload File,Soo rar faylka
"Upload, View, and Share Spectra","Soo rar, arag, oo wadaag Spectra"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File","Dooro .csv (doorbiday), .asp, .jdx, .spc, .spa, ama .0 File"
Share Your Data?,La wadaag xogtaada?
Share Help,La wadaag Caawin
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","Haddii aad jeceshahay, waxaanu la wadaagaynaa spectra-ga aad soo galisay iyo setinka bulshada spectroscopy.
           Sida caadiga ah, dhammaan xogta waxaa lagu shatiyeysan doonaa sida hoos timaada Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Muuqaalka la soo geliyay ayaa halkan ka muuqan doona: https://osf.io/rjg3c"
Upload Help,Soo rar Caawin
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","Soo rar faylasha Raman ama FTIR sida csv, jdx, spc, ama spa. Faylka csv ayaa la door bidaa. Haddii csv, faylku waa inuu ka kooban yahay hal tiir oo lagu calaamadiyay 'wavenumber' oo halbeeg ah (1/cm) iyo tiir kale oo lagu calaamadiyay 'xoojinta' unugyada nuugista.
            Haddii jdx, spc, spa, ama 0 faylku waa inuu noqdaa hal nooc oo nuugista leh oo nambarkiisu yahay (1/cm). Faylashani had iyo jeer si fiican uma shaqayn doonaan sababtoo ah way adag tahay in la akhriyo markaa laba jeer ku hubi software kale.
            Ku dhufo badhanka 'Test Data' si aad u soo dejiso muunadda Raman spectrum."
Intensity Adjustment,Hagaajinta xoojinta
None,Midna
Transmittance,Gudbinta
Reflectance,Milicsiga
Intensity Correction Help,Caawinta Saxitaanka Xoojinta
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","Haddii spectrum-ka la shubay aanu ku jirin unugyada nuugista,
           Isticmaal gelintan si aad u qeexdo cutubyada aad ka beddelayso. Furan Specy
           hagaajin milicsiga ama gudbinta spectra si unugyo nuugista isticmaalaya
           Tani waxay hoos ugu dhacdaa galka faylka la geliyo. Dhammaan tabsyadii hore
           ka soo qaad in xogtu ay ku jirto unugyada nuugista si aad u sameyso
           sixitaanka ka hor inta aan la sii wadin haddii loo baahdo. Hagaajinta gudbinta
           waxay isticmaashaa xisaabinta log10 (1/T) taasoo aan sax ahayn nidaamka
           iyo sifooyinka walxaha. Hagaajinta milicsiga waxay isticmaashaa
           Kubelka-Munk isla'egta (1-R)2/(2*R). Waxaan u qaadan in milicsiga
           waxaa loo qaabeeyey sida boqolkiiba 1-100 oo marka hore sax xoojinta iyadoo loo qaybinayo 100
           si ay ugu habboonaato qaabka laga filayo isla'egta.
           Haddii aan midna la dooran, Open Specy waxay u malaynaysaa in xogta la soo geliyay ay tahay
           spectrum nuugista."
Sample File,Tusaalaha Faylka
Sample Data Help,Tusaalaha Caawinta Xogta
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,Kani waa muunad muunad ah oo lagu dhejin karo qalabka si loo tijaabiyo loona fahmo sida faylasha csv loo qaabeeyey.
Metadata Input,Gelida Xogta badan
Metadata Help,Caawinta Xogta badan
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","Waxaan la wadaagnaa wax kasta oo la soo geliyo spectra iyo metadata bulshada spectroscopy haddii aad ku buuxiso xogta badan halkan oo dooro wadaag.
           Muuqaalka la soo geliyay iyo xogta badan ayaa ka muuqan doona halkan: https://osf.io/rjg3c"
Share Metadata,La wadaag Xogta badan
Upload some data to get started...,Soo rar xog si aad u bilowdo...
Preprocess Spectrum,Preprocess Spectrum
"Smooth, Baseline Correct, and Download Processed Spectra","Wanagsan, Saxan Saldhigga, iyo Soodejinta Spectra La Hagaajiyay"
Download (recommended),Soo daji (lagu taliyay)
Download Help,Soo deji Caawin
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,Isticmaalayaasha qaar ayaa laga yaabaa inay rabaan inay keydiyaan nuqul ka mid ah spectrumkooda la farsameeyay. Badhankan waxa uu soo dejiyaa spectrum-ka la farsameeyay sidii faylka csv.
Smoothing,Daboolida
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,Sifudud Tani waxay kor u qaadi kartaa ishaarada saamiga saamiga xogta oo waxay isticmaashaa shaandhada Savitzky-Golay oo leh 12 dhibcood xogta socodsiisa iyo tiro badan oo cayiman.
Smoothing Polynomial,Dabacsanaan badan
Baseline Correction,Sixitaan salka
Baseline Correction Help,Caawinta Saxitaanka Saldhigga
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","Jadwalka sixitaanka asaasiga ahi wuxuu leeyahay laba ikhtiyaar oo loogu talagalay sixitaanka gundhigga, 1) nidaamka imodpolyfit ee polynomial si loo helo sal-dhigida spectrum iyadoo la adeegsanayo qaab badan oo ku habboon gobolka oo dhan spectra. 2) xariiqyada gacanta waxaa lagu sawiri karaa iyadoo la isticmaalayo aaladda xariiqda goobta dhexdeeda, badhanka saxda ahina wuxuu isticmaali doonaa xariiqyada si uu u gooyo gunta hoose."
Baseline Correction Polynomial,Sixitaan badan oo sal ah
Technique,Farsamada
Polynomial,Polynomial
Manual,Buugga
Correct With Trace,Ku saxan Raadraaca
Reset,Dib u dajin
Range Selection,Xulashada Range
Spectral Range Help,Caawinta Range Spectral
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,Xakamaynta kala duwanaanta spectral waxay meesha ka saari kartaa gobollada kala duwan ee aan lahayn meel sare waxayna hagaajinaysaa isbarbardhigga
Maximum Spectral Range,Qiyaasta ugu badan ee Spectral
Minimum Spectral Range,Qiyaasta ugu yar ee Spectral
Identify Spectrum,Aqoonso Spectrum
Identify Spectrum Using the Reference Library,Aqoonso Spectrum Isticmaalka Maktabadda Tixraaca
Raman,Ramaan
FTIR,FTIR
Spectra,Spectra
Type,Nooca
Spectrum Type Help,Caawinta Nooca Spectrum
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,Doorashadani waxay go'aamin doontaa in FTIR ama maktabadda Raman ee u dhigma la isticmaalo. Dooro nooca spectrum ee la soo galiyay.
Analysis,Falanqaynta
Processed,La habeeyey
Uploaded,La soo galiyay
Spectrum to Analyze Help,Spectrum si loo falanqeeyo Caawinta
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,Xulashadani waxay go'aamin doontaa in spectrum-ka la shubay (aan la farsamayn) ama spectrum lagu farsameeyay iyadoo la isticmaalayo tab habaynta loo isticmaalo ciyaarta spectrum-ka.
Region,Gobolka
Full,Buuxa
Peaks,Meesha ugu sarreysa
Region to Match Help,Gobolka u dhigma Caawinta
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,Doorashadani waxay go'aamin doontaa haddii maktabadda aad ku habboon tahay ay ka kooban tahay spectrum buuxa ama kaliya kuwa ugu sarreeya spectrum.
Partner With Us,Nala Wadaag
Help us reach our goal of revolutionizing spectroscopy.,Naga caawi inaan gaarno yoolkeena ah kacaanka spectroscopy.
Donate Cash,Ku deeq Lacag caddaan ah
Buy From Swag Store,Ka Iibso Dukaanka Swag
Contribute time,Waqti ku darso
Revolutionizing,Kacdoon
Thriving,Kobcaya
Maintaining,Ilaalinta
Supporting,Taageerida
Saving,Badbaadinta
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,Koox lacag leh oo ku riixaysa Open Specy kuna dhow yoolka kama dambaysta ah ee 100% aqoonsiga muuqaalka saxda ah iyo ogaanshaha muuqaalka qotodheer ee hal gujin
A single paid staff person working to update and build the community and the tool,Shaqaale keliya oo mushahar qaata oo ka shaqaynaya cusboonaysiinta iyo dhisida bulshada iyo qalabka
Maintenance costs and minor ad-hoc updates and bug fixes,Qiimaha dayactirka iyo cusbooneysiinta xayeysiiska yar iyo hagaajinta cayayaanka
Keeping the app online and essential maintenance,Ku haynta abka onlayn iyo dayactirka muhiimka ah
Long term storage only,Kaydinta muddada dheer oo keliya
Sharing Metadata,Wadaagista Xogta badan
Thank you for sharing your data!,Waad ku mahadsan tahay wadaagida xogtaada!
Your data will soon be available at https://osf.io/stmv4/,Xogtaada ayaa dhawaan laga heli doonaa https://osf.io/stmv4/
Something went wrong :-(,Waxbaa qaldamay :-(
Data type not supported!,Nooca xogta lama taageero!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","Nooca xogta la soo geliyey hadda lama taageero; fadlan
                      Faahfaahinta ka eeg tabaha qalabka iyo 'About' tab."
Sharing Spectrum to Community Library,Wadaagista Spectrum ee Maktabada Bulshada
Reading Spectrum,Spectrum Reading
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","Haddii aad soo gelisay faylka qoraalka/csv, hubi in
           tiirarku waa tiro waxaana lagu magacaabaa 'wavenumber' iyo
           'xoojinta'."
absorbance intensity [-],xoojinta nuugista [-]
wavenumber [cm<sup>-1</sup>],mawjada [cm<sup>-1</sup>]
Analyzing Spectrum,Falanqaynta Spectrum
Finding Match,Helitaanka Ciyaar
Making Plot,Samaynta Shirqoolkii
Material,Qalab
Pearson's r,Pearson's r
Organization,Ururka
Selectable Matches,Kulamada la dooran karo
Donations,Deeqaha
Operation Costs,Qiimaha Hawlgalka
Selection Metadata,Xulashada Xogta badan
