en,su
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,Pilihan ieu bakal nangtukeun naha perpustakaan cocog FTIR atanapi Raman dipaké. Pilih jinis spéktrum anu diunggah.
Analysis,Analisis
Processed,Diolah
Uploaded,Diunggah
Spectrum to Analyze Help,Spéktrum pikeun nganalisis Pitulung
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,Pilihan ieu bakal nangtukeun naha spéktrum anu diunggah (henteu diolah) atanapi spéktrum anu diolah nganggo tab pamrosésan dianggo dina pertandingan spéktrum.
Region,Wewengkon
Full,Pinuh
Peaks,Puncak-puncak
Region to Match Help,Wewengkon pikeun Cocog Pitulung
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,Pilihan ieu bakal nangtukeun naha perpustakaan anjeun cocog diwangun ku spéktrum pinuh atawa ngan puncak spéktrum.
Partner With Us,Mitra Jeung Kami
Help us reach our goal of revolutionizing spectroscopy.,Mantuan kami ngahontal tujuan urang revolutionizing spéktroskopi.
Donate Cash,Nyumbangkeun Cash
Buy From Swag Store,Beuli Ti Swag Store
Contribute time,Sumbangan waktos
Revolutionizing,Revolutionizing
Thriving,Ngembang
Maintaining,Ngajaga
Supporting,Ngarojong
Saving,Nyimpen
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,Tim anu mayar anu ngadorong Open Specy langkung caket kana tujuan akhir 100% idéntifikasi spéktral akurat sareng diagnostik spéktral jero kalayan hiji klik
A single paid staff person working to update and build the community and the tool,Hiji jalma anu mayar tunggal damel pikeun ngapdet sareng ngawangun komunitas sareng alat éta
Maintenance costs and minor ad-hoc updates and bug fixes,Biaya pangropéa sareng apdet ad-hoc minor sareng perbaikan bug
Keeping the app online and essential maintenance,Ngajaga aplikasi online sareng pangropéa penting
Long term storage only,Panyimpen jangka panjang wungkul
Sharing Metadata,Ngabagikeun Metadata
Thank you for sharing your data!,Hatur nuhun pikeun babagi data anjeun!
Your data will soon be available at https://osf.io/stmv4/,Data anjeun bakal sayogi di https://osf.io/stmv4/
Something went wrong :-(,Aya nu salah:-(
Data type not supported!,Jinis data henteu dirojong!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","Jenis data anu diunggah ayeuna henteu dirojong; Punten
                      pariksa tooltips sarta tab 'Ngeunaan' pikeun detil."
Sharing Spectrum to Community Library,Ngabagikeun Spéktrum ka Perpustakaan Komunitas
Reading Spectrum,Maca Spéktrum
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","Upami anjeun unggah file téks/csv, pastikeun yén file
           kolom anu numerik sarta ngaranna 'wavenumber' na
           'hal sabaraha kuatna'."
absorbance intensity [-],inténsitas nyerep [-]
wavenumber [cm<sup>-1</sup>],wilangan gelombang [cm<sup>-1</sup>]
Analyzing Spectrum,Nganalisis spéktrum
Finding Match,Pananjung Cocog
Making Plot,Nyieun Plot
Material,Bahan
Pearson's r,Pearson urang r
Organization,Organisasi
Selectable Matches,Cocog anu tiasa dipilih
Donations,Sumbangan
Operation Costs,Biaya Operasi
Selection Metadata,Métadata Pilihan
