en,tg
Free desktop application for spectral analysis and links to reference databases.,Барномаи ройгони мизи корӣ барои таҳлили спектралӣ ва истинод ба пойгоҳи додаҳои истинод.
Terms And Conditions,Шарту Шароит
Privacy Policy,Сиёсати Корбурди Маълумоти Шахсӣ
Upload File,Файлро бор кунед
"Upload, View, and Share Spectra","Spectra-ро бор кунед, бинед ва мубодила кунед"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File",".csv (афзалиятдор), .asp, .jdx, .spc, .spa ё файли .0 -ро интихоб кунед"
Share Your Data?,Маълумоти худро мубодила кунед?
Share Help,Кӯмакро мубодила кунед
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","Агар шумо хоҳед, мо спектрҳо ва танзимоти боркардаи шуморо бо ҷомеаи спектроскопӣ мубодила мекунем.
           Бо нобаёнӣ, ҳама маълумот дар доираи Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0) иҷозатнома дода мешавад.
           Спектрҳои боршуда дар ин ҷо пайдо мешаванд: https://osf.io/rjg3c"
Upload Help,Кӯмакро бор кунед
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","Файлҳои спектри Raman ё FTIR -ро ҳамчун csv, jdx, spc ё spa бор кунед. Файли csv афзалтар аст. Агар csv бошад, файл бояд як сутун бо нишони ""рақами мавҷ"" бо воҳидҳои (1/см) ва сутуни дигаре бо нишони ""шиддат"" бо воҳидҳои абсорбент дошта бошад.
            Агар jdx, spc, spa ё 0 бошад, файл бояд як спектри азхудкунии ягона бо рақами мавҷ дар (1/см) бошад. Ин файлҳо на ҳама вақт ба таври комил кор мекунанд, зеро хондани онҳо душвор аст, аз ин рӯ онҳоро дар нармафзори дигар дубора тафтиш кунед.
            Барои зеркашии намунаи спектри Раман, тугмаи ""Маълумоти санҷиш"" -ро пахш кунед."
Intensity Adjustment,Танзими шиддат
None,Ҳеҷ
Transmittance,Интиқол
Reflectance,Инъикос
Intensity Correction Help,Кӯмак барои ислоҳи шиддат
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","Агар спектри боршуда дар воҳидҳои абсорбент набошад,
           истифода аз ин вуруд ба муайян воҳидҳои табдил аз.Open Specy метавонад
           бо истифода аз спектрҳои инъикос ё гузарандаро ба воҳидҳои абсорбатсия танзим кунед
           ин афтанда дар ҷадвали боркунии файл. Ҳамаи ҷадвалҳои қаблӣ
           фарз кунед, ки маълумот дар воҳидҳои абсорбент аст, бинобар ин шумо бояд
           пеш аз идома додан, агар лозим бошад, ислоҳ кунед. Танзими интиқол
           ҳисоби log10 (1/T) -ро истифода мебарад, ки барои система дуруст нест
           ва хусусиятҳои зарраҳо. Танзими инъикос истифода мебарад
           Муодилаи Кубелка-Мунк (1-R)2/(2*R). Мо тахмин мезанем, ки инъикос
           ҳамчун фоиз аз 1 то 100 формат карда мешавад ва аввал шиддатро бо тақсим кардани 100 ислоҳ кунед
           то ки он ба шакли пешбиникардаи муодила мувофиқат кунад.
           Агар ҳеҷ яке интихоб нашуда бошад, Open Specy тахмин мекунад, ки маълумоти боршуда аст
           спектри абсорбент."
Sample File,Намунаи файл
Sample Data Help,Кӯмаки намунавии маълумот
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,"Ин як спектри намунавӣ аст, ки метавонад ба асбоб барои санҷиш ва фаҳмидани он, ки файлҳои csv бояд формат карда шаванд, бор карда шаванд."
Metadata Input,Вуруди метамаълумот
Metadata Help,Кӯмаки метамаълумот
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","Мо ҳама гуна спектрҳо ва метамаълумоти боршударо бо ҷомеаи спектроскопӣ мубодила мекунем, агар шумо метадатаро дар ин ҷо пур кунед ва мубодиларо интихоб кунед.
           Спектрҳо ва метамаълумотҳои боршуда дар ин ҷо пайдо мешаванд: https://osf.io/rjg3c"
Share Metadata,Мубодилаи метамаълумот
Upload some data to get started...,Барои оғози кор чанд маълумотро бор кунед...
Preprocess Spectrum,Спектри коркарди пешакӣ
"Smooth, Baseline Correct, and Download Processed Spectra","Спектрҳои ҳамвор, дурусти ибтидоӣ ва зеркашӣ кардани коркардшуда"
Download (recommended),Зеркашӣ (тавсия дода мешавад)
Download Help,Кӯмакро зеркашӣ кунед
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,"Баъзе корбарон метавонанд мехоҳанд, ки нусхаи спектри коркардшудаи худро захира кунанд. Ин тугма спектри коркардшударо ҳамчун файли csv зеркашӣ мекунад."
Smoothing,Ҳамвор кардан
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,Ин ҳамворкунанда метавонад таносуби сигнал ба садои маълумотро беҳтар созад ва филтри Савитцки-Голайро бо 12 нуқтаи додашуда ва полиномияи муайяншуда истифода мебарад.
Smoothing Polynomial,Полиномияи ҳамвор
Baseline Correction,Ислоҳи ибтидоӣ
Baseline Correction Help,Кӯмак барои ислоҳи ибтидоӣ
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","Ин реҷаи ислоҳи асосӣ дорои ду вариант барои ислоҳи ибтидоӣ мебошад, 1) тартиби имодполифити полиноми барои такроран пайдо кардани хатти асосии спектр бо истифода аз мувофиқати полиномӣ ба тамоми минтақаи спектр. 2) бо истифода аз асбоби хат дар қитъа хатҳои дастӣ кашидан мумкин аст ва тугмаи дуруст хатҳоро барои тарҳ кардани хатти асосӣ истифода мебарад."
Baseline Correction Polynomial,Полиномияи ислоҳи ибтидоӣ
Technique,Техника
Polynomial,Полиномӣ
Manual,Дастур
Correct With Trace,Бо Trace дуруст
Reset,Бозсозӣ
Range Selection,Интихоби диапазон
Spectral Range Help,Кӯмаки диапазони спектр
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,"Маҳдуд кардани диапазони спектр метавонад минтақаҳои спектрро, ки қуллаҳо вуҷуд надоранд, хориҷ кунанд ва мувофиқатро беҳтар созанд"
Maximum Spectral Range,Диапазони максималии спектр
Minimum Spectral Range,Диапазони минималии спектр
Identify Spectrum,Спектрро муайян кунед
Identify Spectrum Using the Reference Library,Спектрро бо истифода аз китобхонаи истинод муайян кунед
Raman,Раман
FTIR,ФТИР
Spectra,Спектрҳо
Type,Навъи
Spectrum Type Help,Кӯмаки намуди спектр
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,"Ин интихоб муайян мекунад, ки оё китобхонаи мувофиқи FTIR ё Raman истифода мешавад. Навъи спектреро, ки бор карда шудааст, интихоб кунед."
Analysis,Таҳлил
Processed,Коркард
Uploaded,Бор карда шуд
Spectrum to Analyze Help,Спектр барои таҳлили кӯмак
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,"Ин интихоб муайян мекунад, ки оё спектри боршуда (коркард нашудааст) ё спектре, ки бо истифода аз ҷадвали коркард коркард шудааст, дар мувофиқати спектр истифода мешавад."
Region,вилоят
Full,Пурра
Peaks,Қуллаҳо
Region to Match Help,Кӯмаки минтақа барои мувофиқат
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,"Ин интихоб муайян мекунад, ки китобхонае, ки шумо ба он мувофиқат мекунед, аз спектри пурра иборат аст ё танҳо қуллаҳои спектр."
Partner With Us,Бо мо шарик шавед
Help us reach our goal of revolutionizing spectroscopy.,"Ба мо кумак кунед, ки ба ҳадафи худ дар бораи тағир додани спектроскопия ноил шавем."
Donate Cash,Нақд хайрия кунед
Buy From Swag Store,Аз мағозаи Swag харед
Contribute time,Ҳиссаи вақт
Revolutionizing,Инқилобкунанда
Thriving,Инкишофёбанда
Maintaining,Нигоҳдорӣ
Supporting,Дастгирй кардан
Saving,Сарфа кардан
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,"Дастаи пулакӣ, ки Open Specy-ро ба ҳадафи ниҳоии мушаххаси 100% дақиқи спектралӣ ва ташхиси амиқи спектралӣ бо як клик наздиктар мекунад."
A single paid staff person working to update and build the community and the tool,Шахси ягонаи музднок барои навсозӣ ва сохтани ҷомеа ва асбоб кор мекунад
Maintenance costs and minor ad-hoc updates and bug fixes,Хароҷоти нигоҳдорӣ ва навсозиҳои хурди муваққатӣ ва ислоҳи хатогиҳо
Keeping the app online and essential maintenance,Нигоҳ доштани барнома онлайн ва нигоҳдории муҳим
Long term storage only,Танҳо нигоҳдории дарозмуддат
Sharing Metadata,Мубодилаи метамаълумот
Thank you for sharing your data!,Ташаккур ба шумо барои мубодилаи маълумоти шумо!
Your data will soon be available at https://osf.io/stmv4/,Маълумоти шумо ба наздикӣ дар https://osf.io/stmv4/ дастрас хоҳад шуд.
Something went wrong :-(,Чизе хато рафт :-(
Data type not supported!,Навъи маълумот дастгирӣ намешавад!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","Навъи маълумоти боршуда дар айни замон дастгирӣ намешавад; Лутфан
                      маслиҳатҳои асбобҳо ва ҷадвали 'Дар бораи' барои тафсилот санҷед."
Sharing Spectrum to Community Library,Мубодилаи Спектр ба Китобхонаи Ҷамъиятӣ
Reading Spectrum,Хониши спектр
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","Агар шумо файли матнӣ/csv-ро бор карда бошед, боварӣ ҳосил кунед, ки
           сутунҳо ададӣ ва номи 'wavenamber' ва
           «шиддат»."
absorbance intensity [-],шиддатнокии ҷаббида [-]
wavenumber [cm<sup>-1</sup>],рақами мавҷ [cm<sup>-1</sup>]
Analyzing Spectrum,Таҳлили спектр
Finding Match,Ҷустуҷӯи мувофиқат
Making Plot,Сохтани сюжет
Material,Материал
Pearson's r,Пирсон Р
Organization,Ташкилот
Selectable Matches,Мутобиқати интихобшаванда
Donations,Хайрияҳо
Operation Costs,Хароҷоти амалиёт
Selection Metadata,Метамаълумоти интихоб
