en,ur
FTIR Reference Library,ایف ٹی آئی آر ریفرنس لائبریری
Raman Reference Library Metadata,رامن ریفرنس لائبریری میٹا ڈیٹا
FTIR Reference Library Metadata,FTIR حوالہ لائبریری میٹا ڈیٹا
Contribute Spectra,سپیکٹرا کا تعاون کریں۔
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","سپیکٹرا کو شیئر کرنے کے لیے اپ لوڈ فائل ٹیب پر فائل اپ لوڈ کریں۔ اگر آپ نے اشتراک کا انتخاب کیا تو آپ کے سپیکٹرا کی ایک کاپی کمیونٹی کو بھیجی جائے گی۔
           اوپن سائنس فریم ورک پر ڈیٹا گودام۔ اضافی میٹا ڈیٹا شامل کرنے کے لیے،
           دستیاب میٹا ڈیٹا فیلڈز کو پُر کریں اور -Share Data- پر کلک کریں۔ دی
           سپیکٹرا فائل جو آپ نے اپنے جوابات کے ساتھ اپ لوڈ کی ہے کاپی کر دی جائے گی۔
           ذیل کے لنک پر ایک -With Metadata- ذیلی فولڈر پر۔ تمام مشترکہ ڈیٹا رکھتا ہے۔
           تخلیقی العام انتساب لائسنس 4.0۔"
Community Data Warehouse,کمیونٹی ڈیٹا گودام
Tool Validation,ٹول کی توثیق
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","اس ٹول کے تمام پیرامیٹرز کو اس کی توثیق کرنے کے لیے جانچا جاتا ہے۔
           ٹول ہر ممکن حد تک بہترین کام کر رہا ہے اور بہترین ڈیفالٹ کا تعین کرتا ہے۔
           استعمال کرنے کے لئے پیرامیٹرز. ہمارے موجودہ توثیق کے طریقہ کار میں درست کرنا شامل ہے۔
           حوالہ لائبریریوں میں نقل شدہ اندراجات، اسپیکٹرا ان کی جانچ کرنا
           میٹا ڈیٹا جو اسپیکٹرل لائبریری میں نہیں ہے، اور ڈیفالٹ کو یقینی بنا رہا ہے۔
           پیرامیٹرز پہلے میچ میں 80% سے زیادہ درستگی فراہم کرتے ہیں۔"
Detailed Validation Procedure,تفصیلی توثیق کا طریقہ کار
"Updates, Feature Requests, and Bug Reports",اپ ڈیٹس، فیچر کی درخواستیں، اور بگ رپورٹس
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,ہم اپنے کوڈ پر ورژن کنٹرول کا استعمال کرتے ہوئے تمام اپ ڈیٹس پر نظر رکھتے ہیں۔ GitHub پر فیچرز کی درخواست کی جا سکتی ہے اور بگ کی اطلاع دی جا سکتی ہے۔
Stay up to date!,تازہ ترین رہیں!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,ٹویٹر @ OpenSpecy پر ہمیں فالو کریں۔ میلنگ لسٹ میں شامل کرنے کے لیے wincowger@gmail.com پر ای میل کریں۔
Citation,حوالہ
Useful Links,مفید لنکس
Free FTIR Software: siMPle microplastic IR spectral identification software,مفت FTIR سافٹ ویئر: سادہ مائکرو پلاسٹک آئی آر سپیکٹرل شناختی سافٹ ویئر
Free Spectroscopy Learning Academy from ThermoFisher,تھرمو فشر سے مفت سپیکٹروسکوپی لرننگ اکیڈمی
Free Optical Microscopy Learning Resource from Florida State University,فلوریڈا اسٹیٹ یونیورسٹی سے مفت آپٹیکل مائیکروسکوپی لرننگ ریسورس
Free desktop application for spectral analysis and links to reference databases.,سپیکٹرل تجزیہ اور حوالہ ڈیٹا بیس کے لنکس کے لیے مفت ڈیسک ٹاپ ایپلیکیشن۔
Terms And Conditions,شرائط و ضوابط
Privacy Policy,رازداری کی پالیسی
Upload File,اپ لوڈ فائل
"Upload, View, and Share Spectra",سپیکٹرا اپ لوڈ کریں، دیکھیں اور شیئر کریں۔
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File",.csv (ترجیحی)، .asp، .jdx، .spc، .spa، یا .0 فائل کا انتخاب کریں
Share Your Data?,اپنا ڈیٹا شیئر کریں؟
Share Help,مدد شیئر کریں۔
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","اگر آپ چاہیں تو ہم آپ کے اپ لوڈ کردہ سپیکٹرا اور سیٹنگز کو سپیکٹروسکوپی کمیونٹی کے ساتھ شیئر کرتے ہیں۔
           پہلے سے طے شدہ طور پر، تمام ڈیٹا کو Creative Commons Attribution-Non Commercial 4.0 International (CC BY-NC 4.0) کے تحت لائسنس دیا جائے گا۔
           اپ لوڈ کردہ سپیکٹرا یہاں ظاہر ہوگا: https://osf.io/rjg3c"
Upload Help,مدد اپ لوڈ کریں۔
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","Raman یا FTIR سپیکٹرم فائلوں کو بطور csv، jdx، spc، یا سپا اپ لوڈ کریں۔ ایک csv فائل کو ترجیح دی جاتی ہے۔ اگر ایک csv ہے تو، فائل میں (1/cm) کی اکائیوں میں 'wavenumber' کا لیبل لگا ہوا ایک کالم اور جاذب یونٹس میں 'شدت' کا لیبل والا دوسرا کالم ہونا چاہیے۔
            اگر jdx، spc، spa، یا 0 فائل ایک واحد جاذب اسپیکٹرم ہونی چاہیے جس میں ویون نمبر (1/cm) ہو۔ یہ فائلیں ہمیشہ کام نہیں کریں گی کیونکہ وہ پڑھنے میں مشکل ہیں اس لیے انہیں دوسرے سافٹ ویئر میں دو بار چیک کریں۔
            رامن سپیکٹرم کا نمونہ ڈاؤن لوڈ کرنے کے لیے 'ٹیسٹ ڈیٹا' بٹن کو دبائیں۔"
Intensity Adjustment,شدت ایڈجسٹمنٹ
None,کوئی نہیں۔
Transmittance,ترسیل
Reflectance,عکاسی
Intensity Correction Help,شدت کی اصلاح میں مدد
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","اگر اپ لوڈ کردہ سپیکٹرم جاذب یونٹس میں نہیں ہے،
           اوپن سپیسی کین سے کنورٹ کرنے کے لیے یونٹس بتانے کے لیے اس ان پٹ کا استعمال کریں۔
           عکاسی یا ٹرانسمیٹینس سپیکٹرا کو جذب کرنے والی اکائیوں میں ایڈجسٹ کریں۔
           اپ لوڈ فائل ٹیب میں یہ ڈراپ ڈاؤن۔ پچھلے تمام ٹیبز
           فرض کریں کہ ڈیٹا جاذب یونٹس میں ہے لہذا آپ کو بنانا چاہیے۔
           اگر ضرورت ہو تو جاری رکھنے سے پہلے اصلاح کریں۔ ٹرانسمیشن ایڈجسٹمنٹ
           log10(1/T) کیلکولیشن کا استعمال کرتا ہے جو سسٹم کے لیے درست نہیں ہے۔
           اور ذرہ کی خصوصیات۔ عکاسی ایڈجسٹمنٹ کا استعمال کرتا ہے۔
           Kubelka-Munk مساوات (1-R)2/(2*R)۔ ہم فرض کرتے ہیں کہ عکاسی
           1-100 سے فیصد کے طور پر فارمیٹ کیا جاتا ہے اور پہلے 100 سے تقسیم کرکے شدت کو درست کریں
           تاکہ یہ مساوات کی طرف سے متوقع شکل میں فٹ ہو جائے۔
           اگر کوئی بھی منتخب نہیں کیا جاتا ہے تو، اوپن اسپیسی فرض کرتی ہے کہ اپ لوڈ کردہ ڈیٹا ہے۔
           ایک جذب سپیکٹرم."
Sample File,نمونہ فائل
Sample Data Help,نمونہ ڈیٹا مدد
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,یہ ایک نمونہ سپیکٹرم ہے جسے جانچنے اور csv فائلوں کو فارمیٹ کرنے کے طریقہ کو سمجھنے کے لیے ٹول پر اپ لوڈ کیا جا سکتا ہے۔
Metadata Input,میٹا ڈیٹا ان پٹ
Metadata Help,میٹا ڈیٹا مدد
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","اگر آپ یہاں میٹا ڈیٹا پُر کرتے ہیں اور شیئر کو منتخب کرتے ہیں تو ہم سپیکٹروسکوپی کمیونٹی کے ساتھ اپ لوڈ کردہ سپیکٹرا اور میٹا ڈیٹا کا اشتراک کرتے ہیں۔
           اپ لوڈ کردہ سپیکٹرا اور میٹا ڈیٹا یہاں ظاہر ہوگا: https://osf.io/rjg3c"
Share Metadata,میٹا ڈیٹا کا اشتراک کریں۔
Upload some data to get started...,شروع کرنے کے لیے کچھ ڈیٹا اپ لوڈ کریں...
Preprocess Spectrum,پری پروسیس سپیکٹرم
"Smooth, Baseline Correct, and Download Processed Spectra",ہموار، بیس لائن درست، اور پروسیسڈ سپیکٹرا ڈاؤن لوڈ کریں۔
Download (recommended),ڈاؤن لوڈ کریں (تجویز کردہ)
Download Help,مدد ڈاؤن لوڈ کریں۔
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,کچھ صارفین اپنے پروسیس شدہ سپیکٹرم کی ایک کاپی محفوظ کرنا چاہتے ہیں۔ یہ بٹن پروسیس شدہ سپیکٹرم کو csv فائل کے طور پر ڈاؤن لوڈ کرتا ہے۔
Smoothing,ہموار کرنا
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,یہ ہموار اعداد و شمار کے شور کے تناسب کو بڑھا سکتا ہے اور 12 چلنے والے ڈیٹا پوائنٹس اور متعین کثیر الثانی کے ساتھ Savitzky-Golay فلٹر کا استعمال کرتا ہے۔
Smoothing Polynomial,ہموار کثیر الثانی
Baseline Correction,بیس لائن تصحیح
Baseline Correction Help,بیس لائن درست کرنے میں مدد
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.",اس بیس لائن تصحیح کے معمول میں بیس لائن اصلاح کے لیے دو آپشنز ہیں، 1) اسپیکٹرا کے پورے علاقے کے لیے ایک کثیر الثانی فٹ کا استعمال کرتے ہوئے اسپیکٹرم کی بیس لائن کو تکراری طور پر تلاش کرنے کے لیے کثیر الثانی اموڈپولیفٹ طریقہ کار۔ 2) پلاٹ پر لائن ٹول کا استعمال کرتے ہوئے دستی لائنیں کھینچی جا سکتی ہیں اور صحیح بٹن بیس لائن کو گھٹانے کے لیے لائنوں کا استعمال کرے گا۔
Baseline Correction Polynomial,بیس لائن تصحیح کثیر نامی
Technique,تکنیک
Polynomial,کثیر الثانی
Manual,دستی
Correct With Trace,ٹریس کے ساتھ درست کریں۔
Reset,دوبارہ ترتیب دیں۔
Range Selection,رینج کا انتخاب
Spectral Range Help,سپیکٹرل رینج مدد
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,سپیکٹرل رینج کو محدود کرنے سے سپیکٹرم کے ان علاقوں کو ہٹایا جا سکتا ہے جہاں کوئی چوٹی موجود نہیں ہے اور مماثلت کو بہتر بنایا جا سکتا ہے۔
Maximum Spectral Range,زیادہ سے زیادہ سپیکٹرل رینج
Minimum Spectral Range,کم از کم سپیکٹرل رینج
Identify Spectrum,سپیکٹرم کی شناخت کریں۔
Identify Spectrum Using the Reference Library,حوالہ لائبریری کا استعمال کرتے ہوئے سپیکٹرم کی شناخت کریں۔
Raman,رامن
FTIR,ایف ٹی آئی آر
Spectra,سپیکٹرا
Type,قسم
Spectrum Type Help,سپیکٹرم کی قسم مدد
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,یہ انتخاب اس بات کا تعین کرے گا کہ آیا FTIR یا Raman میچنگ لائبریری استعمال کی گئی ہے۔ اسپیکٹرم کی قسم کا انتخاب کریں جو اپ لوڈ کیا گیا تھا۔
Analysis,تجزیہ
Processed,پروسیس شدہ
Uploaded,اپ لوڈ کیا گیا
Spectrum to Analyze Help,مدد کا تجزیہ کرنے کے لیے سپیکٹرم
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,یہ انتخاب اس بات کا تعین کرے گا کہ اپ لوڈ کردہ (پراسیس نہیں کیا گیا) سپیکٹرم یا پروسیسنگ ٹیب کا استعمال کرتے ہوئے پروسیس شدہ سپیکٹرم سپیکٹرم میچ میں استعمال ہوتا ہے۔
Region,علاقہ
Full,مکمل
Peaks,چوٹیوں
Region to Match Help,مدد سے ملنے کے لیے علاقہ
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,یہ انتخاب اس بات کا تعین کرے گا کہ آپ جس لائبریری سے مماثل ہیں وہ مکمل سپیکٹرم یا صرف سپیکٹرم چوٹیوں پر مشتمل ہے۔
Partner With Us,ہمارے ساتھ شراکت دار
Help us reach our goal of revolutionizing spectroscopy.,سپیکٹروسکوپی میں انقلاب لانے کے اپنے مقصد تک پہنچنے میں ہماری مدد کریں۔
Donate Cash,نقد عطیہ کریں۔
Buy From Swag Store,سویگ اسٹور سے خریدیں۔
Contribute time,وقت کا تعاون کریں۔
Revolutionizing,انقلاب برپا کرنا
Thriving,فروغ پزیر
Maintaining,برقرار رکھنا
Supporting,کی حمایت
Saving,محفوظ کرنا
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,ایک بامعاوضہ ٹیم جو Open Specy کو ایک ہی کلک کے ساتھ 100% درست اسپیکٹرل شناخت اور گہری اسپیکٹرل تشخیص کے حتمی ہدف کے قریب لے جا رہی ہے۔
A single paid staff person working to update and build the community and the tool,کمیونٹی اور ٹول کو اپ ڈیٹ اور بنانے کے لیے کام کرنے والا واحد ادا شدہ عملہ
Maintenance costs and minor ad-hoc updates and bug fixes,دیکھ بھال کے اخراجات اور معمولی ایڈہاک اپ ڈیٹس اور بگ فکسز
Keeping the app online and essential maintenance,ایپ کو آن لائن رکھنا اور ضروری دیکھ بھال
Long term storage only,صرف طویل مدتی اسٹوریج
Sharing Metadata,میٹا ڈیٹا کا اشتراک کرنا
Thank you for sharing your data!,اپنے ڈیٹا کا اشتراک کرنے کے لیے آپ کا شکریہ!
Your data will soon be available at https://osf.io/stmv4/,آپ کا ڈیٹا جلد ہی https://osf.io/stmv4/ پر دستیاب ہوگا۔
Something went wrong :-(,کچھ غلط ہو گیا :-(
Data type not supported!,ڈیٹا کی قسم تعاون یافتہ نہیں ہے!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","اپ لوڈ کردہ ڈیٹا کی قسم فی الحال تعاون یافتہ نہیں ہے۔ برائے مہربانی
                      تفصیلات کے لیے ٹول ٹپس اور 'کے بارے میں' ٹیب کو چیک کریں۔"
Sharing Spectrum to Community Library,کمیونٹی لائبریری میں سپیکٹرم کا اشتراک کرنا
Reading Spectrum,ریڈنگ سپیکٹرم
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","اگر آپ نے ٹیکسٹ/csv فائل اپ لوڈ کی ہے، تو یقینی بنائیں کہ
           کالم عددی ہیں اور انہیں 'wavenumber' کا نام دیا گیا ہے۔
           'شدت'."
absorbance intensity [-],جذب کی شدت [-]
wavenumber [cm<sup>-1</sup>],لہر نمبر [cm<sup>-1</sup>]
Analyzing Spectrum,سپیکٹرم کا تجزیہ کرنا
Finding Match,میچ تلاش کرنا
Making Plot,پلاٹ بنانا
Material,مواد
Pearson's r,پیئرسن کے آر
Organization,تنظیم
Selectable Matches,قابل انتخاب میچز
Donations,عطیات
Operation Costs,آپریشن کے اخراجات
Selection Metadata,سلیکشن میٹا ڈیٹا
