en,hy
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,"Վճարովի թիմ, որը մղում է Open Specy-ին մեկ սեղմումով 100% ճշգրիտ սպեկտրային նույնականացման և խորը սպեկտրային ախտորոշման վերջնական նպատակին:"
A single paid staff person working to update and build the community and the tool,"Մեկ վարձատրվող անձնակազմ, որն աշխատում է համայնքը և գործիքը թարմացնելու և կառուցելու համար"
Maintenance costs and minor ad-hoc updates and bug fixes,Սպասարկման ծախսեր և փոքր ժամանակավոր թարմացումներ և վրիպակների շտկումներ
Keeping the app online and essential maintenance,Հավելվածը առցանց պահելը և անհրաժեշտ սպասարկումը
Long term storage only,Միայն երկարաժամկետ պահեստավորում
Sharing Metadata,Մետատվյալների փոխանակում
Thank you for sharing your data!,Շնորհակալություն ձեր տվյալները կիսելու համար:
Your data will soon be available at https://osf.io/stmv4/,Ձեր տվյալները շուտով հասանելի կլինեն https://osf.io/stmv4/ հասցեով
Something went wrong :-(,Ինչ որ բան այնպես չգնաց :-(
Data type not supported!,Տվյալների տեսակը չի աջակցվում:
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","Վերբեռնված տվյալների տեսակը ներկայումս չի աջակցվում. խնդրում եմ
                      Մանրամասների համար ստուգեք գործիքի հուշումները և «Մի մասին» ներդիրը:"
Sharing Spectrum to Community Library,Համայնքային գրադարանի սպեկտրի համօգտագործում
Reading Spectrum,Ընթերցանության սպեկտր
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","Եթե վերբեռնել եք տեքստային/csv ֆայլ, համոզվեք, որ
           սյունակները թվային են և կոչվում են «ալիքային թիվ» և
           'ինտենսիվացնել'."
absorbance intensity [-],կլանման ինտենսիվությունը [-]
wavenumber [cm<sup>-1</sup>],ալիքի թիվ [սմ<sup>-1</sup>]
Analyzing Spectrum,Սպեկտրի վերլուծություն
Finding Match,Համապատասխանություն գտնելը
Making Plot,Հողամաս պատրաստելը
Material,Նյութ
Pearson's r,Փիրսոնի ռ
Organization,Կազմակերպություն
Selectable Matches,Ընտրելի համընկնումներ
Donations,Նվիրատվություններ
Operation Costs,Գործողության ծախսեր
Selection Metadata,Ընտրության մետատվյալներ
