en,pa
FTIR Reference Library,FTIR ਹਵਾਲਾ ਲਾਇਬ੍ਰੇਰੀ
Raman Reference Library Metadata,ਰਮਨ ਰੈਫਰੈਂਸ ਲਾਇਬ੍ਰੇਰੀ ਮੈਟਾਡੇਟਾ
FTIR Reference Library Metadata,FTIR ਹਵਾਲਾ ਲਾਇਬ੍ਰੇਰੀ ਮੈਟਾਡੇਟਾ
Contribute Spectra,ਸਪੈਕਟਰਾ ਦਾ ਯੋਗਦਾਨ ਦਿਓ
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","ਸਪੈਕਟਰਾ ਨੂੰ ਸਾਂਝਾ ਕਰਨ ਲਈ ਅੱਪਲੋਡ ਫ਼ਾਈਲ ਟੈਬ 'ਤੇ ਇੱਕ ਫ਼ਾਈਲ ਅੱਪਲੋਡ ਕਰੋ। ਜੇਕਰ ਤੁਸੀਂ ਸਾਂਝਾ ਕਰੋ ਚੁਣਿਆ ਹੈ ਤਾਂ ਤੁਹਾਡੇ ਸਪੈਕਟਰਾ ਦੀ ਇੱਕ ਕਾਪੀ ਭਾਈਚਾਰੇ ਨੂੰ ਭੇਜੀ ਜਾਵੇਗੀ
           ਓਪਨ ਸਾਇੰਸ ਫਰੇਮਵਰਕ 'ਤੇ ਡਾਟਾ ਵੇਅਰਹਾਊਸ। ਵਾਧੂ ਮੈਟਾਡੇਟਾ ਜੋੜਨ ਲਈ,
           ਉਪਲਬਧ ਮੈਟਾਡੇਟਾ ਖੇਤਰਾਂ ਨੂੰ ਭਰੋ ਅਤੇ -ਸ਼ੇਅਰ ਡੇਟਾ- 'ਤੇ ਕਲਿੱਕ ਕਰੋ। ਦ
           ਤੁਹਾਡੇ ਜਵਾਬਾਂ ਦੇ ਨਾਲ ਤੁਹਾਡੇ ਦੁਆਰਾ ਅਪਲੋਡ ਕੀਤੀ ਗਈ ਸਪੈਕਟਰਾ ਫਾਈਲ ਦੀ ਨਕਲ ਕੀਤੀ ਜਾਵੇਗੀ
           ਹੇਠਾਂ ਦਿੱਤੇ ਲਿੰਕ 'ਤੇ ਇੱਕ -ਵਿਦ ਮੈਟਾਡੇਟਾ- ਸਬਫੋਲਡਰ ਲਈ। ਸਾਰਾ ਸਾਂਝਾ ਡੇਟਾ ਰੱਖਦਾ ਹੈ
           ਇੱਕ ਕਰੀਏਟਿਵ ਕਾਮਨਜ਼ ਐਟਰੀਬਿਊਸ਼ਨ ਲਾਇਸੈਂਸ 4.0."
Community Data Warehouse,ਕਮਿਊਨਿਟੀ ਡਾਟਾ ਵੇਅਰਹਾਊਸ
Tool Validation,ਟੂਲ ਪ੍ਰਮਾਣਿਕਤਾ
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","ਇਸ ਟੂਲ ਦੇ ਸਾਰੇ ਮਾਪਦੰਡਾਂ ਨੂੰ ਪ੍ਰਮਾਣਿਤ ਕਰਨ ਲਈ ਟੈਸਟ ਕੀਤਾ ਜਾਂਦਾ ਹੈ
           ਟੂਲ ਜਿੰਨਾ ਸੰਭਵ ਹੋ ਸਕੇ ਸਭ ਤੋਂ ਵਧੀਆ ਕੰਮ ਕਰ ਰਿਹਾ ਹੈ ਅਤੇ ਸਭ ਤੋਂ ਵਧੀਆ ਡਿਫੌਲਟ ਨਿਰਧਾਰਤ ਕਰਦਾ ਹੈ
           ਵਰਤਣ ਲਈ ਪੈਰਾਮੀਟਰ. ਸਾਡੀ ਮੌਜੂਦਾ ਪ੍ਰਮਾਣਿਕਤਾ ਪ੍ਰਕਿਰਿਆ ਵਿੱਚ ਸੁਧਾਰ ਕਰਨਾ ਸ਼ਾਮਲ ਹੈ
           ਹਵਾਲਾ ਲਾਇਬ੍ਰੇਰੀਆਂ ਵਿੱਚ ਡੁਪਲੀਕੇਟ ਐਂਟਰੀਆਂ, ਸਪੈਕਟਰਾ ਇਨ ਦੀ ਜਾਂਚ ਕਰ ਰਿਹਾ ਹੈ
           ਮੈਟਾਡੇਟਾ ਜੋ ਸਪੈਕਟ੍ਰਲ ਲਾਇਬ੍ਰੇਰੀ ਵਿੱਚ ਨਹੀਂ ਹੈ, ਅਤੇ ਡਿਫੌਲਟ ਨੂੰ ਯਕੀਨੀ ਬਣਾਉਂਦਾ ਹੈ
           ਮਾਪਦੰਡ ਪਹਿਲੇ ਮੈਚ ਵਿੱਚ 80% ਤੋਂ ਵੱਧ ਸ਼ੁੱਧਤਾ ਪ੍ਰਦਾਨ ਕਰਦੇ ਹਨ।"
Detailed Validation Procedure,ਵਿਸਤ੍ਰਿਤ ਪ੍ਰਮਾਣਿਕਤਾ ਪ੍ਰਕਿਰਿਆ
"Updates, Feature Requests, and Bug Reports","ਅੱਪਡੇਟ, ਵਿਸ਼ੇਸ਼ਤਾ ਬੇਨਤੀਆਂ, ਅਤੇ ਬੱਗ ਰਿਪੋਰਟਾਂ"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,ਅਸੀਂ ਆਪਣੇ ਕੋਡ 'ਤੇ ਸੰਸਕਰਣ ਨਿਯੰਤਰਣ ਦੀ ਵਰਤੋਂ ਕਰਦੇ ਹੋਏ ਸਾਰੇ ਅਪਡੇਟਾਂ ਦਾ ਧਿਆਨ ਰੱਖਦੇ ਹਾਂ। GitHub 'ਤੇ ਵਿਸ਼ੇਸ਼ਤਾਵਾਂ ਦੀ ਬੇਨਤੀ ਕੀਤੀ ਜਾ ਸਕਦੀ ਹੈ ਅਤੇ ਬੱਗ ਦੀ ਰਿਪੋਰਟ ਕੀਤੀ ਜਾ ਸਕਦੀ ਹੈ।
Stay up to date!,ਅੱਪ ਟੂ ਡੇਟ ਰਹੋ!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,ਟਵਿੱਟਰ @OpenSpecy 'ਤੇ ਸਾਡੇ ਨਾਲ ਪਾਲਣਾ ਕਰੋ। ਈਮੇਲਿੰਗ ਸੂਚੀ ਵਿੱਚ ਸ਼ਾਮਲ ਕਰਨ ਲਈ wincowger@gmail.com ਨੂੰ ਈ-ਮੇਲ ਕਰੋ।
Citation,ਹਵਾਲਾ
Useful Links,ਉਪਯੋਗੀ ਲਿੰਕ
Free FTIR Software: siMPle microplastic IR spectral identification software,ਮੁਫਤ FTIR ਸਾਫਟਵੇਅਰ: ਸਧਾਰਨ ਮਾਈਕ੍ਰੋਪਲਾਸਟਿਕ ਆਈਆਰ ਸਪੈਕਟ੍ਰਲ ਪਛਾਣ ਸਾਫਟਵੇਅਰ
Free Spectroscopy Learning Academy from ThermoFisher,ਥਰਮੋਫਿਸ਼ਰ ਤੋਂ ਮੁਫਤ ਸਪੈਕਟ੍ਰੋਸਕੋਪੀ ਲਰਨਿੰਗ ਅਕੈਡਮੀ
Free Optical Microscopy Learning Resource from Florida State University,ਫਲੋਰੀਡਾ ਸਟੇਟ ਯੂਨੀਵਰਸਿਟੀ ਤੋਂ ਮੁਫਤ ਆਪਟੀਕਲ ਮਾਈਕ੍ਰੋਸਕੋਪੀ ਸਿਖਲਾਈ ਸਰੋਤ
Free desktop application for spectral analysis and links to reference databases.,ਸਪੈਕਟ੍ਰਲ ਵਿਸ਼ਲੇਸ਼ਣ ਅਤੇ ਸੰਦਰਭ ਡੇਟਾਬੇਸ ਦੇ ਲਿੰਕਾਂ ਲਈ ਮੁਫਤ ਡੈਸਕਟੌਪ ਐਪਲੀਕੇਸ਼ਨ।
Terms And Conditions,ਨਿਬੰਧਨ ਅਤੇ ਸ਼ਰਤਾਂ
Privacy Policy,ਪਰਾਈਵੇਟ ਨੀਤੀ
Upload File,ਫਾਈਲ ਅੱਪਲੋਡ ਕਰੋ
"Upload, View, and Share Spectra","ਸਪੈਕਟਰਾ ਨੂੰ ਅੱਪਲੋਡ ਕਰੋ, ਦੇਖੋ ਅਤੇ ਸਾਂਝਾ ਕਰੋ"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File",".csv (ਤਰਜੀਹੀ), .asp, .jdx, .spc, .spa, ਜਾਂ .0 ਫ਼ਾਈਲ ਚੁਣੋ"
Share Your Data?,ਕੀ ਤੁਹਾਡਾ ਡੇਟਾ ਸਾਂਝਾ ਕਰਨਾ ਹੈ?
Share Help,ਮਦਦ ਸਾਂਝੀ ਕਰੋ
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","ਜੇਕਰ ਤੁਸੀਂ ਚਾਹੋ, ਤਾਂ ਅਸੀਂ ਤੁਹਾਡੇ ਅੱਪਲੋਡ ਕੀਤੇ ਸਪੈਕਟਰਾ ਅਤੇ ਸੈਟਿੰਗਾਂ ਨੂੰ ਸਪੈਕਟ੍ਰੋਸਕੋਪੀ ਕਮਿਊਨਿਟੀ ਨਾਲ ਸਾਂਝਾ ਕਰਦੇ ਹਾਂ।
           ਮੂਲ ਰੂਪ ਵਿੱਚ, ਸਾਰਾ ਡੇਟਾ ਕਰੀਏਟਿਵ ਕਾਮਨਜ਼ ਐਟ੍ਰਬਿਊਸ਼ਨ-ਗੈਰ-ਵਪਾਰਕ 4.0 ਇੰਟਰਨੈਸ਼ਨਲ (CC BY-NC 4.0) ਦੇ ਅਧੀਨ ਲਾਇਸੰਸਸ਼ੁਦਾ ਹੋਵੇਗਾ।
           ਅੱਪਲੋਡ ਕੀਤਾ ਸਪੈਕਟਰਾ ਇੱਥੇ ਦਿਖਾਈ ਦੇਵੇਗਾ: https://osf.io/rjg3c"
Upload Help,ਮਦਦ ਅੱਪਲੋਡ ਕਰੋ
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","ਰਮਨ ਜਾਂ FTIR ਸਪੈਕਟ੍ਰਮ ਫ਼ਾਈਲਾਂ ਨੂੰ csv, jdx, spc, ਜਾਂ spa ਵਜੋਂ ਅੱਪਲੋਡ ਕਰੋ। ਇੱਕ csv ਫਾਈਲ ਨੂੰ ਤਰਜੀਹ ਦਿੱਤੀ ਜਾਂਦੀ ਹੈ। ਜੇਕਰ ਇੱਕ csv ਹੈ, ਤਾਂ ਫਾਈਲ ਵਿੱਚ (1/ਸੈ.ਮੀ.) ਦੀਆਂ ਇਕਾਈਆਂ ਵਿੱਚ 'ਵੇਵਨੰਬਰ' ਲੇਬਲ ਵਾਲਾ ਇੱਕ ਕਾਲਮ ਅਤੇ ਸੋਖਣ ਯੂਨਿਟਾਂ ਵਿੱਚ 'ਤੀਬਰਤਾ' ਲੇਬਲ ਵਾਲਾ ਇੱਕ ਹੋਰ ਕਾਲਮ ਹੋਣਾ ਚਾਹੀਦਾ ਹੈ।
            ਜੇ jdx, spc, spa, ਜਾਂ 0 ਫਾਈਲ (1/ਸੈ.ਮੀ.) ਵਿੱਚ ਵੇਵਨੰਬਰ ਦੇ ਨਾਲ ਇੱਕ ਸਿੰਗਲ ਸੋਖਣ ਵਾਲਾ ਸਪੈਕਟ੍ਰਮ ਹੋਣਾ ਚਾਹੀਦਾ ਹੈ। ਇਹ ਫਾਈਲਾਂ ਹਮੇਸ਼ਾਂ ਪੂਰੀ ਤਰ੍ਹਾਂ ਕੰਮ ਨਹੀਂ ਕਰਨਗੀਆਂ ਕਿਉਂਕਿ ਇਹ ਪੜ੍ਹਨ ਵਿੱਚ ਮੁਸ਼ਕਲ ਹਨ ਇਸਲਈ ਕਿਸੇ ਹੋਰ ਸੌਫਟਵੇਅਰ ਵਿੱਚ ਉਹਨਾਂ ਦੀ ਜਾਂਚ ਕਰੋ।
            ਨਮੂਨਾ ਰਮਨ ਸਪੈਕਟ੍ਰਮ ਨੂੰ ਡਾਊਨਲੋਡ ਕਰਨ ਲਈ 'ਟੈਸਟ ਡੇਟਾ' ਬਟਨ ਨੂੰ ਦਬਾਓ।"
Intensity Adjustment,ਤੀਬਰਤਾ ਸਮਾਯੋਜਨ
None,ਕੋਈ ਨਹੀਂ
Transmittance,ਸੰਚਾਰ
Reflectance,ਪ੍ਰਤੀਬਿੰਬ
Intensity Correction Help,ਤੀਬਰਤਾ ਸੁਧਾਰ ਮਦਦ
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","ਜੇਕਰ ਅੱਪਲੋਡ ਕੀਤਾ ਸਪੈਕਟ੍ਰਮ ਸੋਖਣ ਯੂਨਿਟਾਂ ਵਿੱਚ ਨਹੀਂ ਹੈ,
           ਓਪਨ ਸਪੀਸੀ ਕੈਨ ਤੋਂ ਕਨਵਰਟ ਕਰਨ ਲਈ ਇਕਾਈਆਂ ਨੂੰ ਨਿਰਧਾਰਤ ਕਰਨ ਲਈ ਇਸ ਇਨਪੁਟ ਦੀ ਵਰਤੋਂ ਕਰੋ
           ਰਿਫਲੈਕਟੈਂਸ ਜਾਂ ਟ੍ਰਾਂਸਮੀਟੈਂਸ ਸਪੈਕਟਰਾ ਨੂੰ ਅਬਜ਼ੋਰਬੈਂਸ ਯੂਨਿਟਾਂ ਦੀ ਵਰਤੋਂ ਕਰਦੇ ਹੋਏ ਵਿਵਸਥਿਤ ਕਰੋ
           ਇਹ ਡ੍ਰੌਪ ਡਾਊਨ ਅੱਪਲੋਡ ਫਾਈਲ ਟੈਬ ਵਿੱਚ ਹੈ। ਪਿਛਲੀਆਂ ਸਾਰੀਆਂ ਟੈਬਾਂ
           ਮੰਨ ਲਓ ਕਿ ਡੇਟਾ ਸਮਾਈ ਯੂਨਿਟਾਂ ਵਿੱਚ ਹੈ ਇਸ ਲਈ ਤੁਹਾਨੂੰ ਬਣਾਉਣਾ ਚਾਹੀਦਾ ਹੈ
           ਜੇਕਰ ਲੋੜ ਹੋਵੇ ਤਾਂ ਜਾਰੀ ਰੱਖਣ ਤੋਂ ਪਹਿਲਾਂ ਸੁਧਾਰ। ਸੰਚਾਰ ਵਿਵਸਥਾ
           log10(1/T) ਗਣਨਾ ਦੀ ਵਰਤੋਂ ਕਰਦਾ ਹੈ ਜੋ ਸਿਸਟਮ ਲਈ ਸਹੀ ਨਹੀਂ ਹੈ
           ਅਤੇ ਕਣ ਵਿਸ਼ੇਸ਼ਤਾਵਾਂ। ਰਿਫਲੈਕਟੈਂਸ ਐਡਜਸਟਮੈਂਟ ਦੀ ਵਰਤੋਂ ਕਰਦਾ ਹੈ
           ਕੁਬੇਲਕਾ-ਮੰਕ ਸਮੀਕਰਨ (1-R)2/(2*R)। ਅਸੀਂ ਮੰਨ ਲੈਂਦੇ ਹਾਂ ਕਿ ਪ੍ਰਤੀਬਿੰਬ
           1-100 ਤੋਂ ਪ੍ਰਤੀਸ਼ਤ ਦੇ ਰੂਪ ਵਿੱਚ ਫਾਰਮੈਟ ਕੀਤਾ ਗਿਆ ਹੈ ਅਤੇ ਪਹਿਲਾਂ 100 ਨਾਲ ਭਾਗ ਕਰਕੇ ਤੀਬਰਤਾ ਨੂੰ ਠੀਕ ਕਰੋ
           ਤਾਂ ਜੋ ਇਹ ਸਮੀਕਰਨ ਦੁਆਰਾ ਉਮੀਦ ਕੀਤੇ ਫਾਰਮ ਵਿੱਚ ਫਿੱਟ ਹੋਵੇ।
           ਜੇਕਰ ਕੋਈ ਵੀ ਨਹੀਂ ਚੁਣਿਆ ਗਿਆ ਹੈ, ਤਾਂ ਓਪਨ ਸਪੀਸੀ ਇਹ ਮੰਨਦੀ ਹੈ ਕਿ ਅੱਪਲੋਡ ਕੀਤਾ ਗਿਆ ਡੇਟਾ ਹੈ
           ਇੱਕ ਸਮਾਈ ਸਪੈਕਟ੍ਰਮ."
Sample File,ਨਮੂਨਾ ਫਾਈਲ
Sample Data Help,ਨਮੂਨਾ ਡਾਟਾ ਮਦਦ
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,"ਇਹ ਇੱਕ ਨਮੂਨਾ ਸਪੈਕਟ੍ਰਮ ਹੈ ਜਿਸ ਨੂੰ ਇਸਦੀ ਜਾਂਚ ਕਰਨ ਅਤੇ ਇਹ ਸਮਝਣ ਲਈ ਕਿ csv ਫਾਈਲਾਂ ਨੂੰ ਕਿਵੇਂ ਫਾਰਮੈਟ ਕੀਤਾ ਜਾਣਾ ਚਾਹੀਦਾ ਹੈ, ਲਈ ਟੂਲ 'ਤੇ ਅੱਪਲੋਡ ਕੀਤਾ ਜਾ ਸਕਦਾ ਹੈ।"
Metadata Input,ਮੈਟਾਡੇਟਾ ਇੰਪੁੱਟ
Metadata Help,ਮੈਟਾਡੇਟਾ ਮਦਦ
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","ਅਸੀਂ ਸਪੈਕਟ੍ਰੋਸਕੋਪੀ ਕਮਿਊਨਿਟੀ ਨਾਲ ਕੋਈ ਵੀ ਅੱਪਲੋਡ ਕੀਤਾ ਸਪੈਕਟਰਾ ਅਤੇ ਮੈਟਾਡੇਟਾ ਸਾਂਝਾ ਕਰਦੇ ਹਾਂ ਜੇਕਰ ਤੁਸੀਂ ਇੱਥੇ ਮੈਟਾਡੇਟਾ ਭਰਦੇ ਹੋ ਅਤੇ ਸ਼ੇਅਰ ਦੀ ਚੋਣ ਕਰਦੇ ਹੋ।
           ਅੱਪਲੋਡ ਕੀਤਾ ਸਪੈਕਟਰਾ ਅਤੇ ਮੈਟਾਡੇਟਾ ਇੱਥੇ ਦਿਖਾਈ ਦੇਣਗੇ: https://osf.io/rjg3c"
Share Metadata,ਮੈਟਾਡੇਟਾ ਸਾਂਝਾ ਕਰੋ
Upload some data to get started...,ਸ਼ੁਰੂ ਕਰਨ ਲਈ ਕੁਝ ਡੇਟਾ ਅੱਪਲੋਡ ਕਰੋ...
Preprocess Spectrum,ਪ੍ਰੀਪ੍ਰੋਸੈਸ ਸਪੈਕਟ੍ਰਮ
"Smooth, Baseline Correct, and Download Processed Spectra","ਨਿਰਵਿਘਨ, ਬੇਸਲਾਈਨ ਸਹੀ, ਅਤੇ ਪ੍ਰੋਸੈਸਡ ਸਪੈਕਟਰਾ ਡਾਊਨਲੋਡ ਕਰੋ"
Download (recommended),ਡਾਊਨਲੋਡ ਕਰੋ (ਸਿਫ਼ਾਰਸ਼ੀ)
Download Help,ਮਦਦ ਡਾਊਨਲੋਡ ਕਰੋ
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,ਕੁਝ ਉਪਭੋਗਤਾ ਆਪਣੇ ਪ੍ਰੋਸੈਸਡ ਸਪੈਕਟ੍ਰਮ ਦੀ ਇੱਕ ਕਾਪੀ ਨੂੰ ਸੁਰੱਖਿਅਤ ਕਰਨਾ ਚਾਹ ਸਕਦੇ ਹਨ। ਇਹ ਬਟਨ ਪ੍ਰੋਸੈਸਡ ਸਪੈਕਟ੍ਰਮ ਨੂੰ ਇੱਕ csv ਫਾਈਲ ਦੇ ਰੂਪ ਵਿੱਚ ਡਾਊਨਲੋਡ ਕਰਦਾ ਹੈ।
Smoothing,ਸਮੂਥਿੰਗ
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,ਇਹ ਮੁਲਾਇਮ ਡੇਟਾ ਦੇ ਸ਼ੋਰ ਅਨੁਪਾਤ ਲਈ ਸਿਗਨਲ ਨੂੰ ਵਧਾ ਸਕਦਾ ਹੈ ਅਤੇ 12 ਚੱਲ ਰਹੇ ਡੇਟਾ ਪੁਆਇੰਟਾਂ ਅਤੇ ਨਿਰਦਿਸ਼ਟ ਬਹੁਨਾਮੀ ਨਾਲ ਇੱਕ Savitzky-Golay ਫਿਲਟਰ ਦੀ ਵਰਤੋਂ ਕਰਦਾ ਹੈ।
Smoothing Polynomial,ਸਮੂਥਿੰਗ ਬਹੁਪਦ
Baseline Correction,ਬੇਸਲਾਈਨ ਸੁਧਾਰ
Baseline Correction Help,ਬੇਸਲਾਈਨ ਸੁਧਾਰ ਮਦਦ
