en,gu
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","જો અપલોડ કરેલ સ્પેક્ટ્રમ શોષક એકમોમાં નથી,
           ઓપન સ્પેસી કેનમાંથી કન્વર્ટ કરવા માટેના એકમોનો ઉલ્લેખ કરવા માટે આ ઇનપુટનો ઉપયોગ કરો
           નો ઉપયોગ કરીને શોષક એકમોમાં પ્રતિબિંબ અથવા ટ્રાન્સમિટન્સ સ્પેક્ટ્રાને સમાયોજિત કરો
           આ અપલોડ ફાઇલ ટેબમાં ડ્રોપ ડાઉન કરો. અગાઉના તમામ ટેબ
           ધારો કે ડેટા શોષક એકમોમાં છે તેથી તમારે બનાવવું જોઈએ
           જો જરૂરી હોય તો ચાલુ રાખતા પહેલા કરેક્શન. ટ્રાન્સમિટન્સ ગોઠવણ
           log10(1/T) ગણતરીનો ઉપયોગ કરે છે જે સિસ્ટમ માટે યોગ્ય નથી
           અને કણોની લાક્ષણિકતાઓ. પ્રતિબિંબ ગોઠવણ આનો ઉપયોગ કરે છે
           કુબેલકા-મંક સમીકરણ (1-R)2/(2*R). અમે ધારીએ છીએ કે પ્રતિબિંબ
           1-100 થી ટકા તરીકે ફોર્મેટ કરવામાં આવે છે અને પ્રથમ 100 વડે ભાગીને તીવ્રતાને ઠીક કરો
           જેથી તે સમીકરણ દ્વારા અપેક્ષિત ફોર્મમાં બંધબેસે.
           જો કોઈ પસંદ કરેલ નથી, તો ઓપન સ્પેસી ધારે છે કે અપલોડ કરેલ ડેટા છે
           શોષક સ્પેક્ટ્રમ."
Sample File,નમૂના ફાઇલ
Sample Data Help,નમૂના ડેટા સહાય
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,આ એક સેમ્પલ સ્પેક્ટ્રમ છે જે તેને ચકાસવા અને CSV ફાઇલોને કેવી રીતે ફોર્મેટ કરવી જોઈએ તે સમજવા માટે ટૂલ પર અપલોડ કરી શકાય છે.
Metadata Input,મેટાડેટા ઇનપુટ
Metadata Help,મેટાડેટા મદદ
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","જો તમે અહીં મેટાડેટા ભરો અને શેર પસંદ કરો તો અમે કોઈપણ અપલોડ કરેલ સ્પેક્ટ્રા અને મેટાડેટાને સ્પેક્ટ્રોસ્કોપી સમુદાય સાથે શેર કરીએ છીએ.
           અપલોડ કરેલ સ્પેક્ટ્રા અને મેટાડેટા અહીં દેખાશે: https://osf.io/rjg3c"
Share Metadata,મેટાડેટા શેર કરો
Upload some data to get started...,પ્રારંભ કરવા માટે અમુક ડેટા અપલોડ કરો...
Preprocess Spectrum,પ્રીપ્રોસેસ સ્પેક્ટ્રમ
"Smooth, Baseline Correct, and Download Processed Spectra","સ્મૂથ, બેઝલાઇન યોગ્ય અને પ્રોસેસ્ડ સ્પેક્ટ્રા ડાઉનલોડ કરો"
Download (recommended),ડાઉનલોડ કરો (ભલામણ કરેલ)
Download Help,મદદ ડાઉનલોડ કરો
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,કેટલાક વપરાશકર્તાઓ તેમના પ્રોસેસ્ડ સ્પેક્ટ્રમની નકલ સાચવવા માંગે છે. આ બટન પ્રોસેસ્ડ સ્પેક્ટ્રમને csv ફાઇલ તરીકે ડાઉનલોડ કરે છે.
Smoothing,સ્મૂથિંગ
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,આ સ્મૂધર ડેટાના સિગ્નલ ટુ નોઈઝ રેશિયોમાં વધારો કરી શકે છે અને 12 રનિંગ ડેટા પોઈન્ટ અને સ્પષ્ટ કરેલ બહુપદી સાથે Savitzky-Golay ફિલ્ટરનો ઉપયોગ કરે છે.
Smoothing Polynomial,સ્મૂથિંગ બહુપદી
Baseline Correction,બેઝલાઇન કરેક્શન
Baseline Correction Help,બેઝલાઇન કરેક્શન મદદ
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","આ બેઝલાઇન કરેક્શન રૂટિનમાં બેઝલાઇન કરેક્શન માટે બે વિકલ્પો છે, 1) સ્પેક્ટ્રાના સમગ્ર પ્રદેશમાં બહુપદી ફિટનો ઉપયોગ કરીને સ્પેક્ટ્રમની બેઝલાઇનને પુનરાવર્તિત રીતે શોધવા માટે બહુપદી ઇમોડપોલિફિટ પ્રક્રિયા. 2) પ્લોટ પર લાઇન ટૂલનો ઉપયોગ કરીને મેન્યુઅલ લાઇન્સ દોરી શકાય છે અને સાચું બટન બેઝલાઇનને બાદ કરવા માટે લાઇનોનો ઉપયોગ કરશે."
Baseline Correction Polynomial,બેઝલાઇન કરેક્શન બહુપદી
Technique,ટેકનીક
Polynomial,બહુપદી
Manual,મેન્યુઅલ
Correct With Trace,ટ્રેસ સાથે ઠીક કરો
Reset,રીસેટ કરો
Range Selection,શ્રેણી પસંદગી
Spectral Range Help,સ્પેક્ટ્રલ રેન્જ મદદ
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,સ્પેક્ટ્રલ શ્રેણીને પ્રતિબંધિત કરવાથી સ્પેક્ટ્રમના વિસ્તારોને દૂર કરી શકાય છે જ્યાં કોઈ શિખરો અસ્તિત્વમાં નથી અને મેચિંગમાં સુધારો કરી શકે છે
Maximum Spectral Range,મહત્તમ સ્પેક્ટ્રલ શ્રેણી
Minimum Spectral Range,ન્યૂનતમ સ્પેક્ટ્રલ શ્રેણી
Identify Spectrum,સ્પેક્ટ્રમ ઓળખો
Identify Spectrum Using the Reference Library,સંદર્ભ પુસ્તકાલયનો ઉપયોગ કરીને સ્પેક્ટ્રમને ઓળખો
Raman,રમણ
FTIR,FTIR
Spectra,સ્પેક્ટ્રા
Type,પ્રકાર
Spectrum Type Help,સ્પેક્ટ્રમ પ્રકાર મદદ
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,આ પસંદગી નક્કી કરશે કે FTIR અથવા રમન મેચિંગ લાઇબ્રેરીનો ઉપયોગ થાય છે કે નહીં. અપલોડ કરેલ સ્પેક્ટ્રમ પ્રકાર પસંદ કરો.
Analysis,વિશ્લેષણ
Processed,પ્રક્રિયા કરી
Uploaded,અપલોડ કરેલ
Spectrum to Analyze Help,મદદનું વિશ્લેષણ કરવા માટે સ્પેક્ટ્રમ
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,આ પસંદગી નિર્ધારિત કરશે કે અપલોડ કરેલ (પ્રક્રિયા કરેલ નથી) સ્પેક્ટ્રમ અથવા પ્રોસેસિંગ ટેબનો ઉપયોગ કરીને પ્રક્રિયા કરેલ સ્પેક્ટ્રમનો ઉપયોગ સ્પેક્ટ્રમ મેચમાં થાય છે.
Region,પ્રદેશ
Full,સંપૂર્ણ
Peaks,શિખરો
Region to Match Help,મદદ સાથે મેળ ખાતો પ્રદેશ
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,આ પસંદગી નિર્ધારિત કરશે કે તમે જે લાઇબ્રેરી સાથે મેળ ખાઓ છો તેમાં સંપૂર્ણ સ્પેક્ટ્રમ છે કે માત્ર સ્પેક્ટ્રમ શિખરો છે.
Partner With Us,અમારી સાથે ભાગીદાર
Help us reach our goal of revolutionizing spectroscopy.,સ્પેક્ટ્રોસ્કોપીમાં ક્રાંતિ લાવવાના અમારા ધ્યેય સુધી પહોંચવામાં અમને મદદ કરો.
Donate Cash,રોકડ દાન કરો
Buy From Swag Store,સ્વેગ સ્ટોરમાંથી ખરીદો
Contribute time,સમય ફાળો
Revolutionizing,ક્રાંતિકારી
Thriving,સમૃદ્ધ
Maintaining,જાળવણી
Supporting,સહાયક
Saving,બચત
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,એક પેઇડ ટીમ જે ઓપન સ્પેસીને 100% સચોટ સ્પેક્ટ્રલ આઇડેન્ટિફિકેશન અને ડીપ સ્પેક્ટ્રલ ડાયગ્નોસ્ટિક્સના અંતિમ ધ્યેયની નજીક ધકેલે છે.
A single paid staff person working to update and build the community and the tool,સમુદાય અને ટૂલને અપડેટ અને બિલ્ડ કરવા માટે કામ કરતી સિંગલ પેઇડ સ્ટાફ વ્યક્તિ
Maintenance costs and minor ad-hoc updates and bug fixes,જાળવણી ખર્ચ અને નાના એડ-હૉક અપડેટ્સ અને બગ ફિક્સેસ
Keeping the app online and essential maintenance,એપ્લિકેશનને ઓનલાઈન રાખવી અને આવશ્યક જાળવણી
Long term storage only,માત્ર લાંબા ગાળાના સ્ટોરેજ
Sharing Metadata,મેટાડેટા શેર કરી રહ્યા છીએ
Thank you for sharing your data!,તમારો ડેટા શેર કરવા બદલ આભાર!
Your data will soon be available at https://osf.io/stmv4/,તમારો ડેટા ટૂંક સમયમાં https://osf.io/stmv4/ પર ઉપલબ્ધ થશે
Something went wrong :-(,કંઈક ખોટું થયું :-(
Data type not supported!,ડેટા પ્રકાર સમર્થિત નથી!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","અપલોડ કરેલ ડેટા પ્રકાર હાલમાં સમર્થિત નથી; કૃપા કરીને
                      વિગતો માટે ટૂલટિપ્સ અને 'વિશે' ટેબ તપાસો."
Sharing Spectrum to Community Library,કોમ્યુનિટી લાઇબ્રેરીમાં સ્પેક્ટ્રમ શેર કરવું
Reading Spectrum,વાંચન સ્પેક્ટ્રમ
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","જો તમે ટેક્સ્ટ/csv ફાઇલ અપલોડ કરી હોય, તો ખાતરી કરો કે
           કૉલમ સંખ્યાત્મક છે અને 'વેવનમ્બર' નામના છે અને
           'તીવ્રતા'."
absorbance intensity [-],શોષણની તીવ્રતા [-]
wavenumber [cm<sup>-1</sup>],તરંગ સંખ્યા [cm<sup>-1</sup>]
Analyzing Spectrum,સ્પેક્ટ્રમ વિશ્લેષણ
Finding Match,મેળ શોધવી
Making Plot,પ્લોટ બનાવવો
Material,સામગ્રી
Pearson's r,પીયર્સનની આર
Organization,સંસ્થા
Selectable Matches,પસંદ કરવા યોગ્ય મેચો
Donations,દાન
Operation Costs,ઓપરેશન ખર્ચ
Selection Metadata,પસંદગી મેટાડેટા
