en,ceb
Baseline Correction Help,Tabang sa Pagtul-id sa Baseline
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","Kini nga rutina sa pagtul-id sa baseline adunay duha ka kapilian alang sa pagtul-id sa baseline, 1) ang pamaagi nga polynomial imodpolyfit aron makit-an ang baseline sa spectrum gamit ang usa ka polynomial nga angay sa tibuuk nga rehiyon sa spectra. 2) ang manwal nga mga linya mahimong madrowing gamit ang line tool sa plot ug ang saktong buton maoy mogamit sa mga linya aron ibasura ang baseline."
Baseline Correction Polynomial,Baseline Correction Polynomial
Technique,Teknik
Polynomial,Polinomyal
Manual,Manwal
Correct With Trace,Husto Uban sa Pagsubay
Reset,I-reset
Range Selection,Pagpili sa Range
Spectral Range Help,Tabang sa Spectral Range
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,Ang pagpugong sa spectral range mahimong makatangtang sa mga rehiyon sa spectrum diin walay mga peak ug makapauswag sa pagpares
Maximum Spectral Range,Maximum nga Spectral Range
Minimum Spectral Range,Minimum nga Spectral Range
Identify Spectrum,Ilha ang Spectrum
Identify Spectrum Using the Reference Library,Ilha ang Spectrum Gamit ang Reference Library
Raman,Raman
FTIR,FTIR
Spectra,Spectra
Type,Matang
Spectrum Type Help,Tabang sa Spectrum Type
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,Kini nga pagpili magdeterminar kung ang FTIR o Raman matching library gigamit ba. Pilia ang matang sa spectrum nga gi-upload.
Analysis,Pagtuki
Processed,Giproseso
Uploaded,Gi-upload
Spectrum to Analyze Help,Spectrum sa Pag-analisar sa Tabang
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,Kini nga pagpili magtino kung ang gi-upload (wala giproseso) nga spectrum o ang spectrum nga giproseso gamit ang pagproseso nga tab gigamit sa spectrum match.
Region,Rehiyon
Full,Puno
Peaks,Mga taluktok
Region to Match Help,Tabang sa Rehiyon nga Ipares
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,Kini nga pagpili magdeterminar kung ang librarya nga imong giparesan naglangkob sa bug-os nga spectrum o spectrum ra nga mga peak.
Partner With Us,Kauban Namo
Help us reach our goal of revolutionizing spectroscopy.,Tabangi kami nga makab-ot ang among katuyoan sa pagbag-o sa spectroscopy.
Donate Cash,Pagdonar og Cash
Buy From Swag Store,Pagpalit Gikan sa Swag Store
Contribute time,Pag-amot ug panahon
Revolutionizing,Nagbag-o
Thriving,Nag-uswag
Maintaining,Pagmintinar
Supporting,Pagsuporta
Saving,Pagtipig
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,Usa ka bayad nga team nga nagduso sa Open Specy nga mas duol sa katapusang katuyoan sa 100% nga tukma nga pag-ila sa spectral ug lawom nga spectral diagnostic nga adunay usa ka pag-klik
A single paid staff person working to update and build the community and the tool,Usa ka bayad nga kawani nga nagtrabaho aron ma-update ug matukod ang komunidad ug ang himan
Maintenance costs and minor ad-hoc updates and bug fixes,Mga gasto sa pagmentinar ug menor de edad nga ad-hoc updates ug bug fixes
Keeping the app online and essential maintenance,Ang pagpadayon sa app online ug hinungdanon nga pagmentinar
Long term storage only,Long term storage lang
Sharing Metadata,Pagpaambit sa Metadata
Thank you for sharing your data!,Salamat sa pagpaambit sa imong datos!
Your data will soon be available at https://osf.io/stmv4/,Ang imong datos sa dili madugay magamit sa https://osf.io/stmv4/
Something went wrong :-(,Naay nahitabo :-(
Data type not supported!,Dili suportado ang tipo sa datos!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","Ang gi-upload nga tipo sa datos dili karon gisuportahan; Palihug
                      susiha ang mga tooltip ug tab nga 'About' para sa mga detalye."
Sharing Spectrum to Community Library,Pagpaambit sa Spectrum sa Library sa Komunidad
Reading Spectrum,Spectrum sa Pagbasa
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","Kung nag-upload ka og text/csv file, siguroha nga ang
           Ang mga kolum kay numeric ug ginganlan og 'wavenumber' ug
           'intensity'."
absorbance intensity [-],kakusog sa pagsuyop [-]
wavenumber [cm<sup>-1</sup>],wavenumber [cm<sup>-1</sup>]
Analyzing Spectrum,Pag-analisar sa Spectrum
Finding Match,Pangitag Kaparehas
Making Plot,Paghimo og Plot
Material,Materyal nga
Pearson's r,Pearson's r
Organization,Organisasyon
Selectable Matches,Mapili nga mga Tugma
Donations,Mga donasyon
Operation Costs,Mga Gasto sa Operasyon
Selection Metadata,Metadata sa Pagpili
