en,cs
Sharing Metadata,Sdílení metadat
Thank you for sharing your data!,Děkujeme za sdílení vašich údajů!
Your data will soon be available at https://osf.io/stmv4/,Vaše data budou brzy k dispozici na https://osf.io/stmv4/
Something went wrong :-(,Něco se pokazilo :-(
Data type not supported!,Typ dat není podporován!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","Nahraný datový typ není aktuálně podporován; prosím
                      podrobnosti naleznete v nápovědách a na kartě „O aplikaci“."
Sharing Spectrum to Community Library,Sdílení spektra do komunitní knihovny
Reading Spectrum,Spektrum čtení
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","Pokud jste nahráli textový/csv soubor, ujistěte se, že
           sloupce jsou číselné a pojmenované „vlnové číslo“ a
           'intenzita'."
absorbance intensity [-],intenzita absorbance [-]
wavenumber [cm<sup>-1</sup>],vlnové číslo [cm<sup>-1</sup>]
Analyzing Spectrum,Analýza spektra
Finding Match,Hledání shody
Making Plot,Tvorba spiknutí
Material,Materiál
Pearson's r,Pearsonův r
Organization,Organizace
Selectable Matches,Volitelné zápasy
Donations,Dary
Operation Costs,Provozní náklady
Selection Metadata,Metadata výběru
