en,co
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File","Sceglite .csv (preferitu), .asp, .jdx, .spc, .spa, o .0 File"
Share Your Data?,Condividi i vostri dati?
Share Help,Share Help
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","Se ti piace, spartemu i vostri spettri caricati è paràmetri cù a cumunità di spettroscopia.
           Per automaticamente, tutti i dati seranu licenziati sottu Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           I spettri caricati appariranu quì: https://osf.io/rjg3c"
Upload Help,Caricà l'aiutu
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","Caricate i schedarii di spettru Raman o FTIR cum'è csv, jdx, spc, o spa. Un schedariu csv hè preferitu. Se un csv, u schedariu deve cuntene una colonna marcata ""number d'onda"" in unità di (1/cm) è una altra colonna marcata ""intensità"" in unità di assorbanza.
            Se jdx, spc, spa, o 0 u schedariu deve esse un spettru di assorbanza unicu cù u numeru d'onda in (1/cm). Questi fugliali ùn anu micca sempre funzionà perfettamente perchè sò difficili di leghje, cusì cuntrolla in un altru software.
            Cliccate u buttone ""Dati di prova"" per scaricà un spettru Raman di mostra."
Intensity Adjustment,Ajustamentu di l'intensità
None,Nimu
Transmittance,Trasmittanza
Reflectance,Riflettanza
Intensity Correction Help,Aiutà à a Correzione di Intensità
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","Se u spettru caricatu ùn hè micca in unità di assorbanza,
           aduprà stu input à specificà l 'unità di cunvertisce from.Open Specy can
           aghjustà spettri di riflettanza o transmittance à unità di Assorbanza usendu
           questu drop-down in a tabulazione di upload file. Tutte e tabulazioni precedenti
           assume chì i dati sò in unità di assorbanza cusì duvete fà
           currezzione prima di cuntinuà se necessariu. A regulazione di a trasmissione
           usa u calculu log10 (1/T) chì ùn hè micca currettu per u sistema
           e caratteristiche di particella. L'ajustamentu di riflettanza usa u
           Equazioni Kubelka-Munk (1-R)2/(2*R). Assumimu chì a riflettanza
           hè furmatu cum'è un percentinu da 1-100 è prima curreghja l'intensità dividendu per 100
           in modu chì si adatta à a forma prevista da l'equazioni.
           Se nimu hè sceltu, Open Specy assume chì i dati caricati sò
           un spettru di assorbanza."
Sample File,Sample File
Sample Data Help,Sample Data Aiutu
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,Questu hè un spettru di mostra chì pò esse caricatu à l'uttellu per pruvà è capisce cumu si deve esse furmatu i fugliali csv.
Metadata Input,Input di metadati
Metadata Help,Aiutu di metadati
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","Spartemu qualsiasi spettri è metadati caricati cù a cumunità di spettroscopia se riempite i metadati quì è selezziunate sparte.
           I spettri è i metadati caricati appariscenu quì: https://osf.io/rjg3c"
Share Metadata,Share Metadata
Upload some data to get started...,Caricate qualchi dati per inizià...
Preprocess Spectrum,Preprocess Spectrum
"Smooth, Baseline Correct, and Download Processed Spectra","Smooth, Baseline Correct, è Scaricate Spectra Processed"
Download (recommended),Scaricate (consigliatu)
Download Help,Scaricate l'aiutu
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,Certi utilizatori pò vulete salvà una copia di u so spettru processatu. Stu buttone scaricate u spettru processatu cum'è un schedariu csv.
Smoothing,Lisciatura
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,Stu lisu pò rinfurzà u rapportu signale à u rumore di e dati è usa un filtru Savitzky-Golay cù 12 punti di dati in esecuzione è u polinomiu specificatu.
Smoothing Polynomial,Polinomiu di lisciatura
Baseline Correction,Correzione di basa
Baseline Correction Help,Aiutà à a Correzione di Baseline
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","Questa rutina di currezzione di basa hà duie opzioni per a correzione di basa, 1) a prucedura polinomiale imodpolyfit per truvà in modu itterativu a linea di basa di u spettru utilizendu un adattamentu polinomiale à tutta a regione di u spettru. 2) e linee manuali ponu esse disegnate cù l'uttellu di linea nantu à a trama è u buttone currettu aduprà e linee per sottrae a linea di basa."
Baseline Correction Polynomial,Polinomiu di Correzione di Baseline
Technique,Tecnica
Polynomial,Polinomiu
Manual,Manuale
Correct With Trace,Currettu cù Trace
Reset,Resettate
Range Selection,Selezzione di gamma
Spectral Range Help,Aiutà di u Range Spectral
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,A limitazione di a gamma spettrale pò sguassà e regioni di u spettru induve ùn ci hè micca picchi è migliurà l'abbinamentu
Maximum Spectral Range,Gamma Spectrale Massima
Minimum Spectral Range,Gamma Spectrale Minimu
Identify Spectrum,Identificà Spectrum
Identify Spectrum Using the Reference Library,Identificà Spectrum Utilizendu a Biblioteca di Riferimentu
Raman,Raman
FTIR,FTIR
Spectra,Spectra
Type,Tipu
Spectrum Type Help,Spectrum Type Help
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,Questa selezzione determinerà se a biblioteca di currispondenza FTIR o Raman hè aduprata. Sceglie u tipu di spettru chì hè stata caricata.
Analysis,Analisi
Processed,Prucessatu
Uploaded,Caricatu
Spectrum to Analyze Help,Spettru per analizà Aiutu
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,Questa selezzione determinerà se u spettru caricatu (micca processatu) o u spettru processatu cù a tabulazione di trasfurmazioni hè utilizatu in a partita di spettru.
Region,Regione
Full,Pienu
Peaks,Cime
Region to Match Help,Regione per Match Help
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,Questa selezzione determinerà se a libreria à a quale currisponde hè custituita da u spettru tutale o solu picchi di spettru.
Partner With Us,Partenariatu cun noi
Help us reach our goal of revolutionizing spectroscopy.,Aiutateci à ghjunghje u nostru scopu di rivoluzionari a spettroscopia.
Donate Cash,Donate Cash
Buy From Swag Store,Cumprate da Swag Store
Contribute time,Cuntribuisce u tempu
Revolutionizing,Rivuluziunà
Thriving,Prusperu
Maintaining,Mantenimentu
Supporting,U sustegnu
Saving,Salvà
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,Una squadra pagata chì spinge Open Specy più vicinu à l'ultimu scopu di l'identificazione spettrali precisa di u 100% è di diagnostichi spettrali profondi cun un solu clic.
A single paid staff person working to update and build the community and the tool,Una sola persona di u persunale pagatu chì travaglia per aghjurnà è custruisce a cumunità è l'uttellu
Maintenance costs and minor ad-hoc updates and bug fixes,Costi di mantenimentu è aghjurnamenti ad-hoc minori è correzioni di bug
Keeping the app online and essential maintenance,Mantene l'app in linea è mantenimentu essenziale
Long term storage only,Solu u almacenamentu à longu andà
Sharing Metadata,Sparte Metadata
Thank you for sharing your data!,Grazie per sparte i vostri dati!
Your data will soon be available at https://osf.io/stmv4/,I vostri dati seranu prestu dispunibili à https://osf.io/stmv4/
Something went wrong :-(,Qualcosa hè andatu male :-(
Data type not supported!,U tipu di dati ùn hè micca supportatu!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","U tipu di dati caricatu ùn hè micca supportatu attualmente; per piacè
                      verificate i tooltips è a tabulazione ""About"" per i dettagli."
Sharing Spectrum to Community Library,A spartera di u spettru à a biblioteca comunitaria
Reading Spectrum,Spectru di lettura
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","Sè avete caricatu un schedariu di testu / csv, assicuratevi chì u
           e colonne sò numerichi è chjamati ""numberu d'onda"" è
           'intensità'."
absorbance intensity [-],intensità di assorbanza [-]
wavenumber [cm<sup>-1</sup>],numero d'onda [cm<sup>-1</sup>]
Analyzing Spectrum,Analisi di u spettru
Finding Match,Truvà Match
Making Plot,Fà una trama
Material,Materiale
Pearson's r,r di Pearson
Organization,Urganisazione
Selectable Matches,Partite selezziunate
Donations,Donazioni
Operation Costs,Costi di l'operazione
Selection Metadata,Metadata di selezzione
