en,xh
Free desktop application for spectral analysis and links to reference databases.,Isicelo sasimahla se-desktop sohlalutyo lwe-spectral kunye namakhonkco kwi-database yereferensi.
Terms And Conditions,Imimmiselo nemiqathango
Privacy Policy,umthetho wabucala
Upload File,Layisha iFayile
"Upload, View, and Share Spectra","Layisha, Jonga, kwaye Yabelana ngeSpectra"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File","Khetha .csv (ekhethwayo), .asp, .jdx, .spc, .spa, okanye .0 Ifayile"
Share Your Data?,Yabelana ngeDatha yakho?
Share Help,Yabelana ngoNcedo
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","Ukuba uyathanda, sabelana ngembonakalo yakho elayishiweyo kunye nesetingi kunye noluntu lwespectroscopy.
           Ngokungagqibekanga, yonke idatha iya kunikwa ilayisenisi phantsi kwe-Creative Commons Attribution-Non Commercial 4.0 International (CC BY-NC 4.0).
           Umboniso olayishiweyo uya kuvela apha: https://osf.io/rjg3c"
Upload Help,Layisha Uncedo
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","Layisha iifayile ze-Raman okanye ze-FTIR ze-spectrum njenge-csv, i-jdx, i-spc, okanye i-spa. Ifayile ye-csv iyakhethwa. Ukuba i-csv, ifayile kufuneka iqulathe ikholamu enye ebhalwe 'inombolo yamaza' kwiiyunithi ze (1/cm) kunye nomnye umhlathi obhalwe 'ubunzima' kwiiyunithi zokufunxa.
            Ukuba i-jdx, i-spc, i-spa, okanye i-0 ifayile kufuneka ibe yi-spectrum yokufunxa enye ene-wavenumber kwi (1/cm). Ezi fayile aziyi kuhlala zisebenza ngokugqibeleleyo kuba zikhohlisa ukufunda ukuze zijonge kabini kwenye isoftware.
            Cofa iqhosha elithi 'Idatha yoVavanyo' ukukhuphela isampulu yeRaman."
Intensity Adjustment,Uhlengahlengiso Lobunzulu
None,Akukho nanye
Transmittance,Ugqithiso
Reflectance,Ukubonakaliswa
Intensity Correction Help,Uncedo Lokulungiswa Kokuqina
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","Ukuba i-spectrum elayishiweyo ayikho kwiiyunithi zokufunxa,
           sebenzisa eli galelo ukukhankanya iiyunithi oza kuziguqula.Vula iSpecy can
           Lungisa i-reflection okanye i-spectra yokudlulisela kwiiyunithi ze-Absorbance usebenzisa
           oku kuwisa phantsi kwithebhu yefayile yokulayisha. Zonke iithebhu ezandulelayo
           cinga ukuba idatha ikwiiyunithi zokufunxa ngoko kufuneka wenze i
           ukulungiswa phambi kokuqhubeka ukuba kuyimfuneko. Ulungelelwaniso lokuhambisa
           isebenzisa ubalo lwelog10(1/T) olungalungiyo kwisixokelelwano
           kunye neempawu zamasuntswana. Ulungelelwaniso lokubonakalisa lusebenzisa i
           I-Kubelka-Munk equation (1-R) 2 / (2 * R). Sicinga ukuba ukubonakaliswa
           ifomathwa njengepesenti ukusuka ku-1 ukuya kwe-100 kwaye kuqala ulungise ubunzulu ngokwahlula-hlula nge-100.
           ukuze ilingane ngendlela elindelwe yinxaki.
           Ukuba akukho nanye ekhethiweyo, Vula iSpecy ithatha ukuba idatha elayishiweyo
           i-absorbeance spectrum."
Sample File,Isampulu yeFayile
Sample Data Help,Uncedo lweSampuli yeDatha
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,Le yisampuli yespectrum enokufakwa kwisixhobo sokuyivavanya kunye nokuqonda ukuba iifayile ze-csv kufuneka zifomathwe njani.
Metadata Input,Ungeniso lweMetadata
Metadata Help,Uncedo lweMetadata
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","Sabelana ngayo nayiphi na imbonakalo elayishiweyo kunye nemetadata kunye noluntu lwe-spectroscopy ukuba ugcwalisa imethadatha apha kwaye ukhethe ukwabelana.
           Imbonakalo elayishiweyo kunye nemetadata iya kuvela apha: https://osf.io/rjg3c"
Share Metadata,Yabelana ngeMetadata
Upload some data to get started...,Layisha idatha ukuze uqalise...
Preprocess Spectrum,Preprocess Spectrum
"Smooth, Baseline Correct, and Download Processed Spectra","Igudile, iBaseline ichanekile, kwaye Khuphela iSpectra eQhutyiweyo"
Download (recommended),Khuphela (kuyacetyiswa)
Download Help,Khuphela Uncedo
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,Abanye abasebenzisi banokunqwenela ukugcina ikopi yesspectrum esetyenzisiweyo. Eli qhosha likhuphela umboniso oqhutyelweyo njengefayile ye-csv.
Smoothing,Ukugudisa
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,Oku kugudileyo kunokunyusa umlinganiselo wesignali kwingxolo yedatha kwaye isebenzisa i-Savitzky-Golay filter kunye ne-12 eqhuba amanqaku edatha kunye ne-polynomial echazwe.
Smoothing Polynomial,I-Polynomial egudileyo
Baseline Correction,Ulungiso olusisiseko
Baseline Correction Help,Uncedo loLungiso olusisiseko
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","Le ndlela yokulungiswa kwesiseko ineendlela ezimbini zokulungiswa kwesiseko, i-1) inkqubo ye-polynomial imodpolyfit yokufumana ngokukhawuleza isiseko se-spectrum usebenzisa i-polynomial fit kuwo wonke ummandla we-spectra. I-2) imigca yezandla inokutsalwa ngokusebenzisa isixhobo somgca kwisicwangciso kwaye iqhosha elichanekileyo liya kusebenzisa imigca ukukhupha isiseko."
Baseline Correction Polynomial,Isiseko soLungiso lwePolynomial
Technique,Ubuchwephesha
Polynomial,Iipolynomial
Manual,Imanyuwali
Correct With Trace,Ichanekileyo ngeTrace
Reset,Lungisa kwakhona
Range Selection,Ukukhetha uluhlu
Spectral Range Help,Uncedo lweSpectral Range
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,Ukunciphisa uluhlu lwe-spectral kunokususa imimandla ye-spectrum apho kungekho zincopho zikhoyo kwaye kuphuculwe ukuhambelana
Maximum Spectral Range,Ubuninzi beSpectral Range
Minimum Spectral Range,Ubuncinci boluhlu lweSpectral
Identify Spectrum,Chonga Spectrum
Identify Spectrum Using the Reference Library,Chonga iSpectrum usebenzisa iThala leeNcwadi loLwazi
Raman,Raman
FTIR,FTIR
Spectra,ISpectra
Type,Uhlobo
Spectrum Type Help,Uncedo loHlobo lweSpectrum
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,Olu khetho luya kuqinisekisa ukuba i-FTIR okanye ilayibrari ethelekisekayo yeRaman iyasetyenziswa. Khetha uhlobo lwesspectrum olulayishiweyo.
Analysis,Uhlalutyo
Processed,Iqhutywe
Uploaded,ilayishiwe
Spectrum to Analyze Help,Spectrum Ukuhlalutya Uncedo
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,Olu khetho luya kugqiba ukuba ngaba i-spectrum elayishiweyo (engaqhutyelwanga) okanye i-spectrum esetyenzisiweyo kusetyenziswa ithebhu yokucubungula isetyenziswe kumdlalo we-spectrum.
Region,Ummandla
Full,Igcwele
Peaks,Iincopho
Region to Match Help,Uncedo lweNgingqi yokuTshanisa
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,Olu khetho luya kugqiba ukuba ithala leencwadi olidibanisayo liqulathe i-spectrum epheleleyo okanye kuphela iincopho ze-spectrum.
Partner With Us,Sebenzisana nathi
Help us reach our goal of revolutionizing spectroscopy.,Sincede sifikelele kwinjongo yethu yokuguqula i-spectroscopy.
Donate Cash,Nikela ngemali
Buy From Swag Store,Thenga kwiSwag Store
Contribute time,Yiba nexesha
Revolutionizing,Ukuguqulela
Thriving,Ukuchuma
Maintaining,Ukugcina
Supporting,Ukuxhasa
Saving,Iyagcina
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,Iqela elihlawulweyo elityhala i-Open Specy kufutshane neyona njongo iphambili ye-100% echanekileyo yokuchongwa kwembonakalo kunye noxilongo olunzulu lwe-spectral ngokuchofoza kanye.
A single paid staff person working to update and build the community and the tool,Umntu omnye ohlawulelwayo osebenzayo ukuhlaziya nokwakha uluntu kunye nesixhobo
Maintenance costs and minor ad-hoc updates and bug fixes,Iindleko zokulungisa kunye nohlaziyo oluncinci lwe-ad-hoc kunye nokulungiswa kwebug
Keeping the app online and essential maintenance,Ukugcina i-app kwi-intanethi kunye nokugcinwa okuyimfuneko
Long term storage only,Ukugcinwa kwexesha elide kuphela
Sharing Metadata,Ukwabelana ngeMetadata
Thank you for sharing your data!,Enkosi ngokwabelana ngedatha yakho!
Your data will soon be available at https://osf.io/stmv4/,Idatha yakho iza kufumaneka kungekudala https://osf.io/stmv4/
Something went wrong :-(,Into ayihamba kakuhle :-(
Data type not supported!,Uhlobo lwedatha aluxhaswanga!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","Uhlobo lwedatha elayishiweyo ayixhaswa okwangoku; ndiyacela
                      khangela iingcebiso zesixhobo kunye nesithuba 'Malunga' ngeenkcukacha."
Sharing Spectrum to Community Library,I-Spectrum yokwabelana kwiThala leeNcwadi loLuntu
Reading Spectrum,ISpectrum yokuFunda
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","Ukuba ulayishe umbhalo/ifayile ye-csv, qiniseka ukuba i
           Imihlathi inamanani kwaye ibizwa ngokuba 'inani lamaza' kunye
           'ubukhulu'."
absorbance intensity [-],amandla okufunxa [-]
wavenumber [cm<sup>-1</sup>],inani lamaza [cm<sup>-1</sup>]
Analyzing Spectrum,Ukuhlalutya iSpectrum
Finding Match,Ukufumana Umdlalo
Making Plot,Ukwenza iPlati
Material,Izinto eziphathekayo
Pearson's r,Pearson's r
Organization,Umbutho
Selectable Matches,Iimatshisi eziKhethekileyo
Donations,Iminikelo
Operation Costs,Iindleko zokusebenza
Selection Metadata,Imetadata yoKhetho
