en,ca
Maintenance costs and minor ad-hoc updates and bug fixes,Costos de manteniment i actualitzacions ad-hoc menors i correccions d'errors
Keeping the app online and essential maintenance,Mantenir l'aplicació en línia i manteniment essencial
Long term storage only,Només emmagatzematge a llarg termini
Sharing Metadata,Compartir metadades
Thank you for sharing your data!,Gràcies per compartir les teves dades!
Your data will soon be available at https://osf.io/stmv4/,Les teves dades estaran disponibles aviat a https://osf.io/stmv4/
Something went wrong :-(,Alguna cosa ha anat malament :-(
Data type not supported!,El tipus de dades no és compatible!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","El tipus de dades carregat no és compatible actualment; si us plau
                      consulteu les instruccions eines i la pestanya ""Quant a"" per obtenir més informació."
Sharing Spectrum to Community Library,Compartint l'espectre a la biblioteca comunitària
Reading Spectrum,Espectre de lectura
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","Si heu penjat un fitxer de text/csv, assegureu-vos que el fitxer
           les columnes són numèriques i s'anomenen ""número d'ona"" i
           'intensitat'."
absorbance intensity [-],intensitat d'absorbància [-]
wavenumber [cm<sup>-1</sup>],nombre d'ona [cm<sup>-1</sup>]
Analyzing Spectrum,Anàlisi de l'espectre
Finding Match,Trobar la coincidència
Making Plot,Elaboració d'un argument
Material,Material
Pearson's r,r de Pearson
Organization,Organització
Selectable Matches,Partits seleccionables
Donations,Donacions
Operation Costs,Costos d'operació
Selection Metadata,Metadades de selecció
