en,ms
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,Pasukan berbayar yang mendorong Open Specy lebih dekat kepada matlamat utama iaitu 100% pengenalpastian spektrum tepat dan diagnostik spektrum dalam dengan satu klik
A single paid staff person working to update and build the community and the tool,Seorang kakitangan bergaji tunggal yang bekerja untuk mengemas kini dan membina komuniti dan alat
Maintenance costs and minor ad-hoc updates and bug fixes,Kos penyelenggaraan dan kemas kini ad-hoc kecil dan pembetulan pepijat
Keeping the app online and essential maintenance,Mengekalkan apl dalam talian dan penyelenggaraan penting
Long term storage only,Simpanan jangka panjang sahaja
Sharing Metadata,Berkongsi Metadata
Thank you for sharing your data!,Terima kasih kerana berkongsi data anda!
Your data will soon be available at https://osf.io/stmv4/,Data anda akan tersedia tidak lama lagi di https://osf.io/stmv4/
Something went wrong :-(,Ada yang tidak kena :-(
Data type not supported!,Jenis data tidak disokong!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","Jenis data yang dimuat naik tidak disokong pada masa ini; tolonglah
                      semak petua alat dan tab 'Perihal' untuk butiran."
Sharing Spectrum to Community Library,Berkongsi Spektrum ke Perpustakaan Komuniti
Reading Spectrum,Spektrum Membaca
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","Jika anda memuat naik fail teks/csv, pastikan bahawa
           lajur adalah angka dan dinamakan 'nombor gelombang' dan
           'intensiti'."
absorbance intensity [-],keamatan penyerapan [-]
wavenumber [cm<sup>-1</sup>],nombor gelombang [cm<sup>-1</sup>]
Analyzing Spectrum,Menganalisis Spektrum
Finding Match,Mencari Jodoh
Making Plot,Membuat Plot
Material,bahan
Pearson's r,Pearson's r
Organization,Organisasi
Selectable Matches,Padanan Boleh Dipilih
Donations,Derma
Operation Costs,Kos Operasi
Selection Metadata,Metadata Pemilihan
