en,it
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","Se lo spettro caricato non è in unità di assorbanza,
           usa questo input per specificare le unità da cui convertire. Open Specy can
           regolare gli spettri di riflettanza o trasmittanza alle unità di assorbanza utilizzando
           questo menu a discesa nella scheda del file di caricamento. Tutte le schede precedenti
           supponiamo che i dati siano in unità di assorbanza, quindi dovresti fare il
           correzione prima di continuare se necessario. La regolazione della trasmittanza
           utilizza il calcolo log10(1/T) che non corregge per il sistema
           e caratteristiche delle particelle. La regolazione della riflettanza utilizza il
           Equazione di Kubelka-Munk (1-R)2/(2*R). Assumiamo che la riflettanza
           è formattato come percentuale da 1-100 e prima correggi l'intensità dividendo per 100
           in modo che si adatti alla forma prevista dall'equazione.
           Se non è selezionato nessuno, Open Specy presume che i dati caricati siano
           uno spettro di assorbanza."
Sample File,File di esempio
Sample Data Help,Guida ai dati di esempio
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,Questo è uno spettro di esempio che può essere caricato nello strumento per testarlo e capire come dovrebbero essere formattati i file CSV.
Metadata Input,Inserimento metadati
Metadata Help,Aiuto metadati
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","Condividiamo tutti gli spettri e i metadati caricati con la comunità di spettroscopia se compili i metadati qui e selezioni condividi.
           Gli spettri e i metadati caricati verranno visualizzati qui: https://osf.io/rjg3c"
Share Metadata,Condividi metadati
Upload some data to get started...,Carica alcuni dati per iniziare...
Preprocess Spectrum,Spettro di pre-elaborazione
"Smooth, Baseline Correct, and Download Processed Spectra","Liscio, correzione della linea di base e download di spettri elaborati"
Download (recommended),Scarica (consigliato)
Download Help,Scarica Aiuto
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,Alcuni utenti potrebbero voler salvare una copia del loro spettro elaborato. Questo pulsante scarica lo spettro elaborato come file csv.
Smoothing,levigante
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,Questo smoother può migliorare il rapporto segnale/rumore dei dati e utilizza un filtro Savitzky-Golay con 12 punti dati in esecuzione e il polinomio specificato.
Smoothing Polynomial,Polinomio di levigatura
Baseline Correction,Correzione della linea di base
Baseline Correction Help,Guida alla correzione di base
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","Questa routine di correzione della linea di base ha due opzioni per la correzione della linea di base, 1) la procedura imodpolyfit polinomiale per trovare iterativamente la linea di base dello spettro utilizzando un adattamento polinomiale all'intera regione degli spettri. 2) le linee manuali possono essere tracciate utilizzando lo strumento linea sul grafico e il pulsante corretto utilizzerà le linee per sottrarre la linea di base."
Baseline Correction Polynomial,Polinomio di correzione della linea di base
Technique,Tecnica
Polynomial,Polinomio
Manual,Manuale
Correct With Trace,Correggi con traccia
Reset,Ripristina
Range Selection,Selezione della gamma
Spectral Range Help,Aiuto gamma spettrale
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,La limitazione dell'intervallo spettrale può rimuovere le regioni dello spettro in cui non esistono picchi e migliorare la corrispondenza
Maximum Spectral Range,Gamma spettrale massima
Minimum Spectral Range,Gamma spettrale minima
Identify Spectrum,Identificare lo spettro
Identify Spectrum Using the Reference Library,Identificare lo spettro utilizzando la libreria di riferimento
Raman,Raman
FTIR,FTIR
Spectra,spettri
Type,Tipo
Spectrum Type Help,Aiuto sul tipo di spettro
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,Questa selezione determinerà se viene utilizzata la libreria di corrispondenza FTIR o Raman. Scegli il tipo di spettro che è stato caricato.
Analysis,Analisi
Processed,Elaborato
Uploaded,Caricato
Spectrum to Analyze Help,Spettro da analizzare Aiuto
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,Questa selezione determinerà se lo spettro caricato (non elaborato) o lo spettro elaborato utilizzando la scheda di elaborazione viene utilizzato nella corrispondenza dello spettro.
Region,Regione
Full,Pieno
Peaks,picchi
Region to Match Help,Regione da abbinare Aiuto
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,Questa selezione determinerà se la libreria a cui stai abbinando consiste dello spettro completo o solo dei picchi dello spettro.
Partner With Us,Collabora con noi
Help us reach our goal of revolutionizing spectroscopy.,Aiutaci a raggiungere il nostro obiettivo di rivoluzionare la spettroscopia.
Donate Cash,Dona contanti
Buy From Swag Store,Acquista da Swag Store
Contribute time,Contribuisci tempo
Revolutionizing,Rivoluzionando
Thriving,Fiorente
Maintaining,Mantenimento
Supporting,Supporto
Saving,Salvataggio
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,Un team pagato che sta spingendo Open Specy più vicino all'obiettivo finale di un'identificazione spettrale accurata al 100% e una diagnostica spettrale profonda con un solo clic
A single paid staff person working to update and build the community and the tool,Una singola persona del personale retribuita che lavora per aggiornare e costruire la comunità e lo strumento
Maintenance costs and minor ad-hoc updates and bug fixes,Costi di manutenzione e piccoli aggiornamenti ad hoc e correzioni di bug
Keeping the app online and essential maintenance,Mantenimento dell'app online e manutenzione essenziale
Long term storage only,Solo stoccaggio a lungo termine
Sharing Metadata,Condivisione dei metadati
Thank you for sharing your data!,Grazie per aver condiviso i tuoi dati!
Your data will soon be available at https://osf.io/stmv4/,I tuoi dati saranno presto disponibili su https://osf.io/stmv4/
Something went wrong :-(,Qualcosa è andato storto :-(
Data type not supported!,Tipo di dati non supportato!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","Il tipo di dati caricati non è attualmente supportato; per favore
                      controlla i suggerimenti e la scheda ""Informazioni"" per i dettagli."
Sharing Spectrum to Community Library,Condivisione dello spettro nella libreria della comunità
Reading Spectrum,Spettro di lettura
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","Se hai caricato un file di testo/csv, assicurati che il
           le colonne sono numeriche e si chiamano 'numero d'onda' e
           'intensità'."
absorbance intensity [-],intensità di assorbimento [-]
wavenumber [cm<sup>-1</sup>],numero d'onda [cm<sup>-1</sup>]
Analyzing Spectrum,Analisi dello spettro
Finding Match,Trovare la corrispondenza
Making Plot,Fare trama
Material,Materiale
Pearson's r,r di Pearson
Organization,Organizzazione
Selectable Matches,Corrispondenze selezionabili
Donations,donazioni
Operation Costs,Costi operativi
Selection Metadata,Metadati di selezione
