en,af
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,Hierdie gladder kan die sein-tot-geraas-verhouding van die data verbeter en gebruik 'n Savitzky-Golay-filter met 12 lopende datapunte en die gespesifiseerde polinoom.
Smoothing Polynomial,Gladmakende polinoom
Baseline Correction,Basislynregstelling
Baseline Correction Help,Hulp vir basislynregstelling
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","Hierdie basislynkorreksie roetine het twee opsies vir basislynkorreksie, 1) die polinoom imodpolyfit-prosedure om iteratief die basislyn van die spektrum te vind deur 'n polinoompassing by die hele gebied van die spektra te gebruik. 2) handlyne kan geteken word met die lyninstrument op die plot en die korrekte knoppie sal die lyne gebruik om die basislyn af te trek."
Baseline Correction Polynomial,Basislyn Korreksie Polinoom
Technique,Tegniek
Polynomial,Polinoom
Manual,Handleiding
Correct With Trace,Reg met Trace
Reset,Stel terug
Range Selection,Reekskeuse
Spectral Range Help,Spectral Range Hulp
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,Beperking van die spektrale reeks kan streke van spektrum verwyder waar geen pieke bestaan nie en passing verbeter
Maximum Spectral Range,Maksimum spektrale omvang
Minimum Spectral Range,Minimum spektrale omvang
Identify Spectrum,Identifiseer Spektrum
Identify Spectrum Using the Reference Library,Identifiseer Spektrum deur die Verwysingsbiblioteek te gebruik
Raman,Raman
FTIR,FTIR
Spectra,Spektra
Type,Tik
Spectrum Type Help,Spektrum Tipe Hulp
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,Hierdie keuse sal bepaal of die FTIR- of Raman-passingsbiblioteek gebruik word. Kies die spektrumtipe wat opgelaai is.
Analysis,Ontleding
Processed,Verwerk
Uploaded,opgelaai
Spectrum to Analyze Help,Spektrum om hulp te ontleed
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,"Hierdie keuse sal bepaal of die opgelaaide (nie verwerkte) spektrum of die spektrum wat met die verwerkingsoortjie verwerk is, in die spektrumpassing gebruik word."
Region,Streek
Full,Vol
Peaks,Pieke
Region to Match Help,Streek om by te pas Help
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,"Hierdie keuse sal bepaal of die biblioteek waarby jy pas, uit die volle spektrum of slegs spektrumpieke bestaan."
Partner With Us,Vennoot met ons
Help us reach our goal of revolutionizing spectroscopy.,Help ons om ons doelwit te bereik om spektroskopie te revolusioneer.
Donate Cash,Skenk kontant
Buy From Swag Store,Koop by Swag Winkel
Contribute time,Dra tyd by
Revolutionizing,Revolusionerend
Thriving,Voorspoedig
Maintaining,Onderhou
Supporting,Ondersteun
Saving,Spaar
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,'n Betaalde span wat Open Specy nader stoot aan die uiteindelike doelwit van 100% akkurate spektrale identifikasie en diep spektrale diagnostiek met 'n enkele klik
A single paid staff person working to update and build the community and the tool,'n Enkele betaalde personeellid wat werk om die gemeenskap en die instrument op te dateer en op te bou
Maintenance costs and minor ad-hoc updates and bug fixes,Onderhoudskoste en geringe ad-hoc-opdaterings en foutoplossings
Keeping the app online and essential maintenance,Hou die toepassing aanlyn en noodsaaklike instandhouding
Long term storage only,Slegs langtermynberging
Sharing Metadata,Deel metadata
Thank you for sharing your data!,Dankie dat jy jou data deel!
Your data will soon be available at https://osf.io/stmv4/,Jou data sal binnekort beskikbaar wees by https://osf.io/stmv4/
Something went wrong :-(,Iets het verkeerd geloop :-(
Data type not supported!,Datatipe word nie ondersteun nie!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","Opgelaaide datatipe word nie tans ondersteun nie; asseblief
                      kyk na gereedskapwenke en 'About'-oortjie vir besonderhede."
Sharing Spectrum to Community Library,Deel spektrum na gemeenskapsbiblioteek
Reading Spectrum,Leesspektrum
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","As jy 'n teks-/csv-lêer opgelaai het, maak seker dat die
           kolomme is numeries en word 'golfnommer' genoem en
           'intensiteit'."
absorbance intensity [-],absorpsie intensiteit [-]
wavenumber [cm<sup>-1</sup>],golfnommer [cm<sup>-1</sup>]
Analyzing Spectrum,Spektrum te ontleed
Finding Match,Pasmaat vind
Making Plot,Maak Plot
Material,Materiaal
Pearson's r,Pearson se r
Organization,Organisasie
Selectable Matches,Kiesbare wedstryde
Donations,Skenkings
Operation Costs,Bedryfskoste
Selection Metadata,Seleksie Metadata
