en,ml
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","അത് സാധൂകരിക്കുന്നതിനായി ഈ ടൂളിലെ എല്ലാ പാരാമീറ്ററുകളും പരിശോധിക്കുന്നു
           ഉപകരണം കഴിയുന്നത്ര മികച്ച രീതിയിൽ പ്രവർത്തിക്കുകയും മികച്ച ഡിഫോൾട്ട് നിർണ്ണയിക്കുകയും ചെയ്യുന്നു
           ഉപയോഗിക്കാനുള്ള പരാമീറ്ററുകൾ. ഞങ്ങളുടെ നിലവിലെ മൂല്യനിർണ്ണയ നടപടികളിൽ തിരുത്തൽ ഉൾപ്പെടുന്നു
           റഫറൻസ് ലൈബ്രറികളിലെ തനിപ്പകർപ്പ് എൻട്രികൾ, സ്പെക്ട്ര ഇൻ പരിശോധിക്കുന്നു
           സ്പെക്ട്രൽ ലൈബ്രറിയിൽ ഇല്ലാത്ത മെറ്റാഡാറ്റ, ഡിഫോൾട്ട് ഉറപ്പാക്കുന്നു
           പാരാമീറ്ററുകൾ ആദ്യ മത്സരത്തിൽ 80% കൃത്യത നൽകുന്നു."
Detailed Validation Procedure,വിശദമായ മൂല്യനിർണ്ണയ നടപടിക്രമം
"Updates, Feature Requests, and Bug Reports","അപ്‌ഡേറ്റുകൾ, ഫീച്ചർ അഭ്യർത്ഥനകൾ, ബഗ് റിപ്പോർട്ടുകൾ"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,ഞങ്ങളുടെ കോഡിലെ പതിപ്പ് നിയന്ത്രണം ഉപയോഗിച്ച് ഞങ്ങൾ എല്ലാ അപ്‌ഡേറ്റുകളുടെയും ട്രാക്ക് സൂക്ഷിക്കുന്നു. GitHub-ൽ സവിശേഷതകൾ അഭ്യർത്ഥിക്കുകയും ബഗ് റിപ്പോർട്ടുചെയ്യുകയും ചെയ്യാം.
Stay up to date!,കാലികമായി തുടരുക!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,Twitter @OpenSpecy-ൽ ഞങ്ങളെ പിന്തുടരുക. മെയിലിംഗ് ലിസ്റ്റിലേക്ക് ചേർക്കാൻ wincowger@gmail.com എന്ന ഇ-മെയിൽ.
Citation,അവലംബം
Useful Links,ഉപയോഗപ്രദമായ ലിങ്കുകൾ
Free FTIR Software: siMPle microplastic IR spectral identification software,സ്വതന്ത്ര FTIR സോഫ്റ്റ്‌വെയർ: ലളിതമായ മൈക്രോപ്ലാസ്റ്റിക് ഐആർ സ്പെക്ട്രൽ ഐഡന്റിഫിക്കേഷൻ സോഫ്റ്റ്‌വെയർ
Free Spectroscopy Learning Academy from ThermoFisher,തെർമോഫിഷറിൽ നിന്നുള്ള സൗജന്യ സ്പെക്ട്രോസ്കോപ്പി ലേണിംഗ് അക്കാദമി
Free Optical Microscopy Learning Resource from Florida State University,ഫ്ലോറിഡ സ്റ്റേറ്റ് യൂണിവേഴ്സിറ്റിയിൽ നിന്ന് സൗജന്യ ഒപ്റ്റിക്കൽ മൈക്രോസ്കോപ്പി ലേണിംഗ് റിസോഴ്സ്
Free desktop application for spectral analysis and links to reference databases.,സ്പെക്ട്രൽ വിശകലനത്തിനും റഫറൻസ് ഡാറ്റാബേസുകളിലേക്കുള്ള ലിങ്കുകൾക്കുമുള്ള സൌജന്യ ഡെസ്ക്ടോപ്പ് ആപ്ലിക്കേഷൻ.
Terms And Conditions,ഉപാധികളും നിബന്ധനകളും
Privacy Policy,സ്വകാര്യതാനയം
Upload File,ഫയൽ അപ്‌ലോഡ് ചെയ്യുക
"Upload, View, and Share Spectra","സ്പെക്ട്ര അപ്‌ലോഡ് ചെയ്യുക, കാണുക, പങ്കിടുക"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File",".csv (മുൻഗണന), .asp, .jdx, .spc, .spa, അല്ലെങ്കിൽ .0 ഫയൽ തിരഞ്ഞെടുക്കുക"
Share Your Data?,നിങ്ങളുടെ ഡാറ്റ പങ്കിടണോ?
Share Help,സഹായം പങ്കിടുക
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","നിങ്ങൾക്ക് താൽപ്പര്യമുണ്ടെങ്കിൽ, നിങ്ങളുടെ അപ്‌ലോഡ് ചെയ്‌ത സ്പെക്‌ട്രയും ക്രമീകരണങ്ങളും സ്പെക്‌ട്രോസ്കോപ്പി കമ്മ്യൂണിറ്റിയുമായി ഞങ്ങൾ പങ്കിടും.
           ഡിഫോൾട്ടായി, എല്ലാ ഡാറ്റയും ക്രിയേറ്റീവ് കോമൺസ് ആട്രിബ്യൂഷൻ-നോൺ കൊമേഴ്‌സ്യൽ 4.0 ഇന്റർനാഷണലിന് (CC BY-NC 4.0) കീഴിൽ ലൈസൻസ് നൽകും.
           അപ്‌ലോഡ് ചെയ്‌ത സ്പെക്‌ട്ര ഇവിടെ ദൃശ്യമാകും: https://osf.io/rjg3c"
Upload Help,സഹായം അപ്‌ലോഡ് ചെയ്യുക
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","ഒരു csv, jdx, spc അല്ലെങ്കിൽ spa ആയി രാമൻ അല്ലെങ്കിൽ FTIR സ്പെക്‌ട്രം ഫയലുകൾ അപ്‌ലോഡ് ചെയ്യുക. ഒരു csv ഫയലാണ് അഭികാമ്യം. ഒരു csv ആണെങ്കിൽ, ഫയലിൽ (1/cm) യൂണിറ്റുകളിൽ 'wavenumber' എന്ന് ലേബൽ ചെയ്‌തിരിക്കുന്ന ഒരു കോളവും ആഗിരണം യൂണിറ്റുകളിൽ 'തീവ്രത' എന്ന് ലേബൽ ചെയ്‌തിരിക്കുന്ന മറ്റൊരു കോളവും അടങ്ങിയിരിക്കണം.
            jdx, spc, spa, അല്ലെങ്കിൽ 0 ആണെങ്കിൽ ഫയൽ തരംഗസംഖ്യ (1/cm) ഉള്ള ഒരൊറ്റ ആഗിരണം സ്പെക്ട്രം ആയിരിക്കണം. ഈ ഫയലുകൾ എല്ലായ്‌പ്പോഴും പൂർണ്ണമായി പ്രവർത്തിക്കില്ല, കാരണം അവ വായിക്കാൻ ബുദ്ധിമുട്ടാണ്, അതിനാൽ അവ മറ്റൊരു സോഫ്‌റ്റ്‌വെയറിൽ രണ്ടുതവണ പരിശോധിക്കുക.
            ഒരു സാമ്പിൾ രാമൻ സ്പെക്ട്രം ഡൗൺലോഡ് ചെയ്യാൻ 'ടെസ്റ്റ് ഡാറ്റ' ബട്ടൺ അമർത്തുക."
Intensity Adjustment,തീവ്രത ക്രമീകരണം
None,ഒന്നുമില്ല
Transmittance,ട്രാൻസ്മിറ്റൻസ്
Reflectance,പ്രതിഫലനം
Intensity Correction Help,തീവ്രത തിരുത്തൽ സഹായം
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","അപ്‌ലോഡ് ചെയ്‌ത സ്പെക്‌ട്രം ആഗിരണം യൂണിറ്റുകളിൽ ഇല്ലെങ്കിൽ,
           പരിവർത്തനം ചെയ്യുന്നതിനുള്ള യൂണിറ്റുകൾ വ്യക്തമാക്കുന്നതിന് ഈ ഇൻപുട്ട് ഉപയോഗിക്കുക. ഓപ്പൺ സ്പെസി കാൻ
           ഉപയോഗിച്ച് ആഗിരണം യൂണിറ്റുകളിലേക്ക് പ്രതിഫലനം അല്ലെങ്കിൽ ട്രാൻസ്മിറ്റൻസ് സ്പെക്ട്ര ക്രമീകരിക്കുക
           അപ്‌ലോഡ് ഫയൽ ടാബിൽ ഈ ഡ്രോപ്പ് ഡൗൺ. മുമ്പത്തെ എല്ലാ ടാബുകളും
           ഡാറ്റ അബ്സോർബൻസ് യൂണിറ്റുകളിലാണെന്ന് കരുതുക, അതിനാൽ നിങ്ങൾ ഇത് നിർമ്മിക്കണം
           ആവശ്യമെങ്കിൽ തുടരുന്നതിന് മുമ്പ് തിരുത്തൽ. ട്രാൻസ്മിറ്റൻസ് ക്രമീകരണം
           സിസ്റ്റത്തിന് അനുയോജ്യമല്ലാത്ത log10(1/T) കണക്കുകൂട്ടൽ ഉപയോഗിക്കുന്നു
           കണികാ സ്വഭാവങ്ങളും. പ്രതിഫലന ക്രമീകരണം ഉപയോഗിക്കുന്നു
           കുബെൽക-മങ്ക് സമവാക്യം (1-R)2/(2*R). പ്രതിഫലനം എന്ന് ഞങ്ങൾ അനുമാനിക്കുന്നു
           1-100 മുതൽ ഒരു ശതമാനമായി ഫോർമാറ്റ് ചെയ്‌ത് ആദ്യം 100 കൊണ്ട് ഹരിച്ച് തീവ്രത ശരിയാക്കുക
           അങ്ങനെ അത് സമവാക്യം പ്രതീക്ഷിക്കുന്ന രൂപത്തിന് അനുയോജ്യമാണ്.
           ഒന്നും തിരഞ്ഞെടുത്തിട്ടില്ലെങ്കിൽ, അപ്‌ലോഡ് ചെയ്ത ഡാറ്റയാണെന്ന് ഓപ്പൺ സ്പെസി അനുമാനിക്കുന്നു
           ഒരു ആഗിരണം സ്പെക്ട്രം."
Sample File,സാമ്പിൾ ഫയൽ
Sample Data Help,സാമ്പിൾ ഡാറ്റ സഹായം
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,ഇത് പരിശോധിക്കുന്നതിനും csv ഫയലുകൾ എങ്ങനെ ഫോർമാറ്റ് ചെയ്യണമെന്ന് മനസ്സിലാക്കുന്നതിനുമായി ടൂളിലേക്ക് അപ്‌ലോഡ് ചെയ്യാവുന്ന ഒരു സാമ്പിൾ സ്പെക്‌ട്രമാണ് ഇത്.
Metadata Input,മെറ്റാഡാറ്റ ഇൻപുട്ട്
Metadata Help,മെറ്റാഡാറ്റ സഹായം
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","നിങ്ങൾ ഇവിടെ മെറ്റാഡാറ്റ പൂരിപ്പിച്ച് പങ്കിടൽ തിരഞ്ഞെടുക്കുകയാണെങ്കിൽ, അപ്‌ലോഡ് ചെയ്ത ഏതെങ്കിലും സ്പെക്ട്രയും മെറ്റാഡാറ്റയും സ്പെക്ട്രോസ്കോപ്പി കമ്മ്യൂണിറ്റിയുമായി ഞങ്ങൾ പങ്കിടുന്നു.
           അപ്‌ലോഡ് ചെയ്‌ത സ്പെക്‌ട്രയും മെറ്റാഡാറ്റയും ഇവിടെ ദൃശ്യമാകും: https://osf.io/rjg3c"
Share Metadata,മെറ്റാഡാറ്റ പങ്കിടുക
Upload some data to get started...,ആരംഭിക്കുന്നതിന് കുറച്ച് ഡാറ്റ അപ്‌ലോഡ് ചെയ്യുക...
Preprocess Spectrum,പ്രീപ്രോസസ് സ്പെക്ട്രം
"Smooth, Baseline Correct, and Download Processed Spectra","സുഗമമായ, അടിസ്ഥാനരേഖ ശരിയാക്കുക, പ്രോസസ്സ് ചെയ്ത സ്പെക്ട്ര ഡൗൺലോഡ് ചെയ്യുക"
Download (recommended),ഡൗൺലോഡ് ചെയ്യുക (ശുപാർശ ചെയ്യുന്നത്)
Download Help,സഹായം ഡൗൺലോഡ് ചെയ്യുക
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,ചില ഉപയോക്താക്കൾ അവരുടെ പ്രോസസ്സ് ചെയ്ത സ്പെക്ട്രത്തിന്റെ ഒരു പകർപ്പ് സംരക്ഷിക്കാൻ ആഗ്രഹിച്ചേക്കാം. ഈ ബട്ടൺ പ്രോസസ്സ് ചെയ്ത സ്പെക്ട്രത്തെ ഒരു csv ഫയലായി ഡൗൺലോഡ് ചെയ്യുന്നു.
Smoothing,സുഗമമാക്കുന്നു
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,ഈ സ്മൂത്തറിന് ഡാറ്റയുടെ ശബ്ദ അനുപാതം സിഗ്നൽ വർദ്ധിപ്പിക്കാനും 12 റണ്ണിംഗ് ഡാറ്റാ പോയിന്റുകളും പോളിനോമിയലും ഉള്ള ഒരു സാവിറ്റ്‌സ്‌കി-ഗോലെ ഫിൽട്ടർ ഉപയോഗിക്കാനും കഴിയും.
Smoothing Polynomial,സുഗമമായ ബഹുപദം
Baseline Correction,അടിസ്ഥാന തിരുത്തൽ
Baseline Correction Help,അടിസ്ഥാന തിരുത്തൽ സഹായം
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","ഈ ബേസ്‌ലൈൻ തിരുത്തൽ ദിനചര്യയ്ക്ക് അടിസ്ഥാന തിരുത്തലിനുള്ള രണ്ട് ഓപ്ഷനുകളുണ്ട്, 1) സ്പെക്ട്രത്തിന്റെ മുഴുവൻ മേഖലയ്ക്കും പോളിനോമിയൽ ഫിറ്റ് ഉപയോഗിച്ച് സ്പെക്ട്രത്തിന്റെ അടിസ്ഥാനരേഖ ആവർത്തിച്ച് കണ്ടെത്തുന്നതിനുള്ള പോളിനോമിയൽ ഇമോഡ്പോളിഫിറ്റ് നടപടിക്രമം. 2) പ്ലോട്ടിലെ ലൈൻ ടൂൾ ഉപയോഗിച്ച് മാനുവൽ ലൈനുകൾ വരയ്ക്കാം, ശരിയായ ബട്ടൺ അടിസ്ഥാനരേഖ കുറയ്ക്കാൻ ലൈനുകൾ ഉപയോഗിക്കും."
Baseline Correction Polynomial,അടിസ്ഥാന തിരുത്തൽ ബഹുപദം
Technique,സാങ്കേതികത
Polynomial,ബഹുപദം
Manual,മാനുവൽ
Correct With Trace,ട്രെയ്സ് ഉപയോഗിച്ച് ശരിയാക്കുക
Reset,പുനഃസജ്ജമാക്കുക
Range Selection,ശ്രേണി തിരഞ്ഞെടുക്കൽ
Spectral Range Help,സ്പെക്ട്രൽ റേഞ്ച് സഹായം
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,സ്പെക്ട്രൽ ശ്രേണി പരിമിതപ്പെടുത്തുന്നത് സ്പെക്ട്രത്തിന്റെ കൊടുമുടികളില്ലാത്ത പ്രദേശങ്ങൾ നീക്കം ചെയ്യാനും പൊരുത്തം മെച്ചപ്പെടുത്താനും കഴിയും
Maximum Spectral Range,പരമാവധി സ്പെക്ട്രൽ റേഞ്ച്
Minimum Spectral Range,ഏറ്റവും കുറഞ്ഞ സ്പെക്ട്രൽ റേഞ്ച്
Identify Spectrum,സ്പെക്ട്രം തിരിച്ചറിയുക
Identify Spectrum Using the Reference Library,റഫറൻസ് ലൈബ്രറി ഉപയോഗിച്ച് സ്പെക്ട്രം തിരിച്ചറിയുക
Raman,രാമൻ
FTIR,FTIR
Spectra,സ്പെക്ട്ര
Type,ടൈപ്പ് ചെയ്യുക
Spectrum Type Help,സ്പെക്ട്രം തരം സഹായം
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,ഈ തിരഞ്ഞെടുപ്പ് FTIR ആണോ രാമൻ മാച്ചിംഗ് ലൈബ്രറിയാണോ ഉപയോഗിക്കുന്നത് എന്ന് നിർണ്ണയിക്കും. അപ്‌ലോഡ് ചെയ്‌ത സ്പെക്‌ട്രം തരം തിരഞ്ഞെടുക്കുക.
Analysis,വിശകലനം
Processed,പ്രോസസ്സ് ചെയ്തു
Uploaded,അപ്‌ലോഡ് ചെയ്തു
Spectrum to Analyze Help,സഹായം വിശകലനം ചെയ്യാൻ സ്പെക്ട്രം
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,അപ്‌ലോഡ് ചെയ്‌ത (പ്രോസസ്സ് ചെയ്‌തിട്ടില്ല) സ്‌പെക്‌ട്രമോ പ്രോസസ്സിംഗ് ടാബ് ഉപയോഗിച്ച് പ്രോസസ്സ് ചെയ്‌ത സ്പെക്‌ട്രമോ സ്പെക്‌ട്രം പൊരുത്തത്തിൽ ഉപയോഗിച്ചിട്ടുണ്ടോ എന്ന് ഈ തിരഞ്ഞെടുപ്പ് നിർണ്ണയിക്കും.
Region,പ്രദേശം
Full,നിറഞ്ഞു
Peaks,കൊടുമുടികൾ
Region to Match Help,പൊരുത്തപ്പെടുത്താനുള്ള മേഖല സഹായം
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,നിങ്ങൾ പൊരുത്തപ്പെടുന്ന ലൈബ്രറിയിൽ പൂർണ്ണ സ്പെക്ട്രം ഉണ്ടോ അതോ സ്പെക്ട്രം കൊടുമുടികൾ മാത്രമാണോ ഉള്ളതെന്ന് ഈ തിരഞ്ഞെടുപ്പ് നിർണ്ണയിക്കും.
Partner With Us,ഞങ്ങളോടൊപ്പം പങ്കാളി
Help us reach our goal of revolutionizing spectroscopy.,സ്പെക്ട്രോസ്കോപ്പിയിൽ വിപ്ലവം സൃഷ്ടിക്കുക എന്ന ലക്ഷ്യത്തിലെത്താൻ ഞങ്ങളെ സഹായിക്കൂ.
Donate Cash,പണം സംഭാവന ചെയ്യുക
Buy From Swag Store,സ്വാഗ് സ്റ്റോറിൽ നിന്ന് വാങ്ങുക
Contribute time,സമയം സംഭാവന ചെയ്യുക
Revolutionizing,വിപ്ലവം
Thriving,തഴച്ചുവളരുന്നു
Maintaining,പരിപാലിക്കുന്നു
Supporting,പിന്തുണയ്ക്കുന്നു
Saving,സംരക്ഷിക്കുന്നത്
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,ഒറ്റ ക്ലിക്കിലൂടെ 100% കൃത്യമായ സ്പെക്ട്രൽ ഐഡന്റിഫിക്കേഷനും ആഴത്തിലുള്ള സ്പെക്ട്രൽ ഡയഗ്നോസ്റ്റിക്സും എന്ന ആത്യന്തിക ലക്ഷ്യത്തിലേക്ക് ഓപ്പൺ സ്പെസിയെ അടുപ്പിക്കുന്ന പണമടച്ചുള്ള ടീം
A single paid staff person working to update and build the community and the tool,കമ്മ്യൂണിറ്റിയും ടൂളും അപ്‌ഡേറ്റ് ചെയ്യുന്നതിനും നിർമ്മിക്കുന്നതിനുമായി പ്രവർത്തിക്കുന്ന ഒരു ശമ്പളമുള്ള ഒരു ജീവനക്കാരൻ
Maintenance costs and minor ad-hoc updates and bug fixes,മെയിന്റനൻസ് ചെലവുകളും ചെറിയ അഡ്-ഹോക്ക് അപ്‌ഡേറ്റുകളും ബഗ് പരിഹാരങ്ങളും
Keeping the app online and essential maintenance,ആപ്പ് ഓൺലൈനിൽ സൂക്ഷിക്കുന്നതും അത്യാവശ്യമായ പരിപാലനവും
Long term storage only,ദീർഘകാല സംഭരണം മാത്രം
Sharing Metadata,മെറ്റാഡാറ്റ പങ്കിടുന്നു
Thank you for sharing your data!,നിങ്ങളുടെ ഡാറ്റ പങ്കിട്ടതിന് നന്ദി!
Your data will soon be available at https://osf.io/stmv4/,നിങ്ങളുടെ ഡാറ്റ ഉടൻ https://osf.io/stmv4/ എന്നതിൽ ലഭ്യമാകും
Something went wrong :-(,എന്തോ കുഴപ്പം സംഭവിച്ചു :-(
Data type not supported!,ഡാറ്റ തരം പിന്തുണയ്ക്കുന്നില്ല!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","അപ്‌ലോഡ് ചെയ്‌ത ഡാറ്റ തരം നിലവിൽ പിന്തുണയ്ക്കുന്നില്ല; ദയവായി
                      വിശദാംശങ്ങൾക്ക് ടൂൾടിപ്പുകളും 'എബൗട്ട്' ടാബും പരിശോധിക്കുക."
Sharing Spectrum to Community Library,കമ്മ്യൂണിറ്റി ലൈബ്രറിയിലേക്ക് സ്പെക്ട്രം പങ്കിടുന്നു
Reading Spectrum,വായന സ്പെക്ട്രം
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","നിങ്ങൾ ഒരു ടെക്‌സ്‌റ്റ്/സിഎസ്‌വി ഫയൽ അപ്‌ലോഡ് ചെയ്‌താൽ, അത് ഉറപ്പാക്കുക
           നിരകൾ സംഖ്യാപരമായും 'വേവൻനംബർ' എന്നും പേരുള്ളവയുമാണ്
           'തീവ്രത'."
absorbance intensity [-],ആഗിരണം തീവ്രത [-]
wavenumber [cm<sup>-1</sup>],തരംഗസംഖ്യ [cm<sup>-1</sup>]
Analyzing Spectrum,സ്പെക്ട്രം വിശകലനം ചെയ്യുന്നു
Finding Match,പൊരുത്തം കണ്ടെത്തുന്നു
