en,bs
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","Otpremite datoteke Raman ili FTIR spektra kao csv, jdx, spc ili spa. Poželjna je csv datoteka. Ako je csv, datoteka mora sadržavati jednu kolonu označenu 'talasni broj' u jedinicama (1/cm) i drugu kolonu označenu 'intenzitet' u jedinicama apsorpcije.
            Ako je jdx, spc, spa ili 0, datoteka bi trebala biti jedan spektar apsorpcije s talasnim brojem u (1/cm). Ove datoteke neće uvijek raditi savršeno jer ih je teško čitati pa ih provjerite u drugom softveru.
            Pritisnite dugme 'Test Data' da preuzmete uzorak Ramanovog spektra."
Intensity Adjustment,Podešavanje intenziteta
None,Nema
Transmittance,Transmittance
Reflectance,Refleksija
Intensity Correction Help,Pomoć za korekciju intenziteta
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","Ako učitani spektar nije u jedinicama apsorpcije,
           koristite ovaj ulaz da odredite jedinice za konverziju iz. Open Specy može
           prilagodite spektre refleksije ili propusnosti jedinicama apsorpcije pomoću
           ovo padajući meni na kartici za otpremanje datoteka. Sve prethodne kartice
           pretpostavimo da su podaci u jedinicama apsorpcije pa bi trebali napraviti
           korekciju prije nastavka ako je potrebno. Podešavanje propusnosti
           koristi izračun log10(1/T) koji nije ispravan za sistem
           i karakteristike čestica. Podešavanje refleksije koristi
           Kubelka-Munk jednadžba (1-R)2/(2*R). Pretpostavljamo da je refleksija
           je formatiran kao postotak od 1-100 i prvo ispravite intenzitet dijeljenjem sa 100
           tako da odgovara obliku koji se očekuje po jednačini.
           Ako nije odabran nijedan, Open Specy pretpostavlja da su preneseni podaci
           spektar apsorpcije."
Sample File,Sample File
Sample Data Help,Pomoć za uzorke podataka
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,Ovo je uzorak spektra koji se može učitati u alat za testiranje i razumijevanje kako treba formatirati csv datoteke.
Metadata Input,Unos metapodataka
Metadata Help,Pomoć za metapodatke
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","Dijelimo sve prenesene spektre i metapodatke sa zajednicom spektroskopije ako ovdje popunite metapodatke i odaberete podijeli.
           Učitani spektri i metapodaci će se pojaviti ovdje: https://osf.io/rjg3c"
Share Metadata,Dijelite metapodatke
Upload some data to get started...,Otpremite neke podatke da započnete...
Preprocess Spectrum,Preprocesni spektar
"Smooth, Baseline Correct, and Download Processed Spectra","Glatko, ispravna osnovna linija i preuzimanje obrađenih spektra"
Download (recommended),Preuzmi (preporučeno)
Download Help,Preuzmite pomoć
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,Neki korisnici će možda poželjeti da sačuvaju kopiju svog obrađenog spektra. Ovo dugme preuzima obrađeni spektar kao csv datoteku.
Smoothing,Smoothing
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,Ovaj glatki uređaj može poboljšati omjer signala i šuma podataka i koristi Savitzky-Golay filter sa 12 tekućih tačaka podataka i navedenim polinomom.
Smoothing Polynomial,Smoothing Polynomial
Baseline Correction,Baseline Correction
Baseline Correction Help,Pomoć za korekciju osnovne linije
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","Ova rutina korekcije osnovne linije ima dvije opcije za korekciju osnovne linije, 1) polinomsku proceduru imodpolyfit za iterativno pronalaženje osnovne linije spektra korištenjem polinoma uklapanja u cijeli region spektra. 2) ručne linije se mogu nacrtati pomoću alata za linije na grafikonu i ispravno dugme će koristiti linije za oduzimanje osnovne linije."
Baseline Correction Polynomial,Polinom korekcije osnovne linije
Technique,Tehnika
Polynomial,Polinom
Manual,Manual
Correct With Trace,Ispravno sa tragom
Reset,Resetovati
Range Selection,Odabir raspona
Spectral Range Help,Pomoć za spektralni opseg
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,Ograničavanje spektralnog opsega može ukloniti regije spektra u kojima ne postoje pikovi i poboljšati podudaranje
Maximum Spectral Range,Maksimalni spektralni opseg
Minimum Spectral Range,Minimalni spektralni opseg
Identify Spectrum,Identifikujte Spectrum
Identify Spectrum Using the Reference Library,Identifikujte spektar koristeći referentnu biblioteku
Raman,Raman
FTIR,FTIR
Spectra,Spectra
Type,Tip
Spectrum Type Help,Pomoć za tip spektra
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,Ovaj odabir će odrediti da li se koristi FTIR ili Raman biblioteka podudaranja. Odaberite vrstu spektra koji je učitan.
Analysis,Analiza
Processed,Obrađeno
Uploaded,Otpremljeno
Spectrum to Analyze Help,Pomoć za analizu spektra
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,Ovaj odabir će odrediti da li se u podudaranju spektra koristi učitani (neobrađen) spektar ili spektar obrađen pomoću kartice za obradu.
Region,Region
Full,Pun
Peaks,Vrhovi
Region to Match Help,Pomoć za region za podudaranje
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,Ovaj odabir će odrediti da li se biblioteka sa kojom se podudarate sastoji od punog spektra ili samo od vrhova spektra.
Partner With Us,Partner sa nama
Help us reach our goal of revolutionizing spectroscopy.,Pomozite nam da postignemo naš cilj revolucioniranja spektroskopije.
Donate Cash,Donirajte gotovinu
Buy From Swag Store,Kupujte u Swag Store-u
Contribute time,Doprinesite vrijeme
Revolutionizing,Revolucioniranje
Thriving,Uspješno
Maintaining,Održavanje
Supporting,Podrška
Saving,Saving
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,Plaćeni tim koji gura Open Specy bliže krajnjem cilju 100% precizne spektralne identifikacije i duboke spektralne dijagnostike jednim klikom
A single paid staff person working to update and build the community and the tool,Jedno plaćeno osoblje radi na ažuriranju i izgradnji zajednice i alata
Maintenance costs and minor ad-hoc updates and bug fixes,Troškovi održavanja i manja ad-hoc ažuriranja i ispravke grešaka
Keeping the app online and essential maintenance,Održavanje aplikacije na mreži i osnovno održavanje
Long term storage only,Samo dugotrajno skladištenje
Sharing Metadata,Dijeljenje metapodataka
Thank you for sharing your data!,Hvala vam što dijelite svoje podatke!
Your data will soon be available at https://osf.io/stmv4/,Vaši podaci će uskoro biti dostupni na https://osf.io/stmv4/
Something went wrong :-(,Nesto je pošlo po zlu :-(
Data type not supported!,Tip podataka nije podržan!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","Učitani tip podataka trenutno nije podržan; molim te
                      provjerite opise alata i karticu 'O' za detalje."
Sharing Spectrum to Community Library,Dijeljenje spektra u biblioteku zajednice
Reading Spectrum,Reading Spectrum
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","Ako ste otpremili tekstualnu/csv datoteku, uvjerite se da je
           kolone su numeričke i nazivaju se 'wavenumber' i
           'intenzitet'."
absorbance intensity [-],intenzitet apsorpcije [-]
wavenumber [cm<sup>-1</sup>],talasni broj [cm<sup>-1</sup>]
Analyzing Spectrum,Analiziranje spektra
Finding Match,Finding Match
Making Plot,Making Plot
Material,Materijal
Pearson's r,Pearson's r
Organization,Organizacija
Selectable Matches,Odabirne utakmice
Donations,Donacije
Operation Costs,Operativni troškovi
Selection Metadata,Metapodaci odabira
