en,ne
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","Raman वा FTIR स्पेक्ट्रम फाइलहरू csv, jdx, spc, वा spa को रूपमा अपलोड गर्नुहोस्। csv फाइललाई प्राथमिकता दिइन्छ। यदि csv हो भने, फाइलमा (1/cm) को एकाइहरूमा 'wavenumber' लेबल गरिएको एउटा स्तम्भ र absorbance एकाइहरूमा 'तीव्रता' लेबल गरिएको अर्को स्तम्भ हुनुपर्छ।
            यदि jdx, spc, spa, वा 0 फाइल एकल अवशोषण स्पेक्ट्रम (1/cm) मा तरङ्ग संख्या भएको हुनुपर्छ। यी फाइलहरू सधैं पूर्ण रूपमा काम गर्दैनन् किनभने तिनीहरू पढ्न गाह्रो हुन्छन् त्यसैले तिनीहरूलाई अर्को सफ्टवेयरमा जाँच गर्नुहोस्।
            नमूना रमन स्पेक्ट्रम डाउनलोड गर्न 'टेस्ट डाटा' बटन थिच्नुहोस्।"
Intensity Adjustment,तीव्रता समायोजन
None,कुनै पनि छैन
Transmittance,प्रसारण
Reflectance,प्रतिबिम्ब
Intensity Correction Help,तीव्रता सुधार मद्दत
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","यदि अपलोड गरिएको स्पेक्ट्रम अवशोषण एकाइहरूमा छैन भने,
           ओपन स्पेसी क्यानबाट रूपान्तरण गर्न एकाइहरू निर्दिष्ट गर्न यो इनपुट प्रयोग गर्नुहोस्
           प्रयोग गरेर अवशोषण एकाइहरूमा प्रतिबिम्ब वा ट्रान्समिटेन्स स्पेक्ट्रा समायोजन गर्नुहोस्
           अपलोड फाइल ट्याबमा यो ड्रप डाउन। सबै अघिल्लो ट्याबहरू
           मान्नुहोस् कि डाटा अवशोषण एकाइहरूमा छ त्यसैले तपाईंले बनाउनु पर्छ
           यदि आवश्यक भएमा जारी राख्नु अघि सुधार। प्रसारण समायोजन
           log10(1/T) गणना प्रयोग गर्दछ जुन प्रणालीको लागि सही छैन
           र कण विशेषताहरु। प्रतिबिम्ब समायोजन प्रयोग गर्दछ
           Kubelka-Munk समीकरण (1-R)2/(2*R)। हामी प्रतिबिम्ब मान्दछौं
           1-100 बाट प्रतिशतको रूपमा ढाँचा गरिएको छ र पहिले 100 द्वारा भाग गरेर तीव्रता सच्याउनुहोस्
           ताकि यो समीकरण द्वारा अपेक्षित फारम फिट हुन्छ।
           यदि कुनै पनि चयन गरिएको छैन भने, Open Specy ले अपलोड गरिएको डाटा हो भनी मान्दछ
           एक अवशोषण स्पेक्ट्रम।"
Sample File,नमूना फाइल
Sample Data Help,नमूना डेटा मद्दत
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,यो एउटा नमूना स्पेक्ट्रम हो जुन उपकरणमा यसलाई परीक्षण गर्न र csv फाइलहरूलाई कसरी ढाँचा गर्नुपर्छ भनेर बुझ्नको लागि अपलोड गर्न सकिन्छ।
Metadata Input,मेटाडेटा इनपुट
Metadata Help,मेटाडेटा मद्दत
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","यदि तपाईंले यहाँ मेटाडेटा भर्नुभयो र साझेदारी चयन गर्नुभयो भने हामी स्पेक्ट्रोस्कोपी समुदायसँग कुनै पनि अपलोड गरिएको स्पेक्ट्रा र मेटाडेटा साझेदारी गर्छौं।
           अपलोड गरिएको स्पेक्ट्रा र मेटाडेटा यहाँ देखा पर्नेछ: https://osf.io/rjg3c"
Share Metadata,मेटाडेटा साझा गर्नुहोस्
Upload some data to get started...,सुरु गर्न केही डाटा अपलोड गर्नुहोस्...
Preprocess Spectrum,पूर्व प्रक्रिया स्पेक्ट्रम
"Smooth, Baseline Correct, and Download Processed Spectra","चिकनी, आधारभूत सही, र प्रशोधित स्पेक्ट्रा डाउनलोड गर्नुहोस्"
Download (recommended),डाउनलोड (सिफारिस गरिएको)
Download Help,मद्दत डाउनलोड गर्नुहोस्
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,केही प्रयोगकर्ताहरूले तिनीहरूको प्रशोधित स्पेक्ट्रमको प्रतिलिपि बचत गर्न चाहन्छन्। यो बटनले प्रशोधित स्पेक्ट्रमलाई csv फाइलको रूपमा डाउनलोड गर्छ।
Smoothing,स्मूथिङ
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,यो स्मूदरले डाटाको सिग्नल टु नाइज रेसियो बढाउन सक्छ र 12 रनिंग डाटा पोइन्टहरू र निर्दिष्ट गरिएको बहुपदको साथ Savitzky-Golay फिल्टर प्रयोग गर्दछ।
Smoothing Polynomial,स्मूथिंग बहुपद
Baseline Correction,आधारभूत सुधार
Baseline Correction Help,आधारभूत सुधार मद्दत
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","यस आधारभूत सुधार दिनचर्यामा आधारभूत सुधारको लागि दुई विकल्पहरू छन्, 1) बहुपदीय इमोडपोलिफिट प्रक्रिया स्पेक्ट्राको सम्पूर्ण क्षेत्रहरूमा बहुपदीय फिट प्रयोग गरेर स्पेक्ट्रमको आधाररेखा पत्ता लगाउनको लागि। 2) प्लटमा रेखा उपकरण प्रयोग गरेर म्यानुअल रेखाहरू कोर्न सकिन्छ र सही बटनले आधार रेखा घटाउन लाइनहरू प्रयोग गर्नेछ।"
Baseline Correction Polynomial,आधार रेखा सुधार बहुपद
Technique,प्रविधी
Polynomial,बहुपद
Manual,म्यानुअल
Correct With Trace,ट्रेस संग सही
Reset,रिसेट गर्नुहोस्
Range Selection,दायरा चयन
Spectral Range Help,स्पेक्ट्रल दायरा मद्दत
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,स्पेक्ट्रल दायरा प्रतिबन्धले स्पेक्ट्रमको क्षेत्रहरू हटाउन सक्छ जहाँ कुनै चुचुराहरू अवस्थित छैनन् र मिल्दो सुधार गर्न सक्छन्
Maximum Spectral Range,अधिकतम स्पेक्ट्रल दायरा
Minimum Spectral Range,न्यूनतम स्पेक्ट्रल दायरा
Identify Spectrum,स्पेक्ट्रम पहिचान गर्नुहोस्
Identify Spectrum Using the Reference Library,सन्दर्भ पुस्तकालय प्रयोग गरेर स्पेक्ट्रम पहिचान गर्नुहोस्
Raman,रमन
FTIR,FTIR
Spectra,स्पेक्ट्रा
Type,टाइप गर्नुहोस्
Spectrum Type Help,स्पेक्ट्रम प्रकार मद्दत
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,यो छनोटले FTIR वा रमन मिल्दो पुस्तकालय प्रयोग गरिन्छ कि भनेर निर्धारण गर्नेछ। अपलोड गरिएको स्पेक्ट्रम प्रकार छान्नुहोस्।
Analysis,विश्लेषण
Processed,प्रशोधन गरियो
Uploaded,अपलोड गरियो
Spectrum to Analyze Help,मद्दत विश्लेषण गर्न स्पेक्ट्रम
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,यो चयनले अपलोड गरिएको (प्रशोधन नगरिएको) स्पेक्ट्रम वा प्रशोधन ट्याब प्रयोग गरी प्रशोधन गरिएको स्पेक्ट्रम स्पेक्ट्रम मिलानमा प्रयोग गरिन्छ कि भनेर निर्धारण गर्नेछ।
Region,क्षेत्र
Full,पूर्ण
Peaks,शिखरहरू
Region to Match Help,मद्दत मिलाउन क्षेत्र
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,यो चयनले तपाइँसँग मिल्दो पुस्तकालयमा पूर्ण स्पेक्ट्रम वा केवल स्पेक्ट्रम चुचुराहरू समावेश छन् कि भनेर निर्धारण गर्नेछ।
Partner With Us,हाम्रो साथ साझेदार
Help us reach our goal of revolutionizing spectroscopy.,हामीलाई स्पेक्ट्रोस्कोपी क्रान्ति गर्ने हाम्रो लक्ष्यमा पुग्न मद्दत गर्नुहोस्।
Donate Cash,नगद दान गर्नुहोस्
Buy From Swag Store,स्वाग स्टोरबाट किन्नुहोस्
Contribute time,समय योगदान गर्नुहोस्
Revolutionizing,क्रान्तिकारी
Thriving,फस्टाउँदै
Maintaining,कायम गर्दै
Supporting,समर्थन गर्दै
Saving,बचत गर्दै
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,एक सशुल्क टोली जसले ओपन स्पेसीलाई 100% सटीक स्पेक्ट्रल पहिचान र एकल क्लिकको साथ गहिरो वर्णक्रम निदानको अन्तिम लक्ष्यको नजिक धकेलिरहेको छ।
A single paid staff person working to update and build the community and the tool,समुदाय र उपकरण अपडेट र निर्माण गर्न काम गर्ने एकल भुक्तान कर्मचारी व्यक्ति
Maintenance costs and minor ad-hoc updates and bug fixes,मर्मत लागत र साना तदर्थ अद्यावधिकहरू र बग समाधानहरू
Keeping the app online and essential maintenance,एप अनलाइन र आवश्यक मर्मतसम्भार राख्दै
Long term storage only,लामो अवधिको भण्डारण मात्र
Sharing Metadata,मेटाडेटा साझेदारी गर्दै
Thank you for sharing your data!,आफ्नो डाटा साझा गर्नुभएकोमा धन्यवाद!
Your data will soon be available at https://osf.io/stmv4/,तपाईको डाटा छिट्टै https://osf.io/stmv4/ मा उपलब्ध हुनेछ
Something went wrong :-(,केहि गलत भयो :-(
Data type not supported!,डाटा प्रकार समर्थित छैन!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","अपलोड गरिएको डाटा प्रकार हाल समर्थित छैन; कृपया
                      विवरणहरूको लागि टूलटिपहरू र 'बारेमा' ट्याब जाँच गर्नुहोस्।"
Sharing Spectrum to Community Library,सामुदायिक पुस्तकालयमा स्पेक्ट्रम साझेदारी गर्दै
Reading Spectrum,स्पेक्ट्रम पढ्दै
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","यदि तपाईंले पाठ/csv फाइल अपलोड गर्नुभयो भने, सुनिश्चित गर्नुहोस् कि
           स्तम्भहरू संख्यात्मक छन् र 'wavenumber' नाम दिइएको छ
           'तीव्रता'।"
absorbance intensity [-],अवशोषण तीव्रता [-]
wavenumber [cm<sup>-1</sup>],तरंग संख्या [cm<sup>-1</sup>]
Analyzing Spectrum,स्पेक्ट्रम विश्लेषण
Finding Match,मिलान खोज्दै
Making Plot,प्लट बनाउँदै
Material,सामग्री
Pearson's r,पियर्सनको आर
Organization,संगठन
Selectable Matches,चयन योग्य मेलहरू
Donations,दानहरू
Operation Costs,सञ्चालन लागत
Selection Metadata,मेटाडेटा चयन
