en,zu
FTIR Reference Library,I-FTIR Reference Library
Raman Reference Library Metadata,Imethadatha ye-Raman Reference Library
FTIR Reference Library Metadata,Imethadatha Yelabhulali Yezithenjwa ye-FTIR
Contribute Spectra,Nikela nge-Spectra
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","Ukuze wabelane nge-spectra layisha ifayela kuthebhu yefayela lokulayisha. Uma ukhethe Yabelana ngekhophi yesibukeli sakho izothunyelwa Emphakathini
           I-Data Warehouse ku-Open Science Framework. Ukwengeza imethadatha eyengeziwe,
           gcwalisa izinkambu zemethadatha ezitholakalayo bese uchofoza okuthi -Yabelana Ngedatha-. I
           ifayela le-spectra olilayishile kanye nezimpendulo zakho lizokopishwa
           kufolda engaphansi -NgeMethadatha- kusixhumanisi esingezansi. Yonke idatha eyabiwe ibanjiwe
           ilayisensi ye-Creative Commons Attribution 4.0."
Community Data Warehouse,I-Community Data Warehouse
Tool Validation,Ukuqinisekisa Ithuluzi
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","Wonke amapharamitha kuleli thuluzi ahlolwe ukuqinisekisa lokho
           ithuluzi lisebenza kahle kakhulu futhi linquma okuzenzakalelayo okungcono kakhulu
           amapharamitha okufanele asetshenziswe. Inqubo yethu yamanje yokuqinisekisa ihlanganisa ukulungisa
           okufakiwe okuyimpinda kumalabhulali ayizethenjwa, kubhekelwa i-spectra
           imethadatha engekho kulabhulali ye-spectral, nokuqinisekisa okuzenzakalelayo
           amapharamitha ahlinzeka ngokunemba okungaphezu kuka-80% emdlalweni wokuqala."
Detailed Validation Procedure,Inqubo Yokuqinisekisa enemininingwane
"Updates, Feature Requests, and Bug Reports","Izibuyekezo, Izicelo Zesici, Nemibiko Yesiphazamisi"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,Silandelela zonke izibuyekezo sisebenzisa isilawuli senguqulo kukhodi yethu. Izici zingacelwa futhi kubikwe iphutha ku-GitHub.
Stay up to date!,Hlala unolwazi lwakamuva!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,Silandele ku-Twitter @OpenSpecy. I-imeyili wincowger@gmail.com izokwengezwa ohlwini lwama-imeyili.
Citation,Ingcaphuno
Useful Links,Izixhumanisi Eziwusizo
Free FTIR Software: siMPle microplastic IR spectral identification software,Isofthiwe yamahhala ye-FTIR: isofthiwe yokuhlonza i-spectral ye-siMPle microplastic IR
Free Spectroscopy Learning Academy from ThermoFisher,I-Spectroscopy Learning Academy yamahhala evela ku-ThermoFisher
Free Optical Microscopy Learning Resource from Florida State University,Insiza yamahhala yokufunda ye-Optical Microscopy evela eNyuvesi yaseFlorida State
Free desktop application for spectral analysis and links to reference databases.,Isicelo samahhala sedeskithophu sokuhlaziywa kwe-spectral nezixhumanisi zolwazi lwereferensi.
Terms And Conditions,Imibandela
Privacy Policy,Inqubomgomo yobumfihlo
Upload File,Layisha Ifayela
"Upload, View, and Share Spectra","Layisha, Buka, futhi Yabelana Nge-Spectra"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File","Khetha okuthi .csv (okuthandwayo), .asp, .jdx, .spc, .spa, noma .0 Ifayela"
Share Your Data?,Yabelana Ngedatha Yakho?
Share Help,Yabelana ngosizo
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","Uma uthanda, sabelana ngesibukeli sakho esilayishiwe kanye nezilungiselelo nomphakathi we-spectroscopy.
           Ngokuzenzakalelayo, yonke idatha izonikezwa ilayisense ngaphansi kwe-Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Ukubuka okulayishiwe kuzovela lapha: https://osf.io/rjg3c"
Upload Help,Layisha Usizo
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","Layisha amafayela e-Raman noma e-FTIR spectrum njenge-csv, jdx, spc, noma i-spa. Ifayela le-csv liyakhethwa. Uma i-csv, ifayela kufanele libe nekholomu eyodwa ebhalwe ukuthi 'inombolo yegagasi' ngamayunithi angu-(1/cm) kanye nenye ikholomu enelebulwe ngokuthi 'ukuqina' kumayunithi okumunca.
            Uma i-jdx, i-spc, i-spa, noma i-0 ifayela kufanele libe i-spectrum yokumunca eyodwa enenombolo ye-wave in (1/cm). Lawa mafayela ngeke asebenze kahle ngaso sonke isikhathi ngoba anobuqili ukuwafunda ukuze uwahlole kabili kwenye isoftware.
            Chofoza inkinobho ethi 'Idatha Yokuhlola' ukuze ulande isampula ye-Raman."
Intensity Adjustment,Ukulungiswa Kokuqina
None,Lutho
Transmittance,Ukudlulisa
Reflectance,Ukucabangisisa
Intensity Correction Help,Usizo Lokulungisa Ukuqina
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","Uma i-spectrum elayishiwe ingekho kumayunithi okumunca,
           sebenzisa lokhu kufakwayo ukuze ucacise amayunithi ozoguqulelwa kuwo.Vula i-Specy can
           lungisa i-reflection noma i-spectra yokudlulisela kumayunithi we-Absorbance usebenzisa
           lokhu kwehla kuthebhu yefayela lokulayisha. Wonke amathebhu angaphambilini
           cabanga ukuthi idatha ikuyunithi yokumunca ngakho kufanele wenze i
           ukulungiswa ngaphambi kokuqhubeka uma kudingeka. Ukulungiswa kokudlulisela
           isebenzisa isibalo se-log10(1/T) esingalungi uhlelo
           kanye nezici zezinhlayiyana. Ukulungiswa kokukhanya kusebenzisa i-
           Isibalo se-Kubelka-Munk (1-R)2/(2*R). Sicabanga ukuthi reflection
           ifomethwe njengephesenti ukusuka ku-1-100 futhi kuqala ilungise ukuqina ngokuhlukanisa ngo-100
           ukuze ilingane nefomu elilindelwe isibalo.
           Uma kungekho okukhethiwe, i-Open Specy ithatha ukuthi idatha elayishiwe iyiyo
           i-spectrum yokudonsa."
Sample File,Ifayela Lesampula
Sample Data Help,Usizo Lwedatha Yesampula
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,Lesi isampula ye-spectrum engalayishwa ethuluzini lokuyihlola kanye nokuqonda ukuthi amafayela e-csv kufanele afomethwe kanjani.
Metadata Input,Okokufaka kwemethadatha
Metadata Help,Usizo Lwemethadatha
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","Sabelana nganoma iyiphi i-spectra nemethadatha elayishiwe nomphakathi we-spectroscopy uma ugcwalisa imethadatha lapha bese ukhetha ukwabelana.
           Ukubuka okulayishiwe kanye nemethadatha kuzovela lapha: https://osf.io/rjg3c"
Share Metadata,Yabelana ngemethadatha
Upload some data to get started...,Layisha idatha ethile ukuze uqalise...
Preprocess Spectrum,I-Preprocess Spectrum
"Smooth, Baseline Correct, and Download Processed Spectra","Bushelelezi, I-Baseline Ilungile, futhi Landa i-Spectra ecutshunguliwe"
Download (recommended),Landa (kunconyiwe)
Download Help,Landa Usizo
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,Abanye abasebenzisi bangafisa ukulondoloza ikhophi ye-spectrum yabo ecutshunguliwe. Le nkinobho ilanda i-spectrum ecutshunguliwe njengefayela le-csv.
Smoothing,Ukushelela
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,Lokhu bushelelezi kungathuthukisa isilinganiso sesignali nomsindo wedatha futhi kusebenzisa isihlungi se-Savitzky-Golay esinamaphoyinti edatha angu-12 kanye ne-polynomial ecacisiwe.
Smoothing Polynomial,I-Smoothing Polynomial
Baseline Correction,Ukulungiswa Kwesisekelo
Baseline Correction Help,Usizo Lokulungisa Okuyisisekelo
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","Le nqubo yokulungiswa kwesisekelo inezinketho ezimbili zokulungiswa kwesisekelo, 1) inqubo ye-polynomial imodpolyfit ukuze uthole ngokunye isisekelo se-spectrum kusetshenziswa ukulingana kwe-polynomial kuso sonke isifunda sokubukwa. 2) imigqa eyenziwa ngesandla ingadwetshwa kusetshenziswa ithuluzi lomugqa esakhiweni futhi inkinobho efanele izosebenzisa imigqa ukukhipha isisekelo."
Baseline Correction Polynomial,I-Baseline Correction Polynomial
Technique,Icebo
Polynomial,I-Polynomial
Manual,Imanuwali
Correct With Trace,Lungisa Nge-Trace
Reset,Setha kabusha
Range Selection,Ukukhethwa Kwebanga
Spectral Range Help,Usizo lwe-Spectral Range
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,Ukukhawulela ububanzi be-spectral kungasusa izifunda ze-spectrum lapho kungekho khona ukuphakama futhi kuthuthukise ukufanisa
Maximum Spectral Range,Ubukhulu be-Spectral Range
Minimum Spectral Range,Ubuncane be-Spectral Range
Identify Spectrum,Khomba i-Spectrum
Identify Spectrum Using the Reference Library,Khomba I-Spectrum Ngokusebenzisa I-Reference Library
Raman,Raman
FTIR,I-FTIR
Spectra,I-Spectra
Type,Thayipha
Spectrum Type Help,Usizo Lohlobo Lwe-Spectrum
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,Lokhu kukhetha kuzonquma ukuthi i-FTIR noma ilabhulali efanayo ye-Raman iyasetshenziswa. Khetha uhlobo lwe-spectrum olulayishiwe.
Analysis,Ukuhlaziya
Processed,Kucutshunguliwe
Uploaded,Kulayishiwe
Spectrum to Analyze Help,I-Spectrum Yokuhlaziya Usizo
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,Lokhu kukhetha kuzonquma ukuthi ingabe i-spectrum elayishiwe (engacutshungulwanga) noma i-spectrum ecutshungulwe kusetshenziswa ithebhu yokucubungula isetshenziswa ekufanisweni kwe-spectrum.
Region,Isifunda
Full,Okugcwele
Peaks,Iziqongo
Region to Match Help,Usizo Lwesifunda Ukufanisa
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,Lokhu kukhetha kuzonquma ukuthi umtapo wolwazi ofanisa nawo uqukethe i-spectrum egcwele noma ama-spectrum aphakeme kuphela.
Partner With Us,Uzakwethu
Help us reach our goal of revolutionizing spectroscopy.,Sisize sifinyelele umgomo wethu wokuguqula i-spectroscopy.
Donate Cash,Nikela Ngokheshi
Buy From Swag Store,Thenga Esitolo Se-Swag
Contribute time,Isikhathi sokunikela
Revolutionizing,Revolutioning
Thriving,Iyachuma
Maintaining,Ukugcina
Supporting,Ukusekela
Saving,Iyalondoloza
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,Ithimba elikhokhelwayo elisunduza i-Open Specy eduze nomgomo wokugcina wokuhlonza okunembe okungu-100% kwe-spectral kanye nokuxilongwa okujulile kwe-spectral ngokuchofoza okukodwa.
A single paid staff person working to update and build the community and the tool,Umsebenzi oyedwa okhokhelwayo osebenzela ukuthuthukisa nokwakha umphakathi kanye nethuluzi
Maintenance costs and minor ad-hoc updates and bug fixes,Izindleko zokunakekela kanye nezibuyekezo ezincane zesikhangiso nokulungiswa kweziphazamisi
Keeping the app online and essential maintenance,Ukugcina uhlelo lokusebenza ku-inthanethi nokunakekelwa okubalulekile
Long term storage only,Isitoreji sesikhathi eside kuphela
Sharing Metadata,Ukwabelana ngemethadatha
Thank you for sharing your data!,Siyabonga ngokwabelana ngedatha yakho!
Your data will soon be available at https://osf.io/stmv4/,Idatha yakho izotholakala maduze kokuthi https://osf.io/stmv4/
Something went wrong :-(,Kukhona okungahambanga kahle :-(
Data type not supported!,Uhlobo lwedatha alusekelwe!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","Uhlobo lwedatha elayishiwe alusekelwa okwamanje; Ngiyacela
                      hlola amathuluzi kanye nethebhu 'Mayelana' ukuze uthole imininingwane."
Sharing Spectrum to Community Library,I-Spectrum Yokwabelana Kulabhulali Yomphakathi
Reading Spectrum,I-Spectrum yokufunda
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","Uma ulayishe ifayela lombhalo/csv, qiniseka ukuthi i
           amakholomu ayizinombolo futhi aqanjwe ngokuthi 'i-wavenumber' futhi
           'umfutho'."
absorbance intensity [-],ukushuba kokumunca [-]
wavenumber [cm<sup>-1</sup>],inombolo yegagasi [cm<sup>-1</sup>]
Analyzing Spectrum,Ukuhlaziya i-Spectrum
Finding Match,Ukuthola Okufanayo
Making Plot,Ukwenza Isakhiwo
Material,Okubalulekile
Pearson's r,Isithombe sika-Pearson
Organization,Inhlangano
Selectable Matches,Okufanayo Okukhethekayo
Donations,Iminikelo
Operation Costs,Izindleko Zokusebenza
Selection Metadata,Imethadatha Yokukhetha
