en,rw
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","Kugabana spekrice wohereze dosiye kurupapuro rwoherejwe. Niba warahisemo Sangira kopi ya spekure yawe uzoherezwa mumuryango
           Ububiko bwa Data kumurongo wubumenyi. Ongeraho metadata yinyongera,
           kuzuza avaliable metadata imirima hanyuma ukande -Gusangiza Data-. Uwiteka
           dosiye ya spekure washyizeho hamwe nibisubizo byawe izimurwa
           Kuri a -Koresheje Metadata- subfolder kumurongo hepfo. Ibisobanuro byose bisangiwe bifite
           Uruhushya rwo Kurema Ibikorwa Uruhushya 4.0."
Community Data Warehouse,Ububiko bwabaturage
Tool Validation,Kwemeza Igikoresho
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","Ibipimo byose muriki gikoresho birageragezwa kugirango byemeze ibyo
           igikoresho gikora neza bishoboka kandi kigena ibyiza bisanzwe
           ibipimo byo gukoresha. Ibikorwa byacu byo kwemeza birimo gukosora
           kwigana ibyanditswe mubitabo byibitabo, kugenzura kuri
           metadata itari mubitabo byibitabo, no kwemeza ibisanzwe
           ibipimo bitanga hejuru ya 80% byukuri mumikino yambere."
Detailed Validation Procedure,Uburyo burambuye bwo Kwemeza
"Updates, Feature Requests, and Bug Reports","Kuvugurura, Ibisabwa biranga, na Raporo ya Bug"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,Turakurikirana ibishya byose dukoresheje kugenzura verisiyo kuri code yacu. Ibiranga birashobora gusabwa hamwe namakuru yatanzwe kuri GitHub.
Stay up to date!,Komeza kugezwaho amakuru!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,Dukurikire kuri Twitter @Gufungura. E-imeri wincowger@gmail.com kugirango wongerwe kurutonde.
Citation,Kwerekana
Useful Links,Ihuza ry'ingirakamaro
Free FTIR Software: siMPle microplastic IR spectral identification software,Porogaramu ya FTIR yubusa: siMPle microplastique IR igaragaramo software
Free Spectroscopy Learning Academy from ThermoFisher,Kwiga Spectroscopy Yubusa Yiga muri ThermoFisher
Free Optical Microscopy Learning Resource from Florida State University,Amashanyarazi ya Optical Microscopy Yubusa muri kaminuza ya leta ya Florida
Free desktop application for spectral analysis and links to reference databases.,Porogaramu ya desktop yubuntu kubisesengura no guhuza amakuru yububiko.
Terms And Conditions,Amategeko n'amabwiriza
Privacy Policy,Politiki Yibanga
Upload File,Kuramo Idosiye
"Upload, View, and Share Spectra","Kuramo, Reba, kandi Sangira Spectra"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File","Hitamo .csv (ikunzwe), .asp, .jdx, .spc, .spa, cyangwa .0 File"
Share Your Data?,Sangira amakuru yawe?
Share Help,Sangira Ubufasha
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","Niba ubishaka, dusangiye ibyo washyizeho byoherejwe hamwe nibisobanuro hamwe numuryango wa spectroscopy.
           Mburabuzi, amakuru yose azahabwa uruhushya munsi ya Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Ibikoresho byashyizwe ahagaragara bizagaragara hano: https://osf.io/rjg3c"
Upload Help,Kuramo Ubufasha
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","Kuramo dosiye ya Raman cyangwa FTIR nka csv, jdx, spc, cyangwa spa. Idosiye ya csv irahitamo. Niba csv, dosiye igomba kuba irimo inkingi imwe yanditseho 'wavenumber' mubice bya (1 / cm) nindi nkingi yanditseho 'ubukana' mubice byo kwinjiza.
            Niba jdx, spc, spa, cyangwa 0 dosiye igomba kuba imwe yo kwinjiza hamwe na wavenumber muri (1 / cm). Izi dosiye ntizigera zikora neza kuko ziroroshye gusoma kugirango ubisuzume kabiri mubindi software.
            Kanda buto ya 'Ikizamini Data' kugirango ukuremo icyitegererezo cya Raman."
Intensity Adjustment,Guhindura ubukana
None,Nta na kimwe
Transmittance,Kwimura
Reflectance,Kuzirikana
Intensity Correction Help,Ubufasha bukomeye bwo gukosora
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","Niba ibintu byashyizwe ahagaragara bitari mubice byo gukuramo,
           koresha ibyinjijwe kugirango ugaragaze ibice kugirango uhindure.Gufungura Specy irashobora
           Hindura ibyerekanwa cyangwa ibyerekanwa kuri Absorbance ibice ukoresheje
           iyi manuka kumanura dosiye. Byose byabanjirije
           fata ko amakuru ari mubice byo gukuramo kugirango ugomba gukora
           gukosora mbere yo gukomeza niba bikenewe. Guhindura imiyoboro
           ikoresha log10 (1 / T) kubara idakosora sisitemu
           n'ibiranga ibice. Guhindura imitekerereze ikoresha
           Kubelka-Munk ingero (1-R) 2 / (2 * R). Dutekereza ko gutekereza
           ihinduwe nkijanisha kuva 1-100 hanyuma ubanze ukosore ubukana ugabanije 100
           kugirango bihuze nuburyo buteganijwe kuringaniza.
           Niba ntanumwe watoranijwe, Gufungura Specy yibwira ko amakuru yoherejwe ari
           Ikirangantego."
Sample File,Icyitegererezo
Sample Data Help,Icyitegererezo Ubufasha
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,Nuburyo bwikitegererezo bushobora koherezwa kubikoresho byo kubigerageza no kumva uburyo dosiye ya csv igomba guhindurwa.
Metadata Input,Iyinjiza rya Metadata
Metadata Help,Ubufasha bwa Metadata
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","Turasangira ibyoherejwe byose hamwe na metadata hamwe numuryango wa spectroscopy niba wujuje metadata hano hanyuma ugahitamo umugabane.
           Ibikururwa byerekanwe hamwe na metadata bizagaragara hano: https://osf.io/rjg3c"
Share Metadata,Sangira Metadata
Upload some data to get started...,Kuramo amakuru kugirango utangire ...
Preprocess Spectrum,Imikorere idasanzwe
"Smooth, Baseline Correct, and Download Processed Spectra","Byoroheje, Baseline Ikosora, no Gukuramo Spectra Yatunganijwe"
Download (recommended),Kuramo (bisabwe)
Download Help,Kuramo Ubufasha
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,Abakoresha bamwe barashobora kubika kopi yimikorere yabo. Iyi buto ikuramo ibintu bitunganijwe nka dosiye ya csv.
Smoothing,Korohereza
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,Ibi byoroshye birashobora kongera ibimenyetso byerekana urusaku rwamakuru kandi bigakoresha akayunguruzo ka Savitzky-Golay hamwe namakuru 12 akoresha hamwe na polinomial yagenwe.
Smoothing Polynomial,Korohereza abagore benshi
Baseline Correction,Gukosora Ibyingenzi
Baseline Correction Help,Ubufasha bwibanze
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","Iyi gahunda yo gukosora ibyingenzi ifite amahitamo abiri yo gukosora ibyingenzi, 1) uburyo bwa polinomial imodpolyfit kugirango ubigereho ushake icyerekezo cyibanze ukoresheje polinomial ikwiranye nakarere kose ka spekure. 2) imirongo yintoki irashobora gushushanywa ukoresheje igikoresho cyumurongo kumurongo kandi buto iboneye izakoresha imirongo kugirango ikuremo ibice."
Baseline Correction Polynomial,Gukosora Ibyingenzi
Technique,Ubuhanga
Polynomial,Kurongora
Manual,Igitabo
Correct With Trace,Mukosore hamwe na Trace
Reset,Gusubiramo
Range Selection,Guhitamo Urwego
Spectral Range Help,Ubufasha bwa Spectral
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,Kugabanya urutonde rwikurikiranya birashobora gukuraho uturere twa spécran aho nta mpinga ibaho no kunoza guhuza
Maximum Spectral Range,Urwego ntarengwa
Minimum Spectral Range,Urwego ntarengwa
Identify Spectrum,Menya Ikirangantego
Identify Spectrum Using the Reference Library,Menya Spectrum Ukoresheje Isomero ryerekanwa
Raman,Raman
FTIR,FTIR
Spectra,Spectra
Type,Andika
Spectrum Type Help,Ubwoko Bwerekana Ubufasha
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,Ihitamo rizagaragaza niba isomero rihuza FTIR cyangwa Raman rikoreshwa. Hitamo ubwoko bwa spekiteri yoherejwe.
Analysis,Isesengura
Processed,Byatunganijwe
Uploaded,Yashyizweho
Spectrum to Analyze Help,Ibice byo gusesengura ubufasha
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,Ihitamo rizagaragaza niba ibyashizwe ahagaragara (bidatunganijwe) cyangwa ibikorerwa bitunganijwe ukoresheje tab yatunganijwe ikoreshwa mumikino ihuye.
Region,Intara
Full,Byuzuye
Peaks,Impinga
Region to Match Help,Intara Guhuza Ubufasha
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,Ihitamo rizagaragaza niba isomero muhuza rigizwe na sprifike yuzuye cyangwa impinga gusa.
Partner With Us,Umufatanyabikorwa natwe
Help us reach our goal of revolutionizing spectroscopy.,Mudufashe kugera kuntego zacu zo guhinduranya spekitroscopi.
Donate Cash,Tanga amafaranga
Buy From Swag Store,Gura Mububiko bwa Swag
Contribute time,Tanga igihe
Revolutionizing,Impinduramatwara
Thriving,Gutera imbere
Maintaining,Kubungabunga
Supporting,Gushyigikira
Saving,Kuzigama
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,Itsinda ryishyuwe risunika Gufungura Specy hafi yintego nyamukuru yo kumenya neza 100% hamwe no kwisuzumisha byimbitse ukanze rimwe
A single paid staff person working to update and build the community and the tool,Umukozi umwe uhembwa ukora kugirango avugurure kandi yubake umuganda nigikoresho
Maintenance costs and minor ad-hoc updates and bug fixes,Amafaranga yo gufata neza hamwe na ad-hoc ivugurura no gukosora amakosa
Keeping the app online and essential maintenance,Kugumisha porogaramu kumurongo no kubungabunga byingenzi
Long term storage only,Kubika igihe kirekire gusa
Sharing Metadata,Kugabana Metadata
Thank you for sharing your data!,Urakoze gusangira amakuru yawe!
Your data will soon be available at https://osf.io/stmv4/,Amakuru yawe azaboneka vuba aha kuri https://osf.io/stmv4/
Something went wrong :-(,Ikintu kitagenze neza :-(
Data type not supported!,Ubwoko bwamakuru ntabwo bushyigikiwe!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","Ubwoko bwamakuru yoherejwe ntabwo bushyigikiwe; nyamuneka
                      reba ibikoresho byifashishijwe na 'About' ibisobanuro birambuye."
Sharing Spectrum to Community Library,Kugabana Spectrum Kuri Isomero ryabaturage
Reading Spectrum,Gusoma
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","Niba washyizeho inyandiko / csv dosiye, menya neza ko
           inkingi ni mibare kandi yitwa 'wavenumber' na
           'ubukana'."
absorbance intensity [-],ubukana bwo gukurura [-]
wavenumber [cm<sup>-1</sup>],wavenumber [cm <sup> -1 </sup>]
Analyzing Spectrum,Gusesengura Ibice
Finding Match,Kubona Umukino
Making Plot,Gutegura umugambi
Material,Ibikoresho
Pearson's r,Pearson's r
Organization,Ishirahamwe
Selectable Matches,Guhitamo Imikino
Donations,Impano
Operation Costs,Amafaranga yo gukora
Selection Metadata,Guhitamo Metadata
