en,ky
"Smooth, Baseline Correct, and Download Processed Spectra","Жылмакай, баштапкы туура жана иштетилген спектрлерди жүктөп алыңыз"
Download (recommended),Жүктөп алуу (сунушталат)
Download Help,Жүктөп алуу Жардам
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,Кээ бир колдонуучулар иштетилген спектринин көчүрмөсүн сактагысы келиши мүмкүн. Бул баскыч иштетилген спектрди csv файлы катары жүктөйт.
Smoothing,Текшерүү
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,Бул жылмакай берүүчү сигналдын ызы-чууга болгон катышын жогорулата алат жана 12 иштеп жаткан маалымат чекиттери жана көрсөтүлгөн полином менен Savitzky-Golay чыпкасын колдонот.
Smoothing Polynomial,Текшерүүчү Полиномия
Baseline Correction,Базалык оңдоо
Baseline Correction Help,Баштапкы оңдоо боюнча жардам
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","Бул базалык оңдоо процедурасында базалык оңдоонун эки варианты бар, 1) полиномдук имодполифит процедурасы спектрдин бүт аймагына полиномдук туура келүүнү колдонуу менен спектрдин базалык сызыгын кайталап табуу. 2) сюжеттеги сызык куралын колдонуу менен кол сызыктарын тартса болот жана туура баскыч сызыктарды негизги сызыкты алып салуу үчүн колдонот."
Baseline Correction Polynomial,Базалык оңдоо полиномиясы
Technique,Техника
Polynomial,Полином
Manual,Кол
Correct With Trace,Из менен туура
Reset,Калыбына келтирүү
Range Selection,Диапазон тандоо
Spectral Range Help,Spectral Range Жардам
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,"Спектрдик диапазонду чектөө спектрдин чокулары жок аймактарын алып салып, дал келүүнү жакшыртат"
Maximum Spectral Range,Максималдуу спектралдык диапазон
Minimum Spectral Range,Минималдуу спектралдык диапазон
Identify Spectrum,Спектрди аныктоо
Identify Spectrum Using the Reference Library,Маалыматтык китепкананы колдонуу менен спектрди аныктоо
Raman,Раман
FTIR,FTIR
Spectra,Спектрлер
Type,Түр
Spectrum Type Help,Spectrum Type Жардам
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,Бул тандоо FTIR же Raman дал келүүчү китепкана колдонуларын аныктайт. Жүктөлүп берилген спектрдин түрүн тандаңыз.
Analysis,Анализ
Processed,Иштелген
Uploaded,Жүктөлгөн
Spectrum to Analyze Help,Жардамды талдоо үчүн спектр
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,Бул тандоо жүктөлүп берилген (иштетилбеген) спектр же иштетүү өтмөгү аркылуу иштетилген спектр спектрге дал келээрин аныктайт.
Region,Регион
Full,Толук
Peaks,Чокулар
Region to Match Help,Аймакка дал келген жардам
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,"Бул тандоо сиз дал келген китепкана толук спектрден турабы же бир гана спектрдин чокуларынанбы, аныктайт."
Partner With Us,Биз менен өнөктөш
Help us reach our goal of revolutionizing spectroscopy.,Бизге спектроскопияны өзгөртүү максатыбызга жетүүгө жардам бериңиз.
Donate Cash,Cash кайрымдуулук
Buy From Swag Store,Swag дүкөнүнөн сатып алыңыз
Contribute time,Убакыт кошуу
Revolutionizing,Революция кылуу
Thriving,гүлдөп
Maintaining,Багуу
Supporting,Колдоо
Saving,Сактоо
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,Бир чыкылдатуу менен 100% так спектрдик идентификация жана терең спектрдик диагностика боюнча акыркы максатка Open Specyди жакындаткан акы төлөнүүчү команда
A single paid staff person working to update and build the community and the tool,Коомчулукту жана куралды жаңыртуу жана куруу үчүн иштеген жалгыз акы төлөнүүчү кызматкер
Maintenance costs and minor ad-hoc updates and bug fixes,Тейлөө чыгымдары жана майда убактылуу жаңыртуулар жана мүчүлүштүктөрдү оңдоо
Keeping the app online and essential maintenance,Колдонмону онлайн режиминде сактоо жана маанилүү тейлөө
Long term storage only,Узак мөөнөттүү сактоо гана
Sharing Metadata,Метадайындарды бөлүшүү
Thank you for sharing your data!,Дайындарыңызды бөлүшкөнүңүз үчүн рахмат!
Your data will soon be available at https://osf.io/stmv4/,Дайындарыңыз жакында жеткиликтүү болот https://osf.io/stmv4/
Something went wrong :-(,Бир жерден ката кетти :-(
Data type not supported!,Дайындардын түрү колдоого алынбайт!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","Жүктөлгөн маалымат түрү учурда колдоого алынбайт; өтүнөмүн
                      чоо-жайын билүү үчүн кеңештерди жана ""Жөнүндө"" өтмөгүн текшериңиз."
Sharing Spectrum to Community Library,Спектрди Коомдук китепканага бөлүшүү
Reading Spectrum,Окуу спектри
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","Эгер сиз текст/csv файлын жүктөгөн болсоңуз, анда
           мамычалар сандык жана ""толкун саны"" жана деп аталат
           ""интенсивдүүлүк""."
absorbance intensity [-],жутуу интенсивдүүлүгү [-]
wavenumber [cm<sup>-1</sup>],толкун саны [cm<sup>-1</sup>]
Analyzing Spectrum,Спектрди талдоо
Finding Match,Дал келүү
Making Plot,Сюжет түзүү
Material,Материал
Pearson's r,Пирсондун р
Organization,Уюштуруу
Selectable Matches,Тандалган дал келүүлөр
Donations,Кайрымдуулук
Operation Costs,Операциялык чыгымдар
Selection Metadata,Тандоо метадайындары
