en,zh-CN
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","要共享光谱，请将文件上传到上传文件选项卡。如果您选择共享，您的光谱副本将发送到社区
           开放科学框架上的数据仓库。要添加其他元数据，
           填写可用的元数据字段，然后单击 -Share Data-。这
           您与回复一起上传的光谱文件将被复制
           到以下链接中的 -With Metadata- 子文件夹。所有共享数据保留
           知识共享署名许可 4.0。"
Community Data Warehouse,社区数据仓库
Tool Validation,工具验证
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","此工具中的所有参数都经过测试以验证
           该工具尽可能地运行并确定最佳默认值
           要使用的参数。我们当前的验证程序包括更正
           参考库中的重复条目，检查光谱
           不在光谱库中的元数据，并确保默认
           参数在第一场比赛中提供超过 80% 的准确率。"
Detailed Validation Procedure,详细的验证程序
"Updates, Feature Requests, and Bug Reports",更新、功能请求和错误报告
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,我们使用代码的版本控制来跟踪所有更新。可以在 GitHub 上请求功能和报告错误。
Stay up to date!,保持最新状态！
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,在 Twitter 上关注我们@OpenSpecy。要添加到邮件列表中的电子邮件 wincowger@gmail.com。
Citation,引文
Useful Links,有用的链接
Free FTIR Software: siMPle microplastic IR spectral identification software,免费 FTIR 软件：simple microplastic IR 光谱识别软件
Free Spectroscopy Learning Academy from ThermoFisher,ThermoFisher 免费光谱学习学院
Free Optical Microscopy Learning Resource from Florida State University,佛罗里达州立大学的免费光学显微镜学习资源
Free desktop application for spectral analysis and links to reference databases.,用于光谱分析和参考数据库链接的免费桌面应用程序。
Terms And Conditions,条款和条件
Privacy Policy,隐私政策
Upload File,上传文件
"Upload, View, and Share Spectra",上传、查看和共享光谱
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File",选择 .csv（首选）、.asp、.jdx、.spc、.spa 或 .0 文件
Share Your Data?,共享您的数据？
Share Help,分享帮助
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","如果您愿意，我们会与光谱社区分享您上传的光谱和设置。
           默认情况下，所有数据都将根据知识共享署名-非商业性使用 4.0 国际 (CC BY-NC 4.0) 进行许可。
           上传的光谱将出现在这里：https://osf.io/rjg3c"
Upload Help,上传帮助
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","将拉曼或 FTIR 光谱文件上传为 csv、jdx、spc 或 spa。首选 csv 文件。如果是 csv，则该文件必须包含以 (1/cm) 为单位标记为“波数”的列和以吸光度单位标记为“强度”的另一列。
            如果 jdx、spc、spa 或 0，文件应该是波数为 (1/cm) 的单个吸收光谱。这些文件并不总是能完美运行，因为它们很难阅读，因此请在另一个软件中仔细检查它们。
            点击“测试数据”按钮下载样品拉曼光谱。"
Intensity Adjustment,强度调整
None,没有任何
Transmittance,透光率
Reflectance,反射率
Intensity Correction Help,强度校正帮助
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","如果上传的光谱不是吸光度单位，
           使用此输入指定要转换的单位。Open Specy 可以
           使用以下方法将反射或透射光谱调整为吸光度单位
           上传文件选项卡中的这个下拉菜单。所有前面的选项卡
           假设数据以吸光度单位表示，因此您应该使
           如果需要，在继续之前更正。透光率调整
           使用对系统不正确的 log10(1/T) 计算
           和颗粒特性。反射率调整使用
           Kubelka-Munk 方程 (1-R)2/(2*R)。我们假设反射率
           格式为 1-100 的百分比，首先通过除以 100 来校正强度
           使其符合方程所期望的形式。
           如果没有选择，Open Specy 假定上传的数据是
           一个吸收光谱。"
Sample File,示例文件
Sample Data Help,示例数据帮助
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,这是一个样本光谱，可以上传到该工具以进行测试并了解 csv 文件的格式。
Metadata Input,元数据输入
Metadata Help,元数据帮助
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","如果您在此处填写元数据并选择共享，我们会与光谱社区共享任何上传的光谱和元数据。
           上传的光谱和元数据将显示在此处：https://osf.io/rjg3c"
Share Metadata,共享元数据
Upload some data to get started...,上传一些数据以开始...
Preprocess Spectrum,预处理谱
"Smooth, Baseline Correct, and Download Processed Spectra",平滑、基线校正和下载处理后的光谱
Download (recommended),下载（推荐）
Download Help,下载帮助
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,一些用户可能希望保存他们处理过的频谱的副本。此按钮将处理后的光谱下载为 csv 文件。
Smoothing,平滑
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,这种平滑器可以增强数据的信噪比，并使用具有 12 个运行数据点和指定多项式的 Savitzky-Golay 滤波器。
Smoothing Polynomial,平滑多项式
Baseline Correction,基线校正
Baseline Correction Help,基线校正帮助
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.",这个基线校正程序有两个基线校正选项，1) 多项式 imodpolyfit 程序使用多项式拟合光谱的整个区域迭代地找到光谱的基线。 2) 可以使用绘图上的线条工具手动绘制线条，正确的按钮将使用线条减去基线。
Baseline Correction Polynomial,基线修正多项式
Technique,技术
Polynomial,多项式
Manual,手动的
Correct With Trace,使用跟踪更正
Reset,重启
Range Selection,范围选择
Spectral Range Help,光谱范围帮助
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,限制光谱范围可以去除不存在峰的光谱区域并改善匹配
Maximum Spectral Range,最大光谱范围
Minimum Spectral Range,最小光谱范围
Identify Spectrum,识别频谱
Identify Spectrum Using the Reference Library,使用参考库识别频谱
Raman,拉曼
FTIR,红外光谱
Spectra,光谱
Type,类型
Spectrum Type Help,频谱类型帮助
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,该选择将决定是使用 FTIR 还是拉曼匹配库。选择上传的频谱类型。
Analysis,分析
Processed,处理
Uploaded,已上传
Spectrum to Analyze Help,频谱分析帮助
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,该选择将决定是否在光谱匹配中使用上传（未处理）的光谱或使用处理选项卡处理的光谱。
Region,地区
Full,满的
Peaks,峰值
Region to Match Help,区域匹配帮助
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,此选择将决定您匹配的库是包含全谱还是仅包含谱峰。
Partner With Us,与我们合作
Help us reach our goal of revolutionizing spectroscopy.,帮助我们实现光谱学革命的目标。
Donate Cash,捐赠现金
Buy From Swag Store,从赃物商店购买
Contribute time,贡献时间
Revolutionizing,革新
Thriving,熙
Maintaining,维护
Supporting,配套
Saving,保存
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,一个付费团队正在推动 Open Specy 更接近于 100% 准确的光谱识别和深度光谱诊断的最终目标，只需单击一下
A single paid staff person working to update and build the community and the tool,致力于更新和构建社区和工具的单一付费员工
Maintenance costs and minor ad-hoc updates and bug fixes,维护成本和小的临时更新和错误修复
Keeping the app online and essential maintenance,保持应用程序在线和必要的维护
Long term storage only,只能长期储存
Sharing Metadata,共享元数据
Thank you for sharing your data!,感谢您分享您的数据！
Your data will soon be available at https://osf.io/stmv4/,您的数据将很快在 https://osf.io/stmv4/ 上提供
Something went wrong :-(,出问题了 ：-（
Data type not supported!,不支持数据类型！
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","当前不支持上传的数据类型；请
                      检查工具提示和“关于”选项卡以了解详细信息。"
Sharing Spectrum to Community Library,共享频谱到社区图书馆
Reading Spectrum,读谱
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","如果您上传了文本/csv 文件，请确保
           列是数字并命名为“wavenumber”和
           '强度'。"
absorbance intensity [-],吸光度强度 [-]
wavenumber [cm<sup>-1</sup>],波数 [cm<sup>-1</sup>]
Analyzing Spectrum,分析频谱
Finding Match,寻找匹配
Making Plot,制作情节
Material,材料
Pearson's r,皮尔逊氏
Organization,组织
Selectable Matches,可选择的比赛
Donations,捐款
Operation Costs,运营成本
Selection Metadata,选择元数据
