en,ka
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","სპექტრის გასაზიარებლად ატვირთეთ ფაილი ფაილის ატვირთვის ჩანართზე. თუ თქვენ აირჩიეთ გაზიარება, თქვენი სპექტრის ასლი გაეგზავნება საზოგადოებას
           მონაცემთა საწყობი ღია მეცნიერების ჩარჩოზე. დამატებითი მეტამონაცემების დასამატებლად,
           შეავსეთ ხელმისაწვდომი მეტამონაცემების ველები და დააწკაპუნეთ -Share Data-. The
           სპექტრის ფაილი, რომელიც ატვირთეთ თქვენს პასუხებთან ერთად, კოპირდება
           ქვესაქაღალდეში -With Metadata-ზე ქვემოთ მოცემულ ბმულზე. ყველა გაზიარებული მონაცემი ინახება
           Creative Commons Attribution License 4.0."
Community Data Warehouse,საზოგადოების მონაცემთა საწყობი
Tool Validation,ინსტრუმენტის დადასტურება
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","ამ ხელსაწყოს ყველა პარამეტრი შემოწმებულია ამის დასადასტურებლად
           ინსტრუმენტი მაქსიმალურად კარგად მუშაობს და განსაზღვრავს საუკეთესო ნაგულისხმევს
           გამოსაყენებელი პარამეტრები. ჩვენი მიმდინარე ვალიდაციის პროცედურა მოიცავს შესწორებას
           დუბლირებული ჩანაწერები საცნობარო ბიბლიოთეკებში, სპექტრების შემოწმება
           მეტამონაცემები, რომლებიც არ არის სპექტრულ ბიბლიოთეკაში და უზრუნველყოფს ნაგულისხმევს
           პარამეტრები უზრუნველყოფს 80%-ზე მეტ სიზუსტეს პირველ მატჩში."
Detailed Validation Procedure,დეტალური ვალიდაციის პროცედურა
"Updates, Feature Requests, and Bug Reports","განახლებები, ფუნქციების მოთხოვნები და შეცდომების შესახებ მოხსენებები"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,ჩვენ თვალყურს ვადევნებთ ყველა განახლებას ჩვენი კოდის ვერსიის კონტროლის გამოყენებით. ფუნქციების მოთხოვნა და ხარვეზის შესახებ შეტყობინება შესაძლებელია GitHub-ზე.
Stay up to date!,იყავით განახლებული!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,"მოგვყევით Twitter-ზე @OpenSpecy. ელ.ფოსტა wincowger@gmail.com, რათა დაემატოს დაგზავნის სიას."
Citation,ციტატა
Useful Links,გამოსადეგი ბმულები
Free FTIR Software: siMPle microplastic IR spectral identification software,უფასო FTIR პროგრამული უზრუნველყოფა: მარტივი მიკროპლასტიკური IR სპექტრალური იდენტიფიკაციის პროგრამა
Free Spectroscopy Learning Academy from ThermoFisher,უფასო სპექტროსკოპიის სასწავლო აკადემია ThermoFisher-ისგან
Free Optical Microscopy Learning Resource from Florida State University,უფასო ოპტიკური მიკროსკოპის სასწავლო რესურსი ფლორიდის სახელმწიფო უნივერსიტეტისგან
Free desktop application for spectral analysis and links to reference databases.,უფასო დესკტოპის აპლიკაცია სპექტრალური ანალიზისთვის და საცნობარო მონაცემთა ბაზების ბმულები.
Terms And Conditions,Პირობები და წესები
Privacy Policy,Კონფიდენციალურობის პოლიტიკა
Upload File,Ატვირთეთ ფაილი
"Upload, View, and Share Spectra","ატვირთეთ, იხილეთ და გააზიარეთ სპექტრები"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File","აირჩიეთ .csv (სასურველია), .asp, .jdx, .spc, .spa ან .0 ფაილი"
Share Your Data?,გააზიარე შენი მონაცემები?
Share Help,გააზიარე დახმარება
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","თუ გსურთ, ჩვენ ვუზიარებთ თქვენს ატვირთულ სპექტრებს და პარამეტრებს სპექტროსკოპიის საზოგადოებას.
           ნაგულისხმევად, ყველა მონაცემი იქნება ლიცენზირებული Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0) ქვეშ.
           ატვირთული სპექტრები გამოჩნდება აქ: https://osf.io/rjg3c"
Upload Help,ატვირთეთ დახმარება
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","ატვირთეთ Raman ან FTIR სპექტრის ფაილები csv, jdx, spc ან spa. სასურველია csv ფაილი. თუ csv, ფაილი უნდა შეიცავდეს ერთ სვეტს წარწერით „ტალღის რიცხვი“ ერთეულებში (1/სმ) და მეორე სვეტს წარწერით „ინტენსივობა“ შთანთქმის ერთეულებში.
            თუ jdx, spc, spa, ან 0 ფაილი უნდა იყოს ერთი შთანთქმის სპექტრი ტალღის რიცხვით (1/სმ). ეს ფაილები ყოველთვის არ იმუშავებს იდეალურად, რადგან მათი წაკითხვა რთულია, ასე რომ ორჯერ შეამოწმეთ ისინი სხვა პროგრამაში.
            რამანის სპექტრის ნიმუშის ჩამოსატვირთად დააჭირეთ ღილაკს ""ტესტი მონაცემები""."
Intensity Adjustment,ინტენსივობის რეგულირება
None,არცერთი
Transmittance,ტრანსმისია
Reflectance,ანარეკლი
Intensity Correction Help,ინტენსივობის კორექციის დახმარება
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","თუ ატვირთული სპექტრი არ არის შთანთქმის ერთეულებში,
           გამოიყენეთ ეს შეყვანა, რათა დააკონვერტიროთ ერთეულები. Open Specy can
           შეცვალოს არეკვლის ან გადაცემის სპექტრები შთანთქმის ერთეულებზე გამოყენებით
           ეს ჩამოსაშლელი ფაილის ატვირთვის ჩანართში. ყველა წინა ჩანართი
           დავუშვათ, რომ მონაცემები არის შთანთქმის ერთეულებში, ასე რომ თქვენ უნდა გააკეთოთ
           საჭიროების შემთხვევაში გაგრძელებამდე შესწორება. გადაცემის რეგულირება
           იყენებს log10(1/T) გაანგარიშებას, რომელიც არ არის სწორი სისტემისთვის
           და ნაწილაკების მახასიათებლები. არეკვლის რეგულირება იყენებს
           კუბელკა-მუნკის განტოლება (1-R)2/(2*R). ჩვენ ვვარაუდობთ, რომ ასახვა
           დაფორმატებულია როგორც პროცენტი 1-დან 100-მდე და ჯერ ასწორებს ინტენსივობას 100-ზე გაყოფით
           ისე რომ ერგება განტოლებით მოსალოდნელ ფორმას.
           თუ არცერთი არ არის არჩეული, Open Specy ვარაუდობს, რომ ატვირთული მონაცემები არის
           შთანთქმის სპექტრი."
Sample File,ნიმუშის ფაილი
Sample Data Help,მონაცემთა ნიმუშის დახმარება
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,"ეს არის სპექტრის ნიმუში, რომელიც შეიძლება აიტვირთოს ინსტრუმენტში მისი შესამოწმებლად და იმის გასაგებად, თუ როგორ უნდა იყოს დაფორმატებული csv ფაილები."
Metadata Input,მეტამონაცემების შეყვანა
Metadata Help,მეტამონაცემების დახმარება
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","ჩვენ ვუზიარებთ ატვირთულ სპექტრებს და მეტამონაცემებს სპექტროსკოპიის საზოგადოებას, თუ აქ შეავსებთ მეტამონაცემებს და აირჩიეთ გაზიარება.
           ატვირთული სპექტრები და მეტამონაცემები გამოჩნდება აქ: https://osf.io/rjg3c"
Share Metadata,გააზიარე მეტამონაცემები
Upload some data to get started...,ატვირთეთ გარკვეული მონაცემები დასაწყებად...
Preprocess Spectrum,წინასწარი პროცესის სპექტრი
"Smooth, Baseline Correct, and Download Processed Spectra","Smooth, Baseline Correct და ჩამოტვირთეთ დამუშავებული სპექტრები"
Download (recommended),ჩამოტვირთვა (რეკომენდებულია)
Download Help,ჩამოტვირთეთ დახმარება
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,ზოგიერთ მომხმარებელს შეიძლება სურდეს მათი დამუშავებული სპექტრის ასლის შენახვა. ეს ღილაკი ჩამოტვირთავს დამუშავებულ სპექტრს csv ფაილის სახით.
Smoothing,დამარბილებელი
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,ამ გამარტივებას შეუძლია გაზარდოს მონაცემთა სიგნალისა და ხმაურის თანაფარდობა და იყენებს Savitzky-Golay ფილტრს 12 გაშვებული მონაცემთა წერტილით და მითითებული პოლინომიით.
Smoothing Polynomial,დამარბილებელი პოლინომია
Baseline Correction,საბაზისო კორექტირება
Baseline Correction Help,საბაზისო კორექტირების დახმარება
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","ამ საბაზისო კორექტირების რუტინას აქვს ორი ვარიანტი საბაზისო ხაზის კორექტირებისთვის, 1) მრავალწევრის imodpolyfit პროცედურა, რათა იტერაციულად იპოვონ სპექტრის საბაზისო ხაზი სპექტრის მთელ რეგიონში პოლინომის მორგების გამოყენებით. 2) ხელით ხაზები შეიძლება დაიხაზოს ხაზის ხელსაწყოს გამოყენებით ნაკვეთზე და სწორი ღილაკი გამოიყენებს ხაზებს საბაზისო ხაზის გამოკლებისთვის."
Baseline Correction Polynomial,საბაზისო კორექტირების პოლინომი
Technique,ტექნიკა
Polynomial,მრავალწევრი
Manual,სახელმძღვანელო
Correct With Trace,გასწორება კვალით
Reset,გადატვირთვა
Range Selection,დიაპაზონის შერჩევა
Spectral Range Help,სპექტრალური დიაპაზონის დახმარება
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,"სპექტრული დიაპაზონის შეზღუდვამ შეიძლება წაშალოს სპექტრის ის ადგილები, სადაც არ არის მწვერვალები და გააუმჯობესოს შესაბამისობა"
Maximum Spectral Range,მაქსიმალური სპექტრული დიაპაზონი
Minimum Spectral Range,მინიმალური სპექტრული დიაპაზონი
Identify Spectrum,სპექტრის იდენტიფიცირება
Identify Spectrum Using the Reference Library,სპექტრის იდენტიფიცირება საცნობარო ბიბლიოთეკის გამოყენებით
Raman,რამანი
FTIR,FTIR
Spectra,სპექტრები
Type,ტიპი
Spectrum Type Help,სპექტრის ტიპის დახმარება
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,"ეს შერჩევა განსაზღვრავს, გამოყენებული იქნება თუ არა FTIR ან Raman შესატყვისი ბიბლიოთეკა. აირჩიეთ სპექტრის ტიპი, რომელიც აიტვირთა."
Analysis,ანალიზი
Processed,დამუშავებული
Uploaded,ატვირთულია
Spectrum to Analyze Help,სპექტრი ანალიზისთვის დახმარება
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,"ეს შერჩევა განსაზღვრავს, გამოყენებული იქნება თუ არა ატვირთული (დაუმუშავებელი) სპექტრი ან დამუშავების ჩანართის გამოყენებით დამუშავებული სპექტრი."
Region,რეგიონი
Full,სრული
Peaks,მწვერვალები
Region to Match Help,რეგიონი შესატყვისი დახმარება
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,"ეს არჩევანი განსაზღვრავს, ბიბლიოთეკა, რომელსაც თქვენ ემთხვევით, შედგება სრული სპექტრისგან თუ მხოლოდ სპექტრის პიკებისგან."
Partner With Us,პარტნიორი ჩვენთან
Help us reach our goal of revolutionizing spectroscopy.,დაგვეხმარეთ მივაღწიოთ ჩვენს მიზანს - სპექტროსკოპიის რევოლუცია.
Donate Cash,გაიღე ნაღდი ფული
Buy From Swag Store,შეიძინეთ Swag Store-იდან
Contribute time,შეიტანეთ დრო
Revolutionizing,რევოლუციური
Thriving,აყვავებული
Maintaining,შენარჩუნება
Supporting,მხარდამჭერი
Saving,Შენახვა
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,"ფასიანი გუნდი, რომელიც აახლოებს Open Specy-ს საბოლოო მიზანთან - 100%-ით ზუსტი სპექტრული იდენტიფიკაცია და ღრმა სპექტრული დიაგნოსტიკა ერთი დაწკაპუნებით"
A single paid staff person working to update and build the community and the tool,"ერთი ანაზღაურებადი პერსონალი, რომელიც მუშაობს საზოგადოებისა და ხელსაწყოს განახლებასა და შექმნაზე"
Maintenance costs and minor ad-hoc updates and bug fixes,ტექნიკური ხარჯები და მცირე ad-hoc განახლებები და შეცდომების გამოსწორება
Keeping the app online and essential maintenance,აპლიკაციის ონლაინ შენარჩუნება და აუცილებელი მოვლა
Long term storage only,მხოლოდ გრძელვადიანი შენახვა
Sharing Metadata,მეტამონაცემების გაზიარება
Thank you for sharing your data!,გმადლობთ თქვენი მონაცემების გაზიარებისთვის!
Your data will soon be available at https://osf.io/stmv4/,თქვენი მონაცემები მალე ხელმისაწვდომი იქნება https://osf.io/stmv4/
Something went wrong :-(,Რაღაც არასწორად წავიდა :-(
Data type not supported!,მონაცემთა ტიპი არ არის მხარდაჭერილი!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","ატვირთული მონაცემთა ტიპი ამჟამად არ არის მხარდაჭერილი; გთხოვთ
                      შეამოწმეთ ინსტრუმენტების რჩევები და ჩანართი „შესახებ“ დეტალებისთვის."
Sharing Spectrum to Community Library,სპექტრის გაზიარება საზოგადოების ბიბლიოთეკაში
Reading Spectrum,კითხვის სპექტრი
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","თუ თქვენ ატვირთეთ ტექსტი/csv ფაილი, დარწმუნდით, რომ
           სვეტები არის რიცხვითი და სახელწოდებით ""ტალღური რიცხვი"" და
           ""ინტენსივობა""."
absorbance intensity [-],შთანთქმის ინტენსივობა [-]
wavenumber [cm<sup>-1</sup>],ტალღის რიცხვი [სმ<sup>-1</sup>]
Analyzing Spectrum,სპექტრის ანალიზი
Finding Match,მატჩის პოვნა
Making Plot,ნაკვეთის დამზადება
Material,მასალა
Pearson's r,პირსონის რ
Organization,ორგანიზაცია
Selectable Matches,შესარჩევი მატჩები
Donations,შემოწირულობები
Operation Costs,საოპერაციო ხარჯები
Selection Metadata,შერჩევის მეტამონაცემები
