en,de
FTIR Reference Library,FTIR-Referenzbibliothek
Raman Reference Library Metadata,Metadaten der Raman-Referenzbibliothek
FTIR Reference Library Metadata,Metadaten der FTIR-Referenzbibliothek
Contribute Spectra,Spektren beisteuern
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","Um Spektren zu teilen, laden Sie eine Datei auf die Registerkarte Datei hochladen hoch. Wenn Sie Teilen ausgewählt haben, wird eine Kopie Ihrer Spektren an die Community gesendet
           Data Warehouse auf Open Science Framework. Um zusätzliche Metadaten hinzuzufügen,
           Füllen Sie die verfügbaren Metadatenfelder aus und klicken Sie auf -Daten teilen-. Der
           spectra-Datei, die Sie zusammen mit Ihren Antworten hochgeladen haben, wird kopiert
           in den a -Mit Metadaten- Unterordner unter dem Link unten. Alle freigegebenen Daten halten
           eine Creative Commons Attribution License 4.0."
Community Data Warehouse,Community-Data Warehouse
Tool Validation,Werkzeugvalidierung
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","Alle Parameter in diesem Tool werden getestet, um dies zu bestätigen
           das Tool funktioniert so gut wie möglich und ermittelt die beste Vorgabe
           Parameter zu verwenden. Unser aktuelles Validierungsverfahren umfasst die Korrektur
           doppelte Einträge in den Referenzbibliotheken, Prüfung auf Spektren in
           Metadaten, die sich nicht in der Spektralbibliothek befinden, und Sicherstellen der Standardeinstellung
           Parameter liefern eine Genauigkeit von über 80 % im ersten Spiel."
Detailed Validation Procedure,Detailliertes Validierungsverfahren
"Updates, Feature Requests, and Bug Reports","Updates, Funktionsanfragen und Fehlerberichte"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,Wir verfolgen alle Updates mithilfe der Versionskontrolle unseres Codes. Auf GitHub können Funktionen angefordert und Fehler gemeldet werden.
Stay up to date!,Auf dem Laufenden bleiben!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,"Folgen Sie uns auf Twitter @OpenSpecy. Senden Sie eine E-Mail an wincowger@gmail.com, um der Mailingliste hinzugefügt zu werden."
Citation,Zitat
Useful Links,Nützliche Links
Free FTIR Software: siMPle microplastic IR spectral identification software,Kostenlose FTIR-Software: einfache Software zur spektralen Identifizierung von Mikroplastik-IR
Free Spectroscopy Learning Academy from ThermoFisher,Kostenlose Spektroskopie-Lernakademie von ThermoFisher
Free Optical Microscopy Learning Resource from Florida State University,Kostenlose Lernressourcen für optische Mikroskopie von der Florida State University
Free desktop application for spectral analysis and links to reference databases.,Kostenlose Desktop-Anwendung für Spektralanalyse und Links zu Referenzdatenbanken.
Terms And Conditions,Geschäftsbedingungen
Privacy Policy,Datenschutz-Bestimmungen
Upload File,Datei hochladen
"Upload, View, and Share Spectra","Spektren hochladen, anzeigen und teilen"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File","Wählen Sie .csv (bevorzugt), .asp, .jdx, .spc, .spa oder .0 Datei"
Share Your Data?,Ihre Daten teilen?
Share Help,Hilfe teilen
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","Wenn Sie möchten, teilen wir Ihre hochgeladenen Spektren und Einstellungen mit der Spektroskopie-Community.
           Standardmäßig werden alle Daten unter Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0) lizenziert.
           Hochgeladene Spektren werden hier angezeigt: https://osf.io/rjg3c"
Upload Help,Hilfe hochladen
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","Laden Sie Raman- oder FTIR-Spektrumdateien als csv, jdx, spc oder spa hoch. Eine csv-Datei wird bevorzugt. Bei einer CSV-Datei muss die Datei eine Spalte mit der Bezeichnung „Wellenzahl“ in Einheiten von (1/cm) und eine weitere Spalte mit der Bezeichnung „Intensität“ in Extinktionseinheiten enthalten.
            Bei jdx, spc, spa oder 0 sollte die Datei ein einzelnes Absorptionsspektrum mit einer Wellenzahl in (1/cm) sein. Diese Dateien funktionieren nicht immer perfekt, da sie schwer zu lesen sind. Überprüfen Sie sie daher in einer anderen Software.
            Klicken Sie auf die Schaltfläche „Testdaten“, um ein Beispiel-Raman-Spektrum herunterzuladen."
Intensity Adjustment,Intensitätsanpassung
None,Keiner
Transmittance,Transmission
Reflectance,Reflexionsvermögen
Intensity Correction Help,Hilfe zur Intensitätskorrektur
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","Wenn das hochgeladene Spektrum nicht in Extinktionseinheiten angegeben ist,
           Verwenden Sie diese Eingabe, um die Einheiten anzugeben, aus denen umgerechnet werden soll.Open Specy can
           passen Sie die Reflexions- oder Transmissionsspektren an die Absorptionseinheiten an, indem Sie
           dieses Dropdown-Menü auf der Registerkarte Datei hochladen. Alle vorherigen Registerkarten
           Nehmen Sie an, dass die Daten in Extinktionseinheiten angegeben sind, also sollten Sie die
           korrigieren, bevor Sie fortfahren, falls erforderlich. Die Transmissionseinstellung
           verwendet die log10(1/T)-Berechnung, die für das System nicht korrigiert wird
           und Partikeleigenschaften. Die Anpassung des Reflexionsvermögens verwendet die
           Kubelka-Munk-Gleichung (1-R)2/(2*R). Wir nehmen an, dass der Reflexionsgrad
           wird als Prozentwert von 1-100 formatiert und korrigiere zuerst die Intensität durch Division durch 100
           damit es der von der Gleichung erwarteten Form entspricht.
           Wenn keine ausgewählt ist, geht Open Specy davon aus, dass die hochgeladenen Daten
           ein Absorptionsspektrum."
Sample File,Beispieldatei
Sample Data Help,Hilfe zu Beispieldaten
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,"Dies ist ein Beispielspektrum, das in das Tool hochgeladen werden kann, um es zu testen und zu verstehen, wie die CSV-Dateien formatiert werden sollten."
Metadata Input,Metadateneingabe
Metadata Help,Hilfe zu Metadaten
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","Wir teilen alle hochgeladenen Spektren und Metadaten mit der Spektroskopie-Community, wenn Sie die Metadaten hier ausfüllen und Teilen auswählen.
           Hochgeladene Spektren und Metadaten werden hier angezeigt: https://osf.io/rjg3c"
Share Metadata,Metadaten teilen
Upload some data to get started...,"Laden Sie einige Daten hoch, um loszulegen..."
Preprocess Spectrum,Vorverarbeitungsspektrum
"Smooth, Baseline Correct, and Download Processed Spectra","Glätten, Basislinien korrigieren und verarbeitete Spektren herunterladen"
Download (recommended),Herunterladen (empfohlen)
Download Help,Hilfe herunterladen
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,Einige Benutzer möchten möglicherweise eine Kopie ihres verarbeiteten Spektrums speichern. Diese Schaltfläche lädt das bearbeitete Spektrum als csv-Datei herunter.
Smoothing,Glätten
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,Dieser Glätter kann das Signal-Rausch-Verhältnis der Daten verbessern und verwendet einen Savitzky-Golay-Filter mit 12 laufenden Datenpunkten und dem angegebenen Polynom.
Smoothing Polynomial,Glättungspolynom
Baseline Correction,Basislinienkorrektur
Baseline Correction Help,Hilfe zur Basislinienkorrektur
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","Diese Basislinien-Korrekturroutine hat zwei Optionen für die Basislinien-Korrektur, 1) das polynomiale Imodpolyfit-Verfahren, um iterativ die Basislinie des Spektrums unter Verwendung einer polynomischen Anpassung an den gesamten Bereich der Spektren zu finden. 2) Manuelle Linien können mit dem Linienwerkzeug im Diagramm gezeichnet werden und die richtige Schaltfläche verwendet die Linien, um die Grundlinie zu subtrahieren."
Baseline Correction Polynomial,Basislinienkorrekturpolynom
Technique,Technik
Polynomial,Polynom
Manual,Handbuch
Correct With Trace,Mit Trace korrigieren
Reset,Zurücksetzen
Range Selection,Bereichsauswahl
Spectral Range Help,Hilfe zum Spektralbereich
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,"Die Einschränkung des Spektralbereichs kann Spektralbereiche entfernen, in denen keine Peaks vorhanden sind, und die Anpassung verbessern"
Maximum Spectral Range,Maximaler Spektralbereich
Minimum Spectral Range,Minimaler Spektralbereich
Identify Spectrum,Spektrum identifizieren
Identify Spectrum Using the Reference Library,Identifizieren des Spektrums mithilfe der Referenzbibliothek
Raman,Raman
FTIR,FTIR
Spectra,Spektren
Type,Typ
Spectrum Type Help,Hilfe zum Spektrumtyp
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,"Diese Auswahl bestimmt, ob die FTIR- oder Raman-Übereinstimmungsbibliothek verwendet wird. Wählen Sie den hochgeladenen Spektrumtyp aus."
Analysis,Analyse
Processed,Verarbeitet
Uploaded,Hochgeladen
Spectrum to Analyze Help,Spektrum zum Analysieren Hilfe
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,"Diese Auswahl bestimmt, ob das hochgeladene (nicht verarbeitete) Spektrum oder das mit der Registerkarte Verarbeitung verarbeitete Spektrum für den Spektrumsabgleich verwendet wird."
Region,Region
Full,Voll
Peaks,Gipfel
Region to Match Help,Hilfe für die passende Region
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,"Diese Auswahl bestimmt, ob die Bibliothek, der Sie entsprechen, aus dem gesamten Spektrum oder nur aus Spektrumspeaks besteht."
Partner With Us,Arbeiten Sie mit uns zusammen
Help us reach our goal of revolutionizing spectroscopy.,"Helfen Sie uns, unser Ziel zu erreichen, die Spektroskopie zu revolutionieren."
Donate Cash,Geld spenden
Buy From Swag Store,Im Swag Store kaufen
Contribute time,Zeit beitragen
Revolutionizing,Revolutionär
Thriving,Gedeihen
Maintaining,Aufrechterhaltung
Supporting,Unterstützend
Saving,Sparen
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,"Ein bezahltes Team, das Open Specy dem ultimativen Ziel einer 100 % genauen Spektralidentifikation und tiefen Spektraldiagnostik mit einem einzigen Klick näher bringt"
A single paid staff person working to update and build the community and the tool,"Ein einzelner bezahlter Mitarbeiter, der an der Aktualisierung und dem Aufbau der Community und des Tools arbeitet"
Maintenance costs and minor ad-hoc updates and bug fixes,Wartungskosten und kleinere Ad-hoc-Updates und Fehlerbehebungen
Keeping the app online and essential maintenance,Online halten der App und notwendige Wartung
Long term storage only,Nur Langzeitlagerung
Sharing Metadata,Metadaten teilen
Thank you for sharing your data!,Vielen Dank für das Teilen Ihrer Daten!
Your data will soon be available at https://osf.io/stmv4/,Ihre Daten stehen in Kürze unter https://osf.io/stmv4/ zur Verfügung.
Something went wrong :-(,Etwas ist schief gelaufen :-(
Data type not supported!,Datentyp wird nicht unterstützt!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","Der hochgeladene Datentyp wird derzeit nicht unterstützt; bitte
                      Weitere Informationen finden Sie in den Tooltips und auf der Registerkarte ""Info""."
Sharing Spectrum to Community Library,Teilen des Spektrums mit der Gemeinschaftsbibliothek
Reading Spectrum,Lesespektrum
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","Wenn Sie eine Text-/CSV-Datei hochgeladen haben, stellen Sie sicher, dass die
           Spalten sind numerisch und haben den Namen 'wavenumber' und
           'Intensität'."
absorbance intensity [-],Absorptionsintensität [-]
wavenumber [cm<sup>-1</sup>],Wellenzahl [cm<sup>-1</sup>]
Analyzing Spectrum,Spektrum analysieren
Finding Match,Übereinstimmung finden
Making Plot,Plot erstellen
Material,Material
Pearson's r,Pearsons r
Organization,Organisation
Selectable Matches,Auswählbare Übereinstimmungen
Donations,Spenden
Operation Costs,Betriebskosten
Selection Metadata,Auswahl Metadaten
