en,ht
Spectra,Spectre
Type,Kalite
Spectrum Type Help,Èd Spectrum Kalite
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,Seleksyon sa a pral detèmine si yo itilize bibliyotèk matche FTIR oswa Raman. Chwazi kalite spectre ki te telechaje.
Analysis,Analiz
Processed,Trete
Uploaded,Telechaje
Spectrum to Analyze Help,Spectrum pou analize èd
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,Seleksyon sa a pral detèmine si wi ou non spectre telechaje (pa trete) oswa spectre trete lè l sèvi avèk tab pwosesis la itilize nan matche ak spectre.
Region,Rejyon
Full,Plen
Peaks,Pik
Region to Match Help,Rejyon pou matche èd
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,Seleksyon sa a pral detèmine si bibliyotèk w ap matche ak konsiste de spectre konplè oswa sèlman pik spectre.
Partner With Us,Patenarya Avèk Nou
Help us reach our goal of revolutionizing spectroscopy.,Ede nou atenn objektif nou pou revolisyone spèktroskopi.
Donate Cash,Bay Lajan Kach
Buy From Swag Store,Achte nan magazen Swag
Contribute time,Kontribye tan
Revolutionizing,Revolusyone
Thriving,Pwospere
Maintaining,Kenbe
Supporting,Sipòte
Saving,Ekonomize
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,Yon ekip peye ki ap pouse Open Specy pi pre objektif final la nan idantifikasyon espèk 100% egzat ak dyagnostik espèk pwofon ak yon sèl klike sou.
A single paid staff person working to update and build the community and the tool,Yon sèl anplwaye ki peye travay pou mete ajou ak bati kominote a ak zouti a
Maintenance costs and minor ad-hoc updates and bug fixes,Depans antretyen ak ti mizajou ad hoc ak korije ensèk
Keeping the app online and essential maintenance,Kenbe aplikasyon an sou entènèt ak antretyen esansyèl
Long term storage only,Depo alontèm sèlman
Sharing Metadata,Pataje Metadata
Thank you for sharing your data!,Mèsi paske w pataje done w yo!
Your data will soon be available at https://osf.io/stmv4/,Done w yo pral disponib byento nan https://osf.io/stmv4/
Something went wrong :-(,Yon bagay ale mal :-(
Data type not supported!,Kalite done pa sipòte!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","Kalite done Uploaded yo pa sipòte kounye a; tanpri
                      tcheke konsèy sou zouti ak onglet 'Sou' pou plis detay."
Sharing Spectrum to Community Library,Pataje Spectrum nan Bibliyotèk Kominotè
Reading Spectrum,Lekti Spectrum
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","Si ou telechaje yon dosye tèks/csv, asire w ke la
           kolòn yo nimerik epi yo rele 'wavenumber' ak
           'entansite'."
absorbance intensity [-],entansite absòbe [-]
wavenumber [cm<sup>-1</sup>],nimewo ond [cm<sup>-1</sup>]
Analyzing Spectrum,Analize Spectrum
Finding Match,Jwenn Koresponn ak
Making Plot,Fè konplo
Material,Materyèl
Pearson's r,r Pearson a
Organization,Òganizasyon
Selectable Matches,Match ki ka chwazi
Donations,Donasyon
Operation Costs,Depans operasyon yo
Selection Metadata,Seleksyon Metadata
