en,km
FTIR Reference Library,បណ្ណាល័យឯកសារយោង FTIR
Raman Reference Library Metadata,បណ្ណាល័យឯកសារយោង Raman ទិន្នន័យមេតា
FTIR Reference Library Metadata,ទិន្នន័យមេតាបណ្ណាល័យឯកសារយោង FTIR
Contribute Spectra,ចូលរួមចំណែក Spectra
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","ដើម្បីចែករំលែក spectra ផ្ទុកឯកសារទៅផ្ទាំងឯកសារផ្ទុកឡើង។ ប្រសិនបើអ្នកជ្រើសរើស ចែករំលែកច្បាប់ចម្លងនៃវិសាលគមរបស់អ្នកនឹងត្រូវបានផ្ញើទៅកាន់សហគមន៍
           ឃ្លាំងទិន្នន័យនៅលើក្របខ័ណ្ឌវិទ្យាសាស្ត្របើកចំហ។ ដើម្បីបន្ថែមទិន្នន័យមេតាបន្ថែម
           បំពេញក្នុងវាលទិន្នន័យមេតាដែលអាចប្រើបាន ហើយចុច -ចែករំលែកទិន្នន័យ។ នេះ។
           ឯកសារ spectra ដែលអ្នកបានផ្ទុកឡើង រួមជាមួយនឹងការឆ្លើយតបរបស់អ្នកនឹងត្រូវបានចម្លង
           ទៅកាន់ថតរង -With Metadata- នៅតំណខាងក្រោម។ រាល់ទិន្នន័យដែលបានចែករំលែក
           អាជ្ញាប័ណ្ណ Creative Commons Attribution License 4.0."
Community Data Warehouse,ឃ្លាំងទិន្នន័យសហគមន៍
Tool Validation,សុពលភាពឧបករណ៍
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","ប៉ារ៉ាម៉ែត្រទាំងអស់នៅក្នុងឧបករណ៍នេះត្រូវបានសាកល្បងដើម្បីធ្វើឱ្យមានសុពលភាព
           ឧបករណ៍នេះដំណើរការបានល្អបំផុតតាមដែលអាចធ្វើបាន និងកំណត់លំនាំដើមល្អបំផុត
           ប៉ារ៉ាម៉ែត្រដែលត្រូវប្រើ។ ដំណើរការសុពលភាពបច្ចុប្បន្នរបស់យើងរួមមានការកែតម្រូវ
           ធាតុស្ទួននៅក្នុងបណ្ណាល័យយោង ពិនិត្យរកមើលវិសាលគម
           ទិន្នន័យមេតាដែលមិនមាននៅក្នុងបណ្ណាល័យវិសាលគម និងធានាបាននូវលំនាំដើម
           ប៉ារ៉ាម៉ែត្រផ្តល់នូវភាពត្រឹមត្រូវជាង 80% នៅក្នុងការប្រកួតដំបូង។"
Detailed Validation Procedure,នីតិវិធីបញ្ជាក់លម្អិត
"Updates, Feature Requests, and Bug Reports",ការអាប់ដេត សំណើលក្ខណៈពិសេស និងរបាយការណ៍បញ្ហា
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,យើងតាមដានការអាប់ដេតទាំងអស់ដោយប្រើការគ្រប់គ្រងកំណែនៅលើកូដរបស់យើង។ លក្ខណៈពិសេសអាចត្រូវបានស្នើសុំ និងរាយការណ៍កំហុសនៅលើ GitHub ។
Stay up to date!,ទាន់​សម័យ!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,តាមដានពួកយើងនៅលើ Twitter @OpenSpecy ។ អ៊ីមែល wincowger@gmail.com ដែលត្រូវបញ្ចូលទៅក្នុងបញ្ជីសំបុត្ររួម។
Citation,ការដកស្រង់
Useful Links,តំណ​ភ្ជាប់​ដែល​មានប្រយោជន៍
Free FTIR Software: siMPle microplastic IR spectral identification software,កម្មវិធី FTIR ឥតគិតថ្លៃ៖ កម្មវិធីកំណត់អត្តសញ្ញាណវិសាលគម IR microplastic siMple
Free Spectroscopy Learning Academy from ThermoFisher,បណ្ឌិតសភាសិក្សា Spectroscopy ដោយឥតគិតថ្លៃពី ThermoFisher
Free Optical Microscopy Learning Resource from Florida State University,ធនធានសិក្សាមីក្រូទស្សន៍អុបទិកដោយឥតគិតថ្លៃពីសាកលវិទ្យាល័យរដ្ឋផ្លរីដា
Free desktop application for spectral analysis and links to reference databases.,កម្មវិធីកុំព្យូទ័រឥតគិតថ្លៃសម្រាប់ការវិភាគវិសាលគម និងតំណភ្ជាប់ទៅកាន់មូលដ្ឋានទិន្នន័យយោង។
Terms And Conditions,លក្ខខណ្ឌ
Privacy Policy,គោលការណ៍​ភាព​ឯកជន
Upload File,ផ្ទុកឯកសារឡើង
"Upload, View, and Share Spectra",បង្ហោះ មើល និងចែករំលែក Spectra
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File","ជ្រើសរើស .csv (ពេញចិត្ត), .asp, .jdx, .spc, .spa ឬ .0 ឯកសារ"
Share Your Data?,ចែករំលែកទិន្នន័យរបស់អ្នក?
Share Help,ចែករំលែកជំនួយ
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","ប្រសិនបើអ្នកចូលចិត្ត យើងចែករំលែកវិសាលគម និងការកំណត់ដែលបានបង្ហោះរបស់អ្នកជាមួយសហគមន៍ spectroscopy ។
           តាមលំនាំដើម ទិន្នន័យទាំងអស់នឹងត្រូវបានផ្តល់អាជ្ញាប័ណ្ណក្រោម Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0)។
           វិសាលគមដែលបានផ្ទុកឡើងនឹងបង្ហាញនៅទីនេះ៖ https://osf.io/rjg3c"
Upload Help,ផ្ទុកឡើងជំនួយ
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","ផ្ទុកឯកសាររ៉ាម៉ាន ឬ FTIR វិសាលគមជា csv, jdx, spc ឬស្ប៉ា។ ឯកសារ csv ត្រូវបានគេពេញចិត្ត។ ប្រសិនបើ csv ឯកសារត្រូវតែមានជួរឈរមួយដែលមានស្លាក 'wavenumber' ជាឯកតានៃ (1/cm) និងជួរឈរមួយទៀតដែលមានស្លាក 'អាំងតង់ស៊ីតេ' នៅក្នុងឯកតាស្រូបយក។
            ប្រសិនបើ jdx, spc, spa ឬ 0 ឯកសារគួរតែជាវិសាលគមស្រូបទាញតែមួយដែលមានលេខរលកក្នុង (1/cm)។ ឯកសារទាំងនេះនឹងមិនតែងតែដំណើរការល្អឥតខ្ចោះនោះទេ ដោយសារតែវាពិបាកអាន ដូច្នេះសូមពិនិត្យមើលវាពីរដងក្នុងកម្មវិធីផ្សេងទៀត។
            ចុចប៊ូតុង 'Test Data' ដើម្បីទាញយកគំរូ Raman spectrum។"
Intensity Adjustment,ការលៃតម្រូវអាំងតង់ស៊ីតេ
None,គ្មាន
Transmittance,ការបញ្ជូន
Reflectance,ការឆ្លុះបញ្ចាំង
Intensity Correction Help,ជំនួយកែតម្រូវអាំងតង់ស៊ីតេ
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","ប្រសិនបើវិសាលគមដែលបានផ្ទុកឡើងមិនស្ថិតនៅក្នុងឯកតាស្រូបទាញទេ
           ប្រើការបញ្ចូលនេះដើម្បីបញ្ជាក់ឯកតាដើម្បីបំប្លែងពី.Open Specy can
           កែសំរួលការឆ្លុះបញ្ចាំងឬការបញ្ជូនវិសាលគមទៅឯកតាស្រូបយកដោយប្រើ
           នេះទម្លាក់ចុះក្នុងផ្ទាំងឯកសារផ្ទុកឡើង។ ផ្ទាំងមុនទាំងអស់។
           សន្មតថាទិន្នន័យស្ថិតនៅក្នុងឯកតាស្រូបទាញ ដូច្នេះអ្នកគួរតែបង្កើត
           ការកែតម្រូវមុនពេលបន្តប្រសិនបើចាំបាច់។ ការកែតម្រូវការបញ្ជូន
           ប្រើការគណនា log10(1/T) ដែលមិនត្រឹមត្រូវសម្រាប់ប្រព័ន្ធ
           និងលក្ខណៈភាគល្អិត។ ការកែតម្រូវការឆ្លុះបញ្ចាំងប្រើ
           សមីការ Kubelka-Munk (1-R)2/(2*R) ។ យើងសន្មតថាការឆ្លុះបញ្ចាំង
           ត្រូវបានធ្វើទ្រង់ទ្រាយជាភាគរយពី 1-100 ហើយដំបូងកែតម្រូវអាំងតង់ស៊ីតេដោយចែកនឹង 100
           ដូច្នេះវាសមនឹងទម្រង់ដែលរំពឹងទុកដោយសមីការ។
           ប្រសិនបើគ្មាននរណាម្នាក់ត្រូវបានជ្រើសរើសទេ Open Specy សន្មតថាទិន្នន័យដែលបានផ្ទុកឡើង
           វិសាលគមស្រូបយក។"
Sample File,ឯកសារគំរូ
Sample Data Help,ជំនួយទិន្នន័យគំរូ
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,នេះគឺជាវិសាលគមគំរូដែលអាចត្រូវបានផ្ទុកឡើងទៅឧបករណ៍សម្រាប់សាកល្បងវា និងស្វែងយល់ពីរបៀបដែលឯកសារ csv គួរតែត្រូវបានធ្វើទ្រង់ទ្រាយ។
Metadata Input,ការបញ្ចូលទិន្នន័យមេតា
Metadata Help,ជំនួយទិន្នន័យមេតា
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","យើងចែករំលែកវិសាលគម និងទិន្នន័យមេតាដែលបានផ្ទុកឡើងជាមួយសហគមន៍ spectroscopy ប្រសិនបើអ្នកបំពេញទិន្នន័យមេតានៅទីនេះ ហើយជ្រើសរើសចែករំលែក។
           វិសាលគមដែលបានផ្ទុកឡើង និងទិន្នន័យមេតានឹងបង្ហាញនៅទីនេះ៖ https://osf.io/rjg3c"
Share Metadata,ចែករំលែកទិន្នន័យមេតា
Upload some data to get started...,បង្ហោះទិន្នន័យមួយចំនួនដើម្បីចាប់ផ្តើម...
Preprocess Spectrum,Preprocess Spectrum
"Smooth, Baseline Correct, and Download Processed Spectra",រលូន បន្ទាត់ត្រឹមត្រូវ និងទាញយក Spectra ដំណើរការ
Download (recommended),ទាញយក (បានណែនាំ)
Download Help,ទាញយកជំនួយ
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,អ្នកប្រើប្រាស់មួយចំនួនប្រហែលជាចង់រក្សាទុកច្បាប់ចម្លងនៃវិសាលគមដែលបានដំណើរការរបស់ពួកគេ។ ប៊ូតុងនេះទាញយកវិសាលគមដែលបានដំណើរការជាឯកសារ csv ។
Smoothing,រលោង
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,ភាពរលោងនេះអាចបង្កើនសមាមាត្រសញ្ញាទៅនឹងសំឡេងរំខាននៃទិន្នន័យ និងប្រើតម្រង Savitzky-Golay ដែលមាន 12 ចំណុចទិន្នន័យដែលកំពុងដំណើរការ និងពហុនាមដែលបានបញ្ជាក់។
Smoothing Polynomial,ពហុនាមរលោង
Baseline Correction,ការកែតម្រូវមូលដ្ឋាន
Baseline Correction Help,ជំនួយការកែតម្រូវមូលដ្ឋាន
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.",ទម្រង់ការកែតម្រូវបន្ទាត់មូលដ្ឋាននេះមានជម្រើសពីរសម្រាប់ការកែតម្រូវបន្ទាត់មូលដ្ឋាន 1) នីតិវិធី imodpolyfit ពហុធា ដើម្បីស្វែងរកបន្ទាត់មូលដ្ឋាននៃវិសាលគមដោយប្រើប្រាស់ពហុធាដែលសមនឹងតំបន់ទាំងមូលនៃវិសាលគម។ 2) បន្ទាត់ដោយដៃអាចត្រូវបានគូរដោយប្រើឧបករណ៍បន្ទាត់នៅលើគ្រោងហើយប៊ូតុងត្រឹមត្រូវនឹងប្រើបន្ទាត់ដើម្បីដកបន្ទាត់មូលដ្ឋាន។
Baseline Correction Polynomial,ពហុធានៃការកែតម្រូវមូលដ្ឋាន
Technique,បច្ចេកទេស
Polynomial,ពហុនាម
Manual,ហត្ថកម្ម
Correct With Trace,កែជាមួយនឹងដាន
Reset,កំណត់ឡើងវិញ
Range Selection,ការជ្រើសរើសជួរ
Spectral Range Help,ជំនួយជួរ Spectral
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,ការរឹតបន្តឹងជួរវិសាលគមអាចលុបតំបន់នៃវិសាលគមដែលមិនមានកំពូល ហើយធ្វើអោយការផ្គូផ្គងប្រសើរឡើង
Maximum Spectral Range,ជួរវិសាលគមអតិបរមា
Minimum Spectral Range,ជួរ Spectral អប្បបរមា
Identify Spectrum,កំណត់វិសាលគម
Identify Spectrum Using the Reference Library,កំណត់វិសាលគមដោយប្រើបណ្ណាល័យយោង
Raman,រ៉ាម៉ាន
FTIR,FTIR
Spectra,វិសាលគម
Type,ប្រភេទ
Spectrum Type Help,ជំនួយប្រភេទវិសាលគម
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,ការជ្រើសរើសនេះនឹងកំណត់ថាតើបណ្ណាល័យដែលត្រូវគ្នា FTIR ឬ Raman ត្រូវបានប្រើ។ ជ្រើសរើសប្រភេទវិសាលគមដែលត្រូវបានបង្ហោះ។
Analysis,ការវិភាគ
Processed,ដំណើរការ
Uploaded,បង្ហោះ
Spectrum to Analyze Help,វិសាលគមដើម្បីវិភាគជំនួយ
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,ការជ្រើសរើសនេះនឹងកំណត់ថាតើវិសាលគមដែលបានផ្ទុកឡើង (មិនដំណើរការ) ឬវិសាលគមដែលបានដំណើរការដោយប្រើផ្ទាំងដំណើរការត្រូវបានប្រើក្នុងការផ្គូផ្គងវិសាលគម។
Region,តំបន់
Full,ពេញ
Peaks,កំពូល
Region to Match Help,តំបន់ដែលត្រូវគ្នានឹងជំនួយ
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,ការជ្រើសរើសនេះនឹងកំណត់ថាតើបណ្ណាល័យដែលអ្នកកំពុងផ្គូផ្គងមានវិសាលគមពេញលេញ ឬមានតែកំពូលវិសាលគម។
Partner With Us,ដៃគូជាមួយយើង
Help us reach our goal of revolutionizing spectroscopy.,ជួយយើងឱ្យសម្រេចបាននូវគោលដៅរបស់យើងក្នុងការធ្វើបដិវត្តន៍ spectroscopy ។
Donate Cash,បរិច្ចាគសាច់ប្រាក់
Buy From Swag Store,ទិញពីហាង Swag
Contribute time,រួមចំណែកពេលវេលា
Revolutionizing,បដិវត្តន៍
Thriving,រីកចម្រើន
Maintaining,ការថែរក្សា
Supporting,គាំទ្រ
Saving,សន្សំ
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,ក្រុមដែលបានបង់ប្រាក់ដែលកំពុងជំរុញឱ្យ Open Specy ខិតទៅជិតគោលដៅចុងក្រោយនៃការកំណត់អត្តសញ្ញាណវិសាលគមត្រឹមត្រូវ 100% និងការវិនិច្ឆ័យវិសាលគមជ្រៅដោយចុចតែម្តង
A single paid staff person working to update and build the community and the tool,បុគ្គលិកដែលមានប្រាក់ឈ្នួលតែមួយរូប ដែលធ្វើការដើម្បីធ្វើបច្ចុប្បន្នភាព និងកសាងសហគមន៍ និងឧបករណ៍
Maintenance costs and minor ad-hoc updates and bug fixes,ការចំណាយលើការថែទាំ និងការអាប់ដេត ad-hoc តូចតាច និងការកែបញ្ហា
Keeping the app online and essential maintenance,ការរក្សាកម្មវិធីនៅលើអ៊ីនធឺណិត និងការថែទាំចាំបាច់
Long term storage only,ការផ្ទុករយៈពេលវែងតែប៉ុណ្ណោះ
Sharing Metadata,ការចែករំលែកទិន្នន័យមេតា
Thank you for sharing your data!,សូមអរគុណចំពោះការចែករំលែកទិន្នន័យរបស់អ្នក!
Your data will soon be available at https://osf.io/stmv4/,ទិន្នន័យរបស់អ្នកនឹងមានក្នុងពេលឆាប់ៗនេះនៅ https://osf.io/stmv4/
Something went wrong :-(,មាន​អ្វីមួយ​មិន​ប្រក្រតី :-(
Data type not supported!,ប្រភេទទិន្នន័យមិនត្រូវបានគាំទ្រទេ!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","ប្រភេទទិន្នន័យដែលបានផ្ទុកឡើងមិនត្រូវបានគាំទ្រនាពេលបច្ចុប្បន្ននេះទេ។ សូម
                      ពិនិត្យមើលព័ត៌មានជំនួយ និងផ្ទាំង 'អំពី' សម្រាប់ព័ត៌មានលម្អិត។"
Sharing Spectrum to Community Library,ការចែករំលែកវិសាលគមទៅកាន់បណ្ណាល័យសហគមន៍
Reading Spectrum,ការអានវិសាលគម
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","ប្រសិនបើអ្នកបានផ្ទុកឡើងឯកសារអត្ថបទ/csv សូមប្រាកដថា
           ជួរ​ឈរ​គឺ​ជា​លេខ និង​ដាក់​ឈ្មោះ 'wavenumber' និង
           'អាំងតង់ស៊ីតេ' ។"
absorbance intensity [-],អាំងតង់ស៊ីតេនៃការស្រូបយក [-]
wavenumber [cm<sup>-1</sup>],លេខរលក [cm<sup>-1</sup>]
Analyzing Spectrum,ការវិភាគវិសាលគម
Finding Match,ការស្វែងរកការប្រកួត
Making Plot,ការធ្វើផែនការ
Material,សម្ភារៈ
Pearson's r,Pearson's r
Organization,អង្គការ
Selectable Matches,ការប្រកួតដែលអាចជ្រើសរើសបាន។
Donations,ការបរិច្ចាគ
Operation Costs,ចំណាយប្រតិបត្តិការ
Selection Metadata,ការជ្រើសរើសទិន្នន័យមេតា
