en,es
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","Si lo desea, compartimos sus espectros y configuraciones cargados con la comunidad de espectroscopía.
           De forma predeterminada, todos los datos tendrán licencia de Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Los espectros cargados aparecerán aquí: https://osf.io/rjg3c"
Upload Help,Subir ayuda
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","Cargue archivos de espectro Raman o FTIR como csv, jdx, spc o spa. Se prefiere un archivo csv. Si es un csv, el archivo debe contener una columna etiquetada como 'número de onda' en unidades de (1 / cm) y otra columna etiquetada como 'intensidad' en unidades de absorbancia.
            Si es jdx, spc, spa o 0, la lima debe ser un espectro de absorbancia único con número de onda en (1 / cm). Estos archivos no siempre funcionarán a la perfección porque son difíciles de leer, así que verifíquelos en otro software.
            Pulse el botón ""Datos de prueba"" para descargar una muestra del espectro Raman."
Intensity Adjustment,Ajuste de intensidad
None,Ninguna
Transmittance,Transmitancia
Reflectance,Reflectancia
Intensity Correction Help,Ayuda para la corrección de intensidad
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","Si el espectro cargado no está en unidades de absorbancia,
           utilice esta entrada para especificar las unidades a partir de las cuales se va a convertir. Open Specy puede
           ajustar los espectros de reflectancia o transmitancia a las unidades de absorbancia usando
           este menú desplegable en la pestaña de archivo de carga. Todas las pestañas anteriores
           Suponga que los datos están en unidades de absorbancia, por lo que debe hacer el
           corrección antes de continuar si es necesario. El ajuste de transmitancia
           utiliza el cálculo log10 (1 / T) que no se corrige para el sistema
           y características de las partículas. El ajuste de reflectancia utiliza el
           Ecuación de Kubelka-Munk (1-R) 2 / (2 * R). Suponemos que la reflectancia
           está formateado como un porcentaje del 1 al 100 y primero corrige la intensidad dividiendo por 100
           para que se ajuste a la forma esperada por la ecuación.
           Si no se selecciona ninguno, Open Specy asume que los datos cargados son
           un espectro de absorbancia."
Sample File,Archivo de muestra
Sample Data Help,Ayuda de datos de muestra
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,Este es un espectro de muestra que se puede cargar en la herramienta para probarlo y comprender cómo se deben formatear los archivos csv.
Metadata Input,Entrada de metadatos
Metadata Help,Ayuda de metadatos
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","Compartimos los espectros y metadatos cargados con la comunidad de espectroscopía si completa los metadatos aquí y selecciona compartir.
           Los espectros y metadatos cargados aparecerán aquí: https://osf.io/rjg3c"
Share Metadata,Compartir metadatos
Upload some data to get started...,Sube algunos datos para empezar ...
Preprocess Spectrum,Espectro de preprocesamiento
"Smooth, Baseline Correct, and Download Processed Spectra","Espectros procesados fluidos, correctos de línea de base y descarga"
Download (recommended),Descargar (recomendado)
Download Help,Descargar ayuda
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,Es posible que algunos usuarios deseen guardar una copia de su espectro procesado. Este botón descarga el espectro procesado como un archivo csv.
Smoothing,Suavizado
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,Este más suave puede mejorar la relación señal / ruido de los datos y utiliza un filtro Savitzky-Golay con 12 puntos de datos en ejecución y el polinomio especificado.
Smoothing Polynomial,Polinomio de suavizado
Baseline Correction,Corrección de la línea de base
Baseline Correction Help,Ayuda para la corrección de la línea de base
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","Esta rutina de corrección de la línea de base tiene dos opciones para la corrección de la línea de base, 1) el procedimiento de imodpolyfit del polinomio para encontrar de forma iterativa la línea de base del espectro usando un ajuste de polinomio para toda la región del espectro. 2) Las líneas manuales se pueden dibujar usando la herramienta de línea en el gráfico y el botón correcto usará las líneas para restar la línea de base."
Baseline Correction Polynomial,Polinomio de corrección de la línea de base
Technique,Técnica
Polynomial,Polinomio
Manual,Manual
Correct With Trace,Corregir con Trace
Reset,Reiniciar
Range Selection,Selección de rango
Spectral Range Help,Ayuda de rango espectral
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,Restringir el rango espectral puede eliminar regiones del espectro donde no existen picos y mejorar la coincidencia
Maximum Spectral Range,Rango espectral máximo
Minimum Spectral Range,Rango espectral mínimo
Identify Spectrum,Identificar espectro
Identify Spectrum Using the Reference Library,Identificar el espectro usando la biblioteca de referencia
Raman,Raman
FTIR,FTIR
Spectra,Espectros
Type,Escribe
Spectrum Type Help,Ayuda de tipo de espectro
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,Esta selección determinará si se utiliza la biblioteca de coincidencia FTIR o Raman. Elija el tipo de espectro que se cargó.
Analysis,Análisis
Processed,Procesada
Uploaded,Subido
Spectrum to Analyze Help,Espectro para analizar la ayuda
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,Esta selección determinará si el espectro cargado (no procesado) o el espectro procesado usando la pestaña de procesamiento se usa en la coincidencia de espectro.
Region,Región
Full,Completo
Peaks,Picos
Region to Match Help,Ayuda de Región para Coincidir
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,Esta selección determinará si la biblioteca con la que está haciendo coincidir consiste en el espectro completo o solo en los picos del espectro.
Partner With Us,Asóciese con nosotros
Help us reach our goal of revolutionizing spectroscopy.,Ayúdanos a alcanzar nuestro objetivo de revolucionar la espectroscopia.
Donate Cash,Donar efectivo
Buy From Swag Store,Comprar en la tienda Swag
Contribute time,Contribuir tiempo
Revolutionizing,Revolucionando
Thriving,Prosperando
Maintaining,Manteniendo
Supporting,Secundario
Saving,Ahorro
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,Un equipo pago que está acercando a Open Specy al objetivo final de una identificación espectral 100% precisa y un diagnóstico espectral profundo con un solo clic
A single paid staff person working to update and build the community and the tool,Un solo miembro del personal remunerado que trabaja para actualizar y construir la comunidad y la herramienta.
Maintenance costs and minor ad-hoc updates and bug fixes,Costos de mantenimiento y pequeñas actualizaciones ad-hoc y corrección de errores.
Keeping the app online and essential maintenance,Mantener la aplicación en línea y mantenimiento esencial
Long term storage only,Solo almacenamiento a largo plazo
Sharing Metadata,Compartir metadatos
Thank you for sharing your data!,¡Gracias por compartir tus datos!
Your data will soon be available at https://osf.io/stmv4/,Sus datos pronto estarán disponibles en https://osf.io/stmv4/
Something went wrong :-(,Algo salió mal :-(
Data type not supported!,¡Tipo de datos no admitido!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","El tipo de datos cargados no es compatible actualmente; por favor
                      consulte la información sobre herramientas y la pestaña ""Acerca de"" para obtener más detalles."
Sharing Spectrum to Community Library,Compartiendo Spectrum con la biblioteca comunitaria
Reading Spectrum,Espectro de lectura
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","Si cargó un archivo de texto / csv, asegúrese de que el
           las columnas son numéricas y se denominan 'número de onda' y
           'intensidad'."
absorbance intensity [-],intensidad de absorbancia [-]
wavenumber [cm<sup>-1</sup>],número de onda [cm <sup> -1 </sup>]
Analyzing Spectrum,Analizando espectro
Finding Match,Encontrar coincidencia
Making Plot,Haciendo trama
Material,Material
Pearson's r,R de Pearson
Organization,Organización
Selectable Matches,Partidos seleccionables
Donations,Donaciones
Operation Costs,Costos de operación
Selection Metadata,Metadatos de selección
