en,tt
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","Бу коралдагы барлык параметрлар моны раслау өчен сынала
           корал мөмкин кадәр яхшырак эшли һәм иң яхшы дефолтны билгели
           куллану параметрлары. Безнең хәзерге тикшерү процессы төзәтүне үз эченә ала
           белешмә китапханәләрдә кабатланган язмалар, спектрларны тикшерү
           спектраль китапханәдә булмаган мета-мәгълүматлар, һәм килешүне тәэмин итү
           параметрлар беренче матчта 80% тан артык төгәллек бирә."
Detailed Validation Procedure,Тикшерү процедурасы
"Updates, Feature Requests, and Bug Reports","Яңартулар, функцияләр, хаталар турында отчетлар"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,Кодтагы версия контроле ярдәмендә барлык яңартуларны күзәтәбез. GitHub'та функцияләр сорала һәм хата турында хәбәр ителә.
Stay up to date!,Яңартып торыгыз!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,Твиттерда безгә иярегез @OpenSpecy. Wincowger@gmail.com электрон почтасын почта исемлегенә өстәргә.
Citation,Itationитата
Useful Links,Файдалы сылтамалар
Free FTIR Software: siMPle microplastic IR spectral identification software,Бушлай FTIR Программасы: siMPle микропластик IR спектраль идентификация программасы
Free Spectroscopy Learning Academy from ThermoFisher,ТермоФишердан бушлай спектроскопия өйрәнү академиясе
Free Optical Microscopy Learning Resource from Florida State University,Флорида дәүләт университетыннан бушлай оптик микроскопия өйрәнү ресурсы
Free desktop application for spectral analysis and links to reference databases.,Спектраль анализ өчен бушлай эш өстәле кушымтасы һәм белешмә мәгълүмат базасына сылтамалар.
Terms And Conditions,Шартлар һәм килешүләр
Privacy Policy,Шәхсилек сәясәте
Upload File,Файлны йөкләү
"Upload, View, and Share Spectra","Спектраны йөкләү, карау һәм бүлешү"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File",".Csv (өстенлекле), .asp, .jdx, .spc, .spa яки .0 Файлны сайлагыз."
Share Your Data?,Сезнең мәгълүматны бүлешәсезме?
Share Help,Ярдәмне бүлеш
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","Сез теләсәгез, без сезнең йөкләнгән спектрларны һәм көйләүләрне спектроскопия җәмгыяте белән бүлешәбез.
           Килешү буенча, барлык мәгълүматлар Creative Commons Attribution-NonCommмер 4.0 International (CC BY-NC 4.0) нигезендә лицензияләнәчәк.
           Монда йөкләнгән спектрлар пәйда булачак: https://osf.io/rjg3c"
Upload Help,Ярдәмне йөкләү
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","Raman яки FTIR спектр файлларын csv, jdx, spc яки spa итеп йөкләгез. Csv файлына өстенлек бирелә. Әгәр дә csv булса, файлда (1 / см) берәмлекләрдә ""дулкын"" дип язылган бер багана, һәм үзләштерү берәмлекләрендә ""интенсивлык"" дип язылган багана булырга тиеш.
            Jdx, spc, spa, яки 0 булса, файл (1 / см) дулкынлы бер үзләштерү спектры булырга тиеш. Бу файллар гел камил эшләмәячәк, чөнки аларны бүтән программа тәэминатында икеләтә тикшереп уку авыр.
            Раман спектры үрнәген йөкләү өчен 'Тест мәгълүматлары' төймәсенә басыгыз."
Intensity Adjustment,Интенсивлыкны көйләү
None,Беркем дә юк
Transmittance,Тапшыру
Reflectance,Уйлану
Intensity Correction Help,Интенсивлыкны төзәтү ярдәме
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","Әгәр дә йөкләнгән спектр үзләштерү берәмлекләрендә булмаса,
           үзгәртү өчен берәмлекләрне күрсәтү өчен бу кертүне кулланыгыз
           чагылдыруны яки тапшыру спектрын кулланып Абсорбция берәмлекләренә көйләгез
           йөкләү файл салынмасында бу төшү. Алдагы барлык өстәмәләр
           Мәгълүматлар үзләштерү берәмлекләрендә, шуңа күрә сез ясарга тиеш
           кирәк булса дәвам итәр алдыннан төзәтү. Тапшыруны көйләү
           система өчен төзәтелмәгән log10 (1 / T) исәпләү куллана
           һәм кисәкчәләрнең характеристикалары. Күрсәткечне көйләү
           Кубелка-Мунк тигезләмәсе (1-Р) 2 / (2 * Р). Без уйлану дип уйлыйбыз
           1-100 дән процент итеп форматланган һәм иң элек интенсивлыкны 100гә бүлеп төзәтегез
           тигезләмә көткән формага туры килсен өчен.
           Әгәр дә берсе сайланмаса, Ачык Спеки йөкләнгән мәгълүматлар дип фаразлый
           үзләштерү спектры."
Sample File,Fileрнәк файл
Sample Data Help,Ярдәм мәгълүматлары үрнәге
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,Бу сынау спектры һәм csv файлларының ничек форматланырга тиешлеген аңлау өчен коралга йөкләнә торган үрнәк спектр.
Metadata Input,Мета мәгълүматлар кертү
Metadata Help,Мета мәгълүматлар ярдәм
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","Әгәр дә сез монда мета-мәгълүматларны тутырсагыз һәм бүлешүне сайласагыз, спектроскопия җәмгыяте белән йөкләнгән спектрларны һәм мета-мәгълүматларны бүлешәбез.
           Йөкләнгән спектрлар һәм мета-мәгълүматлар монда күренәчәк: https://osf.io/rjg3c"
Share Metadata,Мета мәгълүматларны бүлешегез
Upload some data to get started...,Башлау өчен кайбер мәгълүматны йөкләгез ...
Preprocess Spectrum,Спектрны эшкәртү
"Smooth, Baseline Correct, and Download Processed Spectra","Ямьле, төп нигез дөрес, һәм эшкәртелгән спектраны йөкләү"
Download (recommended),Йөкләү (тәкъдим ителә)
Download Help,Ярдәмне йөкләү
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,Кайбер кулланучылар эшкәртелгән спектрның күчермәсен сакларга телиләр. Бу төймә эшкәртелгән спектрны csv файлы итеп йөкли.
Smoothing,Тигезләү
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,Бу шома мәгълүматның шау-шу коэффициентына сигналны көчәйтә ала һәм 12 эшләп торган мәгълүмат пункты һәм күрсәтелгән күпхатынлы Савицкий-Голай фильтрын куллана.
Smoothing Polynomial,Күпмилләтле шома
Baseline Correction,Төп коррекция
Baseline Correction Help,Төп коррекция ярдәме
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","Бу төп коррекция тәртибенең төп коррекция өчен ике варианты бар, 1) полиномиаль имодполифит процедурасы спектрның төп төбәгенә полиномиаль яракны кулланып, спектрның төп нигезен табу өчен. 2) кул сызыгы сюжеттагы сызык коралы ярдәмендә сызылырга мөмкин һәм дөрес төймә сызыкны базны алу өчен кулланачак."
Baseline Correction Polynomial,Төп төзәтү полиномиалы
Technique,Техника
Polynomial,Күпхатынлы
Manual,Дәреслек
Correct With Trace,Эз белән дөрес
Reset,Бетерү
Range Selection,Сайлау
Spectral Range Help,Спектраль диапазон ярдәме
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,Спектраль диапазонны чикләү спектр өлкәләрен юкка чыгарырга һәм туры килүне яхшыртырга мөмкин
Maximum Spectral Range,Максималь спектр диапазоны
Minimum Spectral Range,Минималь спектр диапазоны
Identify Spectrum,Спектрны ачыклагыз
Identify Spectrum Using the Reference Library,Белешмә китапханә ярдәмендә спектрны ачыклагыз
Raman,Раман
FTIR,FTIR
Spectra,Спектра
Type,Тип
Spectrum Type Help,Спектр тибындагы ярдәм
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,Бу сайлау FTIR яки Raman туры килгән китапханә кулланылганын ачыклаячак. Йөкләнгән спектр төрен сайлагыз.
Analysis,Анализ
Processed,Эшкәртелгән
Uploaded,Йөкләнде
Spectrum to Analyze Help,Ярдәмне анализлау спектры
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,Бу сайлау йөкләнгән (эшкәртелмәгән) спектрны яки эшкәртү таблицасы ярдәмендә эшкәртелгән спектрны спектр матчында куллану-кулланмавын билгеләячәк.
Region,Төбәк
Full,Тулы
Peaks,Пикс
Region to Match Help,Ярдәмгә туры килгән төбәк
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,Бу сайлау сез туры килгән китапханәнең тулы спектрдан торуын яки спектрның иң югары ноктасыннан булуын билгеләячәк.
Partner With Us,Безнең белән партнер
Help us reach our goal of revolutionizing spectroscopy.,Спектроскопияне революцияләү максатына ирешергә булыш.
Donate Cash,Акча бүләк итегез
Buy From Swag Store,Swag кибетеннән сатып алыгыз
Contribute time,Вакытны кертегез
Revolutionizing,Революция
Thriving,Уңыш
Maintaining,Хезмәт итү
Supporting,Ярдәм
Saving,Саклау
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,"Ачык спецификаны 100% төгәл спектраль идентификациянең төп максатына якынайта торган түләүле команда, бер басу белән тирән спектраль диагностика."
A single paid staff person working to update and build the community and the tool,Theәмгыятьне һәм коралны яңарту һәм төзү өчен эшләүче бер түләүле хезмәткәр
Maintenance costs and minor ad-hoc updates and bug fixes,"Хезмәт күрсәтү чыгымнары, вак-төяк яңартулар һәм хата төзәтмәләре"
Keeping the app online and essential maintenance,Кушымтаны он-лайн тоту һәм кирәкле хезмәт күрсәтү
Long term storage only,Озак вакытлы саклау гына
Sharing Metadata,Мета мәгълүматларны бүлешү
Thank you for sharing your data!,Мәгълүматны бүлешкәнегез өчен рәхмәт!
Your data will soon be available at https://osf.io/stmv4/,Тиздән сезнең мәгълүмат https://osf.io/stmv4/ сайтында булачак.
Something went wrong :-(,Нәрсәдер дөрес булмаган :-(
Data type not supported!,Мәгълүмат төре ярдәм итми!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","Йөкләнгән мәгълүмат төре хәзерге вакытта ярдәм итми; зинһар
                      детальләр өчен корал киңәшләрен һәм 'About' салынмасын тикшерегез."
Sharing Spectrum to Community Library,Иҗтимагый китапханәгә спектрны бүлешү
Reading Spectrum,Спектрны уку
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","Әгәр сез текст / csv файлын йөкләгән булсагыз, моны тикшерегез
           баганалар санлы һәм 'дулкынлы' һәм
           'интенсивлык'."
absorbance intensity [-],сеңдерү интенсивлыгы [-]
wavenumber [cm<sup>-1</sup>],дулкын [см <sup> -1 </sup>]
Analyzing Spectrum,Спектрга анализ
Finding Match,Матч табу
Making Plot,Сюжет ясау
Material,Материал
Pearson's r,Пирсон р
Organization,Оештыру
Selectable Matches,Сайланма матчлар
Donations,Иганәләр
Operation Costs,Операция чыгымнары
Selection Metadata,Сайлау метадайыннары
