en,be
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,"Мы адсочваем усе абнаўлення, выкарыстоўваючы кантроль версій у нашым кодзе. Функцыі можна запытаць і паведаміць пра памылку на GitHub."
Stay up to date!,Будзьце ў курсе!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,"Сачыце за намі ў Twitter @OpenSpecy. Адпраўце электронную пошту wincowger@gmail.com, каб дадаць у спіс рассылкі."
Citation,Цытаванне
Useful Links,Карысныя спасылкі
Free FTIR Software: siMPle microplastic IR spectral identification software,Бясплатнае праграмнае забеспячэнне FTIR: простае праграмнае забеспячэнне для ІЧ-спектральнай ідэнтыфікацыі мікрапластыка
Free Spectroscopy Learning Academy from ThermoFisher,Бясплатная навучальная акадэмія спектраскапіі ад ThermoFisher
Free Optical Microscopy Learning Resource from Florida State University,Бясплатны навучальны рэсурс па аптычнай мікраскапіі з Універсітэта штата Фларыда
Free desktop application for spectral analysis and links to reference databases.,Бясплатнае настольнае прыкладанне для спектральнага аналізу і спасылак на даведачныя базы дадзеных.
Terms And Conditions,Тэрміны і ўмовы
Privacy Policy,Палітыка прыватнасці
Upload File,Загрузіць файл
"Upload, View, and Share Spectra","Загружаць, праглядаць і дзяліцца Spectra"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File","Выберыце файл .csv (пажадана), .asp, .jdx, .spc, .spa або .0"
Share Your Data?,Падзяліцца сваімі дадзенымі?
Share Help,Падзяліцеся дапамогай
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","Калі хочаце, мы дзелімся вашымі загружанымі спектрамі і наладамі з супольнасцю спектраскапіі.
           Па змаўчанні ўсе даныя будуць пад ліцэнзіяй Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Загружаныя спектры з'явяцца тут: https://osf.io/rjg3c"
Upload Help,Даведка па загрузцы
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","Запампуйце файлы спектру рамана або FTIR як csv, jdx, spc або spa. Пераважней файл csv. Калі файл csv, файл павінен змяшчаць адзін слупок з надпісам «хвалевая лічба» у адзінках (1/см) і іншы слупок з пазнакай «інтэнсіўнасць» у адзінках паглынання.
            Калі jdx, spc, spa або 0, файл павінен быць адным спектрам паглынання з хвалевым лікам у (1/см). Гэтыя файлы не заўсёды будуць працаваць ідэальна, таму што іх складана чытаць, таму праверце іх у іншым праграмным забеспячэнні.
            Націсніце кнопку «Тэставыя даныя», каб загрузіць узор спектру КР."
Intensity Adjustment,Рэгуляванне інтэнсіўнасці
None,Ніякіх
Transmittance,Прапусканне
Reflectance,Адлюстраванне
Intensity Correction Help,Даведка па карэкцыі інтэнсіўнасці
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","Калі загружаны спектр не ў адзінках паглынання,
           выкарыстоўвайце гэты ўвод, каб паказаць адзінкі для пераўтварэння з. Open Specy can
           наладзіць спектры адлюстравання або прапускання да адзінак паглынання з дапамогай
           гэта выпадальнае меню на ўкладцы загрузкі файла. Усе папярэднія ўкладкі
           выкажам здагадку, што дадзеныя ў адзінках паглынання, таму вы павінны зрабіць
           выпраўце перад працягам, калі гэта неабходна. Рэгуляванне прапускання
           выкарыстоўвае разлік log10(1/T), які не карэктны для сістэмы
           і характарыстыкі часціц. Рэгуляванне адлюстравання выкарыстоўвае
           Ураўненне Кубелкі-Мунка (1-R)2/(2*R). Мы мяркуем, што адлюстраванне
           фарматуецца ў працэнтах ад 1-100 і спачатку выпраўце інтэнсіўнасць, падзяліўшы на 100
           так, каб ён адпавядаў форме, чаканай раўнаннем.
           Калі нічога не выбрана, Open Specy мяркуе, што загружаныя даныя ёсць
           спектр паглынання."
Sample File,Узор файла
Sample Data Help,Даведка па прыкладах даных
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,"Гэта ўзор спектру, які можна загрузіць у інструмент, каб праверыць яго і зразумець, як павінны быць адфарматаваны файлы csv."
Metadata Input,Увод метаданых
Metadata Help,Даведка па метададзеных
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","Мы абагульваем любыя загружаныя спектры і метададзеныя з суполкай спектраскапіі, калі вы запоўніце метададзеныя тут і выберыце падзяліцца.
           Загружаныя спектры і метададзеныя з'явяцца тут: https://osf.io/rjg3c"
Share Metadata,Абагульвайце метаданыя
Upload some data to get started...,"Запампуйце некаторыя даныя, каб пачаць..."
Preprocess Spectrum,Preprocess Spectrum
"Smooth, Baseline Correct, and Download Processed Spectra","Гладкая, карэктная базавая лінія і загрузка апрацаваных спектраў"
Download (recommended),Спампаваць (рэкамендуецца)
Download Help,Спампаваць дапамогу
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,Некаторыя карыстальнікі могуць пажадаць захаваць копію апрацаванага спектру. Гэтая кнопка загружае апрацаваны спектр у выглядзе файла csv.
Smoothing,Згладжванне
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,Гэты згладжвальнік можа палепшыць стаўленне сігнал/шум у дадзеных і выкарыстоўвае фільтр Савіцкага-Голая з 12 бягучымі кропкамі дадзеных і зададзеным паліномам.
Smoothing Polynomial,Паліном згладжвання
Baseline Correction,Карэкцыя базавай лініі
Baseline Correction Help,Даведка па карэкцыі базавай лініі
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","Гэтая працэдура карэкцыі базавай лініі мае два варыянты карэкцыі базавай лініі: 1) паліноміяльную працэдуру imodpolyfit для ітэрацыйнага знаходжання базавай лініі спектру з выкарыстаннем палінома для ўсёй вобласці спектраў. 2) лініі ўручную можна намаляваць з дапамогай інструмента лініі на сюжэце, і правільная кнопка будзе выкарыстоўваць лініі для адніжэння базавай лініі."
Baseline Correction Polynomial,Паліном карэкцыі базавай лініі
Technique,Тэхніка
Polynomial,Паліном
Manual,Кіраўніцтва
Correct With Trace,Правільна з Trace
Reset,Скінуць
Range Selection,Выбар дыяпазону
Spectral Range Help,Даведка па спектральным дыяпазоне
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,"Абмежаванне спектральнага дыяпазону можа выдаліць вобласці спектру, дзе няма пікаў, і палепшыць адпаведнасць"
Maximum Spectral Range,Максімальны спектральны дыяпазон
Minimum Spectral Range,Мінімальны спектральны дыяпазон
Identify Spectrum,Вызначыць спектр
Identify Spectrum Using the Reference Library,Вызначыць спектр з дапамогай даведачнай бібліятэкі
Raman,Раман
FTIR,FTIR
Spectra,Спектры
Type,Тып
Spectrum Type Help,Даведка па тыпу спектру
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,"Гэты выбар будзе вызначаць, ці будзе выкарыстоўвацца бібліятэка супадзення FTIR або Raman. Выберыце тып спектру, які быў загружаны."
Analysis,Аналіз
Processed,Апрацаваны
Uploaded,Загружаны
Spectrum to Analyze Help,Даведка па спектру для аналізу
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,"Гэты выбар будзе вызначаць, ці будзе выкарыстоўвацца загружаны (не апрацаваны) спектр або спектр, апрацаваны з дапамогай закладкі апрацоўкі, у супастаўленні спектру."
Region,Рэгіён
Full,Поўная
Peaks,Пікі
Region to Match Help,Даведка па рэгіёнах
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,"Гэты выбар будзе вызначаць, ці будзе бібліятэка, якую вы падбіраеце, складаецца з поўнага спектру або толькі з пікаў спектру."
Partner With Us,Партнёр з намі
Help us reach our goal of revolutionizing spectroscopy.,Дапамажыце нам дасягнуць нашай мэты рэвалюцыі ў спектраскапіі.
Donate Cash,Ахвяраваць наяўнымі
Buy From Swag Store,Купляйце ў краме Swag
Contribute time,Укладвайце час
Revolutionizing,Рэвалюцыяніруючы
Thriving,Квітнеючае
Maintaining,Падтрыманне
Supporting,Падтрымліваючы
Saving,Захаванне
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,"Платная каманда, якая набліжае Open Specy да канчатковай мэты - 100% дакладнай спектральнай ідэнтыфікацыі і глыбокай спектральнай дыягностыкі адным пстрычкай мышы"
A single paid staff person working to update and build the community and the tool,"Адзіны аплачваны персанал, які працуе над абнаўленнем і стварэннем супольнасці і інструмента"
Maintenance costs and minor ad-hoc updates and bug fixes,Выдаткі на тэхнічнае абслугоўванне і нязначныя спецыяльныя абнаўленні і выпраўленні памылак
Keeping the app online and essential maintenance,Падтрыманне прыкладання ў Інтэрнэце і неабходнае абслугоўванне
Long term storage only,Толькі доўгатэрміновае захоўванне
Sharing Metadata,Абагульванне метаданых
Thank you for sharing your data!,"Дзякуй, што падзяліліся сваімі дадзенымі!"
Your data will soon be available at https://osf.io/stmv4/,Вашы даныя неўзабаве будуць даступныя на https://osf.io/stmv4/
Something went wrong :-(,Нешта пайшло не так :-(
Data type not supported!,Тып даных не падтрымліваецца!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","Тып загружаных даных у цяперашні час не падтрымліваецца; калі ласка
                      праверце падказкі і ўкладку «Аб» для атрымання падрабязнай інфармацыі."
Sharing Spectrum to Community Library,Абагульванне спектру ў супольнай бібліятэцы
Reading Spectrum,Reading Spectrum
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","Калі вы загрузілі тэкставы/csv файл, пераканайцеся, што
           слупкі з'яўляюцца лікавымі і называюцца ""хвалёвы нумар"" і
           'інтэнсіўнасць'."
absorbance intensity [-],інтэнсіўнасць паглынання [-]
wavenumber [cm<sup>-1</sup>],хвалевы лік [см<sup>-1</sup>]
Analyzing Spectrum,Аналізуючы спектр
Finding Match,Пошук матчу
Making Plot,Афармленне сюжэта
Material,Матэрыял
Pearson's r,Р. Пірсана
Organization,Арганізацыя
Selectable Matches,Адборныя матчы
Donations,Ахвяраванні
Operation Costs,Выдаткі на эксплуатацыю
Selection Metadata,Метададзеныя выбару
