en,ar
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,سيحدد هذا الاختيار ما إذا كان الطيف الذي تم تحميله (غير المعالج) أو الطيف الذي تمت معالجته باستخدام علامة تبويب المعالجة مستخدمًا في تطابق الطيف.
Region,منطقة
Full,ممتلئ
Peaks,القمم
Region to Match Help,منطقة للمطابقة تعليمات
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,سيحدد هذا الاختيار ما إذا كانت المكتبة التي تتطابق معها تتكون من الطيف الكامل أم فقط قمم الطيف.
Partner With Us,شريك معنا
Help us reach our goal of revolutionizing spectroscopy.,ساعدنا في الوصول إلى هدفنا المتمثل في إحداث ثورة في التحليل الطيفي.
Donate Cash,تبرع نقدا
Buy From Swag Store,شراء من متجر Swag
Contribute time,المساهمة بالوقت
Revolutionizing,ثورة
Thriving,مزدهرة
Maintaining,المحافظة
Supporting,دعم
Saving,إنقاذ
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,فريق مدفوع الأجر يدفع Open Specy إلى الهدف النهائي المتمثل في تحديد طيفي دقيق بنسبة 100٪ وتشخيصات طيفية عميقة بنقرة واحدة
A single paid staff person working to update and build the community and the tool,موظف واحد مدفوع الأجر يعمل على تحديث وبناء المجتمع والأداة
Maintenance costs and minor ad-hoc updates and bug fixes,تكاليف الصيانة والتحديثات الطفيفة المخصصة وإصلاح الأخطاء
Keeping the app online and essential maintenance,الحفاظ على التطبيق متصل بالإنترنت والصيانة الأساسية
Long term storage only,تخزين طويل المدى فقط
Sharing Metadata,تبادل البيانات الوصفية
Thank you for sharing your data!,شكرا لتقاسم البيانات الخاصة بك!
Your data will soon be available at https://osf.io/stmv4/,ستتوفر بياناتك قريبًا على https://osf.io/stmv4/
Something went wrong :-(,هناك خطأ ما :-(
Data type not supported!,نوع البيانات غير مدعوم!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","نوع البيانات التي تم تحميلها غير مدعوم حاليًا ؛ من فضلك
                      تحقق من تلميحات الأدوات وعلامة التبويب ""حول"" للحصول على التفاصيل."
Sharing Spectrum to Community Library,تقاسم الطيف إلى مكتبة المجتمع
Reading Spectrum,طيف القراءة
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","إذا قمت بتحميل ملف نصي / csv ، فتأكد من أن ملف
           الأعمدة رقمية وتسمى ""wavenumber"" و
           'الشدة'."
absorbance intensity [-],شدة الامتصاص [-]
wavenumber [cm<sup>-1</sup>],wavenumber [سم <sup> -1 </sup>]
Analyzing Spectrum,تحليل الطيف
Finding Match,إيجاد مباراة
Making Plot,صنع المؤامرة
Material,مادة
Pearson's r,ص بيرسون
Organization,منظمة
Selectable Matches,التطابقات للاختيار
Donations,التبرعات
Operation Costs,تكاليف العملية
Selection Metadata,تحديد البيانات الوصفية
