en,da
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,Nogle brugere ønsker måske at gemme en kopi af deres behandlede spektrum. Denne knap downloader det behandlede spektrum som en csv-fil.
Smoothing,Udglatning
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,Denne glattere kan forbedre signal-støj-forholdet for dataene og bruger et Savitzky-Golay-filter med 12 løbende datapunkter og det specificerede polynomium.
Smoothing Polynomial,Udjævnende polynomium
Baseline Correction,Grundlinjekorrektion
Baseline Correction Help,Hjælp til basislinjekorrektion
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","Denne baseline-korrektionsrutine har to muligheder for baseline-korrektion, 1) polynomiet imodpolyfit-proceduren til iterativt at finde spektrets basislinje ved hjælp af en polynomiel tilpasning til hele området af spektrene. 2) manuelle linjer kan tegnes ved hjælp af linjeværktøjet på plottet, og den korrekte knap vil bruge linjerne til at trække basislinjen fra."
Baseline Correction Polynomial,Basislinjekorrektionspolynomium
Technique,Teknik
Polynomial,Polynomium
Manual,brugervejledning
Correct With Trace,Ret med Trace
Reset,Nulstil
Range Selection,Områdevalg
Spectral Range Help,Spectral Range Hjælp
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,"Begrænsning af spektralområdet kan fjerne områder af spektret, hvor der ikke eksisterer toppe, og forbedre matchningen"
Maximum Spectral Range,Maksimalt spektralområde
Minimum Spectral Range,Minimum spektralområde
Identify Spectrum,Identificer spektrum
Identify Spectrum Using the Reference Library,Identificer spektrum ved hjælp af referencebiblioteket
Raman,Raman
FTIR,FTIR
Spectra,Spektra
Type,Type
Spectrum Type Help,Spectrum Type Hjælp
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,"Dette valg afgør, om FTIR- eller Raman-matchningsbiblioteket bruges. Vælg den spektrumtype, der blev uploadet."
Analysis,Analyse
Processed,Bearbejdet
Uploaded,Uploadet
Spectrum to Analyze Help,Spectrum til at analysere Hjælp
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,"Dette valg afgør, om det uploadede (ikke behandlede) spektrum eller det spektrum, der behandles ved hjælp af behandlingsfanen, bruges i spektrummatchet."
Region,Område
Full,Fuld
Peaks,Toppe
Region to Match Help,Region to Match Hjælp
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,"Dette valg afgør, om det bibliotek, du matcher til, består af det fulde spektrum eller kun spektrumtoppe."
Partner With Us,Partner med os
Help us reach our goal of revolutionizing spectroscopy.,Hjælp os med at nå vores mål om at revolutionere spektroskopi.
Donate Cash,Doner kontanter
Buy From Swag Store,Køb fra Swag Store
Contribute time,Bidrag med tid
Revolutionizing,Revolutionerende
Thriving,Trives
Maintaining,Vedligeholdelse
Supporting,Støtte
Saving,Gemmer
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,"Et betalt team, der skubber Open Specy tættere på det ultimative mål om 100 % nøjagtig spektral identifikation og dyb spektral diagnostik med et enkelt klik"
A single paid staff person working to update and build the community and the tool,"En enkelt betalt medarbejder, der arbejder på at opdatere og opbygge fællesskabet og værktøjet"
Maintenance costs and minor ad-hoc updates and bug fixes,Vedligeholdelsesomkostninger og mindre ad-hoc opdateringer og fejlrettelser
Keeping the app online and essential maintenance,Holder appen online og vigtig vedligeholdelse
Long term storage only,Kun langtidsopbevaring
Sharing Metadata,Deling af metadata
Thank you for sharing your data!,Tak fordi du deler dine data!
Your data will soon be available at https://osf.io/stmv4/,Dine data vil snart være tilgængelige på https://osf.io/stmv4/
Something went wrong :-(,Noget gik galt :-(
Data type not supported!,Datatype understøttes ikke!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","Uploadet datatype understøttes ikke i øjeblikket. Vær venlig
                      tjek værktøjstip og fanen ""Om"" for detaljer."
Sharing Spectrum to Community Library,Deling af spektrum til fællesskabsbibliotek
Reading Spectrum,Læsespektrum
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","Hvis du har uploadet en tekst-/csv-fil, skal du sørge for, at
           kolonner er numeriske og hedder 'bølgenummer' og
           'intensitet'."
absorbance intensity [-],absorbansintensitet [-]
wavenumber [cm<sup>-1</sup>],bølgetal [cm<sup>-1</sup>]
Analyzing Spectrum,Analyse af spektrum
Finding Match,Find match
Making Plot,At lave plot
Material,Materiale
Pearson's r,Pearsons r
Organization,Organisation
Selectable Matches,Valgbare kampe
Donations,Donationer
Operation Costs,Driftsomkostninger
Selection Metadata,Valg Metadata
