en,no
Download Help,Last ned hjelp
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,Noen brukere ønsker kanskje å lagre en kopi av det behandlede spekteret. Denne knappen laster ned det behandlede spekteret som en csv-fil.
Smoothing,Utjevning
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,Denne jevneren kan forbedre signal/støyforholdet til dataene og bruker et Savitzky-Golay-filter med 12 løpende datapunkter og det spesifiserte polynomet.
Smoothing Polynomial,Utjevnende polynom
Baseline Correction,Grunnlinjekorreksjon
Baseline Correction Help,Hjelp for grunnlinjekorrigering
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","Denne grunnlinjekorreksjonsrutinen har to alternativer for grunnlinjekorreksjon, 1) polynomisk imodpolyfit-prosedyren for å itterativt finne grunnlinjen til spekteret ved å bruke en polynomtilpasning til hele området av spektrene. 2) manuelle linjer kan tegnes ved hjelp av linjeverktøyet på plottet, og den riktige knappen vil bruke linjene til å trekke fra grunnlinjen."
Baseline Correction Polynomial,Grunnlinjekorreksjonspolynom
Technique,Teknikk
Polynomial,Polynom
Manual,Håndbok
Correct With Trace,Korriger med Trace
Reset,Nullstille
Range Selection,Områdevalg
Spectral Range Help,Spektralområdehjelp
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,Begrensning av spektralområdet kan fjerne områder av spekteret der ingen topper eksisterer og forbedre matching
Maximum Spectral Range,Maksimalt spektralområde
Minimum Spectral Range,Minimum spektralområde
Identify Spectrum,Identifiser spektrum
Identify Spectrum Using the Reference Library,Identifiser spektrum ved hjelp av referansebiblioteket
Raman,Raman
FTIR,FTIR
Spectra,Spektra
Type,Type
Spectrum Type Help,Spektrum Type Hjelp
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,Dette valget vil avgjøre om FTIR- eller Raman-samsvarsbiblioteket brukes. Velg spektrumtypen som ble lastet opp.
Analysis,Analyse
Processed,Bearbeidet
Uploaded,Lastet opp
Spectrum to Analyze Help,Spektrum for å analysere Hjelp
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,Dette valget vil avgjøre om det opplastede (ikke-behandlede) spekteret eller spekteret som behandles ved hjelp av prosesseringsfanen brukes i spekteret.
Region,Region
Full,Full
Peaks,Topper
Region to Match Help,Region to Match Hjelp
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,Dette valget vil avgjøre om biblioteket du samsvarer med består av hele spekteret eller bare spektertopper.
Partner With Us,Partner med oss
Help us reach our goal of revolutionizing spectroscopy.,Hjelp oss å nå målet vårt om å revolusjonere spektroskopi.
Donate Cash,Doner kontanter
Buy From Swag Store,Kjøp fra Swag Store
Contribute time,Bidra med tid
Revolutionizing,Revolusjonerende
Thriving,Trives
Maintaining,Vedlikeholde
Supporting,Støtte
Saving,Lagrer
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,Et betalt team som presser Open Specy nærmere det endelige målet om 100 % nøyaktig spektral identifikasjon og dyp spektral diagnostikk med ett enkelt klikk
A single paid staff person working to update and build the community and the tool,En enkelt betalt medarbeider som jobber med å oppdatere og bygge fellesskapet og verktøyet
Maintenance costs and minor ad-hoc updates and bug fixes,Vedlikeholdskostnader og mindre ad-hoc oppdateringer og feilrettinger
Keeping the app online and essential maintenance,Holde appen online og nødvendig vedlikehold
Long term storage only,Kun langtidslagring
Sharing Metadata,Deling av metadata
Thank you for sharing your data!,Takk for at du deler dataene dine!
Your data will soon be available at https://osf.io/stmv4/,Dataene dine vil snart være tilgjengelige på https://osf.io/stmv4/
Something went wrong :-(,Noe gikk galt :-(
Data type not supported!,Datatypen støttes ikke!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","Opplastet datatype støttes for øyeblikket ikke. vær så snill
                      sjekk verktøytips og ""Om""-fanen for detaljer."
Sharing Spectrum to Community Library,Deling av spektrum til fellesskapsbibliotek
Reading Spectrum,Lesespektrum
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","Hvis du lastet opp en tekst-/csv-fil, sørg for at
           kolonner er numeriske og heter 'bølgenummer' og
           'intensitet'."
absorbance intensity [-],absorbansintensitet [-]
wavenumber [cm<sup>-1</sup>],bølgetall [cm<sup>-1</sup>]
Analyzing Spectrum,Analyserer spektrum
Finding Match,Finne match
Making Plot,Å lage plot
Material,Materiale
Pearson's r,Pearsons r
Organization,Organisasjon
Selectable Matches,Valgbare kamper
Donations,Donasjoner
Operation Costs,Driftskostnader
Selection Metadata,Utvalg Metadata
