en,haw
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","Inā ʻaʻole i loko o nā ʻāpana absorbance ka spectrum i hoʻouka ʻia,
           e hoʻohana i kēia hoʻokomo e kuhikuhi i nā ʻāpana e hoʻololi mai. Hiki iā Open Specy
           hoʻololi i ka reflectance a i ʻole transmittance spectra i nā ʻāpana Absorbance me ka hoʻohana ʻana
           kēia hāʻule i lalo i ka pā faila hoʻoili. ʻO nā papa mua a pau
           manaʻo ʻoe aia ka ʻikepili i nā ʻāpana absorbance no laila pono ʻoe e hana i ka
           hoʻoponopono ma mua o ka hoʻomau inā pono. ʻO ka hoʻoponopono transmittance
           hoʻohana i ka helu log10(1/T) i pololei ʻole no ka ʻōnaehana
           a me nā ʻano ʻāpana. Hoʻohana ka hoʻoponopono reflectance i ka
           Ka hoohalike Kubelka-Munk (1-R)2/(2*R). Manaʻo mākou ʻo ka reflectance
           Hoʻopili ʻia ma ke ʻano he pākēneka mai 1-100 a hoʻoponopono mua i ka ikaika ma ka puʻunaue ʻana me 100
           i kūpono i ke ʻano i manaʻo ʻia e ka hoohalike.
           Inā ʻaʻohe mea i koho ʻia, manaʻo ʻo Open Specy ʻo ka ʻikepili i hoʻoili ʻia
           he spectrum absorbance."
Sample File,Waihona Laʻana
Sample Data Help,Kōkua ʻikepili Laʻana
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,He laʻana spectrum kēia i hiki ke hoʻouka ʻia i ka mea paahana no ka hoʻāʻo ʻana a me ka hoʻomaopopo ʻana i ke ʻano o nā faila csv.
Metadata Input,Hoʻokomo ʻikepili metadata
Metadata Help,Kokua metadata
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","Kaʻana like mākou i nā spectra a me nā metadata i hoʻouka ʻia me ke kaiāulu spectroscopy inā ʻoe e hoʻopiha i ka metadata ma aneʻi a koho i kaʻana.
           E ʻike ʻia ka spectra a me ka metadata i hoʻouka ʻia ma aneʻi: https://osf.io/rjg3c"
Share Metadata,Kaʻana i ka ʻikepili Metadata
Upload some data to get started...,Hoʻouka i kekahi ʻikepili e hoʻomaka ai...
Preprocess Spectrum,Preprocess Spectrum
"Smooth, Baseline Correct, and Download Processed Spectra","Smooth, Baseline Pololei, a hoʻoiho i ka Spectra i hana ʻia"
Download (recommended),Hoʻoiho (koi ʻia)
Download Help,Hoʻoiho i ke kōkua
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,Makemake paha kekahi mau mea hoʻohana e mālama i kope o kā lākou spectrum i hana ʻia. Hoʻoiho kēia pihi i ka spectrum i hana ʻia ma ke ʻano he faila csv.
Smoothing,Hoʻomaʻamaʻa
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,Hiki i kēia mea maʻalahi ke hoʻonui i ka hōʻailona noise ratio o ka ʻikepili a hoʻohana i kahi kānana Savitzky-Golay me 12 mau helu data holo a me ka polynomial i kuhikuhi ʻia.
Smoothing Polynomial,Polinomial Smoothing
Baseline Correction,Hoʻoponopono Kumu
Baseline Correction Help,Kōkua Hoʻoponopono Baseline
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","ʻElua mau koho no ka hoʻoponopono ʻana i ka papa kuhikuhi kumu, 1) ke kaʻina hana polynomial imodpolyfit e ʻike maʻalahi i ke kumu o ka spectrum me ka hoʻohana ʻana i ka polynomial kūpono i ka ʻāpana holoʻokoʻa o ka spectra. 2) hiki ke kaha kiʻi ʻia nā laina lima me ka hoʻohana ʻana i ka mea hana laina ma ka ʻāpana a e hoʻohana ke pihi pololei i nā laina e unuhi i ka palena."
Baseline Correction Polynomial,Polynomial hoʻoponopono kumu
Technique,ʻenehana
Polynomial,Polinomial
Manual,Manual
Correct With Trace,Pololei Me ka Trace
Reset,Hoʻoponopono hou
Range Selection,Koho Lahi
Spectral Range Help,Kokua Lae Spectral
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,Hiki i ke kaohi ʻana i ka laulā kikoʻī ke hoʻoneʻe i nā wahi o ka spectrum kahi i loaʻa ʻole ai nā piko a hoʻomaikaʻi i ka hoʻohālikelike ʻana
Maximum Spectral Range,Kiʻekiʻe Spectral Range
Minimum Spectral Range,Palena Spectral liʻiliʻi
Identify Spectrum,E ʻike i ka Spectrum
Identify Spectrum Using the Reference Library,E ʻike i ka Spectrum me ka hoʻohana ʻana i ka waihona Reference
Raman,Ramana
FTIR,FTIR
Spectra,Spectra
Type,ʻAno
Spectrum Type Help,Kōkua ʻAno Spectrum
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,Na kēia koho e hoʻoholo inā hoʻohana ʻia ka waihona pili FTIR a i ʻole Raman. E koho i ke ʻano spectrum i hoʻoili ʻia.
Analysis,Kānāwai
Processed,Hana ʻia
Uploaded,Hoʻouka ʻia
Spectrum to Analyze Help,E nānā i ke kōkua
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,Na kēia koho e hoʻoholo inā hoʻohana ʻia ka spectrum i hoʻoili ʻia (ʻaʻole i hoʻoponopono ʻia) a i ʻole ka spectrum i hoʻohana ʻia me ka pā hana i hoʻohana ʻia i ka pāʻani kikoʻī.
Region,Māhele
Full,Piha
Peaks,Nā piko
Region to Match Help,ʻĀpana e hoʻohālikelike i ke kōkua
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,Na kēia koho e hoʻoholo inā ʻo ka waihona āu e hoʻohālikelike nei me nā kiko kiko piha a i ʻole nā piko kikoʻī wale nō.
Partner With Us,Hoahui me makou
Help us reach our goal of revolutionizing spectroscopy.,E kōkua iā mākou e hoʻokō i kā mākou pahuhopu e hoʻololi i ka spectroscopy.
Donate Cash,Hāʻawi kālā
Buy From Swag Store,Kūʻai mai ka hale kūʻai ʻo Swag
Contribute time,Hāʻawi manawa
Revolutionizing,Hoʻololi
Thriving,E ulu ana
Maintaining,Ka mālama ʻana
Supporting,Kākoʻo
Saving,Mālama
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,ʻO kahi hui uku e koi ana iā Open Specy kokoke i ka pahuhopu hope loa o 100% pololei spectral identification a hohonu spectral diagnostics me hoʻokahi kaomi.
A single paid staff person working to update and build the community and the tool,ʻO kahi limahana uku hoʻokahi e hana ana e hoʻonui a kūkulu i ke kaiāulu a me ka mea hana
Maintenance costs and minor ad-hoc updates and bug fixes,ʻO nā kumukūʻai mālama a me nā mea hou ad-hoc liʻiliʻi a me nā hoʻoponopono bug
Keeping the app online and essential maintenance,E mālama i ka polokalamu ma ka pūnaewele a me ka mālama pono
Long term storage only,ʻO kahi mālama lōʻihi wale nō
Sharing Metadata,Kaʻana ʻana i ka ʻikepili Metadata
Thank you for sharing your data!,Mahalo iā ʻoe no ka hāʻawi ʻana i kāu ʻikepili!
Your data will soon be available at https://osf.io/stmv4/,E loaʻa koke kāu ʻikepili ma https://osf.io/stmv4/
Something went wrong :-(,Ua hewa kekahi mea :-(
Data type not supported!,ʻAʻole kākoʻo ʻia ke ʻano ʻikepili!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","ʻAʻole kākoʻo ʻia ke ʻano ʻikepili i hoʻouka ʻia i kēia manawa; e 'oluʻolu
                      e nānā i nā mea hana a me ka 'About' tab no nā kikoʻī."
Sharing Spectrum to Community Library,Kaʻana like Spectrum i ka Hale Waihona Puke Kaiaulu
Reading Spectrum,Heluhelu Spectrum
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","Inā hoʻouka ʻoe i kahi faila kikokikona/csv, e hōʻoia i ka
           He helu nā kolamu a ua kapa ʻia ʻo 'wavennumber' a
           'ikaika'."
absorbance intensity [-],ka ikaika o ka absorbance [-]
wavenumber [cm<sup>-1</sup>],helu nalu [cm<sup>-1</sup>]
Analyzing Spectrum,Ke kālailai Spectrum
Finding Match,ʻImi Pilikino
Making Plot,Hana ʻana i ka pā
Material,Mea waiwai
Pearson's r,ʻO kā Pearson r
Organization,Huihui
Selectable Matches,Hiki ke koho
Donations,Hāʻawi
Operation Costs,Na koina hana
Selection Metadata,Koho Metadata
