en,he
FTIR Reference Library,ספריית עזר של FTIR
Raman Reference Library Metadata,מטא-נתונים של ספריית רמאן
FTIR Reference Library Metadata,מטא נתונים של ספריית עזר של FTIR
Contribute Spectra,תרום ספקטרה
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","כדי לשתף ספקטרים העלה קובץ ללשונית העלאת קובץ. אם בחרת שתף עותק של הספקטרום שלך יישלח לקהילה
           מחסן נתונים על מסגרת מדע פתוחה. כדי להוסיף מטא נתונים נוספים,
           מלא את שדות המטא-נתונים הזמינים ולחץ על -שתף נתונים-. ה
           קובץ spectra שהעלית יחד עם התגובות שלך יועתקו
           לתיקיית המשנה -With Metadata- בקישור למטה. כל הנתונים המשותפים נשמרים
           רישיון ייחוס של Creative Commons 4.0."
Community Data Warehouse,מחסן נתונים קהילתי
Tool Validation,אימות כלי
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","כל הפרמטרים בכלי זה נבדקים כדי לאמת זאת
           הכלי פועל הכי טוב שאפשר וקבע את ברירת המחדל הטובה ביותר
           פרמטרים לשימוש. הליך האימות הנוכחי שלנו כולל תיקון
           ערכים משוכפלים בספריות ההתייחסות, בודקים ספקטרים
           מטא נתונים שאינם בספריית הספקטרלים, והבטחת ברירת המחדל
           פרמטרים מספקים דיוק של מעל 80% בהתאמה הראשונה."
Detailed Validation Procedure,הליך אימות מפורט
"Updates, Feature Requests, and Bug Reports","עדכונים, בקשות תכונות ודיווחי באגים"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,אנו עוקבים אחר כל העדכונים באמצעות בקרת גרסאות בקוד שלנו. ניתן לבקש תכונות ולדווח על באג ב-GitHub.
Stay up to date!,הישאר מעודכן!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,עקבו אחרינו בטוויטר @OpenSpecy. דואר אלקטרוני wincowger@gmail.com להתווסף לרשימת התפוצה.
Citation,צִיטָטָה
Useful Links,קישורים שימושיים
Free FTIR Software: siMPle microplastic IR spectral identification software,תוכנת FTIR בחינם: תוכנת זיהוי ספקטרלית מיקרופלסטית פשוטה
Free Spectroscopy Learning Academy from ThermoFisher,האקדמיה ללימוד ספקטרוסקופיה בחינם מבית ThermoFisher
Free Optical Microscopy Learning Resource from Florida State University,משאב למידה חינם במיקרוסקופיה אופטית מאוניברסיטת פלורידה סטייט
Free desktop application for spectral analysis and links to reference databases.,יישום שולחן עבודה חינם לניתוח ספקטרלי וקישורים למאגרי מידע.
Terms And Conditions,תנאים
Privacy Policy,מדיניות פרטיות
Upload File,העלה קובץ
"Upload, View, and Share Spectra","העלה, הצג ושתף ספקטרה"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File","בחר .csv (מועדף), .asp, .jdx, .spc, .spa או .0 File"
Share Your Data?,לשתף את הנתונים שלך?
Share Help,שתף עזרה
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","אם תרצה, אנו חולקים את הספקטרים וההגדרות שהעלית עם קהילת הספקטרוסקופיה.
           כברירת מחדל, כל הנתונים יהיו ברישיון תחת Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           ספקטרום שהועלה יופיע כאן: https://osf.io/rjg3c"
Upload Help,העלה עזרה
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","העלה קבצי ספקטרום Raman או FTIR כ-csv, jdx, spc או ספא. עדיף קובץ csv. אם CSV, הקובץ חייב להכיל עמודה אחת שכותרתה 'wavenumber' ביחידות של (1/cm) ועמודה נוספת שכותרתה 'עוצמה' ביחידות ספיגה.
            אם jdx, spc, spa או 0 הקובץ צריך להיות ספקטרום ספיגה יחיד עם מספר גל ב-(1/ס""מ). קבצים אלה לא תמיד יעבדו בצורה מושלמת כי הם מסובכים לקריאה אז בדוק אותם שוב בתוכנה אחרת.
            לחץ על כפתור 'נתוני בדיקה' כדי להוריד ספקטרום ראמאן לדוגמה."
Intensity Adjustment,התאמת עוצמה
None,אף אחד
Transmittance,שידור
Reflectance,השתקפות
Intensity Correction Help,עזרה לתיקון עוצמה
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","אם הספקטרום שהועלה אינו ביחידות ספיגה,
           השתמש בקלט זה כדי לציין את היחידות להמרה. Open Specy יכול
           התאם את ספקטרום השתקפות או העברה ליחידות ספיגה באמצעות
           תפריט נפתח זה בלשונית העלאת קובץ. כל הכרטיסיות הקודמות
           נניח שהנתונים הם ביחידות ספיגה ולכן עליך לבצע את
           תיקון לפני המשך במידת הצורך. התאמת השידור
           משתמש בחישוב log10(1/T) שאינו מתאים למערכת
           ומאפיינים של חלקיקים. התאמת ההחזר משתמש ב-
           משוואת קובלקה-מונק (1-R)2/(2*R). אנו מניחים כי ההשתקפות
           מעוצב כאחוז מ-1-100 ותקן תחילה את העוצמה על ידי חלוקה ב-100
           כך שיתאים לצורה המצופה מהמשוואה.
           אם אף אחד לא נבחר, Open Specy מניח שהנתונים שהועלו כן
           ספקטרום ספיגה."
Sample File,קובץ לדוגמה
Sample Data Help,עזרה בנתונים לדוגמה
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,זהו ספקטרום לדוגמה שניתן להעלות לכלי לצורך בדיקתו והבנה כיצד יש לעצב את קבצי ה-csv.
Metadata Input,קלט מטא נתונים
Metadata Help,עזרה במטא נתונים
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","אנו חולקים כל ספקטרה ומטא נתונים שהועלו עם קהילת הספקטרוסקופיה אם תמלא את המטא נתונים כאן ובחר שתף.
           ספקטרום ומטא נתונים שהועלו יופיעו כאן: https://osf.io/rjg3c"
Share Metadata,שתף מטא נתונים
Upload some data to get started...,העלה כמה נתונים כדי להתחיל...
Preprocess Spectrum,ספקטרום קדם-עיבוד
"Smooth, Baseline Correct, and Download Processed Spectra","חלק, תקן בסיס והורד ספקטרה מעובדת"
Download (recommended),הורדה (מומלץ)
Download Help,הורד עזרה
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,משתמשים מסוימים עשויים לרצות לשמור עותק של הספקטרום המעובד שלהם. כפתור זה מוריד את הספקטרום המעובד כקובץ csv.
Smoothing,הַחלָקָה
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,החלקה הזו יכולה לשפר את יחס האות לרעש של הנתונים ומשתמשת במסנן Savitzky-Golay עם 12 נקודות נתונים רצות והפולינום שצוין.
Smoothing Polynomial,פולינום מחליק
Baseline Correction,תיקון קו בסיס
Baseline Correction Help,עזרה לתיקון בסיס
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","לשגרת תיקון קו הבסיס יש שתי אפשרויות לתיקון קו הבסיס, 1) הליך imodpolyfit הפולינומי כדי למצוא באופן איטרטיבי את קו הבסיס של הספקטרום באמצעות התאמה פולינומית לכל האזור של הספקטרום. 2) ניתן לצייר קווים ידניים באמצעות כלי הקו על העלילה והכפתור הנכון ישתמש בקווים כדי להחסיר את קו הבסיס."
Baseline Correction Polynomial,פולינום תיקון בסיס
Technique,טֶכנִיקָה
Polynomial,פולינום
Manual,מדריך ל
Correct With Trace,תקן עם Trace
Reset,אִתחוּל
Range Selection,בחירת טווח
Spectral Range Help,עזרה לטווח ספקטרלי
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,הגבלת הטווח הספקטרלי יכולה להסיר אזורי ספקטרום שבהם אין שיאים ולשפר את ההתאמה
Maximum Spectral Range,טווח ספקטרלי מרבי
Minimum Spectral Range,טווח ספקטרלי מינימלי
Identify Spectrum,זיהוי ספקטרום
Identify Spectrum Using the Reference Library,זיהוי ספקטרום באמצעות ספריית העזר
Raman,ראמאן
FTIR,FTIR
Spectra,ספקטרה
Type,סוּג
Spectrum Type Help,עזרה מסוג ספקטרום
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,בחירה זו תקבע אם נעשה שימוש בספריית התאמת FTIR או Raman. בחר את סוג הספקטרום שהועלה.
Analysis,אָנָלִיזָה
Processed,מעובד
Uploaded,הועלה
Spectrum to Analyze Help,ספקטרום לניתוח עזרה
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,בחירה זו תקבע אם הספקטרום שהועלה (לא מעובד) או הספקטרום המעובד באמצעות לשונית העיבוד משמש בהתאמת הספקטרום.
Region,אזור
Full,מלא
Peaks,פסגות
Region to Match Help,אזור להתאים עזרה
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,בחירה זו תקבע אם הספרייה שאליה אתה מתאים מורכבת מהספקטרום המלא או רק מפסגות הספקטרום.
Partner With Us,שותפו איתנו
Help us reach our goal of revolutionizing spectroscopy.,עזרו לנו להגיע ליעד שלנו לחולל מהפכה בספקטרוסקופיה.
Donate Cash,תרום מזומן
Buy From Swag Store,קנה מחנות Swag
Contribute time,תרום זמן
Revolutionizing,עושה מהפכה
Thriving,משגשג
Maintaining,שמירה
Supporting,תומך
Saving,חִסָכוֹן
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,צוות בתשלום שדוחף את Open Specy קרוב יותר ליעד הסופי של זיהוי ספקטרלי מדויק של 100% ואבחון ספקטרלי עמוק בלחיצה אחת
A single paid staff person working to update and build the community and the tool,איש צוות בודד בשכר הפועל לעדכון ובניית הקהילה והכלי
Maintenance costs and minor ad-hoc updates and bug fixes,עלויות תחזוקה ועדכונים אד-הוק קלים ותיקוני באגים
Keeping the app online and essential maintenance,שמירה על האפליקציה מקוונת ותחזוקה חיונית
Long term storage only,אחסון לטווח ארוך בלבד
Sharing Metadata,שיתוף מטא נתונים
Thank you for sharing your data!,תודה על שיתוף הנתונים שלך!
Your data will soon be available at https://osf.io/stmv4/,הנתונים שלך יהיו זמינים בקרוב בכתובת https://osf.io/stmv4/
Something went wrong :-(,משהו השתבש :-(
Data type not supported!,סוג הנתונים אינו נתמך!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","סוג הנתונים שהועלה אינו נתמך כעת; אנא
                      בדוק את עצות הכלים ואת הכרטיסייה 'אודות' לפרטים."
Sharing Spectrum to Community Library,שיתוף ספקטרום לספריית הקהילה
Reading Spectrum,ספקטרום קריאה
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","אם העלית קובץ טקסט/csv, ודא שה-
           העמודות הן מספריות ונקראות 'wavenumber' ו
           'עָצמָה'."
absorbance intensity [-],עוצמת ספיגה [-]
wavenumber [cm<sup>-1</sup>],wavenumber [cm<sup>-1</sup>]
Analyzing Spectrum,ניתוח ספקטרום
Finding Match,מציאת התאמה
Making Plot,יצירת עלילה
Material,חוֹמֶר
Pearson's r,ה-r של פירסון
Organization,אִרגוּן
Selectable Matches,התאמות לבחירה
Donations,תרומות
Operation Costs,עלויות תפעול
Selection Metadata,מטא נתונים של בחירה
