en,kn
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","ಅದನ್ನು ಮೌಲ್ಯೀಕರಿಸಲು ಈ ಉಪಕರಣದಲ್ಲಿನ ಎಲ್ಲಾ ನಿಯತಾಂಕಗಳನ್ನು ಪರೀಕ್ಷಿಸಲಾಗುತ್ತದೆ
           ಉಪಕರಣವು ಸಾಧ್ಯವಾದಷ್ಟು ಉತ್ತಮವಾಗಿ ಕಾರ್ಯನಿರ್ವಹಿಸುತ್ತಿದೆ ಮತ್ತು ಉತ್ತಮ ಡೀಫಾಲ್ಟ್ ಅನ್ನು ನಿರ್ಧರಿಸುತ್ತದೆ
           ಬಳಸಲು ನಿಯತಾಂಕಗಳು. ನಮ್ಮ ಪ್ರಸ್ತುತ ಮೌಲ್ಯೀಕರಣ ಪ್ರಕ್ರಿಯೆಯು ಸರಿಪಡಿಸುವಿಕೆಯನ್ನು ಒಳಗೊಂಡಿರುತ್ತದೆ
           ರೆಫರೆನ್ಸ್ ಲೈಬ್ರರಿಗಳಲ್ಲಿ ನಕಲಿ ನಮೂದುಗಳು, ಸ್ಪೆಕ್ಟ್ರಾ ಇನ್ ಅನ್ನು ಪರಿಶೀಲಿಸಲಾಗುತ್ತಿದೆ
           ಸ್ಪೆಕ್ಟ್ರಲ್ ಲೈಬ್ರರಿಯಲ್ಲಿಲ್ಲದ ಮೆಟಾಡೇಟಾ ಮತ್ತು ಡೀಫಾಲ್ಟ್ ಅನ್ನು ಖಚಿತಪಡಿಸುತ್ತದೆ
           ನಿಯತಾಂಕಗಳು ಮೊದಲ ಪಂದ್ಯದಲ್ಲಿ 80% ಕ್ಕಿಂತ ಹೆಚ್ಚು ನಿಖರತೆಯನ್ನು ಒದಗಿಸುತ್ತವೆ."
Detailed Validation Procedure,ವಿವರವಾದ ಮೌಲ್ಯೀಕರಣ ವಿಧಾನ
"Updates, Feature Requests, and Bug Reports","ನವೀಕರಣಗಳು, ವೈಶಿಷ್ಟ್ಯ ವಿನಂತಿಗಳು ಮತ್ತು ದೋಷ ವರದಿಗಳು"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,ನಮ್ಮ ಕೋಡ್‌ನಲ್ಲಿ ಆವೃತ್ತಿ ನಿಯಂತ್ರಣವನ್ನು ಬಳಸಿಕೊಂಡು ನಾವು ಎಲ್ಲಾ ನವೀಕರಣಗಳನ್ನು ಟ್ರ್ಯಾಕ್ ಮಾಡುತ್ತೇವೆ. GitHub ನಲ್ಲಿ ವೈಶಿಷ್ಟ್ಯಗಳನ್ನು ವಿನಂತಿಸಬಹುದು ಮತ್ತು ದೋಷವನ್ನು ವರದಿ ಮಾಡಬಹುದು.
Stay up to date!,ನವೀಕೃತವಾಗಿರಿ!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,Twitter @OpenSpecy ನಲ್ಲಿ ನಮ್ಮನ್ನು ಅನುಸರಿಸಿ. ಮೇಲಿಂಗ್ ಪಟ್ಟಿಗೆ ಸೇರಿಸಲು wincowger@gmail.com ಗೆ ಇಮೇಲ್ ಮಾಡಿ.
Citation,ಉಲ್ಲೇಖ
Useful Links,ಉಪಯುಕ್ತ ಕೊಂಡಿಗಳು
Free FTIR Software: siMPle microplastic IR spectral identification software,ಉಚಿತ FTIR ಸಾಫ್ಟ್‌ವೇರ್: ಸರಳ ಮೈಕ್ರೋಪ್ಲಾಸ್ಟಿಕ್ ಐಆರ್ ಸ್ಪೆಕ್ಟ್ರಲ್ ಐಡೆಂಟಿಫಿಕೇಶನ್ ಸಾಫ್ಟ್‌ವೇರ್
Free Spectroscopy Learning Academy from ThermoFisher,ಥರ್ಮೋಫಿಶರ್‌ನಿಂದ ಉಚಿತ ಸ್ಪೆಕ್ಟ್ರೋಸ್ಕೋಪಿ ಕಲಿಕೆ ಅಕಾಡೆಮಿ
Free Optical Microscopy Learning Resource from Florida State University,ಫ್ಲೋರಿಡಾ ಸ್ಟೇಟ್ ಯೂನಿವರ್ಸಿಟಿಯಿಂದ ಉಚಿತ ಆಪ್ಟಿಕಲ್ ಮೈಕ್ರೋಸ್ಕೋಪಿ ಕಲಿಕೆಯ ಸಂಪನ್ಮೂಲ
Free desktop application for spectral analysis and links to reference databases.,ಸ್ಪೆಕ್ಟ್ರಲ್ ವಿಶ್ಲೇಷಣೆಗಾಗಿ ಉಚಿತ ಡೆಸ್ಕ್‌ಟಾಪ್ ಅಪ್ಲಿಕೇಶನ್ ಮತ್ತು ಉಲ್ಲೇಖ ಡೇಟಾಬೇಸ್‌ಗಳಿಗೆ ಲಿಂಕ್‌ಗಳು.
Terms And Conditions,ನಿಯಮಗಳು ಮತ್ತು ಷರತ್ತುಗಳು
Privacy Policy,ಗೌಪ್ಯತಾ ನೀತಿ
Upload File,ಫೈಲ್ ಅನ್ನು ಅಪ್ಲೋಡ್ ಮಾಡಿ
"Upload, View, and Share Spectra","ಸ್ಪೆಕ್ಟ್ರಾವನ್ನು ಅಪ್‌ಲೋಡ್ ಮಾಡಿ, ವೀಕ್ಷಿಸಿ ಮತ್ತು ಹಂಚಿಕೊಳ್ಳಿ"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File",".csv (ಆದ್ಯತೆ), .asp, .jdx, .spc, .spa, ಅಥವಾ .0 ಫೈಲ್ ಅನ್ನು ಆಯ್ಕೆಮಾಡಿ"
Share Your Data?,ನಿಮ್ಮ ಡೇಟಾವನ್ನು ಹಂಚಿಕೊಳ್ಳುವುದೇ?
Share Help,ಸಹಾಯವನ್ನು ಹಂಚಿಕೊಳ್ಳಿ
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","ನೀವು ಬಯಸಿದರೆ, ನಿಮ್ಮ ಅಪ್‌ಲೋಡ್ ಮಾಡಿದ ಸ್ಪೆಕ್ಟ್ರಾ ಮತ್ತು ಸೆಟ್ಟಿಂಗ್‌ಗಳನ್ನು ನಾವು ಸ್ಪೆಕ್ಟ್ರೋಸ್ಕೋಪಿ ಸಮುದಾಯದೊಂದಿಗೆ ಹಂಚಿಕೊಳ್ಳುತ್ತೇವೆ.
           ಪೂರ್ವನಿಯೋಜಿತವಾಗಿ, ಎಲ್ಲಾ ಡೇಟಾವನ್ನು ಕ್ರಿಯೇಟಿವ್ ಕಾಮನ್ಸ್ ಅಟ್ರಿಬ್ಯೂಷನ್-ವಾಣಿಜ್ಯೇತರ 4.0 ಇಂಟರ್ನ್ಯಾಷನಲ್ (CC BY-NC 4.0) ಅಡಿಯಲ್ಲಿ ಪರವಾನಗಿ ನೀಡಲಾಗುತ್ತದೆ.
           ಅಪ್‌ಲೋಡ್ ಮಾಡಲಾದ ಸ್ಪೆಕ್ಟ್ರಾ ಇಲ್ಲಿ ಗೋಚರಿಸುತ್ತದೆ: https://osf.io/rjg3c"
Upload Help,ಅಪ್ಲೋಡ್ ಸಹಾಯ
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","ರಾಮನ್ ಅಥವಾ FTIR ಸ್ಪೆಕ್ಟ್ರಮ್ ಫೈಲ್‌ಗಳನ್ನು csv, jdx, spc, ಅಥವಾ spa ಆಗಿ ಅಪ್‌ಲೋಡ್ ಮಾಡಿ. csv ಫೈಲ್ ಅನ್ನು ಆದ್ಯತೆ ನೀಡಲಾಗಿದೆ. ಒಂದು csv ಆಗಿದ್ದರೆ, ಫೈಲ್ (1/cm) ಯುನಿಟ್‌ಗಳಲ್ಲಿ 'ವೇವೆನಂಬರ್' ಎಂದು ಲೇಬಲ್ ಮಾಡಲಾದ ಒಂದು ಕಾಲಮ್ ಅನ್ನು ಹೊಂದಿರಬೇಕು ಮತ್ತು ಹೀರಿಕೊಳ್ಳುವ ಘಟಕಗಳಲ್ಲಿ 'ತೀವ್ರತೆ' ಎಂದು ಲೇಬಲ್ ಮಾಡಲಾದ ಇನ್ನೊಂದು ಕಾಲಮ್ ಅನ್ನು ಹೊಂದಿರಬೇಕು.
            jdx, spc, spa, ಅಥವಾ 0 ಆಗಿದ್ದರೆ ಫೈಲ್ (1/cm) ತರಂಗಸಂಖ್ಯೆಯೊಂದಿಗೆ ಒಂದೇ ಹೀರಿಕೊಳ್ಳುವ ಸ್ಪೆಕ್ಟ್ರಮ್ ಆಗಿರಬೇಕು. ಈ ಫೈಲ್‌ಗಳು ಯಾವಾಗಲೂ ಸಂಪೂರ್ಣವಾಗಿ ಕಾರ್ಯನಿರ್ವಹಿಸುವುದಿಲ್ಲ ಏಕೆಂದರೆ ಅವುಗಳು ಓದಲು ಟ್ರಿಕಿ ಆಗಿರುತ್ತವೆ ಆದ್ದರಿಂದ ಅವುಗಳನ್ನು ಇನ್ನೊಂದು ಸಾಫ್ಟ್‌ವೇರ್‌ನಲ್ಲಿ ಎರಡು ಬಾರಿ ಪರಿಶೀಲಿಸಿ.
            ಮಾದರಿ ರಾಮನ್ ಸ್ಪೆಕ್ಟ್ರಮ್ ಅನ್ನು ಡೌನ್‌ಲೋಡ್ ಮಾಡಲು 'ಟೆಸ್ಟ್ ಡೇಟಾ' ಬಟನ್ ಒತ್ತಿರಿ."
Intensity Adjustment,ತೀವ್ರತೆಯ ಹೊಂದಾಣಿಕೆ
None,ಯಾವುದೂ
Transmittance,ಪ್ರಸರಣ
Reflectance,ಪ್ರತಿಫಲನ
Intensity Correction Help,ತೀವ್ರತೆಯ ತಿದ್ದುಪಡಿ ಸಹಾಯ
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","ಅಪ್‌ಲೋಡ್ ಮಾಡಿದ ಸ್ಪೆಕ್ಟ್ರಮ್ ಹೀರಿಕೊಳ್ಳುವ ಘಟಕಗಳಲ್ಲಿ ಇಲ್ಲದಿದ್ದರೆ,
           ನಿಂದ ಪರಿವರ್ತಿಸಲು ಘಟಕಗಳನ್ನು ನಿರ್ದಿಷ್ಟಪಡಿಸಲು ಈ ಇನ್‌ಪುಟ್ ಬಳಸಿ. ಓಪನ್ ಸ್ಪೆಸಿ ಕ್ಯಾನ್
           ಬಳಸಿ ಹೀರಿಕೊಳ್ಳುವ ಘಟಕಗಳಿಗೆ ಪ್ರತಿಫಲನ ಅಥವಾ ಪ್ರಸರಣ ಸ್ಪೆಕ್ಟ್ರಾವನ್ನು ಹೊಂದಿಸಿ
           ಅಪ್‌ಲೋಡ್ ಫೈಲ್ ಟ್ಯಾಬ್‌ನಲ್ಲಿ ಈ ಡ್ರಾಪ್ ಡೌನ್. ಹಿಂದಿನ ಎಲ್ಲಾ ಟ್ಯಾಬ್‌ಗಳು
           ಡೇಟಾ ಹೀರಿಕೊಳ್ಳುವ ಘಟಕಗಳಲ್ಲಿದೆ ಎಂದು ಊಹಿಸಿಕೊಳ್ಳಿ ಆದ್ದರಿಂದ ನೀವು ಅದನ್ನು ಮಾಡಬೇಕು
           ಅಗತ್ಯವಿದ್ದರೆ ಮುಂದುವರಿಯುವ ಮೊದಲು ತಿದ್ದುಪಡಿ. ಪ್ರಸರಣ ಹೊಂದಾಣಿಕೆ
           log10(1/T) ಲೆಕ್ಕಾಚಾರವನ್ನು ಬಳಸುತ್ತದೆ ಅದು ಸಿಸ್ಟಮ್‌ಗೆ ಸರಿಯಾಗಿಲ್ಲ
           ಮತ್ತು ಕಣದ ಗುಣಲಕ್ಷಣಗಳು. ಪ್ರತಿಫಲನ ಹೊಂದಾಣಿಕೆಯು ಬಳಸುತ್ತದೆ
           ಕುಬೆಲ್ಕಾ-ಮಂಕ್ ಸಮೀಕರಣ (1-R)2/(2*R). ಪ್ರತಿಫಲನ ಎಂದು ನಾವು ಭಾವಿಸುತ್ತೇವೆ
           1-100 ರಿಂದ ಶೇಕಡಾವಾರು ಫಾರ್ಮ್ಯಾಟ್ ಮಾಡಲಾಗಿದೆ ಮತ್ತು ಮೊದಲು 100 ರಿಂದ ಭಾಗಿಸುವ ಮೂಲಕ ತೀವ್ರತೆಯನ್ನು ಸರಿಪಡಿಸಿ
           ಆದ್ದರಿಂದ ಇದು ಸಮೀಕರಣದಿಂದ ನಿರೀಕ್ಷಿತ ರೂಪಕ್ಕೆ ಸರಿಹೊಂದುತ್ತದೆ.
           ಯಾವುದನ್ನೂ ಆಯ್ಕೆ ಮಾಡದಿದ್ದರೆ, ಅಪ್‌ಲೋಡ್ ಮಾಡಿದ ಡೇಟಾ ಎಂದು ಓಪನ್ ಸ್ಪೆಸಿ ಊಹಿಸುತ್ತದೆ
           ಹೀರಿಕೊಳ್ಳುವ ವರ್ಣಪಟಲ."
Sample File,ಮಾದರಿ ಫೈಲ್
Sample Data Help,ಮಾದರಿ ಡೇಟಾ ಸಹಾಯ
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,ಇದು ಮಾದರಿ ಸ್ಪೆಕ್ಟ್ರಮ್ ಆಗಿದ್ದು ಅದನ್ನು ಪರೀಕ್ಷಿಸಲು ಮತ್ತು csv ಫೈಲ್‌ಗಳನ್ನು ಹೇಗೆ ಫಾರ್ಮ್ಯಾಟ್ ಮಾಡಬೇಕು ಎಂಬುದನ್ನು ಅರ್ಥಮಾಡಿಕೊಳ್ಳಲು ಉಪಕರಣಕ್ಕೆ ಅಪ್‌ಲೋಡ್ ಮಾಡಬಹುದು.
Metadata Input,ಮೆಟಾಡೇಟಾ ಇನ್‌ಪುಟ್
Metadata Help,ಮೆಟಾಡೇಟಾ ಸಹಾಯ
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","ನೀವು ಇಲ್ಲಿ ಮೆಟಾಡೇಟಾವನ್ನು ಭರ್ತಿ ಮಾಡಿದರೆ ಮತ್ತು ಹಂಚಿಕೆಯನ್ನು ಆಯ್ಕೆಮಾಡಿದರೆ ನಾವು ಯಾವುದೇ ಅಪ್‌ಲೋಡ್ ಮಾಡಿದ ಸ್ಪೆಕ್ಟ್ರಾ ಮತ್ತು ಮೆಟಾಡೇಟಾವನ್ನು ಸ್ಪೆಕ್ಟ್ರೋಸ್ಕೋಪಿ ಸಮುದಾಯದೊಂದಿಗೆ ಹಂಚಿಕೊಳ್ಳುತ್ತೇವೆ.
           ಅಪ್‌ಲೋಡ್ ಮಾಡಲಾದ ಸ್ಪೆಕ್ಟ್ರಾ ಮತ್ತು ಮೆಟಾಡೇಟಾ ಇಲ್ಲಿ ಗೋಚರಿಸುತ್ತದೆ: https://osf.io/rjg3c"
Share Metadata,ಮೆಟಾಡೇಟಾವನ್ನು ಹಂಚಿಕೊಳ್ಳಿ
Upload some data to get started...,ಪ್ರಾರಂಭಿಸಲು ಕೆಲವು ಡೇಟಾವನ್ನು ಅಪ್‌ಲೋಡ್ ಮಾಡಿ...
Preprocess Spectrum,ಪೂರ್ವ ಪ್ರಕ್ರಿಯೆ ಸ್ಪೆಕ್ಟ್ರಮ್
"Smooth, Baseline Correct, and Download Processed Spectra","ಸ್ಮೂತ್, ಬೇಸ್ಲೈನ್ ಸರಿ, ಮತ್ತು ಸಂಸ್ಕರಿಸಿದ ಸ್ಪೆಕ್ಟ್ರಾವನ್ನು ಡೌನ್‌ಲೋಡ್ ಮಾಡಿ"
Download (recommended),ಡೌನ್‌ಲೋಡ್ ಮಾಡಿ (ಶಿಫಾರಸು ಮಾಡಲಾಗಿದೆ)
Download Help,ಸಹಾಯವನ್ನು ಡೌನ್‌ಲೋಡ್ ಮಾಡಿ
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,ಕೆಲವು ಬಳಕೆದಾರರು ತಮ್ಮ ಸಂಸ್ಕರಿಸಿದ ಸ್ಪೆಕ್ಟ್ರಮ್ ನ ನಕಲನ್ನು ಉಳಿಸಲು ಬಯಸಬಹುದು. ಈ ಬಟನ್ ಸಂಸ್ಕರಿಸಿದ ಸ್ಪೆಕ್ಟ್ರಮ್ ಅನ್ನು csv ಫೈಲ್ ಆಗಿ ಡೌನ್‌ಲೋಡ್ ಮಾಡುತ್ತದೆ.
Smoothing,ನಯಗೊಳಿಸುವಿಕೆ
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,ಈ ಮೃದುವಾದವು ಡೇಟಾದ ಶಬ್ದದ ಅನುಪಾತಕ್ಕೆ ಸಂಕೇತವನ್ನು ಹೆಚ್ಚಿಸುತ್ತದೆ ಮತ್ತು 12 ಚಾಲನೆಯಲ್ಲಿರುವ ಡೇಟಾ ಪಾಯಿಂಟ್‌ಗಳು ಮತ್ತು ನಿರ್ದಿಷ್ಟಪಡಿಸಿದ ಬಹುಪದೋಕ್ತಿಯೊಂದಿಗೆ Savitzky-Golay ಫಿಲ್ಟರ್ ಅನ್ನು ಬಳಸುತ್ತದೆ.
Smoothing Polynomial,ಸ್ಮೂಥಿಂಗ್ ಬಹುಪದೋಕ್ತಿ
Baseline Correction,ಬೇಸ್ಲೈನ್ ತಿದ್ದುಪಡಿ
Baseline Correction Help,ಬೇಸ್ಲೈನ್ ತಿದ್ದುಪಡಿ ಸಹಾಯ
