en,mn
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","Raman эсвэл FTIR спектрийн файлуудыг csv, jdx, spc, эсвэл spa хэлбэрээр байршуулна уу. csv файлыг илүүд үздэг. Хэрэв csv бол файл нь (1/см) нэгжээр ""долгионы тоо"" гэсэн шошготой нэг багана, шингээлтийн нэгжээр ""эрчим"" гэсэн өөр багана агуулсан байх ёстой.
            Хэрэв jdx, spc, spa, эсвэл 0 бол файл нь долгионы тоо (1/см) бүхий нэг шингээлтийн спектр байх ёстой. Эдгээр файлууд нь уншихад төвөгтэй тул үргэлж төгс ажиллахгүй тул өөр программ хангамжаас дахин шалгаарай.
            ""Туршилтын өгөгдөл"" товчийг дарж Раманы спектрийн дээжийг татаж авна уу."
Intensity Adjustment,Эрчим хүчний тохируулга
None,Байхгүй
Transmittance,Дамжуулах чадвар
Reflectance,Тусгал
Intensity Correction Help,Эрчим хүчийг засах тусламж
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","Хэрэв байршуулсан спектр нь шингээлтийн нэгжид байхгүй бол,
           Энэ оролтыг ашиглан хөрвүүлэх нэгжийг зааж өгнө үү.Open Specy can
           ашиглан шингээлтийн нэгжийн тусгал эсвэл дамжуулах спектрийг тохируулах
           Энэ нь байршуулах файлын таб дээр унадаг. Өмнөх бүх цонхнууд
           Өгөгдөл нь шингээлтийн нэгжид байгаа тул та үүнийг хийх хэрэгтэй
           шаардлагатай бол үргэлжлүүлэхийн өмнө залруулга. Дамжуулалтын тохируулга
           системд тохирохгүй log10(1/T) тооцооллыг ашигладаг
           болон бөөмийн шинж чанар. Тусгалын тохируулга нь
           Kubelka-Munk тэгшитгэл (1-R)2/(2*R). Бид тусгал гэж таамаглаж байна
           1-100 хүртэлх хувиар форматлагдсан бөгөөд эхлээд 100-д хуваах замаар эрчимийг засна.
           тэгшитгэлийн хүлээгдэж буй хэлбэрт тохирно.
           Аль нь ч сонгогдоогүй бол Open Specy нь байршуулсан өгөгдлийг мөн гэж үздэг
           шингээлтийн спектр."
Sample File,Жишээ файл
Sample Data Help,Өгөгдлийн жишээ тусламж
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,"Энэ бол csv файлуудыг хэрхэн форматлах ёстойг шалгах, ойлгохын тулд хэрэгсэлд байршуулж болох жишээ спектр юм."
Metadata Input,Мета өгөгдлийн оролт
Metadata Help,Мета өгөгдлийн тусламж
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","Хэрэв та мета өгөгдлийг энд бөглөж, хуваалцахыг сонговол бид байршуулсан спектр болон мета өгөгдлийг спектроскопийн нийгэмлэгтэй хуваалцдаг.
           Байршуулсан спектр болон мета өгөгдөл энд харагдах болно: https://osf.io/rjg3c"
Share Metadata,Мета өгөгдлийг хуваалцах
Upload some data to get started...,Эхлэхийн тулд зарим өгөгдөл байршуулна уу...
Preprocess Spectrum,Урьдчилан боловсруулах спектр
"Smooth, Baseline Correct, and Download Processed Spectra","Гөлгөр, суурь зөв, Боловсруулсан спектрийг татаж авах"
Download (recommended),Татаж авах (санал болгож байна)
Download Help,Тусламжийг татаж авах
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,Зарим хэрэглэгчид өөрсдийн боловсруулсан спектрийн хуулбарыг хадгалахыг хүсч болно. Энэ товчлуур нь боловсруулсан спектрийг csv файл болгон татаж авдаг.
Smoothing,Гөлгөр болгох
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,"Энэхүү зөөлрүүлэгч нь өгөгдлийн дохио ба дуу чимээний харьцааг сайжруулж, 12 ажиллаж байгаа өгөгдлийн цэг болон заасан полином бүхий Savitzky-Golay шүүлтүүрийг ашигладаг."
Smoothing Polynomial,Олон гишүүнтийг тэгшлэх
Baseline Correction,Үндсэн залруулга
Baseline Correction Help,Суурь засварын тусламж
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.",Суурь шугамын залруулгын энэхүү горим нь үндсэн шугамыг засах хоёр сонголттой: 1) спектрийн бүх мужид олон гишүүнт тохируулгыг ашиглан спектрийн суурь шугамыг давтагдахаар олох полином imodpolyfit процедур. 2) график дээрх шугамын хэрэгслийг ашиглан гарын авлагын шугамыг зурж болох бөгөөд зөв товчлуур нь үндсэн шугамыг хасахын тулд шугамыг ашиглана.
Baseline Correction Polynomial,Үндсэн залруулгын олон гишүүнт
Technique,Техник
Polynomial,Олон гишүүнт
Manual,Гарын авлага
Correct With Trace,Trace-тай зөв
Reset,Дахин тохируулах
Range Selection,Хүрээний сонголт
Spectral Range Help,Спектрийн хүрээний тусламж
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,"Спектрийн хүрээг хязгаарласнаар оргилууд байхгүй спектрийн бүс нутгийг арилгаж, тохирох байдлыг сайжруулна"
Maximum Spectral Range,Хамгийн их спектрийн хүрээ
Minimum Spectral Range,Хамгийн бага спектрийн хүрээ
Identify Spectrum,Спектрийг тодорхойлох
Identify Spectrum Using the Reference Library,Лавлах санг ашиглан спектрийг тодорхойлох
Raman,Раман
FTIR,FTIR
Spectra,Спектрүүд
Type,Төрөл
Spectrum Type Help,Спектрийн төрлийн тусламж
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,Энэ сонголт нь FTIR эсвэл Raman тохирох номын санг ашиглах эсэхийг тодорхойлох болно. Татаж авсан спектрийн төрлийг сонгоно уу.
Analysis,Шинжилгээ
Processed,Боловсруулсан
Uploaded,Байршуулсан
Spectrum to Analyze Help,Тусламжийн шинжилгээ хийх спектр
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,Энэ сонголт нь байршуулсан (боловсруулаагүй) спектр эсвэл боловсруулах табыг ашиглан боловсруулсан спектрийг спектрийн тохирч байгаа эсэхийг тодорхойлох болно.
Region,Бүс нутаг
Full,Бүрэн
Peaks,Оргилууд
Region to Match Help,Тохирох бүс нутгийн тусламж
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,Энэ сонголт нь таны тохирох номын сан бүрэн спектрээс бүрдэх үү эсвэл зөвхөн спектрийн оргил цэгүүдээс бүрдэх эсэхийг тодорхойлох болно.
Partner With Us,Бидэнтэй Түнш
Help us reach our goal of revolutionizing spectroscopy.,Спектроскопид хувьсгал хийх зорилгодоо хүрэхэд бидэнд тусална уу.
Donate Cash,Бэлэн мөнгө хандивлах
Buy From Swag Store,Swag дэлгүүрээс худалдаж аваарай
Contribute time,Цаг хугацаа оруулах
Revolutionizing,Хувьсгал хийх
Thriving,Хөгжиж байна
Maintaining,Арчилгаа
Supporting,Дэмжиж байна
Saving,Хадгалж байна
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,"Нэг товшилтоор 100% нарийвчлалтай спектрийг тодорхойлох, гүн гүнзгий спектрийн оношлогоо хийх эцсийн зорилгод Open Specy-ийг түлхэж буй төлбөртэй баг."
A single paid staff person working to update and build the community and the tool,"Нийгэмлэг болон хэрэгслийг шинэчлэх, бүтээхээр ажилладаг ганц цалинтай ажилтан"
Maintenance costs and minor ad-hoc updates and bug fixes,Засвар үйлчилгээний зардал болон бага зэргийн түр зуурын шинэчлэлтүүд болон алдаа засварууд
Keeping the app online and essential maintenance,"Аппликейшнийг онлайн байлгах, зайлшгүй шаардлагатай засвар үйлчилгээ"
Long term storage only,Зөвхөн урт хугацааны хадгалалт
Sharing Metadata,Мета өгөгдлийг хуваалцах
Thank you for sharing your data!,Өгөгдлөө хуваалцсанд баярлалаа!
Your data will soon be available at https://osf.io/stmv4/,Таны мэдээллийг удахгүй https://osf.io/stmv4/ хаягаар авах боломжтой.
Something went wrong :-(,Ямар нэгэн зүйл буруугаар эргэсэн :-(
Data type not supported!,Өгөгдлийн төрлийг дэмждэггүй!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","Байршуулсан өгөгдлийн төрлийг одоогоор дэмждэггүй; гуйя
                      Хэрэгслийн зөвлөмж болон ""Тухай"" табаас дэлгэрэнгүй мэдээллийг авна уу."
Sharing Spectrum to Community Library,Олон нийтийн номын санд спектрийг хуваалцах
Reading Spectrum,Унших спектр
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","Хэрэв та текст/csv файл байршуулсан бол
           баганууд нь тоон бөгөөд ""долгионы дугаар"" гэж нэрлэгддэг ба
           ""эрчим""."
absorbance intensity [-],шингээлтийн эрчим [-]
wavenumber [cm<sup>-1</sup>],долгионы тоо [см<sup>-1</sup>]
Analyzing Spectrum,Спектрийг шинжлэх
Finding Match,Тохиромжийг хайж байна
Making Plot,Plot хийх
Material,Материал
Pearson's r,Пирсоны r
Organization,Байгууллага
Selectable Matches,Сонгох боломжтой тоглолтууд
Donations,Хандив
Operation Costs,Үйл ажиллагааны зардал
Selection Metadata,Сонгох мета өгөгдөл
