en,mk
Community Data Warehouse,Магацин на податоци на заедницата
Tool Validation,Валидација на алатката
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","Сите параметри во оваа алатка се тестираат за да се потврди тоа
           алатката функционира најдобро што е можно и го одредува најдоброто стандардно
           параметри за користење. Нашата тековна процедура за валидација вклучува корекција
           дупликат записи во референтните библиотеки, проверка за спектри внатре
           метаподатоци што не се во спектралната библиотека и обезбедување на стандардно
           параметрите обезбедуваат над 80% точност во првиот натпревар."
Detailed Validation Procedure,Детална процедура за валидација
"Updates, Feature Requests, and Bug Reports","Ажурирања, барања за функции и извештаи за грешки"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,Ги следиме сите ажурирања користејќи контрола на верзијата на нашиот код. Може да се побараат функции и да се пријават грешки на GitHub.
Stay up to date!,Останете во тек!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,Следете не на Твитер @OpenSpecy. Е-пошта wincowger@gmail.com за да се додаде на мејлинг листата.
Citation,Цитирање
Useful Links,корисни ЛИНКОВИ
Free FTIR Software: siMPle microplastic IR spectral identification software,Бесплатен софтвер FTIR: едноставен микропластичен софтвер за спектрална идентификација на IR
Free Spectroscopy Learning Academy from ThermoFisher,Бесплатна академија за учење спектроскопија од ThermoFisher
Free Optical Microscopy Learning Resource from Florida State University,Бесплатен извор за учење оптичка микроскопија од Државниот универзитет во Флорида
Free desktop application for spectral analysis and links to reference databases.,Бесплатна десктоп апликација за спектрална анализа и врски до референтни бази на податоци.
Terms And Conditions,Правила и услови
Privacy Policy,Политика за приватност
Upload File,Поставете датотека
"Upload, View, and Share Spectra","Поставете, прегледувајте и споделувајте Spectra"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File","Изберете .csv (претпочитано), .asp, .jdx, .spc, .spa или .0 датотека"
Share Your Data?,Споделете ги вашите податоци?
Share Help,Сподели помош
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","Ако сакате, ги споделуваме вашите поставени спектри и поставки со заедницата за спектроскопија.
           Стандардно, сите податоци ќе бидат лиценцирани според Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Поставените спектри ќе се појават овде: https://osf.io/rjg3c"
Upload Help,Помош за поставување
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","Поставете датотеки со спектарот Raman или FTIR како csv, jdx, spc или спа. Се претпочита CSV-датотека. Ако е csv, датотеката мора да содржи една колона означена како „брановиот број“ во единици од (1/cm) и друга колона означена како „интензитет“ во единици за апсорпција.
            Ако jdx, spc, spa или 0, датотеката треба да биде единечен спектар на апсорпција со брановиот број во (1/cm). Овие датотеки нема секогаш да работат совршено бидејќи се незгодни за читање, затоа проверете ги двапати во друг софтвер.
            Притиснете го копчето „Тест податоци“ за да преземете примерок од Раман спектар."
Intensity Adjustment,Прилагодување на интензитетот
None,Никој
Transmittance,Пренос
Reflectance,Рефлексија
Intensity Correction Help,Помош за корекција на интензитет
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","Ако поставениот спектар не е во единици за апсорпција,
           користете го овој влез за да ги одредите единиците од кои ќе се конвертираат.Отвори вид може
           прилагодете ги спектрите на рефлексија или пропустливост на единиците за апсорпција користејќи
           ова паѓачко долу во табулаторот за подигање датотека. Сите претходни јазичиња
           Претпоставете дека податоците се во единици за апсорпција, па затоа треба да го направите
           корекција пред да продолжите доколку е потребно. Прилагодување на преносот
           ја користи пресметката log10(1/T) која не е исправна за системот
           и карактеристики на честички. Прилагодувањето на рефлексијата го користи
           Равенка Кубелка-Мунк (1-R)2/(2*R). Претпоставуваме дека рефлексијата
           е форматиран како процент од 1-100 и прво поправете го интензитетот со делење со 100
           така што одговара на формата што ја очекува равенката.
           Ако ниту еден не е избран, Open Specy претпоставува дека поставените податоци се
           спектар на апсорпција."
Sample File,Датотека за примерок
Sample Data Help,Примерок за помош на податоци
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,Ова е примерок од спектарот што може да се постави на алатката за да се тестира и да се разбере како треба да се форматираат CSV-датотеките.
Metadata Input,Внесување на метаподатоци
Metadata Help,Помош за метаподатоци
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","Ги споделуваме сите поставени спектри и метаподатоци со заедницата за спектроскопија ако ги пополните метаподатоците овде и изберете споделување.
           Поставените спектри и метаподатоци ќе се појават овде: https://osf.io/rjg3c"
Share Metadata,Споделете метаподатоци
Upload some data to get started...,Поставете некои податоци за да започнете...
Preprocess Spectrum,Предпроцесен спектар
"Smooth, Baseline Correct, and Download Processed Spectra","Мазни, точни основни линии и преземање обработени спектри"
Download (recommended),Преземи (препорачано)
Download Help,Преземи Помош
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,Некои корисници можеби ќе сакаат да зачуваат копија од нивниот обработен спектар. Ова копче го презема обработениот спектар како CSV-датотека.
Smoothing,Измазнување
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,Овој измазнувач може да го подобри соодносот сигнал/шум на податоците и користи Savitzky-Golay филтер со 12 точки на податоци и наведен полином.
Smoothing Polynomial,Полином за измазнување
Baseline Correction,Корекција на основната линија
Baseline Correction Help,Помош за корекција на основната линија
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","Оваа рутина за корекција на основната линија има две опции за корекција на основната линија, 1) процедурата на полином imodpolyfit за повторувачки пронаоѓање на основната линија на спектарот користејќи полиномско вклопување на целиот регион на спектрите. 2) мануелните линии може да се нацртаат со помош на алатката за линии на заплетот и правилното копче ќе ги користи линиите за да ја одземе основната линија."
Baseline Correction Polynomial,Полином за корекција на основната линија
Technique,Техника
Polynomial,Полином
Manual,Прирачник
Correct With Trace,Поправете со трага
Reset,Ресетирање
Range Selection,Избор на опсег
Spectral Range Help,Помош за спектрален опсег
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,Ограничувањето на спектралниот опсег може да ги отстрани областите на спектарот каде што нема врвови и да го подобри совпаѓањето
Maximum Spectral Range,Максимален спектрален опсег
Minimum Spectral Range,Минимален спектрален опсег
Identify Spectrum,Идентификувајте го спектарот
Identify Spectrum Using the Reference Library,Идентификувајте го спектарот користејќи ја референтната библиотека
Raman,Раман
FTIR,FTIR
Spectra,Спектра
Type,Тип
Spectrum Type Help,Помош за тип на спектар
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,Овој избор ќе определи дали се користи библиотеката за совпаѓање FTIR или Raman. Изберете го типот на спектарот што е поставен.
Analysis,Анализа
Processed,Обработени
Uploaded,Прикачено
Spectrum to Analyze Help,Спектар за анализа на помош
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,Овој избор ќе определи дали поставениот (необработен) спектар или спектарот обработен со картичката за обработка ќе се користи во совпаѓањето на спектарот.
Region,Регионот
Full,Полна
Peaks,Врвови
Region to Match Help,Помош за регион за совпаѓање
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,Овој избор ќе одреди дали библиотеката со која одговарате се состои од целосен спектар или само врвови на спектарот.
Partner With Us,Партнер со нас
Help us reach our goal of revolutionizing spectroscopy.,Помогнете ни да ја достигнеме нашата цел за револуција во спектроскопијата.
Donate Cash,Донирајте готовина
Buy From Swag Store,Купете од продавницата Swag
Contribute time,Придонесете време
Revolutionizing,Револуционерен
Thriving,Просперитетна
Maintaining,Одржување
Supporting,Поддршка
Saving,Зачувува
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,Платен тим кој го турка Open Specy поблиску до крајната цел за 100% прецизна спектрална идентификација и длабока спектрална дијагностика со еден клик
A single paid staff person working to update and build the community and the tool,Еден платен персонал кој работи на ажурирање и градење на заедницата и алатката
Maintenance costs and minor ad-hoc updates and bug fixes,Трошоци за одржување и мали ад-хок ажурирања и поправени грешки
Keeping the app online and essential maintenance,Одржување на апликацијата онлајн и суштинско одржување
Long term storage only,Само долгорочно складирање
Sharing Metadata,Споделување метаподатоци
Thank you for sharing your data!,Ви благодариме што ги споделивте вашите податоци!
Your data will soon be available at https://osf.io/stmv4/,Вашите податоци наскоро ќе бидат достапни на https://osf.io/stmv4/
Something went wrong :-(,Нешто тргна наопаку :-(
Data type not supported!,Типот на податоци не е поддржан!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","Поставениот тип на податоци во моментов не е поддржан; ве молам
                      проверете ги советите за алатки и јазичето „За“ за детали."
Sharing Spectrum to Community Library,Споделување спектар на библиотека на заедницата
Reading Spectrum,Спектар на читање
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","Ако сте поставиле текстуална/csv-датотека, проверете дали
           колоните се нумерички и именувани како „бранов број“ и
           „интензитет“."
absorbance intensity [-],интензитет на апсорпција [-]
wavenumber [cm<sup>-1</sup>],брановиот број [cm<sup>-1</sup>]
Analyzing Spectrum,Анализирање на спектарот
Finding Match,Наоѓање натпревар
Making Plot,Изработка на заговор
Material,Материјал
Pearson's r,Пирсоновиот р
Organization,Организација
Selectable Matches,Натпревари што може да се изберат
Donations,Донации
Operation Costs,Оперативни трошоци
Selection Metadata,Метаподатоци за избор
