en,sk
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","Všetky parametre v tomto nástroji sú testované, aby sa to potvrdilo
           nástroj funguje čo najlepšie a určte najlepšie predvolené nastavenie
           parametre, ktoré sa majú použiť. Náš súčasný postup overovania zahŕňa opravu
           duplikované záznamy v referenčných knižniciach, kontrola spektier v
           metaúdaje, ktoré nie sú v spektrálnej knižnici, a zabezpečenie predvoleného nastavenia
           parametre poskytujú viac ako 80% presnosť v prvom zápase."
Detailed Validation Procedure,Podrobný postup overenia
"Updates, Feature Requests, and Bug Reports","Aktualizácie, požiadavky na funkcie a hlásenia chýb"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,Všetky aktualizácie sledujeme pomocou kontroly verzií nášho kódu. Funkcie je možné vyžiadať a nahlásiť chybu na GitHub.
Stay up to date!,Zostaňte v obraze!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,"Sledujte nás na Twitteri @OpenSpecy. E-mail wincowger@gmail.com, ktorý má byť pridaný do zoznamu adries."
Citation,Citácia
Useful Links,užitočné odkazy
Free FTIR Software: siMPle microplastic IR spectral identification software,Bezplatný FTIR softvér: jednoduchý mikroplastový IR spektrálny identifikačný softvér
Free Spectroscopy Learning Academy from ThermoFisher,Bezplatná akadémia učenia spektroskopie od spoločnosti ThermoFisher
Free Optical Microscopy Learning Resource from Florida State University,Bezplatný zdroj výučby optickej mikroskopie od Floridskej štátnej univerzity
Free desktop application for spectral analysis and links to reference databases.,Bezplatná desktopová aplikácia pre spektrálnu analýzu a odkazy na referenčné databázy.
Terms And Conditions,Podmienky
Privacy Policy,Zásady ochrany osobných údajov
Upload File,Nahrajte súbor
"Upload, View, and Share Spectra","Nahrajte, zobrazte a zdieľajte spektrum"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File","Vyberte súbor .csv (preferované), .asp, .jdx, .spc, .spa alebo .0"
Share Your Data?,Zdieľať svoje údaje?
Share Help,Zdieľať pomoc
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","Ak chcete, zdieľame vaše nahrané spektrá a nastavenia s komunitou spektroskopov.
           V predvolenom nastavení budú všetky údaje licencované podľa Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Nahrané spektrá sa zobrazia tu: https://osf.io/rjg3c"
Upload Help,Nahrať pomocníka
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","Nahrajte súbory spektra Raman alebo FTIR ako csv, jdx, spc alebo spa. Uprednostňuje sa súbor csv. Ak ide o csv, súbor musí obsahovať jeden stĺpec označený ako „vlnové číslo“ v jednotkách (1/cm) a ďalší stĺpec označený ako „intenzita“ v jednotkách absorbancie.
            Ak jdx, spc, spa alebo 0, súbor by mal byť jedno absorbančné spektrum s vlnovým číslom v (1/cm). Tieto súbory nebudú vždy fungovať dokonale, pretože sa ťažko čítajú, preto ich skontrolujte v inom softvéri.
            Kliknutím na tlačidlo „Testovať údaje“ stiahnete vzorku Ramanovho spektra."
Intensity Adjustment,Úprava intenzity
None,žiadne
Transmittance,Priepustnosť
Reflectance,Odrazivosť
Intensity Correction Help,Pomocník pre korekciu intenzity
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","Ak odovzdané spektrum nie je v jednotkách absorbancie,
           použite tento vstup na určenie jednotiek, z ktorých sa majú previesť. Open Specy can
           upravte spektrá odrazivosti alebo priepustnosti na jednotky absorbancie pomocou
           túto rozbaľovaciu ponuku na karte odovzdania súboru. Všetky predchádzajúce karty
           predpokladajme, že údaje sú v jednotkách absorbancie, takže by ste mali urobiť
           opravu pred pokračovaním, ak je to potrebné. Úprava priepustnosti
           používa výpočet log10(1/T), ktorý nie je správny pre systém
           a vlastnosti častíc. Úprava odrazu využíva
           Kubelka-Munk rovnica (1-R)2/(2*R). Predpokladáme, že odrazivosť
           je naformátovaný ako percento od 1 do 100 a najprv opravte intenzitu vydelením číslom 100
           tak, aby zodpovedal tvaru očakávanému rovnicou.
           Ak nie je vybratá žiadna, Open Specy predpokladá, že nahrané údaje sú
           absorbančné spektrum."
Sample File,Vzorový súbor
Sample Data Help,Pomocník so vzorovými údajmi
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,"Toto je vzorové spektrum, ktoré je možné nahrať do nástroja na otestovanie a pochopenie toho, ako by sa mali formátovať súbory csv."
Metadata Input,Vstup metadát
Metadata Help,Pomocník pre metadáta
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","Všetky nahrané spektrá a metadáta zdieľame so spektroskopickou komunitou, ak tu vyplníte metadáta a vyberiete možnosť zdieľať.
           Nahrané spektrá a metadáta sa zobrazia tu: https://osf.io/rjg3c"
Share Metadata,Zdieľať metadáta
Upload some data to get started...,"Nahrajte nejaké údaje, aby ste mohli začať..."
Preprocess Spectrum,Predspracovanie spektra
"Smooth, Baseline Correct, and Download Processed Spectra","Hladké, základné správne a stiahnuté spracované spektrá"
Download (recommended),Stiahnuť (odporúča sa)
Download Help,Stiahnite si Pomocníka
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,Niektorí používatelia môžu chcieť uložiť kópiu svojho spracovaného spektra. Toto tlačidlo stiahne spracované spektrum ako súbor csv.
Smoothing,Vyhladzovanie
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,Tento vyhladzovač môže zlepšiť pomer signálu k šumu údajov a používa Savitzky-Golayov filter s 12 bežiacimi údajovými bodmi a špecifikovaným polynómom.
Smoothing Polynomial,Vyhladzujúci polynóm
Baseline Correction,Korekcia základnej línie
Baseline Correction Help,Pomocník pre korekciu základnej línie
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","Táto rutina korekcie základnej línie má dve možnosti korekcie základnej línie, 1) procedúru polynomiálneho imodpolyfitu na iteratívne nájdenie základnej línie spektra pomocou polynomického prispôsobenia celej oblasti spektier. 2) ručné čiary možno nakresliť pomocou nástroja čiary na grafe a správne tlačidlo použije čiary na odčítanie základnej čiary."
Baseline Correction Polynomial,Polynóm korekcie základnej línie
Technique,Technika
Polynomial,Polynóm
Manual,Manuálny
Correct With Trace,Opraviť so stopou
Reset,Resetovať
Range Selection,Výber rozsahu
Spectral Range Help,Pomocník pre spektrálny rozsah
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,"Obmedzenie spektrálneho rozsahu môže odstrániť oblasti spektra, kde neexistujú žiadne vrcholy, a zlepšiť párovanie"
Maximum Spectral Range,Maximálny spektrálny rozsah
Minimum Spectral Range,Minimálny spektrálny rozsah
Identify Spectrum,Identifikujte spektrum
Identify Spectrum Using the Reference Library,Identifikujte spektrum pomocou referenčnej knižnice
Raman,Raman
FTIR,FTIR
Spectra,Spectra
Type,Typ
Spectrum Type Help,Pomocník typu Spectrum
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,"Tento výber určí, či sa použije porovnávacia knižnica FTIR alebo Raman. Vyberte typ spektra, ktorý bol nahraný."
Analysis,Analýza
Processed,Spracované
Uploaded,Nahrané
Spectrum to Analyze Help,Pomocník Spektrum na analýzu
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,"Tento výber určí, či sa pri zhode spektra použije nahrané (nespracované) spektrum alebo spektrum spracované pomocou karty spracovania."
Region,región
Full,Plný
Peaks,Vrcholy
Region to Match Help,Pomocník regiónu na zhodu
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,"Tento výber určí, či knižnica, ku ktorej sa priraďujete, pozostáva z celého spektra alebo iba z vrcholov spektra."
Partner With Us,Partner s nami
Help us reach our goal of revolutionizing spectroscopy.,Pomôžte nám dosiahnuť náš cieľ revolúcie v spektroskopii.
Donate Cash,Darujte hotovosť
Buy From Swag Store,Kúpiť v obchode Swag
Contribute time,Prispejte časom
Revolutionizing,Revolučný
Thriving,Prosperujúci
Maintaining,Udržiavanie
Supporting,Podporné
Saving,Ukladanie
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,"Platený tím, ktorý posúva Open Specy bližšie ku konečnému cieľu 100% presnej spektrálnej identifikácie a hlbokej spektrálnej diagnostiky jediným kliknutím"
A single paid staff person working to update and build the community and the tool,Jeden platený zamestnanec pracujúci na aktualizácii a budovaní komunity a nástroja
Maintenance costs and minor ad-hoc updates and bug fixes,Náklady na údržbu a menšie ad-hoc aktualizácie a opravy chýb
Keeping the app online and essential maintenance,Udržiavanie aplikácie online a nevyhnutná údržba
Long term storage only,Len dlhodobé skladovanie
Sharing Metadata,Zdieľanie metadát
Thank you for sharing your data!,Ďakujeme za zdieľanie údajov!
Your data will soon be available at https://osf.io/stmv4/,Vaše údaje budú čoskoro dostupné na https://osf.io/stmv4/
Something went wrong :-(,Niečo sa pokazilo :-(
Data type not supported!,Typ údajov nie je podporovaný!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","Nahraný typ údajov nie je momentálne podporovaný. prosím
                      podrobnosti nájdete v popisoch nástrojov a na karte „O aplikácii“."
Sharing Spectrum to Community Library,Zdieľanie spektra do komunitnej knižnice
Reading Spectrum,Spektrum čítania
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","Ak ste nahrali textový súbor/súbor csv, uistite sa, že
           stĺpce sú číselné a majú názov „vlnové číslo“ a
           „intenzita“."
absorbance intensity [-],intenzita absorbancie [-]
wavenumber [cm<sup>-1</sup>],vlnové číslo [cm<sup>-1</sup>]
Analyzing Spectrum,Analýza spektra
Finding Match,Hľadá sa zhoda
Making Plot,Tvorba pozemku
Material,Materiál
Pearson's r,Pearsonova r
Organization,Organizácia
Selectable Matches,Voliteľné zhody
Donations,dary
Operation Costs,Prevádzkové náklady
Selection Metadata,Metadáta výberu
