en,ig
Free FTIR Software: siMPle microplastic IR spectral identification software,Ngwa FTIR efu: sọftụwia njirimara microplastic IR dị mfe
Free Spectroscopy Learning Academy from ThermoFisher,Ụlọ akwụkwọ mmụta Spectroscopy efu sitere na ThermoFisher
Free Optical Microscopy Learning Resource from Florida State University,Ihe mmụta mmụta ngwa anya microscope efu sitere na Mahadum Florida State
Free desktop application for spectral analysis and links to reference databases.,Ngwa desktọpụ efu maka nyocha spectral yana njikọ ọdụ data ntụaka.
Terms And Conditions,Usoro na ọnọdụ
Privacy Policy,amụma nzuzo
Upload File,Bulite faịlụ
"Upload, View, and Share Spectra","Bulite, lelee ma kesaa Spectra"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File","Họrọ .csv (ọ masịrị), .asp, .jdx, .spc, .spa, ma ọ bụ .0 Faịlụ"
Share Your Data?,Kekọrịta data gị?
Share Help,Kekọrịta Enyemaka
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","Ọ bụrụ na-amasị gị, anyị na-ekere òkè spectra na ntọala gị na spectroscopy obodo.
           Na ndabara, a ga-enye ikikere data niile n'okpuru Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Ụdị ụdị ebugo ga-apụta ebe a: https://osf.io/rjg3c"
Upload Help,Bulite Enyemaka
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","Bulite faịlụ Raman ma ọ bụ FTIR dị ka csv, jdx, spc, ma ọ bụ spa. A na-ahọrọ faịlụ csv. Ọ bụrụ csv, faịlụ a ga-enwerịrị otu kọlụm akpọrọ 'wavenumber' na nkeji nke (1/cm) yana kọlụm ọzọ akpọrọ 'intensity' na nkeji nnabata.
            Ọ bụrụ jdx, spc, spa, ma ọ bụ 0 faịlụ kwesịrị ịbụ otu ụdịdị dị iche iche nnabata nwere nọmba ebili mmiri na (1/cm). Faịlụ ndị a agaghị arụ ọrụ nke ọma mgbe niile n'ihi na ha dị aghụghọ ịgụ ya wee lelee ha ugboro abụọ na ngwanrọ ọzọ.
            Pịa bọtịnụ 'Nnwale ule' ka ibudata ihe nlele Raman spectrum."
Intensity Adjustment,Mgbanwe ike
None,Ọ dịghị
Transmittance,nnyefe
Reflectance,Ntụleghachi
Intensity Correction Help,Enyemaka Mmezi ike
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","Ọ bụrụ na ụdịdị dị iche iche ebugoro anọghị na nkeji nnabata,
           jiri ntinye a iji kọwaa nkeji ị ga-atụgharị site na.Open Specy nwere ike
           gbanwee ntụgharị uche ma ọ bụ transmittance spectra na nkeji absorbance iji
           a dobe ala na bulite faịlụ tab. Taabụ niile bu ụzọ
           iche na data bụ na absorbance nkeji otú i kwesịrị ime ka ndị
           mgbazi tupu ịga n'ihu ma ọ bụrụ na achọrọ ya. Ndozi nnyefe
           na-eji log10 (1/T) ngụkọta oge nke na-adịghị mma maka usoro
           na njirimara urughuru. Ngbanwe ntụgharị na-eji ihe
           Usoro Kubelka-Munk (1-R) 2/(2*R). Anyị na-eche na reflectance
           A haziri dị ka pasenti site na 1-100 ma buru ụzọ mezie ike ya site n'ikewa 100
           nke mere na ọ dabara n'ụdị a tụrụ anya ya.
           Ọ bụrụ na ahọpụtaghị nke ọ bụla, Open Specy na-eche na ọ bụ data ebugoro
           ihe absorbance ụdịdị dị iche iche."
Sample File,Ihe atụ faịlụ
Sample Data Help,Ọmụma aka Data
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,Nke a bụ ụdị ụdịdị dị iche iche enwere ike ibugo na ngwa maka ịnwale ya na ịghọta ka esi hazie faịlụ csv.
Metadata Input,Ntinye metadata
Metadata Help,Enyemaka metadata
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","Anyị na ndị obodo spectroscopy na-ekekọrịta ụdị ọ bụla ebugote na metadata ma ọ bụrụ na ị dejupụta metadata ebe a wee họrọ òkè.
           Esemokwu na metadata ebugoro ga-apụta ebe a: https://osf.io/rjg3c"
Share Metadata,Kekọrịta metadata
Upload some data to get started...,Bulite ụfọdụ data ka ịmalite...
Preprocess Spectrum,Preprocess Spectrum
"Smooth, Baseline Correct, and Download Processed Spectra","Dị nro, Baseline ziri ezi, yana budata Spectra arụnyere"
Download (recommended),Budata (atụ aro)
Download Help,Download Enyemaka
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,Ụfọdụ ndị ọrụ nwere ike ịchekwa otu ụdị ụdịdị dị iche iche haziri. Bọtịnụ a na-ebudata ụdịdị dị iche iche ahaziri dị ka faịlụ csv.
Smoothing,Na-atọ ụtọ
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,Nke a dị nro nwere ike ịkwalite mgbama na oke mkpọtụ nke data ahụ wee jiri nzacha Savitzky-Golay nwere isi data 12 na-agba ọsọ yana ọtụtụ ọnụọgụ akọwapụtara.
Smoothing Polynomial,Polynomial dị nro
Baseline Correction,Ndozi ntọala
Baseline Correction Help,Enyemaka mgbazi ntọala
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","Usoro mgbazi ntọala a nwere nhọrọ abụọ maka mgbazi ntọala, 1) usoro imodpolyfit nke polynomial iji chọta ntọala nke ụdịdị dị iche iche site na iji polynomial dabara na mpaghara niile nke ụdịdị ahụ. 2) Enwere ike ịdọrọ ahịrị akwụkwọ ntuziaka site na iji ngwa ahịrị ahịrị na ikiri ahụ na bọtịnụ ziri ezi ga-eji ahịrị wepụ ihe ndabere."
Baseline Correction Polynomial,Polynomial Mmezi Baseline
Technique,Usoro
Polynomial,Polynomial
Manual,Akwụkwọ ntuziaka
Correct With Trace,Eji Trace ziri ezi
Reset,Tọgharia
Range Selection,Nhọrọ oke
Spectral Range Help,Enyemaka Oke Spectral
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,Mmachi ụdịdị dị iche iche nwere ike wepu mpaghara ụdịdị dị iche iche ebe ọ nweghị ọnụ ọgụgụ dị elu ma melite ndakọrịta
Maximum Spectral Range,Oke Spectral Oke
Minimum Spectral Range,Oke Spectral kacha nta
Identify Spectrum,Chọpụta ụdịdị Spectrum
Identify Spectrum Using the Reference Library,Chọpụta Spectrum Iji Ọbá akwụkwọ ntụaka
Raman,Raman
FTIR,FTIR
Spectra,Spectra
Type,Ụdị
Spectrum Type Help,Ụdị Enyemaka Spectrum
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,Nhọrọ a ga-ekpebi ma ejiri ọbá akwụkwọ FTIR ma ọ bụ Raman dabara. Họrọ ụdịdị spectrum nke ebugoro.
Analysis,Nyocha
Processed,Haziri
Uploaded,Ebugoro
Spectrum to Analyze Help,Spectrum iji nyochaa Enyemaka
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,Nhọrọ a ga-ekpebi ma ebugoro (anaghị ahazi ya) ụdịdị dị iche iche ma ọ bụ ụdịdị a na-ahazi site na iji taabụ nhazi na-eji na egwuregwu egwuregwu.
Region,Mpaghara
Full,Juputara
Peaks,Ọnụ ọgụgụ kasị elu
Region to Match Help,Mpaghara ga-adaba Enyemaka
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,Nhọrọ a ga-ekpebi ma ọbá akwụkwọ ị na-ejikọta na ọ nwere ụdịdị dị iche iche zuru oke ma ọ bụ naanị ọnụ ọgụgụ dị iche iche.
Partner With Us,Soro Anyị Na-akpakọrịta
Help us reach our goal of revolutionizing spectroscopy.,Nyere anyị aka iru ebumnobi anyị nke ime mgbanwe spectroscopy.
Donate Cash,Nye onyinye ego
Buy From Swag Store,Zụrụ Site na Ụlọ Ahịa Swag
Contribute time,Tinye oge
Revolutionizing,Na-agbanwe agbanwe
Thriving,Na-eto eto
Maintaining,Na-ejigide
Supporting,Na-akwado
Saving,Na-echekwa
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,Otu otu akwụ ụgwọ nke na-akwaga Open Specy nso na ebumnuche kacha nke 100% ziri ezi spectral njirimara na omimi spectral diagnostics na otu ọpịpị.
A single paid staff person working to update and build the community and the tool,Otu onye ọrụ na-akwụ ụgwọ na-arụ ọrụ iji melite ma wuo obodo na ngwá ọrụ
Maintenance costs and minor ad-hoc updates and bug fixes,Ọnụ ego nlekọta na obere mmelite ad-hoc yana ndozi ahụhụ
Keeping the app online and essential maintenance,Idobe ngwa n'ịntanetị yana mmezi dị mkpa
Long term storage only,Naanị nchekwa ogologo oge
Sharing Metadata,Na-ekekọrịta metadata
Thank you for sharing your data!,Daalụ maka ịkekọrịta data gị!
Your data will soon be available at https://osf.io/stmv4/,Data gị ga-adị n'oge adịghị anya na https://osf.io/stmv4/
Something went wrong :-(,Ọ nwere ihe adịghị mma :-(
Data type not supported!,Ụdị data akwadoghị!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","Ụdị data ebugoro adịghị akwado ugbu a; Biko
                      lelee Tooltips na 'About' tab maka nkọwa."
Sharing Spectrum to Community Library,Ịkekọrịta Spectrum na ọba akwụkwọ obodo
Reading Spectrum,Ọgụgụ Spectrum
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","Ọ bụrụ na ị bulitere faịlụ ederede/csv, gbaa mbọ hụ na
           kọlụm bụ ọnụọgụ na aha 'wavenumber' na
           'ike'."
absorbance intensity [-],ike nnabata [-]
wavenumber [cm<sup>-1</sup>],nọmba ebili mmiri [cm<sup>-1</sup>]
Analyzing Spectrum,Na-enyocha Spectrum
Finding Match,Ịchọta Ngwakọta
Making Plot,Ime atụmatụ
Material,Ihe onwunwe
Pearson's r,Pearson's r
Organization,Nhazi
Selectable Matches,Amụma enwere ike ịhọpụta
Donations,Onyinye
Operation Costs,Ọnụ ọrụ
Selection Metadata,metadata nhọrọ
