en,eo
"To share spectra upload a file to the upload file tab. If you selected Share a copy of your spectra will be sent to the Community
           Data Warehouse on Open Science Framework. To add additional metadata, 
           fill in the avaliable metadata fields and click -Share Data-. The 
           spectra file that you uploaded along with your responses will be copied 
           to the a -With Metadata- subfolder at the link below. All shared data holds 
           a Creative Commons Attribution License 4.0.","Por kunhavigi spektrojn alŝutu dosieron al la langeto de alŝuta dosiero. Se vi elektis Kunhavigi kopion de viaj spektroj estos sendita al la Komunumo
           Datuma Stokejo pri Malferma Scienca Kadro. Por aldoni pliajn metadatenojn,
           plenigu la disponeblajn metadatumajn kampojn kaj alklaku -Share Data-. La
           spektra dosiero, kiun vi alŝutis kune kun viaj respondoj, estos kopiita
           al la a -Kun Metadatumoj- subdosierujo ĉe la suba ligilo. Ĉiuj komunaj datumoj konservas
           Krea Komunaĵo Atribuite-Licenco 4.0."
Community Data Warehouse,Komunuma Datuma Stokejo
Tool Validation,Ila Valido
"All parameters in this tool are tested to validate that 
           the tool is functioning as best as possible and determine the best default 
           parameters to use. Our current validation proceedure includes correcting 
           duplicated entries in the reference libraries, checking for spectra in 
           metadata that isn't in the spectral library, and ensuring the the default 
           parameters provide over 80% accuracy in the first match.","Ĉiuj parametroj en ĉi tiu ilo estas testitaj por validigi tion
           la ilo funkcias kiel eble plej bone kaj determini la plej bonan defaŭlton
           parametroj por uzi. Nia nuna valida proceduro inkluzivas korektadon
           duobligitaj enskriboj en la referencbibliotekoj, kontrolante por spektroj enen
           metadatenoj kiuj ne estas en la spektra biblioteko, kaj certigante la defaŭltan
           parametroj disponigas pli ol 80% precizecon en la unua matĉo."
Detailed Validation Procedure,Detala Valida Proceduro
"Updates, Feature Requests, and Bug Reports","Ĝisdatigoj, Ĉefaj Petoj kaj Cimraportoj"
We keep track of all updates using version control on our code. Features can be requested and bug reported on GitHub.,Ni konservas ĉiujn ĝisdatigojn per versio-kontrolo en nia kodo. Trajtoj povas esti petitaj kaj cimo raportita sur GitHub.
Stay up to date!,Restu ĝisdatigita!
Follow us on Twitter @OpenSpecy. E-mail wincowger@gmail.com to be added to the mailing list.,Sekvu nin ĉe Twitter @OpenSpecy. Retpoŝtu wincowger@gmail.com por esti aldonita al la dissendolisto.
Citation,Citaĵo
Useful Links,Utilaj Ligiloj
Free FTIR Software: siMPle microplastic IR spectral identification software,Senpaga FTIR-Programaro: simpla mikroplasta IR-spektra identiga programaro
Free Spectroscopy Learning Academy from ThermoFisher,Senpaga Akademio pri Lernado de Spektroskopio de ThermoFisher
Free Optical Microscopy Learning Resource from Florida State University,Senpaga Optika Mikroskopia Lernada Rimedo de Florida State University
Free desktop application for spectral analysis and links to reference databases.,Senpaga labortabla aplikaĵo por spektra analizo kaj ligiloj al referencaj datumbazoj.
Terms And Conditions,Terminoj kaj Kondiĉoj
Privacy Policy,Privateca Politiko
Upload File,Alŝutu Dosieron
"Upload, View, and Share Spectra","Alŝutu, Vidu kaj Kunhavigu Spektron"
"Choose .csv (preferred), .asp, .jdx, .spc, .spa, or .0 File","Elektu .csv (preferatan), .asp, .jdx, .spc, .spa aŭ .0-Dosieron"
Share Your Data?,Kunhavigi Viajn Datumojn?
Share Help,Kunhavigu Helpon
"If you like, we share your uploaded spectra and settings with the spectroscopy community.
           By default, all data will be licensed under Creative Commons Attribution-NonCommercial 4.0 International (CC BY-NC 4.0).
           Uploaded spectra will appear here: https://osf.io/rjg3c","Se vi ŝatas, ni dividas viajn alŝutitajn spektrojn kaj agordojn kun la spektroskopia komunumo.
           Defaŭlte, ĉiuj datumoj estos licencitaj laŭ Krea Komunaĵo Atribuite-NeKomerca 4.0 Internacia (CC BY-NC 4.0).
           Alŝutitaj spektroj aperos ĉi tie: https://osf.io/rjg3c"
Upload Help,Alŝutu Helpon
"Upload Raman or FTIR spectrum files as a csv, jdx, spc, or spa. A csv file is preferred. If a csv, the file must contain one column labeled 'wavenumber' in units of (1/cm) and another column labeled 'intensity' in absorbance units.
            If jdx, spc, spa, or 0 the file should be a single absorbance spectrum with wavenumber in (1/cm). These files will not always work perfectly because they are tricky to read so double check them in another software.
            Hit the 'Test Data' button to download a sample Raman spectrum.","Alŝutu Raman aŭ FTIR-spektrajn dosierojn kiel csv, jdx, spc aŭ spa. Csv-dosiero estas preferita. Se csv, la dosiero devas enhavi unu kolumnon etikeditan 'ondonombro' en unuoj de (1/cm) kaj alian kolumnon etikeditan 'intenseco' en sorbaj unuoj.
            Se jdx, spc, spa, aŭ 0 la dosiero devus esti ununura absorba spektro kun ondonumero en (1/cm). Ĉi tiuj dosieroj ne ĉiam funkcios perfekte ĉar ili malfacilas legi, do rekontrolu ilin en alia programaro.
            Premu la butonon ""Test Datumoj"" por elŝuti specimenan Raman-spektron."
Intensity Adjustment,Alĝustigo de intenseco
None,Neniu
Transmittance,Transdono
Reflectance,Reflektado
Intensity Correction Help,Helpo pri Korekto de Intenso
"If the uploaded spectrum is not in absorbance units, 
           use this input to specify the units to convert from.Open Specy can 
           adjust reflectance or transmittance spectra to Absorbance units using 
           this drop down in the upload file tab. All of the preceding tabs 
           assume that the data is in absorbance units so you should make the 
           correction before continuing if needed. The transmittance adjustment 
           uses the log10(1/T) calculation which does not correct for system 
           and particle characteristics. The reflectance adjustment uses the 
           Kubelka-Munk equation (1-R)2/(2*R). We assume that the reflectance 
           is formatted as a percent from 1-100 and first correct the intensity by dividing by 100
           so that it fits the form expected by the equation.
           If none is selected, Open Specy assumes that the uploaded data is 
           an absorbance spectrum.","Se la alŝutita spektro ne estas en sorbaj unuoj,
           uzu ĉi tiun enigon por specifi la unuojn por konverti.Open Specy povas
           ĝustigi reflektanco aŭ transmitance spektroj al Absorbance unuoj uzante
           ĉi tiu guto en la langeto de alŝuta dosiero. Ĉiuj antaŭaj langetoj
           supozu ke la datumoj estas en sorbaj unuoj do vi devus fari la
           korekto antaŭ daŭrigi se necese. La transmitancia ĝustigo
           uzas la log10(1/T) kalkulon kiu ne korektas por sistemo
           kaj partiklaj trajtoj. La reflekta alĝustigo uzas la
           Kubelka-Munk ekvacio (1-R)2/(2*R). Ni supozas ke la reflekto
           estas formatita kiel procento de 1-100 kaj unue korektas la intensecon dividante per 100
           tiel ke ĝi konvenas al la formo atendita de la ekvacio.
           Se neniu estas elektita, Open Specy supozas, ke la alŝutitaj datumoj estas
           absorba spektro."
Sample File,Specimena Dosiero
Sample Data Help,Ekzempla Datumo Helpo
This is a sample spectrum that can be uploaded to the tool for testing it out and understanding how the csv files should be formatted.,"Ĉi tio estas specimena spektro, kiu povas esti alŝutita al la ilo por provi ĝin kaj kompreni kiel la csv-dosieroj devas esti formatitaj."
Metadata Input,Enigo de metadatumoj
Metadata Help,Helpo pri Metadatumoj
"We share any uploaded spectra and metadata with the spectroscopy community if you fill out the metadata here and select share.
           Uploaded spectra and metadata will appear here: https://osf.io/rjg3c","Ni dividas iujn ajn alŝutitajn spektrojn kaj metadatenojn kun la spektroskopiokomunumo se vi plenigas la metadatenojn ĉi tie kaj elektas kunhavigi.
           Alŝutitaj spektroj kaj metadatenoj aperos ĉi tie: https://osf.io/rjg3c"
Share Metadata,Kunhavigi metadatumojn
Upload some data to get started...,Alŝutu iujn datumojn por komenci...
Preprocess Spectrum,Antaŭproceza Spektro
"Smooth, Baseline Correct, and Download Processed Spectra","Glata, Bazlinio Ĝusta, kaj Elŝutu Prilaboritajn Spektrojn"
Download (recommended),Elŝuto (rekomendita)
Download Help,Elŝutu Helpon
Some users may wish to save a copy of their processed spectrum. This button downloads the processed spectrum as a csv file.,Iuj uzantoj eble volas konservi kopion de sia prilaborita spektro. Ĉi tiu butono elŝutas la prilaboritan spektron kiel csv-dosieron.
Smoothing,Glatigado
This smoother can enhance the signal to noise ratio of the data and uses a Savitzky-Golay filter with 12 running data points and the polynomial specified.,Ĉi tiu glatigilo povas plibonigi la signalon al bruo-proporcion de la datumoj kaj uzas Savitzky-Golay-filtrilon kun 12 kurantaj datumpunktoj kaj la polinomo specifita.
Smoothing Polynomial,Glatiga Polinomo
Baseline Correction,Bazlinia Korekto
Baseline Correction Help,Bazlinia Korekto Helpo
"This baseline correction routine has two options for baseline correction, 1) the polynomial imodpolyfit procedure to itteratively find the baseline of the spectrum using a polynomial fit to the entire region of the spectra. 2) manual lines can be drawn using the line tool on the plot and the correct button will use the lines to subtract the baseline.","Tiu bazlinioĝustigrutino havas du opciojn por bazlinioĝustigo, 1) la polinoma imodpolyfit-proceduro por ripete trovi la bazlinion de la spektro uzante polinoman konvenon al la tuta regiono de la spektroj. 2) manaj linioj povas esti desegnitaj per la linia ilo sur la intrigo kaj la ĝusta butono uzos la liniojn por subtrahi la bazlinion."
Baseline Correction Polynomial,Bazlinia Korekta Polinomo
Technique,Tekniko
Polynomial,Polinomo
Manual,Manlibro
Correct With Trace,Korekti Kun Spuro
Reset,Restarigi
Range Selection,Gamo Elekto
Spectral Range Help,Spektra Gamo Helpo
Restricting the spectral range can remove regions of spectrum where no peaks exist and improve matching,Limigi la spektran intervalon povas forigi regionojn de spektro kie neniuj pintoj ekzistas kaj plibonigi egaladon
Maximum Spectral Range,Maksimuma Spektra Gamo
Minimum Spectral Range,Minimuma Spektra Intervalo
Identify Spectrum,Identigu Spektron
Identify Spectrum Using the Reference Library,Identigu Spektron Uzante la Referenca Biblioteko
Raman,Raman
FTIR,FTIR
Spectra,Spektroj
Type,Tajpu
Spectrum Type Help,Spektro-Tipo Helpo
This selection will determine whether the FTIR or Raman matching library is used. Choose the spectrum type that was uploaded.,"Ĉi tiu elekto determinos ĉu la kongrua biblioteko FTIR aŭ Raman estas uzata. Elektu la spektran tipon, kiu estis alŝutita."
Analysis,Analizo
Processed,Prilaborita
Uploaded,Alŝutita
Spectrum to Analyze Help,Spektro por Analizi Helpon
This selection will determine whether the uploaded (not processed) spectrum or the spectrum processed using the processing tab is used in the spectrum match.,Ĉi tiu elekto determinos ĉu la alŝutita (ne prilaborita) spektro aŭ la spektro prilaborita uzante la pretigan langeton estas uzataj en la spektra matĉo.
Region,Regiono
Full,Plena
Peaks,Pintoj
Region to Match Help,Regiono al Kongrua Helpo
This selection will determine whether the library you are matching to consists of the full spectrum or only spectrum peaks.,Ĉi tiu elekto determinos ĉu la biblioteko al kiu vi kongruas konsistas el la plena spektro aŭ nur el spektropintoj.
Partner With Us,Partnero Kun Ni
Help us reach our goal of revolutionizing spectroscopy.,Helpu nin atingi nian celon revoluciigi spektroskopion.
Donate Cash,Donaci Monon
Buy From Swag Store,Aĉetu De Swag Store
Contribute time,Kontribuu tempon
Revolutionizing,Revoluciante
Thriving,Vivanta
Maintaining,Subteni
Supporting,Apogante
Saving,Ŝparante
A paid team that is pushing Open Specy closer to the ultimate goal of 100% accurate spectral identification and deep spectral diagnostics with a single click,"Pagita teamo, kiu puŝas Open Specy pli proksime al la fina celo de 100% preciza spektra identigo kaj profunda spektra diagnozo per unu klako."
A single paid staff person working to update and build the community and the tool,Ununura pagita personaro laboranta por ĝisdatigi kaj konstrui la komunumon kaj la ilon
Maintenance costs and minor ad-hoc updates and bug fixes,Prizorgaj kostoj kaj negravaj ad hoc ĝisdatigoj kaj korektoj de cimoj
Keeping the app online and essential maintenance,Teni la apon interrete kaj esenca prizorgado
Long term storage only,Longtempa stokado nur
Sharing Metadata,Kunhavigo de Metadatumoj
Thank you for sharing your data!,Dankon pro konigo de viaj datumoj!
Your data will soon be available at https://osf.io/stmv4/,Viaj datumoj baldaŭ disponeblas ĉe https://osf.io/stmv4/
Something went wrong :-(,Io misfunkciis :-(
Data type not supported!,Datumtipo ne subtenata!
"Uploaded data type is not currently supported; please
                      check tooltips and 'About' tab for details.","Alŝutita datumtipo ne estas nuntempe subtenata; bonvolu
                      kontrolu konsiletojn kaj la langeton 'Pri' por detaloj."
Sharing Spectrum to Community Library,Kunhavigo de Spektro al Komunuma Biblioteko
Reading Spectrum,Leganta Spektro
"If you uploaded a text/csv file, make sure that the 
           columns are numeric and named 'wavenumber' and 
           'intensity'.","Se vi alŝutis tekston/csv-dosieron, certigu, ke la
           kolumnoj estas numeraj kaj nomitaj 'ondonombro' kaj
           'intenseco'."
absorbance intensity [-],absorba intenseco [-]
wavenumber [cm<sup>-1</sup>],ondonumero [cm<sup>-1</sup>]
Analyzing Spectrum,Analizante Spektron
Finding Match,Trovi Matĉon
Making Plot,Farante Intrigon
Material,Materialo
Pearson's r,La r de Pearson
Organization,Organizo
Selectable Matches,Elekteblaj Matĉoj
Donations,Donacoj
Operation Costs,Operaciaj Kostoj
Selection Metadata,Elektaj Metadatumoj
